,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.788666,0.0,-0.704,111.2019,2018-01-08,112.1003,"Jan 8, 18",110.4531,111.8608,1257110,1257110,111.2225
1,-0.8984789999999999,-0.008079897915413001,-0.808,110.3034,2018-01-09,111.5014,"Jan 9, 18",109.6245,111.5014,1091423,1091423,110.3977
2,0.09983099999999999,-0.007182431235437,0.091,110.4032,2018-01-10,111.8108,"Jan 10, 18",109.6046,110.0838,711429,711429,110.29
3,2.356,0.014004257121506,2.134,112.7592,2018-01-11,113.2284,"Jan 11, 18",108.7161,110.513,1015947,1015947,111.476
4,2.9849,0.040847323651844,2.6470000000000002,115.7442,2018-01-12,115.854,"Jan 12, 18",112.8291,114.1868,1579194,1579194,114.8758
5,-2.0366,0.022532888376907003,-1.76,113.7076,2018-01-16,116.6427,"Jan 16, 18",112.6694,116.5628,1498101,1498101,114.1537
6,1.4476,0.035550651562608004,1.2730000000000001,115.1552,2018-01-17,116.0437,"Jan 17, 18",112.7892,114.5462,1354175,1354175,115.0287
7,0.179696,0.03716663114569,0.156,115.3349,2018-01-18,115.6643,"Jan 18, 18",113.468,115.4746,920874,920874,114.8187
8,1.4875,0.05054320115034001,1.29,116.8224,2018-01-19,117.3115,"Jan 19, 18",115.0154,116.0437,1169949,1169949,116.5747
9,1.0083,0.059610492266768005,0.863,117.8307,2018-01-22,117.9904,"Jan 22, 18",115.7043,116.6826,1612108,1612108,116.9797
10,1.0682,0.069215543979014,0.907,118.8988,2018-01-23,118.9388,"Jan 23, 18",116.4031,117.5411,1276958,1276958,117.9676
11,1.8868,0.08618377923398801,1.587,120.7857,2018-01-24,121.0352,"Jan 24, 18",118.0603,119.0586,1198596,1198596,119.707
12,-0.06988000000000001,0.08555519285192001,-0.058,120.7158,2018-01-25,121.1351,"Jan 25, 18",119.428,120.9154,1250816,1250816,120.4124
13,2.7154,0.10997384037502901,2.249,123.4312,2018-01-26,123.6907,"Jan 26, 18",121.4545,123.1317,1488390,1488390,122.6936
14,-0.748734,0.10324014247958,-0.607,122.6824,2018-01-29,123.4212,"Jan 29, 18",122.5127,123.3114,1403699,1403699,122.8686
15,-3.6139,0.070742496306268,-2.946,119.0686,2018-01-30,122.4928,"Jan 30, 18",117.3764,121.3647,1889671,1889671,118.9262
16,-2.2761,0.05027342158722101,-1.912,116.7924,2018-01-31,120.2665,"Jan 31, 18",115.6294,119.6576,1235733,1235733,117.4732
17,0.299493,0.052966720892358,0.256,117.0919,2018-02-01,118.6293,"Feb 1, 18",115.6344,116.0437,760629,760629,117.064
18,-3.3543,0.022802667940026,-2.865,113.7376,2018-02-02,116.9821,"Feb 2, 18",112.9339,115.7242,1092333,1092333,114.8849
19,-4.0631,-0.013735376823597002,-3.572,109.6745,2018-02-05,114.7758,"Feb 5, 18",109.6245,112.8591,1281592,1281592,112.5775
20,2.336,0.007271458491266001,2.13,112.0105,2018-02-06,112.919,"Feb 6, 18",106.5647,108.0971,1240784,1240784,110.6336
21,-2.2662,-0.01310768970674,-2.023,109.7443,2018-02-07,114.3864,"Feb 7, 18",109.7144,111.9007,2163545,2163545,111.4488
22,-0.299493,-0.015800989011878,-0.273,109.4448,2018-02-08,115.1552,"Feb 8, 18",109.1154,109.7443,1549881,1549881,111.0708
23,-0.48917299999999997,-0.020199295155928002,-0.447,108.9557,2018-02-09,110.2635,"Feb 9, 18",103.1655,110.2036,1577895,1577895,107.1482
24,0.339427,-0.017147189031841002,0.312,109.2951,2018-02-12,110.6129,"Feb 12, 18",107.8675,109.6096,1181363,1181363,109.4559
25,-3.2545,-0.046413775304198004,-2.9779999999999998,106.0406,2018-02-13,109.8042,"Feb 13, 18",105.782,108.9856,1392064,1392064,106.3475
26,2.7953,-0.021276614877983,2.636,108.8359,2018-02-14,109.8142,"Feb 14, 18",105.0822,105.3218,1106655,1106655,108.2512
27,-0.239595,-0.023431254322093,-0.22,108.5963,2018-02-15,110.0937,"Feb 15, 18",107.3906,109.0455,818447,818447,108.4098
28,-1.208,-0.034294378063684,-1.112,107.3883,2018-02-16,109.1553,"Feb 16, 18",105.5974,108.5364,946725,946725,107.4301
29,-2.2162,-0.054223893656493,-2.064,105.1721,2018-02-20,108.197,"Feb 20, 18",103.5448,107.2186,2369221,2369221,105.632
