,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,1.2377,0.0,0.799,156.113,2018-01-08,156.1916,"Jan 8, 18",154.06,154.5807,2616907,2616907,155.6622
1,0.520605,0.0033347639210050003,0.333,156.6336,2018-01-09,156.6631,"Jan 9, 18",154.6627,155.6906,3204962,3204962,156.0852
2,-0.5500729999999999,-0.00018896568511200001,-0.35100000000000003,156.0835,2018-01-10,156.3291,"Jan 10, 18",154.9351,156.1326,1624075,1624075,155.7575
3,0.206278,0.001132512987387,0.132,156.2898,2018-01-11,156.5747,"Jan 11, 18",155.2496,156.0835,1809390,1809390,156.1051
4,0.982275,0.007424750020818001,0.628,157.2721,2018-01-12,157.7878,"Jan 12, 18",155.7594,156.6729,2048945,2048945,157.1866
5,-2.1119,-0.006103271348318001,-1.343,155.1602,2018-01-16,157.5275,"Jan 16, 18",155.1111,157.4096,2858729,2858729,155.9472
6,2.2101,0.008053781555667001,1.424,157.3703,2018-01-17,157.6257,"Jan 17, 18",155.9951,156.28,2143095,2143095,157.223
7,0.717061,0.012647249108017001,0.456,158.0874,2018-01-18,158.2272,"Jan 18, 18",156.9872,157.2917,1715458,1715458,157.8116
8,0.795643,0.017743557551261002,0.503,158.883,2018-01-19,159.6178,"Jan 19, 18",157.3605,158.7357,2246733,2246733,158.5211
9,-0.314328,0.015730272302755,-0.198,158.5687,2018-01-22,159.0107,"Jan 22, 18",157.9695,158.3526,1719976,1719976,158.4765
10,-0.5402509999999999,0.012269317737792001,-0.341,158.0284,2018-01-23,159.1777,"Jan 23, 18",157.7927,158.4312,1635846,1635846,158.2678
11,-0.275037,0.010507773215555,-0.17400000000000002,157.7534,2018-01-24,159.1188,"Jan 24, 18",157.6945,158.3428,1951898,1951898,158.2645
12,0.186632,0.011703061244098001,0.11800000000000001,157.94,2018-01-25,158.883,"Jan 25, 18",157.7681,158.2642,1327113,1327113,158.1995
13,1.7288000000000001,0.022777090953347002,1.095,159.6688,2018-01-26,159.6983,"Jan 26, 18",157.4882,158.3919,1950655,1950655,159.0956
14,-1.3359,0.014219827945142,-0.837,158.3329,2018-01-29,159.718,"Jan 29, 18",158.1168,159.4527,1314847,1314847,158.7084
15,-1.4636,0.004845208278618,-0.924,156.8694,2018-01-30,158.3035,"Jan 30, 18",156.2898,158.107,1699965,1699965,157.2737
16,0.982275,0.011136804750405,0.626,157.8516,2018-01-31,158.0923,"Jan 31, 18",156.8988,157.2524,1878301,1878301,157.623
17,-0.23574599999999998,0.009627000954436,-0.149,157.6159,2018-02-01,158.274,"Feb 1, 18",156.7122,157.3163,1692576,1692576,157.5248
18,-3.4969,-0.012772799190330001,-2.219,154.119,2018-02-02,157.4292,"Feb 2, 18",153.8538,157.1444,2183611,2183611,155.228
19,-4.9801,-0.044674050207221004,-3.231,149.1388,2018-02-05,156.447,"Feb 5, 18",148.0583,153.3528,3733711,3733711,152.7565
20,2.8093,-0.026678111368047003,1.884,151.9482,2018-02-06,152.4295,"Feb 6, 18",146.7814,147.6261,4259634,4259634,149.684
21,0.451847,-0.023784053858423002,0.297,152.4,2018-02-07,156.113,"Feb 7, 18",150.3569,151.4865,2918659,2918659,153.5481
22,-4.5578,-0.052979572489158,-2.991,147.8422,2018-02-08,152.7143,"Feb 8, 18",147.7047,152.5572,2900917,2900917,150.5384
23,3.271,-0.032026801099203,2.212,151.1132,2018-02-09,152.2428,"Feb 9, 18",146.1527,149.0013,3656802,3656802,148.8524
24,1.0903,-0.025042757489767004,0.722,152.2035,2018-02-12,153.6966,"Feb 12, 18",151.1722,151.9285,2273661,2273661,152.5282
25,1.8565,-0.013150730560555001,1.22,154.06,2018-02-13,154.2074,"Feb 13, 18",151.2606,151.4668,2059482,2059482,153.1455
26,2.8977,0.005411464772312,1.881,156.9578,2018-02-14,157.2819,"Feb 14, 18",152.4,153.2448,2583153,2583153,155.9957
27,1.2475,0.013401830725179,0.795,158.2052,2018-02-15,158.2544,"Feb 15, 18",155.3075,157.5471,1854915,1854915,157.148
28,1.5716,0.023469538090998002,0.993,159.7769,2018-02-16,160.7002,"Feb 16, 18",157.9941,158.107,1998555,1998555,159.6537
29,-1.1984,0.015793047343911,-0.75,158.5785,2018-02-20,159.8358,"Feb 20, 18",158.2151,159.5018,1425743,1425743,158.9569
30,-0.962629,0.009627000954436,-0.607,157.6159,2018-02-21,160.8574,"Feb 21, 18",157.5766,158.7259,1628586,1628586,159.251
31,-0.137518,0.008746228693318,-0.08700000000000001,157.4784,2018-02-22,159.1237,"Feb 22, 18",157.0707,158.2249,1511705,1511705,158.0
32,2.5834,0.025293857654391003,1.6400000000000001,160.0617,2018-02-23,160.16,"Feb 23, 18",157.4784,158.2445,1577234,1577234,159.1746
33,1.7583000000000002,0.036556853048753,1.098,161.82,2018-02-26,161.9084,"Feb 26, 18",160.0274,160.9163,1782844,1782844,161.2643
34,-2.1512000000000002,0.022777090953347002,-1.329,159.6688,2018-02-27,162.6451,"Feb 27, 18",159.6688,161.879,1820815,1820815,160.9331
35,-1.5127000000000002,0.013087314957755001,-0.9470000000000001,158.1561,2018-02-28,161.4762,"Feb 28, 18",158.0972,160.0126,2002240,2002240,159.3559
36,-4.7739,-0.017491816824992002,-3.018,153.3823,2018-03-01,158.7243,"Mar 1, 18",153.1171,158.4213,3005395,3005395,154.9979
37,1.3261,-0.008997969419587,0.865,154.7083,2018-03-02,154.836,"Mar 2, 18",151.9482,152.4589,2960136,2960136,153.5481
38,1.3261,-0.000503481452537,0.857,156.0344,2018-03-05,156.8301,"Mar 5, 18",154.2074,154.3842,1936791,1936791,155.902
39,-0.805465,-0.005662564936936,-0.516,155.229,2018-03-06,157.3114,"Mar 6, 18",154.1976,156.3487,2352499,2352499,155.2118
40,0.510782,-0.0023912166187310003,0.329,155.7397,2018-03-07,156.1425,"Mar 7, 18",153.7458,154.1976,3176151,3176151,155.2625
41,-0.049113,-0.002705732386156,-0.032,155.6906,2018-03-08,156.5943,"Mar 8, 18",155.2388,156.1916,3093240,3093240,155.8796
42,2.9566,0.016233753755292003,1.899,158.6473,2018-03-09,158.9643,"Mar 9, 18",156.388,156.8202,2988026,2988026,157.8806
43,0.17681000000000002,0.017366266742679,0.111,158.8241,2018-03-12,159.8849,"Mar 12, 18",158.166,159.1286,2105433,2105433,158.9267
44,0.7858200000000001,0.022399800144767,0.495,159.6099,2018-03-13,161.3878,"Mar 13, 18",159.1875,159.2465,2742227,2742227,160.0478
45,-1.4636,0.013024539916598,-0.917,158.1463,2018-03-14,160.3073,"Mar 14, 18",157.5766,159.8751,2214813,2214813,158.3673
46,1.827,0.024727601160697003,1.155,159.9733,2018-03-15,160.5873,"Mar 15, 18",158.0383,158.4312,1840336,1840336,159.8312
47,-1.9351,0.012332733340592001,-1.21,158.0383,2018-03-16,160.3957,"Mar 16, 18",158.0284,159.7278,4018631,4018631,158.6678
48,-0.265214,0.010633323297867,-0.168,157.773,2018-03-19,158.6374,"Mar 19, 18",156.5452,157.7141,1890033,1890033,157.6205
49,2.2199,0.024853791804654003,1.407,159.993,2018-03-20,160.2582,"Mar 20, 18",158.0972,158.0972,2249443,2249443,159.3526
50,-0.8349329999999999,0.019505742635142,-0.522,159.1581,2018-03-21,160.8181,"Mar 21, 18",159.0598,160.3073,3452550,3452550,159.8752
51,-11.5908,-0.054741117011395,-7.283,147.5672,2018-03-22,155.1405,"Mar 22, 18",147.0761,153.9716,8203577,8203577,149.3115
52,-2.829,-0.072861965371237,-1.917,144.7383,2018-03-23,149.7675,"Mar 23, 18",144.5516,148.6477,4039806,4039806,147.2159
53,5.4025,-0.038255622529834006,3.733,150.1408,2018-03-26,150.4551,"Mar 26, 18",146.359,146.359,4231021,4231021,148.6915
54,-3.9193,-0.063361155060757,-2.61,146.2215,2018-03-27,150.9364,"Mar 27, 18",145.1803,150.514,3212019,3212019,148.128
55,-1.4243000000000001,-0.072484674562656,-0.974,144.7972,2018-03-28,147.681,"Mar 28, 18",144.7235,147.027,2965696,2965696,145.7549
56,5.9821,-0.034166276991666,4.131,150.7792,2018-03-29,150.7792,"Mar 29, 18",145.2048,145.6616,3595891,3595891,148.9543
57,-5.4222,-0.068898169915381,-3.596,145.3571,2018-04-02,149.129,"Apr 2, 18",143.9033,149.129,2845793,2845793,145.4211
58,0.795643,-0.06380186147213801,0.547,146.1527,2018-04-03,146.3295,"Apr 3, 18",143.4613,145.858,2363306,2363306,145.4042
59,1.1591,-0.05637711145132,0.793,147.3118,2018-04-04,147.8128,"Apr 4, 18",143.4752,144.09,2161074,2161074,145.9478
60,1.5716,-0.04630940408550201,1.067,148.8835,2018-04-05,149.3746,"Apr 5, 18",147.3511,148.4218,3336328,3336328,148.4214
61,-4.1157,-0.07267364024776901,-2.7640000000000002,144.7677,2018-04-06,148.1173,"Apr 6, 18",143.5988,147.2431,1927191,1927191,145.4637
62,0.854579,-0.0671994004343,0.59,145.6223,2018-04-09,147.7637,"Apr 9, 18",145.3866,145.6321,1465760,1465760,146.5222
63,3.7326,-0.04328979649356501,2.563,149.3549,2018-04-10,150.0327,"Apr 10, 18",147.1841,147.3315,2268187,2268187,149.0895
64,-2.299,-0.05801630869946701,-1.5390000000000001,147.0559,2018-04-11,148.5126,"Apr 11, 18",146.8181,148.0469,1734854,1734854,147.5099
65,1.6747,-0.047288822839865005,1.139,148.7306,2018-04-12,149.7612,"Apr 12, 18",147.5811,147.8289,2005562,2005562,149.0252
66,0.039638,-0.047034519867019,0.027,148.7703,2018-04-13,150.0387,"Apr 13, 18",148.1063,149.6324,1607799,1607799,149.0347
67,1.2783,-0.038846220366016,0.859,150.0486,2018-04-16,150.6729,"Apr 16, 18",149.1171,150.0783,2151649,2151649,150.0388
68,2.7945,-0.02094636577351,1.862,152.843,2018-04-17,153.1899,"Apr 17, 18",150.7026,151.2674,2702290,2702290,152.4179
69,1.2684,-0.012820841313663001,0.8300000000000001,154.1115,2018-04-18,154.2898,"Apr 18, 18",151.9512,152.9521,1975665,1975665,153.6402
70,-0.921577,-0.018724257428913,-0.598,153.1899,2018-04-19,153.8043,"Apr 19, 18",152.2287,153.5962,1512894,1512894,153.0516
71,-2.1603,-0.032562310633963004,-1.4100000000000001,151.0296,2018-04-20,153.3484,"Apr 20, 18",150.5292,152.625,2301966,2301966,151.3745
72,0.624294,-0.028563284287663002,0.41300000000000003,151.6539,2018-04-23,152.0701,"Apr 23, 18",150.7323,151.8422,1533001,1533001,151.3678
73,-1.9522,-0.041067688148969,-1.287,149.7018,2018-04-24,152.9421,"Apr 24, 18",148.4928,152.1791,1922646,1922646,150.3768
74,-0.971124,-0.047288822839865005,-0.649,148.7306,2018-04-25,150.1279,"Apr 25, 18",147.0857,150.1279,2039666,2039666,148.3464
75,2.1801,-0.033323938429214,1.466,150.9107,2018-04-26,151.7431,"Apr 26, 18",149.236,149.563,1634609,1634609,150.7693
76,0.09909499999999999,-0.032689141839564,0.066,151.0098,2018-04-27,151.5846,"Apr 27, 18",149.8207,150.9107,1179514,1179514,150.8894
77,-1.1792,-0.040242644750917,-0.781,149.8306,2018-04-30,151.8719,"Apr 30, 18",149.8108,151.7827,1504694,1504694,150.5214
78,0.713479,-0.035672237417767004,0.47600000000000003,150.5441,2018-05-01,150.5738,"May 1, 18",148.7604,149.7216,1204794,1204794,149.8144
79,-1.199,-0.043353212096366,-0.796,149.345,2018-05-02,150.7125,"May 2, 18",149.0477,150.3459,1642051,1642051,149.8209
80,1.0108,-0.036878414994267,0.677,150.3558,2018-05-03,150.663,"May 3, 18",147.7892,148.9387,1725045,1725045,149.6213
81,1.6945000000000001,-0.026024097929064002,1.127,152.0503,2018-05-04,152.5606,"May 4, 18",148.9883,149.345,1504132,1504132,151.4312
82,-1.1297,-0.033260522826414,-0.743,150.9206,2018-05-07,151.6936,"May 7, 18",150.4656,151.5647,2056987,2056987,151.131
83,-0.35674,-0.035545406212166,-0.23600000000000002,150.5639,2018-05-08,151.1188,"May 8, 18",149.6621,149.9792,1770139,1770139,150.4435
84,2.6557,-0.018534010620511,1.764,153.2196,2018-05-09,153.5763,"May 9, 18",150.8215,151.5152,1515270,1515270,152.4739
85,1.9026,-0.006346684773209,1.242,155.1222,2018-05-10,155.5794,"May 10, 18",153.0313,153.5863,1299405,1299405,154.7178
86,0.535109,-0.002919039413758,0.34500000000000003,155.6573,2018-05-11,156.1924,"May 11, 18",154.4087,155.1222,1211574,1211574,155.426
87,-1.4963,-0.012503763299661,-0.961,154.161,2018-05-14,156.2222,"May 14, 18",153.9034,155.8952,1636653,1636653,154.7184
88,-1.4864,-0.022025071582763,-0.964,152.6746,2018-05-15,153.398,"May 15, 18",151.9908,153.3286,1774497,1774497,152.5582
89,0.009909,-0.021961655979963003,0.006,152.6845,2018-05-16,153.6457,"May 16, 18",152.2683,153.1007,1946923,1946923,152.8068
90,0.842302,-0.016566205248762,0.552,153.5268,2018-05-17,154.3075,"May 17, 18",152.4269,153.0115,1615325,1615325,153.503
91,0.376558,-0.014153850095763,0.245,153.9034,2018-05-18,154.5177,"May 18, 18",153.2196,153.5962,1517375,1517375,153.8599
92,1.6152000000000002,-0.003807498414609,1.05,155.5186,2018-05-21,155.9942,"May 21, 18",154.6069,154.6069,1652990,1652990,155.4343
93,-1.5954000000000002,-0.014027018890162002,-1.026,153.9232,2018-05-22,156.0042,"May 22, 18",153.7448,155.5483,1757072,1757072,154.4531
94,-0.019819,-0.014153850095763,-0.013000000000000001,153.9034,2018-05-23,154.6466,"May 23, 18",152.6944,153.8835,1737982,1737982,153.4694
