,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.30000000000000004,0.0,-0.162,185.04,2018-01-08,185.599,"Jan 8, 18",183.83,184.95,2087952,2087952,184.9802
1,1.6600000000000001,0.008971033290099,0.897,186.7,2018-01-09,186.97,"Jan 9, 18",183.9314,185.57,1804423,1804423,185.9491
2,0.41000000000000003,0.011186770428015,0.22,187.11,2018-01-10,187.27,"Jan 10, 18",185.073,185.21,1664485,1664485,186.5304
3,1.81,0.020968439256376002,0.967,188.92,2018-01-11,188.94,"Jan 11, 18",186.185,187.29,1600065,1600065,188.061
4,6.13,0.054096411586684004,3.245,195.05,2018-01-12,195.5,"Jan 12, 18",188.99,189.09,4246044,4246044,193.4105
5,-2.59,0.04009943795936,-1.328,192.46,2018-01-16,198.21,"Jan 16, 18",191.71,195.92,4595560,4595560,194.2137
6,4.03,0.061878512753999006,2.094,196.49,2018-01-17,197.12,"Jan 17, 18",192.77,194.015,2969469,2969469,195.6865
7,-0.29,0.060311284046692004,-0.148,196.2,2018-01-18,196.586,"Jan 18, 18",194.06,196.21,2539356,2539356,195.5565
8,-0.47000000000000003,0.057771292693471005,-0.24,195.73,2018-01-19,196.63,"Jan 19, 18",194.65,196.24,2342979,2342979,195.5981
9,2.11,0.069174232598357,1.078,197.84,2018-01-22,198.0,"Jan 22, 18",194.424,195.7,1701342,1701342,197.0366
10,2.25,0.081333765672287,1.137,200.09,2018-01-23,204.45,"Jan 23, 18",199.44,202.29,3980994,3980994,200.7655
11,-2.31,0.068849978383052,-1.154,197.78,2018-01-24,202.3,"Jan 24, 18",196.52,201.82,3250450,3250450,198.7805
12,-0.27,0.06739083441418,-0.137,197.51,2018-01-25,199.244,"Jan 25, 18",196.07,198.08,2574213,2574213,197.8404
13,3.79,0.08787289234760001,1.919,201.3,2018-01-26,201.55,"Jan 26, 18",198.25,198.5,2338080,2338080,200.3072
14,-3.07,0.07128188499783801,-1.525,198.23,2018-01-29,200.86,"Jan 29, 18",197.87,200.11,1938978,1938978,198.9755
15,-1.33,0.064094249891915,-0.671,196.9,2018-01-30,197.73,"Jan 30, 18",194.89,197.25,3343348,3343348,196.6773
16,2.86,0.07955036748811001,1.453,199.76,2018-01-31,200.96,"Jan 31, 18",196.75,197.13,2747576,2747576,199.5642
17,-0.38,0.07749675745784601,-0.19,199.38,2018-02-01,201.75,"Feb 1, 18",198.0845,199.12,2366120,2366120,199.9457
18,-3.74,0.057284911370514,-1.876,195.64,2018-02-02,199.4,"Feb 2, 18",195.44,197.33,2813785,2813785,196.8781
19,-5.37,0.028264159100735,-2.745,190.27,2018-02-05,198.46,"Feb 5, 18",188.0,194.06,3801346,3801346,193.872
20,4.2,0.05096195417207,2.207,194.47,2018-02-06,194.82,"Feb 6, 18",182.1,186.59,4479960,4479960,190.6921
21,-2.13,0.039450929528750005,-1.095,192.34,2018-02-07,196.24,"Feb 7, 18",192.02,193.87,2988024,2988024,193.8387
22,-7.18,0.0006485084306090001,-3.733,185.16,2018-02-08,192.97,"Feb 8, 18",185.02,192.84,3978688,3978688,188.1918
23,2.83,0.015942498919152,1.528,187.99,2018-02-09,189.71,"Feb 9, 18",179.34,187.33,3818835,3818835,185.2822
24,4.16,0.038424124513618006,2.213,192.15,2018-02-12,192.99,"Feb 12, 18",188.56,189.0,2824726,2824726,191.1737
25,1.33,0.045611759619541004,0.6920000000000001,193.48,2018-02-13,194.31,"Feb 13, 18",190.39,190.85,1961306,1961306,192.6473
26,3.65,0.06533722438391701,1.8860000000000001,197.13,2018-02-14,197.5,"Feb 14, 18",191.95,192.48,2542392,2542392,195.4433
27,5.84,0.09689796800691701,2.963,202.97,2018-02-15,203.28,"Feb 15, 18",197.13,198.97,2233313,2233313,201.0387
28,-1.4100000000000001,0.08927799394725401,-0.6950000000000001,201.56,2018-02-16,203.9,"Feb 16, 18",200.74,202.52,2172590,2172590,202.1798
29,1.42,0.096952010376134,0.705,202.98,2018-02-20,205.115,"Feb 20, 18",199.18,200.46,2722668,2722668,202.7176
30,-0.89,0.09214223951578,-0.438,202.09,2018-02-21,206.83,"Feb 21, 18",202.02,204.45,2043494,2043494,204.555
31,0.52,0.094952442715088,0.257,202.61,2018-02-22,204.22,"Feb 22, 18",201.68,203.07,1541519,1541519,203.055
32,7.13,0.13348465196714202,3.519,209.74,2018-02-23,209.78,"Feb 23, 18",203.31,204.22,2349265,2349265,207.5277
33,2.41,0.146508862948551,1.149,212.15,2018-02-26,212.35,"Feb 26, 18",209.261,211.29,2418674,2418674,211.177
34,-3.33,0.128512753999135,-1.57,208.82,2018-02-27,212.76,"Feb 27, 18",208.25,211.99,2330752,2330752,210.2414
35,0.31,0.13018806744487602,0.148,209.13,2018-02-28,213.44,"Feb 28, 18",209.1,210.69,2356944,2356944,210.6315
36,-3.1,0.113434932987462,-1.482,206.03,2018-03-01,210.6834,"Mar 1, 18",204.45,210.32,2632234,2632234,206.9348
37,3.76,0.133754863813229,1.8250000000000002,209.79,2018-03-02,210.21,"Mar 2, 18",201.76,203.96,2624675,2624675,207.0903
38,1.37,0.141158668396022,0.653,211.16,2018-03-05,212.0,"Mar 5, 18",206.92,208.75,2111808,2111808,210.1462
39,0.85,0.145752269779507,0.403,212.01,2018-03-06,212.74,"Mar 6, 18",209.88,212.44,2169010,2169010,211.475
40,4.85,0.17196281884997802,2.2880000000000003,216.86,2018-03-07,217.44,"Mar 7, 18",211.0033,211.33,2795072,2795072,215.2392
41,-0.46,0.16947686986597502,-0.212,216.4,2018-03-08,219.71,"Mar 8, 18",214.86,218.03,2284446,2284446,216.7614
42,4.71,0.194930825767401,2.177,221.11,2018-03-09,221.27,"Mar 9, 18",217.19,218.0,2642259,2642259,219.7993
43,-0.17,0.19401210549070402,-0.077,220.94,2018-03-12,223.11,"Mar 12, 18",220.34,222.97,3216924,3216924,221.4639
44,-1.18,0.18763510592304303,-0.534,219.76,2018-03-13,224.9,"Mar 13, 18",218.43,223.0,4731961,4731961,220.786
45,-1.32,0.180501513186338,-0.601,218.44,2018-03-14,221.46,"Mar 14, 18",217.6,220.75,3357597,3357597,218.771
46,0.43,0.18282533506268903,0.197,218.87,2018-03-15,221.47,"Mar 15, 18",218.061,220.0,4457006,4457006,219.3596
47,6.68,0.21892563769995602,3.052,225.55,2018-03-16,228.88,"Mar 16, 18",224.0,227.18,8783042,8783042,226.1358
48,-3.37,0.20071335927367,-1.494,222.18,2018-03-19,226.59,"Mar 19, 18",218.68,224.48,4029302,4029302,222.3618
49,7.57,0.24162343277129203,3.407,229.75,2018-03-20,231.34,"Mar 20, 18",223.0,223.19,5019294,5019294,229.2032
50,-2.9,0.22595114569822702,-1.262,226.85,2018-03-21,229.25,"Mar 21, 18",225.61,228.76,3971832,3971832,227.4683
51,-6.33,0.19174232598357102,-2.79,220.52,2018-03-22,225.87,"Mar 22, 18",220.255,223.86,3008694,3008694,222.5019
52,-5.5,0.162019022913964,-2.4939999999999998,215.02,2018-03-23,222.455,"Mar 23, 18",214.78,219.52,4297236,4297236,218.485
53,13.89,0.23708387375702503,6.46,228.91,2018-03-26,229.15,"Mar 26, 18",218.5,218.83,4485445,4485445,224.4303
54,-15.11,0.155425853869433,-6.601,213.8,2018-03-27,230.98,"Mar 27, 18",212.25,229.9,5468070,5468070,219.9846
55,-1.26,0.14861651534803202,-0.589,212.54,2018-03-28,217.15,"Mar 28, 18",209.04,213.72,4503154,4503154,213.0881
56,3.54,0.167747514051016,1.666,216.08,2018-03-29,219.59,"Mar 29, 18",210.2737,213.35,3757447,3757447,215.5824
57,-3.8,0.147211413748378,-1.759,212.28,2018-04-02,216.5,"Apr 2, 18",207.22,214.81,3494946,3494946,211.5296
58,3.65,0.16693687851275402,1.7189999999999999,215.93,2018-04-03,217.8549,"Apr 3, 18",212.28,214.78,3017824,3017824,215.2056
59,9.12,0.216223519239083,4.224,225.05,2018-04-04,226.28,"Apr 4, 18",210.5,210.71,4474394,4474394,219.9417
60,-1.51,0.208063121487246,-0.671,223.54,2018-04-05,228.8,"Apr 5, 18",221.605,227.94,4084913,4084913,224.4722
61,-4.93,0.181420233463035,-2.205,218.61,2018-04-06,224.46,"Apr 6, 18",216.7471,221.89,2964487,2964487,220.2215
62,0.56,0.18444660613921302,0.256,219.17,2018-04-09,224.437,"Apr 9, 18",218.82,220.08,2536139,2536139,221.3875
63,5.36,0.213413316039775,2.446,224.53,2018-04-10,225.16,"Apr 10, 18",221.181,222.61,2845870,2845870,223.6827
64,-0.9,0.208549502810203,-0.401,223.63,2018-04-11,226.62,"Apr 11, 18",222.54,222.93,1851054,1851054,224.4071
65,3.33,0.22654561175961901,1.4889999999999999,226.96,2018-04-12,228.39,"Apr 12, 18",225.115,225.72,2084110,2084110,226.9918
66,-2.9,0.210873324686554,-1.278,224.06,2018-04-13,228.95,"Apr 13, 18",222.55,228.85,2029265,2029265,224.765
67,2.46,0.22416774751405102,1.098,226.52,2018-04-16,227.23,"Apr 16, 18",222.9535,226.08,2130698,2130698,226.0648
68,4.64,0.24924340683095503,2.048,231.16,2018-04-17,232.21,"Apr 17, 18",228.07,228.56,3404449,3404449,230.3446
69,-0.06,0.24891915261565,-0.026000000000000002,231.1,2018-04-18,233.1713,"Apr 18, 18",228.62,231.7,2261576,2261576,231.5963
70,-3.48,0.230112408127972,-1.506,227.62,2018-04-19,230.43,"Apr 19, 18",226.28,230.11,2620107,2620107,227.6234
71,-2.38,0.217250324254215,-1.046,225.24,2018-04-20,227.6,"Apr 20, 18",223.05,227.0,2403683,2403683,225.1161
72,0.06,0.21757457846952002,0.027,225.3,2018-04-23,229.15,"Apr 23, 18",224.75,226.39,2137988,2137988,226.4473
73,-7.41,0.17752918287937702,-3.289,217.89,2018-04-24,228.3,"Apr 24, 18",215.778,227.0,3450849,3450849,219.691
74,-0.5700000000000001,0.174448767833981,-0.262,217.32,2018-04-25,219.4,"Apr 25, 18",213.25,218.16,2946092,2946092,216.7174
75,4.59,0.199254215304799,2.112,221.91,2018-04-26,223.19,"Apr 26, 18",218.851,219.77,2235942,2235942,221.5569
76,-0.01,0.199200172935581,-0.005,221.9,2018-04-27,224.18,"Apr 27, 18",219.68,223.08,1503148,1503148,221.4931
77,-0.30000000000000004,0.19757890185905702,-0.135,221.6,2018-04-30,224.14,"Apr 30, 18",219.538,223.27,1766330,1766330,222.1311
78,2.48,0.21098140942498902,1.119,224.08,2018-05-01,224.49,"May 1, 18",219.38,220.77,1792948,1792948,222.1945
79,-2.98,0.194876783398184,-1.33,221.1,2018-05-02,224.5,"May 2, 18",220.55,224.3,2202895,2202895,222.1318
80,4.95,0.22162775616083003,2.239,226.05,2018-05-03,227.37,"May 3, 18",218.7396,220.01,2507925,2507925,223.7628
81,2.46,0.234922178988326,1.088,228.51,2018-05-04,229.39,"May 4, 18",223.39,223.89,1663737,1663737,227.3564
82,2.48,0.24832468655425802,1.085,230.99,2018-05-07,232.36,"May 7, 18",229.02,229.54,1808338,1808338,230.8695
83,3.5700000000000003,0.267617812364894,1.546,234.56,2018-05-08,234.9971,"May 8, 18",228.75,229.74,2244572,2244572,232.9036
84,5.18,0.295611759619541,2.208,239.74,2018-05-09,240.15,"May 9, 18",233.525,235.0,3091588,3091588,238.118
85,1.4100000000000001,0.30323173367920403,0.588,241.15,2018-05-10,241.76,"May 10, 18",238.24,240.46,1941395,1941395,240.5617
86,0.73,0.307176826632079,0.303,241.88,2018-05-11,241.93,"May 11, 18",238.7901,241.03,2261704,2261704,240.941
87,-3.51,0.288207955036748,-1.451,238.37,2018-05-14,243.34,"May 14, 18",237.24,242.0,2670821,2670821,239.6711
88,-1.77,0.27864245568525703,-0.743,236.6,2018-05-15,237.345,"May 15, 18",233.0,235.64,2130349,2130349,235.5703
89,0.79,0.28291180285343703,0.334,237.39,2018-05-16,238.12,"May 16, 18",235.8396,236.59,1843652,1843652,236.9834
90,-0.54,0.279993514915693,-0.227,236.85,2018-05-17,239.665,"May 17, 18",234.8288,237.32,1690642,1690642,237.3065
91,1.24,0.286694768698659,0.524,238.09,2018-05-18,239.28,"May 18, 18",235.2581,236.24,1888196,1888196,237.6972
