,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.58,0.0,0.523,111.42,2018-01-08,111.74,"Jan 8, 18",109.04,110.42,1782074,1782074,111.0238
1,0.6900000000000001,0.006192784060312001,0.619,112.11,2018-01-09,112.31,"Jan 9, 18",110.65,111.57,1848859,1848859,111.7084
2,-0.64,0.00044875246813800006,-0.5710000000000001,111.47,2018-01-10,112.61,"Jan 10, 18",110.55,111.71,1645019,1645019,111.3058
3,1.79,0.016514090827499002,1.6059999999999999,113.26,2018-01-11,113.96,"Jan 11, 18",111.47,111.67,2715967,2715967,113.096
4,2.65,0.040297971638843,2.34,115.91,2018-01-12,116.09,"Jan 12, 18",113.07,113.57,2553043,2553043,115.08
5,-3.93,0.005026027643152,-3.391,111.98,2018-01-16,117.08,"Jan 16, 18",111.72,116.24,2698986,2698986,113.8389
6,1.02,0.014180577993178001,0.911,113.0,2018-01-17,113.1,"Jan 17, 18",111.06,112.88,2932163,2932163,112.2203
7,-0.45,0.010141805779931,-0.398,112.55,2018-01-18,114.15,"Jan 18, 18",112.05,112.28,1625153,1625153,112.9816
8,2.74,0.034733441033925005,2.434,115.29,2018-01-19,115.91,"Jan 19, 18",112.37,112.96,2804201,2804201,114.7864
9,2.14,0.053940046670256,1.8559999999999999,117.43,2018-01-22,118.45,"Jan 22, 18",114.025,115.25,2905877,2905877,116.872
10,1.3,0.06560761084185901,1.107,118.73,2018-01-23,119.07,"Jan 23, 18",116.501,117.14,1985443,1985443,118.273
11,-1.83,0.049183270507987,-1.541,116.9,2018-01-24,119.24,"Jan 24, 18",116.64,118.91,2221706,2221706,117.7011
12,-0.03,0.048914019027104,-0.026000000000000002,116.87,2018-01-25,118.42,"Jan 25, 18",116.57,117.95,1690379,1690379,117.6443
13,0.91,0.05708131394722601,0.779,117.78,2018-01-26,118.85,"Jan 26, 18",117.12,117.55,1836290,1836290,117.9451
14,-1.4,0.044516244839346006,-1.189,116.38,2018-01-29,118.47,"Jan 29, 18",116.19,117.7,1058818,1058818,117.0018
15,-1.3599999999999999,0.032310177705977,-1.169,115.02,2018-01-30,116.35,"Jan 30, 18",113.77,115.46,1556378,1556378,115.087
16,0.6000000000000001,0.037695207323640005,0.522,115.62,2018-01-31,116.64,"Jan 31, 18",114.9,115.65,1119824,1119824,115.6715
17,-0.05,0.037246454855501,-0.043000000000000003,115.57,2018-02-01,117.7,"Feb 1, 18",114.08,114.72,1596444,1596444,116.2429
18,-3.93,0.001974510859809,-3.401,111.64,2018-02-02,115.14,"Feb 2, 18",111.6,114.12,1808333,1808333,113.1311
