,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.597679,0.0,0.876,68.8488,2018-01-08,68.9548,"Jan 8, 18",68.2511,68.28,5715506,5715506,68.6178
1,-0.80976,-0.011762006018986,-1.176,68.039,2018-01-09,68.8295,"Jan 9, 18",67.733,68.7331,4323683,4323683,68.099
2,-1.0411,-0.026883547716154,-1.53,66.9979,2018-01-10,67.8269,"Jan 10, 18",66.9015,67.7787,3978401,3978401,67.199
3,-0.742278,-0.037665144490535006,-1.108,66.2556,2018-01-11,67.3064,"Jan 11, 18",65.9182,67.0846,2794211,2794211,66.48
4,-1.2243,-0.055447589500470004,-1.8479999999999999,65.0313,2018-01-12,66.0339,"Jan 12, 18",64.8096,66.005,6646960,6646960,65.4005
5,0.038560000000000004,-0.054886940658370006,0.059000000000000004,65.0699,2018-01-16,65.4877,"Jan 16, 18",64.695,65.3109,3999858,3999858,65.0529
6,0.7229979999999999,-0.044385668305039004,1.111,65.7929,2018-01-17,66.0821,"Jan 17, 18",65.3012,65.7254,2934657,2934657,65.7616
7,-0.433799,-0.050686431717037,-0.659,65.3591,2018-01-18,66.1206,"Jan 18, 18",65.1277,66.111,2704764,2704764,65.483
8,-0.038560000000000004,-0.05124708055913801,-0.059000000000000004,65.3205,2018-01-19,65.764,"Jan 19, 18",65.1277,65.6386,3221568,3221568,65.3974
9,0.35667899999999997,-0.046066162373200006,0.546,65.6772,2018-01-22,66.3038,"Jan 22, 18",65.5904,65.9086,4622542,4622542,65.8718
10,0.6169600000000001,-0.037104495648435,0.9390000000000001,66.2942,2018-01-23,66.9593,"Jan 23, 18",65.6772,65.8893,3888455,3888455,66.498
11,-0.279561,-0.041165568608312005,-0.422,66.0146,2018-01-24,66.4002,"Jan 24, 18",65.9278,66.2845,3519613,3519613,66.1311
12,1.1761,-0.024083208421933,1.782,67.1907,2018-01-25,67.2871,"Jan 25, 18",65.87,66.005,3721267,3721267,66.6876
13,-0.9157989999999999,-0.037384820069485,-1.363,66.2749,2018-01-26,67.2196,"Jan 26, 18",65.8604,67.075,4900587,4900587,66.3176
14,-0.819398,-0.049286262069927006,-1.236,65.4555,2018-01-29,66.1496,"Jan 29, 18",65.2338,66.0532,5796088,5796088,65.5375
15,0.433799,-0.042985498657928,0.663,65.8893,2018-01-30,66.246,"Jan 30, 18",65.523,65.523,4215980,4215980,66.0423
16,0.41451899999999997,-0.03696505966698,0.629,66.3038,2018-01-31,66.3713,"Jan 31, 18",65.3696,65.9953,3754399,3754399,65.9753
17,-0.9061579999999999,-0.050127235333077,-1.367,65.3976,2018-02-01,66.4966,"Feb 1, 18",65.2241,66.2652,2968573,2968573,65.631
18,-0.08676,-0.051386516540593,-0.133,65.3109,2018-02-02,65.7736,"Feb 2, 18",65.0892,65.3012,2800181,2800181,65.3716
19,-1.2243,-0.069168961550528,-1.875,64.0866,2018-02-05,65.9568,"Feb 5, 18",63.9131,65.3784,4146484,4146484,64.848
20,-1.5135,-0.09115191550179501,-2.362,62.5731,2018-02-06,63.4986,"Feb 6, 18",61.6381,63.0937,7872392,7872392,62.4661
21,-0.44343899999999997,-0.09759211489524801,-0.709,62.1297,2018-02-07,63.084,"Feb 7, 18",62.0429,62.5828,5927662,5927662,62.4524
22,-0.438004,-0.10395388154913301,-0.705,61.6917,2018-02-08,63.1031,"Feb 8, 18",61.6333,61.8961,4464720,4464720,62.2592
23,1.3043,-0.085009470027073,2.114,62.996,2018-02-09,63.4535,"Feb 9, 18",61.7014,61.8474,4761520,4761520,62.5254
24,0.077869,-0.08387800513589101,0.124,63.0739,2018-02-12,63.4243,"Feb 12, 18",62.4996,62.9571,3538230,3538230,62.9979
25,0.759222,-0.072850942935824,1.204,63.8331,2018-02-13,64.0667,"Feb 13, 18",62.4801,63.0836,3859241,3859241,63.2882
26,-0.272541,-0.07681034382589001,-0.427,63.5605,2018-02-14,64.0472,"Feb 14, 18",62.867,63.4243,5755964,5755964,63.668
27,1.3432,-0.057299473629169005,2.113,64.9038,2018-02-15,64.9038,"Feb 15, 18",63.5703,63.6871,3870378,3870378,64.2625
28,0.56455,-0.049100347427987,0.87,65.4683,2018-02-16,65.7214,"Feb 16, 18",64.7578,64.8454,3559549,3559549,65.3953
29,-0.866292,-0.061682992296161004,-1.323,64.602,2018-02-20,65.6143,"Feb 20, 18",64.203,65.225,2750056,2750056,64.6621
30,-0.768956,-0.072850942935824,-1.19,63.8331,2018-02-21,65.4197,"Feb 21, 18",63.8136,64.7286,3570420,3570420,64.7937
31,0.09733599999999999,-0.071437701165452,0.152,63.9304,2018-02-22,64.4463,"Feb 22, 18",63.6871,63.9888,2639102,2639102,64.0768
32,1.645,-0.047544764759879,2.573,65.5754,2018-02-23,65.7019,"Feb 23, 18",63.9012,63.9694,2401008,2401008,65.2459
33,-0.38934399999999997,-0.053199184299508005,-0.594,65.1861,2018-02-26,65.955,"Feb 26, 18",65.0303,65.8869,2088245,2088245,65.3372
34,-0.992829,-0.067620641173121,-1.5230000000000001,64.1932,2018-02-27,65.7019,"Feb 27, 18",64.1251,65.2542,3678000,3678000,64.5266
35,-0.360145,-0.072850942935824,-0.561,63.8331,2018-02-28,64.787,"Feb 28, 18",63.8136,64.4755,2935307,2935307,64.182
36,0.038933999999999996,-0.072285936719303,0.061,63.872,2018-03-01,64.9524,"Mar 1, 18",63.5013,63.9012,3568049,3568049,64.0072
37,-0.428278,-0.078506814933593,-0.671,63.4437,2018-03-02,64.5826,"Mar 2, 18",62.8792,63.9888,4418660,4418660,63.6266
38,1.2751000000000001,-0.059986521188459006,2.01,64.7188,2018-03-05,64.9427,"Mar 5, 18",63.104,63.3561,2720225,2720225,64.483
39,-0.9636279999999999,-0.073982407827006,-1.4889999999999999,63.7552,2018-03-06,64.6166,"Mar 6, 18",63.4437,64.5826,3507731,3507731,63.838
40,-0.56455,-0.08218153402818901,-0.885,63.1907,2018-03-07,63.7747,"Mar 7, 18",62.923,63.6092,3071030,3071030,63.262
41,0.36987699999999996,-0.07681034382589001,0.585,63.5605,2018-03-08,63.8331,"Mar 8, 18",63.2685,63.3075,2346306,2346306,63.5629
42,0.340677,-0.071861818942378,0.536,63.9012,2018-03-09,63.9304,"Mar 9, 18",63.3464,63.6092,3379796,3379796,63.6889
43,0.214138,-0.068750653606163,0.335,64.1154,2018-03-12,64.2322,"Mar 12, 18",63.8331,63.9888,3190442,3190442,64.0832
44,0.16547199999999998,-0.066348287842344,0.258,64.2808,2018-03-13,64.5826,"Mar 13, 18",63.8233,64.2516,3006372,3006372,64.1416
45,0.53535,-0.058571826959947004,0.833,64.8162,2018-03-14,65.1471,"Mar 14, 18",64.349,64.4658,3138936,3138936,64.7326
46,0.389345,-0.052917407420318,0.601,65.2055,2018-03-15,65.7798,"Mar 15, 18",64.7237,64.8162,4182488,4182488,65.2904
47,0.798157,-0.041323886545589,1.224,66.0037,2018-03-16,66.1107,"Mar 16, 18",65.2844,65.3029,6399405,6399405,65.8054
48,-0.350411,-0.046413299868697,-0.531,65.6533,2018-03-19,66.3444,"Mar 19, 18",65.3175,65.8869,2595556,2595556,65.786
49,0.0,-0.046413299868697,0.0,65.6533,2018-03-20,66.0523,"Mar 20, 18",65.3905,65.4197,2496436,2496436,65.6254
50,-0.5256149999999999,-0.054047419853359,-0.801,65.1277,2018-03-21,66.1205,"Mar 21, 18",64.9427,65.6533,2805259,2805259,65.3235
51,0.43801199999999996,-0.047685653199474,0.673,65.5657,2018-03-22,66.5196,"Mar 22, 18",65.079,65.2445,3137695,3137695,65.8331
52,-0.9441600000000001,-0.061399762958831004,-1.44,64.6215,2018-03-23,66.1594,"Mar 23, 18",64.4852,65.6338,3111803,3111803,65.2145
53,0.895492,-0.048393000313730006,1.3860000000000001,65.517,2018-03-26,65.7117,"Mar 26, 18",64.787,65.0401,2917849,2917849,65.41
54,1.0902,-0.032558301669745,1.6640000000000001,66.6072,2018-03-27,67.1425,"Mar 27, 18",65.2639,65.517,3484367,3484367,66.4543
