,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,5.6505,0.0,4.35,135.5431,2018-01-08,136.7462,"Jan 8, 18",131.7269,132.4368,1945185,1945185,134.8934
1,-1.9821,-0.014623392854376001,-1.462,133.561,2018-01-09,136.0658,"Jan 9, 18",133.137,135.6121,1198130,1198130,134.2164
2,-2.4455999999999998,-0.032666362212462004,-1.831,131.1154,2018-01-10,133.3736,"Jan 10, 18",130.4547,133.2356,884639,884639,131.8186
3,1.706,-0.020079959806142002,1.301,132.8214,2018-01-11,132.8894,"Jan 11, 18",130.7604,131.4507,838380,838380,132.0175
4,-1.1538,-0.028592381316348003,-0.869,131.6676,2018-01-12,133.9259,"Jan 12, 18",131.2436,133.4525,990097,990097,131.9868
5,-5.4434000000000005,-0.068752300928634,-4.134,126.2242,2018-01-16,132.9989,"Jan 16, 18",123.9561,132.2494,2879578,2879578,126.6028
6,-1.0354,-0.076391199552024,-0.8200000000000001,125.1888,2018-01-17,127.6541,"Jan 17, 18",124.2548,127.4076,2016991,2016991,125.5933
7,-8.9146,-0.142160685420357,-7.121,116.2742,2018-01-18,117.1025,"Jan 18, 18",110.9787,113.6018,8622302,8622302,114.9953
8,-1.8736000000000002,-0.155983594886054,-1.611,114.4006,2018-01-19,117.7435,"Jan 19, 18",113.8976,117.2505,4275098,4275098,115.0115
9,-2.4455999999999998,-0.17402656424414,-2.138,111.955,2018-01-22,114.3217,"Jan 22, 18",111.4915,114.1737,3648008,3648008,112.315
10,-0.522647,-0.17788290219125802,-0.467,111.4323,2018-01-23,113.4046,"Jan 23, 18",110.5646,112.7241,2972124,2972124,111.7218
11,-0.591676,-0.182248303307213,-0.531,110.8406,2018-01-24,112.5762,"Jan 24, 18",110.4856,112.4184,2727521,2727521,111.4133
12,4.4376,-0.149508901596613,4.004,115.2782,2018-01-25,115.3177,"Jan 25, 18",111.097,111.097,2499828,2499828,114.1061
13,-2.4555,-0.16762417268012902,-2.13,112.8228,2018-01-26,116.1805,"Jan 26, 18",112.4283,115.3768,1916729,1916729,113.8811
14,-2.6921,-0.187486489537276,-2.386,110.1306,2018-01-29,112.8721,"Jan 29, 18",109.7658,112.6453,2250814,2250814,110.6207
15,-0.30569799999999997,-0.18974186070703702,-0.278,109.8249,2018-01-30,112.162,"Jan 30, 18",109.5094,110.8209,2146009,2146009,110.4124
16,0.216949,-0.18814089392968,0.198,110.0419,2018-01-31,110.5251,"Jan 31, 18",108.7205,110.2983,2606203,2606203,109.7854
17,-2.3568,-0.205529458895362,-2.142,107.685,2018-02-01,110.0222,"Feb 1, 18",107.4484,109.3812,1962034,1962034,108.3286
18,-3.6388,-0.23237553221078702,-3.379,104.0462,2018-02-02,107.6061,"Feb 2, 18",103.4644,107.0145,2738581,2738581,105.6172
19,-0.355006,-0.23499462532581802,-0.341,103.6912,2018-02-05,108.3753,"Feb 5, 18",101.4231,102.8333,3837970,3837970,105.6607
20,2.3568,-0.21760606036013602,2.273,106.0481,2018-02-06,107.0144,"Feb 6, 18",101.8767,102.074,2903894,2903894,104.716
21,-0.8973749999999999,-0.22422683264585203,-0.846,105.1507,2018-02-07,107.9611,"Feb 7, 18",105.0817,105.9692,1668253,1668253,106.3773
22,-1.4299,-0.23477624460411403,-1.3599999999999999,103.7208,2018-02-08,107.192,"Feb 8, 18",103.6814,105.4564,2377485,2377485,105.5184
23,2.5048,-0.21629651380262002,2.415,106.2256,2018-02-09,107.2018,"Feb 9, 18",102.3106,104.5294,2573841,2573841,104.6653
24,3.8163,-0.18814089392968,3.593,110.0419,2018-02-12,110.5941,"Feb 12, 18",107.4977,107.7639,2637077,2637077,109.5742
25,-3.0964,-0.21098602584712903,-2.814,106.9454,2018-02-13,111.0379,"Feb 13, 18",106.5845,110.0517,2763450,2763450,108.3676
26,3.2246,-0.18719506931743402,3.015,110.1701,2018-02-14,110.604,"Feb 14, 18",105.1507,105.6931,2052269,2052269,109.1714
27,2.8499,-0.166169284899046,2.5869999999999997,113.02,2018-02-15,113.0594,"Feb 15, 18",109.8348,110.8702,1760152,1760152,111.6477
28,-2.3371,-0.183411770868454,-2.068,110.6829,2018-02-16,113.0003,"Feb 16, 18",110.4067,112.7734,1669248,1669248,111.7987
29,2.3075,-0.16638766562075102,2.085,112.9904,2018-02-20,113.7892,"Feb 20, 18",110.4462,110.4462,1431724,1431724,112.793
30,-1.5482,-0.17780986269312102,-1.37,111.4422,2018-02-21,114.8838,"Feb 21, 18",111.3041,113.7497,1775001,1775001,112.5086
31,0.660705,-0.172935398408329,0.593,112.1029,2018-02-22,113.1579,"Feb 22, 18",111.5852,112.3001,1021920,1021920,112.3311
32,4.9997,-0.13604971407618602,4.46,117.1025,2018-02-23,117.1814,"Feb 23, 18",114.0061,114.2329,2142290,2142290,115.8634
33,-8.53,-0.198981726107784,-7.284,108.5725,2018-02-26,113.306,"Feb 26, 18",105.6339,112.7636,7151964,7151964,108.4432
