,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.970383,0.0,-1.343,71.3085,2018-01-08,72.2789,"Jan 8, 18",70.7824,72.2789,1339880,1339880,71.3053
1,-1.4311,-0.020069136217982002,-2.007,69.8774,2018-01-09,71.0929,"Jan 9, 18",69.7892,70.6714,2398071,2398071,70.4014
2,0.744941,-0.009621573865668,1.066,70.6224,2018-01-10,70.9851,"Jan 10, 18",68.613,68.9757,1797809,1797809,70.2769
3,2.7053000000000003,0.028316399868178,3.831,73.3277,2018-01-11,73.9648,"Jan 11, 18",71.1615,71.2889,2401820,2401820,72.692
4,-1.2644,0.010584993373861,-1.724,72.0633,2018-01-12,73.6512,"Jan 12, 18",71.6222,73.5139,2946913,2946913,72.3033
5,-2.1955999999999998,-0.020206567239529002,-3.047,69.8676,2018-01-16,72.5726,"Jan 16, 18",69.75,72.2397,2360498,2360498,70.6182
6,-0.450887,-0.026528394230701004,-0.645,69.4168,2018-01-17,71.0929,"Jan 17, 18",69.3383,70.2499,2275844,2275844,69.9971
7,-1.0096,-0.04068659416479,-1.454,68.4072,2018-01-18,69.701,"Jan 18, 18",68.3778,69.5834,1979851,1979851,68.8226
8,-0.89197,-0.053195621840313005,-1.304,67.5152,2018-01-19,68.9218,"Jan 19, 18",66.9957,68.9071,3372454,3372454,67.6086
9,-0.32346199999999997,-0.057732247908734005,-0.47900000000000004,67.1917,2018-01-22,67.7994,"Jan 22, 18",65.7313,67.3878,3007437,3007437,66.7786
10,0.901771,-0.04508578921166401,1.342,68.0935,2018-01-23,68.6081,"Jan 23, 18",67.0839,67.2015,2557629,2557629,68.0393
11,-4.6853,-0.11079043872750001,-6.881,63.4082,2018-01-24,65.251,"Jan 24, 18",63.2318,64.8883,6209014,6209014,64.0286
12,-2.5681000000000003,-0.146804378159686,-4.05,60.8401,2018-01-25,62.2712,"Jan 25, 18",58.076,61.0754,10475991,10475991,60.2504
13,2.4211,-0.11285190405070901,3.979,63.2612,2018-01-26,63.3121,"Jan 26, 18",60.2912,61.0166,3973947,3973947,62.3587
14,0.9213749999999999,-0.09993058331054501,1.456,64.1826,2018-01-29,64.6236,"Jan 29, 18",62.8789,62.9867,3702733,3702733,64.1184
15,-1.2546,-0.11752596114067701,-1.955,62.9279,2018-01-30,63.7415,"Jan 30, 18",62.5033,62.9671,2677620,2677620,63.119
16,1.4997,-0.096494807771864,2.383,64.4276,2018-01-31,65.7019,"Jan 31, 18",63.1044,63.1044,3643134,3643134,64.4904
17,-1.6173000000000002,-0.11917513339924402,-2.51,62.8103,2018-02-01,64.5452,"Feb 1, 18",62.7711,64.2414,2492777,2492777,63.3455
18,0.47049,-0.11257704200761401,0.749,63.2808,2018-02-02,64.5746,"Feb 2, 18",62.7517,63.9081,5700907,5700907,63.4069
19,-1.7839,-0.137593695001297,-2.819,61.4969,2018-02-05,63.8003,"Feb 5, 18",61.4674,62.5947,5581640,5581640,62.4204
20,0.441084,-0.131409299031672,0.717,61.9379,2018-02-06,62.3888,"Feb 6, 18",59.8697,61.0068,4789408,4789408,61.0743
21,1.0194,-0.11711366807603502,1.646,62.957300000000004,2018-02-07,63.6729,"Feb 7, 18",61.7909,61.8889,2025459,2025459,62.9732
22,-0.18623499999999998,-0.119724857485432,-0.296,62.7711,2018-02-08,63.9375,"Feb 8, 18",62.5555,62.9769,4271875,4271875,63.1866
23,0.666526,-0.11037814566285901,1.062,63.4376,2018-02-09,63.9375,"Feb 9, 18",62.379,63.3886,5139971,5139971,62.9683
24,1.2644,-0.09264533681117901,1.9929999999999999,64.7021,2018-02-12,65.4666,"Feb 12, 18",63.6631,63.8199,3346500,3346500,64.6722
25,0.862563,-0.08055000455766101,1.333,65.5646,2018-02-13,65.8489,"Feb 13, 18",63.9571,64.1532,2907208,2907208,65.4506
26,-0.12742399999999998,-0.08233660783777501,-0.194,65.4372,2018-02-14,66.1625,"Feb 14, 18",64.4178,65.2804,2385900,2385900,65.3259
27,-0.5783100000000001,-0.090446440466423,-0.884,64.8589,2018-02-15,65.9371,"Feb 15, 18",63.4866,65.3588,3555568,3555568,64.5818
28,-0.866756,-0.10260207408653901,-1.336,63.9921,2018-02-16,65.3415,"Feb 16, 18",63.8444,64.8392,1860763,1860763,64.3176
29,-0.571271,-0.110612339342434,-0.893,63.4209,2018-02-20,64.0217,"Feb 20, 18",63.0269,63.9626,1540796,1540796,63.4053
30,0.295485,-0.10646977569293901,0.466,63.7163,2018-02-21,65.6075,"Feb 21, 18",63.3913,63.5292,2239134,2239134,64.605
31,-0.512173,-0.113651247747463,-0.804,63.2042,2018-02-22,64.7111,"Feb 22, 18",63.0663,64.1596,1246691,1246691,63.7789
32,0.797808,-0.10246324070762901,1.262,64.002,2018-02-23,64.1891,"Feb 23, 18",62.9776,63.48,1365969,1365969,63.7285
33,1.1524,-0.086302474459566,1.8010000000000002,65.1544,2018-02-26,65.312,"Feb 26, 18",63.4701,64.4748,1631293,1631293,64.6712
34,-1.241,-0.10370713168836801,-1.905,63.9133,2018-02-27,65.6321,"Feb 27, 18",63.8247,65.243,1512871,1512871,64.3022
35,-0.38413,-0.10909358631860101,-0.601,63.5292,2018-02-28,64.4738,"Feb 28, 18",63.283,64.0512,1130265,1130265,63.7445
36,0.14774199999999998,-0.10702090213649101,0.233,63.677,2018-03-01,65.0756,"Mar 1, 18",62.889,63.3224,2448512,2448512,63.8839
37,-1.2509000000000001,-0.12456299038684,-1.964,62.4261,2018-03-02,63.3864,"Mar 2, 18",61.4805,63.0367,2071243,2071243,62.3358
38,0.236388,-0.12124781758135401,0.379,62.6625,2018-03-05,63.1943,"Mar 5, 18",61.579,62.101,2347007,2347007,62.5585
39,0.6697649999999999,-0.111856230323173,1.069,63.3322,2018-03-06,63.48,"Mar 6, 18",62.2685,62.7905,1379410,1379410,62.997
40,-0.29548399999999997,-0.11600019633003,-0.467,63.0367,2018-03-07,63.4406,"Mar 7, 18",62.5738,62.9185,1290522,1290522,63.0118
41,0.7879579999999999,-0.10494962031174301,1.25,63.8247,2018-03-08,64.4846,"Mar 8, 18",63.0663,63.2633,1482848,1482848,63.6699
42,0.0,-0.10494962031174301,0.0,63.8247,2018-03-09,64.3172,"Mar 9, 18",62.8594,64.1202,3009108,3009108,63.5761
43,0.96525,-0.091414067046705,1.512,64.7899,2018-03-12,65.046,"Mar 12, 18",63.4209,64.0118,3380531,3380531,64.2606
44,2.9647,-0.049838378313945005,4.5760000000000005,67.7546,2018-03-13,67.8137,"Mar 13, 18",64.8786,64.8786,3274176,3274176,67.1694
45,-3.073,-0.092932820070538,-4.536,64.6816,2018-03-14,68.1191,"Mar 14, 18",64.5142,67.5084,2517996,2517996,65.7157
46,0.24623699999999998,-0.08948021624350501,0.381,64.9278,2018-03-15,65.3415,"Mar 15, 18",64.5143,64.8983,1124816,1124816,64.9269
47,0.5811200000000001,-0.081329715251337,0.895,65.509,2018-03-16,66.2083,"Mar 16, 18",65.1248,65.1642,1495629,1495629,65.6028
48,-1.3888,-0.10080565430488601,-2.12,64.1202,2018-03-19,65.5681,"Mar 19, 18",63.677,65.312,1272930,1272930,64.24
49,0.08864699999999999,-0.09956316568151001,0.138,64.2088,2018-03-20,64.4452,"Mar 20, 18",63.6179,64.4058,1003364,1003364,64.0673
50,-0.96525,-0.113098718946549,-1.5030000000000001,63.2436,2018-03-21,63.5883,"Mar 21, 18",62.0025,63.0269,2270441,2270441,62.7951
51,-1.3691,-0.13229839359964002,-2.165,61.8745,2018-03-22,63.4307,"Mar 22, 18",61.7859,62.7609,1692493,1692493,62.3437
52,-0.925851,-0.145282820421127,-1.496,60.9486,2018-03-23,62.3471,"Mar 23, 18",60.8797,61.7268,1422900,1422900,61.6389
53,0.275785,-0.14141511881472701,0.452,61.2244,2018-03-26,61.5593,"Mar 26, 18",60.466,61.2835,1449283,1449283,60.9567
54,-0.6599149999999999,-0.15066927505136102,-1.078,60.5645,2018-03-27,61.648,"Mar 27, 18",60.2822,61.4904,2192285,2192285,61.2039
55,0.07879599999999999,-0.14956421744953202,0.13,60.643299999999996,2018-03-28,61.1062,"Mar 28, 18",60.3281,60.5645,1788909,1788909,60.7234
56,0.38413,-0.144177762819299,0.633,61.0274,2018-03-29,61.4066,"Mar 29, 18",60.5744,60.7221,2232249,2232249,61.0583
57,-4.1466,-0.202327913222126,-6.795,56.8808,2018-04-02,60.7418,"Apr 2, 18",56.7331,60.7418,3570488,3570488,57.8342
58,2.3245,-0.16973011632554302,4.087,59.2053,2018-04-03,59.3333,"Apr 3, 18",56.7331,57.5801,4137902,4137902,58.1831
59,1.0933,-0.154398143278851,1.847,60.2986,2018-04-04,60.3872,"Apr 4, 18",58.1218,58.6439,2019053,2019053,59.8363
60,0.8766039999999999,-0.14210507863718902,1.454,61.1752,2018-04-05,61.4017,"Apr 5, 18",60.2887,60.5842,1448575,1448575,61.0116
61,-1.3198,-0.160614793467819,-2.157,59.8553,2018-04-06,61.0865,"Apr 6, 18",59.4023,60.8009,2201058,2201058,60.169
62,-0.9455509999999999,-0.1738740823324,-1.58,58.9098,2018-04-09,60.3961,"Apr 9, 18",58.8015,60.072,1561307,1561307,59.5191
63,0.039398999999999997,-0.173321553531486,0.067,58.9492,2018-04-10,59.6387,"Apr 10, 18",57.787,59.4712,1814231,1814231,58.6205
64,-0.7781100000000001,-0.184233296170863,-1.32,58.1711,2018-04-11,59.3136,"Apr 11, 18",58.1415,58.5749,1551252,1551252,58.5642
65,1.1918,-0.167520001121885,2.049,59.3629,2018-04-12,59.8263,"Apr 12, 18",58.4199,58.6734,1515891,1515891,59.1729
66,3.6246,-0.11669015615249201,6.106,62.9875,2018-04-13,64.1202,"Apr 13, 18",60.0129,60.1016,4581044,4581044,62.8758
67,1.241,-0.09928690128105301,1.97,64.2285,2018-04-16,64.6914,"Apr 16, 18",63.3322,63.6277,2808860,2808860,64.2375
68,-0.21669000000000002,-0.10232580968608201,-0.337,64.0118,2018-04-17,65.1741,"Apr 17, 18",63.6868,64.6816,1580082,1580082,64.0564
69,0.96525,-0.088788854063681,1.508,64.97710000000001,2018-04-18,65.8832,"Apr 18, 18",64.1793,64.6521,2212480,2212480,65.2574
70,-0.44322599999999995,-0.095004101895285,-0.682,64.5339,2018-04-19,65.0165,"Apr 19, 18",63.6376,64.9475,1434360,1434360,64.2361
71,-0.128044,-0.096800521676938,-0.198,64.4058,2018-04-20,65.1445,"Apr 20, 18",64.0315,64.7013,1755112,1755112,64.5255
72,3.664,-0.045418147906630006,5.689,68.0698,2018-04-23,69.1927,"Apr 23, 18",65.8832,66.3265,6424599,6424599,67.7307
73,-3.7921,-0.09859553910122901,-5.571,64.2778,2018-04-24,67.5675,"Apr 24, 18",63.4898,67.3804,3480394,3480394,64.7536
74,1.113,-0.08298730165408001,1.732,65.3908,2018-04-25,65.6075,"Apr 25, 18",63.3619,64.2778,2327162,2327162,64.7918
75,-0.48262499999999997,-0.08975648064396201,-0.738,64.9081,2018-04-26,65.4499,"Apr 26, 18",63.7853,64.7998,2188022,2188022,64.7086
76,0.118194,-0.088098894241219,0.182,65.0263,2018-04-27,66.0507,"Apr 27, 18",64.838,64.8983,1628945,1628945,65.3006
77,-1.0735999999999999,-0.10315460288745301,-1.651,63.9527,2018-04-30,65.4696,"Apr 30, 18",63.5292,65.1741,1329950,1329950,64.1021
78,0.502323,-0.096109159497114,0.785,64.4551,2018-05-01,64.6521,"May 1, 18",63.4307,64.0808,1119861,1119861,64.0099
79,-2.0191,-0.12442555936529301,-3.133,62.4359,2018-05-02,64.721,"May 2, 18",62.3768,64.0315,3762148,3762148,63.2352
80,-0.462924,-0.13091707159735502,-0.741,61.973,2018-05-03,62.8594,"May 3, 18",61.1752,62.298,2706034,2706034,61.9702
81,-0.118195,-0.13257465800009802,-0.191,61.8548,2018-05-04,61.9631,"May 4, 18",61.0176,61.5396,2741536,2741536,61.6816
82,-1.1327,-0.148459159847703,-1.831,60.7221,2018-05-07,61.8548,"May 7, 18",60.2592,61.8449,2063966,2063966,60.7344
83,-0.019698,-0.14873542424816102,-0.032,60.7024,2018-05-08,61.3722,"May 8, 18",60.1016,60.6532,2308886,2308886,60.7109
84,-1.2213,-0.165862414719142,-2.012,59.4811,2018-05-09,60.86,"May 9, 18",59.3826,60.6138,3331097,3331097,59.9339
85,0.16744199999999998,-0.163514868493938,0.28200000000000003,59.6485,2018-05-10,59.875,"May 10, 18",58.959,59.7372,2548885,2548885,59.5758
86,-0.029549,-0.16392856391594202,-0.05,59.619,2018-05-11,59.9932,"May 11, 18",59.156,59.6879,1456243,1456243,59.6176
87,-0.472776,-0.17055890952691402,-0.793,59.1462,2018-05-14,59.7963,"May 14, 18",58.5552,59.5008,2433270,2433270,59.1425
88,-1.2804,-0.188514693199267,-2.165,57.8658,2018-05-15,59.2545,"May 15, 18",57.8214,58.9984,2713538,2713538,58.1919
89,0.344731,-0.183680767369948,0.596,58.2105,2018-05-16,58.8999,"May 16, 18",56.9596,57.8165,2761999,2761999,57.8621
