,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.470657,0.0,-0.47100000000000003,99.4163,2018-01-08,99.8674,"Jan 8, 18",99.1123,99.8575,1434930,1434930,99.4469
1,-0.441239,-0.0044379040459160005,-0.444,98.9751,2018-01-09,99.7497,"Jan 9, 18",98.5436,98.6907,2223515,2223515,99.192
2,-0.500073,-0.009468266270219001,-0.505,98.475,2018-01-10,99.2692,"Jan 10, 18",98.3573,98.8476,2480812,2480812,98.7073
3,0.343186,-0.006016116069497,0.34900000000000003,98.8182,2018-01-11,99.1859,"Jan 11, 18",98.2593,98.8574,1571670,1571670,98.6528
4,1.3041,0.007101451170481001,1.32,100.1223,2018-01-12,100.3282,"Jan 12, 18",97.8867,98.9358,2404649,2404649,99.5556
5,0.019610000000000002,0.007298601939520001,0.02,100.1419,2018-01-16,100.7302,"Jan 16, 18",99.6321,100.2203,1860881,1860881,100.204
6,1.7748,0.025150805250245004,1.772,101.9167,2018-01-17,101.9657,"Jan 17, 18",100.289,100.5145,1765381,1765381,101.5261
7,0.058831999999999995,0.025742257557362,0.058,101.9755,2018-01-18,102.2942,"Jan 18, 18",100.9754,101.8284,2909853,2909853,101.695
8,-0.294159,0.022782984279237,-0.28800000000000003,101.6813,2018-01-19,102.3873,"Jan 19, 18",101.1224,102.3873,1548986,1548986,101.7165
9,0.715788,0.029983010834239,0.704,102.3971,2018-01-22,102.3971,"Jan 22, 18",101.2303,101.6813,1358108,1358108,101.9309
10,-3.1181,-0.0013810612545420002,-3.045,99.279,2018-01-23,102.4363,"Jan 23, 18",98.3475,102.1912,4676556,4676556,99.5106
11,-1.3531,-0.014991505417119001,-1.363,97.9259,2018-01-24,99.5536,"Jan 24, 18",97.6415,99.4555,4988048,4988048,98.1169
12,0.8432600000000001,-0.006508992992094001,0.861,98.7692,2018-01-25,99.0437,"Jan 25, 18",97.5827,98.4358,2466911,2466911,98.6112
13,-0.196108,-0.008482512425025,-0.199,98.573,2018-01-26,99.6418,"Jan 26, 18",97.9455,98.9751,2777106,2777106,98.7726
14,-2.4415,-0.033040859496883006,-2.477,96.1315,2018-01-29,98.6319,"Jan 29, 18",96.0923,98.2985,2215698,2215698,96.7401
15,0.402018,-0.028997256989045,0.418,96.5335,2018-01-30,97.367,"Jan 30, 18",95.5236,95.8374,2100127,2100127,96.7697
16,0.31377099999999997,-0.025840832941881,0.325,96.8473,2018-01-31,97.4356,"Jan 31, 18",96.4257,96.5826,2146628,2146628,96.9284
17,-0.049027,-0.026333709864479003,-0.051000000000000004,96.7983,2018-02-01,97.416,"Feb 1, 18",96.1021,96.6512,2422471,2422471,96.7939
18,-0.7648149999999999,-0.034026613342077,-0.79,96.0335,2018-02-02,98.1122,"Feb 2, 18",95.9354,96.7002,2300754,2300754,96.8136
19,-2.8632,-0.06282671956208301,-2.981,93.1703,2018-02-05,96.7689,"Feb 5, 18",93.1703,95.3765,4883538,4883538,95.1604
20,1.5492,-0.047242755966576004,1.663,94.7196,2018-02-06,95.0823,"Feb 6, 18",90.9151,91.827,4312430,4312430,93.3796
21,0.264744,-0.044580214713281004,0.28,94.9843,2018-02-07,96.3816,"Feb 7, 18",94.048,94.2685,3174347,3174347,95.384
22,-6.6774000000000004,-0.11174626293676101,-7.03,88.3069,2018-02-08,94.8176,"Feb 8, 18",88.2676,94.1606,5282247,5282247,90.77
23,0.813844,-0.10356048253656601,0.922,89.1207,2018-02-09,89.6306,"Feb 9, 18",86.5713,89.2286,5770568,5770568,87.9726
24,-0.156886,-0.105138694560147,-0.176,88.9638,2018-02-12,90.9298,"Feb 12, 18",88.4932,89.8169,4116987,4116987,89.4954
25,1.3727,-0.091330093757261,1.5430000000000001,90.3366,2018-02-13,90.4444,"Feb 13, 18",87.846,88.4736,3503753,3503753,89.6181
26,2.8435,-0.062728144177564,3.148,93.1801,2018-02-14,93.2733,"Feb 14, 18",90.0228,90.0228,3111405,3111405,92.4957
27,-0.500072,-0.06775850640186701,-0.537,92.68,2018-02-15,93.337,"Feb 15, 18",91.4642,93.1213,2807357,2807357,92.3192
28,0.5098779999999999,-0.062629568793045,0.55,93.1899,2018-02-16,93.8567,"Feb 16, 18",92.2388,92.2878,2565406,2565406,93.1794
29,-1.3629,-0.07633858834014101,-1.463,91.827,2018-02-20,93.0526,"Feb 20, 18",91.4348,92.582,2190525,2190525,91.9781
30,-0.23532899999999998,-0.078706409311149,-0.256,91.5916,2018-02-21,93.1899,"Feb 21, 18",91.5034,91.6701,1831291,1831291,92.3161
31,-0.598125,-0.08472252538064601,-0.653,90.9935,2018-02-22,92.9159,"Feb 22, 18",90.6896,91.5916,2469202,2469202,91.4303
32,1.5394,-0.069237137169659,1.6920000000000002,92.533,2018-02-23,92.6114,"Feb 23, 18",91.219,91.3367,2174951,2174951,92.187
33,1.3531,-0.055626693007082006,1.462,93.8861,2018-02-26,94.1705,"Feb 26, 18",92.6114,92.8467,1979773,1979773,93.6947
34,-1.7061000000000002,-0.07278786275490001,-1.8170000000000002,92.18,2018-02-27,94.1803,"Feb 27, 18",92.1702,93.6017,2693348,2693348,92.7441
35,-1.7159,-0.090048613758508,-1.862,90.464,2018-02-28,92.9154,"Feb 28, 18",90.4248,92.6506,3377734,3377734,91.4506
36,-0.196106,-0.09202112732016701,-0.217,90.2679,2018-03-01,91.9888,"Mar 1, 18",89.7777,90.5327,3582277,3582277,90.6992
37,0.009878,-0.09192154606437701,0.011,90.2778,2018-03-02,90.4158,"Mar 2, 18",89.3416,89.7555,1917187,1917187,89.9645
38,1.2614,-0.079233485856947,1.397,91.5392,2018-03-05,92.0122,"Mar 5, 18",89.5486,89.8541,2958623,2958623,91.2434
