,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,1.2991000000000001,0.0,2.418,55.0327,2018-01-08,55.5543,"Jan 8, 18",54.0978,54.1372,12657970,12657970,55.0545
1,-1.0432,-0.018954185420667003,-1.896,53.9896,2018-01-09,55.2886,"Jan 9, 18",53.1826,55.2788,13564898,13564898,53.9825
2,-1.5352000000000001,-0.046852144270588,-2.844,52.4543,2018-01-10,53.2515,"Jan 10, 18",51.7261,53.2318,14537219,14537219,52.3678
3,-0.098412,-0.048640172115851005,-0.188,52.3559,2018-01-11,52.6807,"Jan 11, 18",51.785,52.6216,10694213,10694213,52.1758
4,0.246033,-0.044170102502693,0.47000000000000003,52.6019,2018-01-12,53.1431,"Jan 12, 18",52.2378,52.3953,9072267,9072267,52.7278
5,1.0333,-0.025392175924495,1.964,53.6353,2018-01-16,54.521,"Jan 16, 18",53.153,53.9502,14384996,14384996,53.8035
6,2.7949,0.025393993025964002,5.211,56.4302,2018-01-17,56.6074,"Jan 17, 18",54.5899,54.8261,17924232,17924232,55.6908
7,0.059049,0.026467899994003,0.105,56.4893,2018-01-18,57.6997,"Jan 18, 18",55.7807,55.8496,17677739,17677739,56.6987
8,0.0,0.026467899994003,0.0,56.4893,2018-01-19,56.8042,"Jan 19, 18",55.328,56.7845,11458659,11458659,56.2015
9,0.059047999999999996,0.027539989860573003,0.105,56.5483,2018-01-22,56.6172,"Jan 22, 18",55.9677,56.5581,11479829,11479829,56.3442
10,0.32476499999999997,0.033441935431116,0.5740000000000001,56.8731,2018-01-23,57.2569,"Jan 23, 18",56.2728,56.9616,8813491,8813491,56.7801
11,-0.895563,0.017167974676873,-1.5750000000000002,55.9775,2018-01-24,56.5089,"Jan 24, 18",55.4658,56.4105,11787268,11787268,55.933
12,-1.1022,-0.0028601177118330002,-1.9689999999999999,54.8753,2018-01-25,57.7982,"Jan 25, 18",54.58,57.2569,15271922,15271922,55.6634
13,1.3384,0.021459968346092,2.439,56.2137,2018-01-26,56.2137,"Jan 26, 18",55.0426,55.5248,11253501,11253501,55.7449
14,-1.7616,-0.010550091127638,-3.134,54.4521,2018-01-29,56.0169,"Jan 29, 18",53.9502,55.8299,12350579,12350579,54.5207
15,-1.9191,-0.04542208541467101,-3.524,52.533,2018-01-30,53.468,"Jan 30, 18",52.3657,53.4188,14603702,14603702,52.7324
16,0.246032,-0.040950198700045,0.468,52.7791,2018-01-31,53.281,"Jan 31, 18",52.0705,52.8283,13166801,13166801,52.6014
17,-0.344446,-0.047210113259934,-0.653,52.4346,2018-02-01,53.3204,"Feb 1, 18",52.0902,52.3165,9706003,9706003,52.6718
18,-2.5587,-0.093704288541176,-4.88,49.8759,2018-02-02,51.9524,"Feb 2, 18",49.7184,51.7457,16813121,16813121,50.4322
19,-2.3324,-0.136086363198607,-4.676,47.5435,2018-02-05,50.6484,"Feb 5, 18",47.5435,49.187,17999698,17999698,49.1996
20,1.9092,-0.10139426195698101,4.016,49.4527,2018-02-06,49.4625,"Feb 6, 18",45.6638,46.6578,21455699,21455699,48.1966
21,-1.5352000000000001,-0.12929040370543302,-3.104,47.9175,2018-02-07,49.7775,"Feb 7, 18",47.8978,49.0787,14763371,14763371,48.6835
22,-2.8934,-0.181866417602625,-6.038,45.0241,2018-02-08,48.3702,"Feb 8, 18",45.0143,48.2029,19922927,19922927,46.2661
23,2.293,-0.140200280923886,5.093,47.3171,2018-02-09,47.7305,"Feb 9, 18",44.4139,46.0968,22648164,22648164,46.2355
24,1.3975,-0.11480628789792201,2.9530000000000003,48.7146,2018-02-12,49.0886,"Feb 12, 18",47.6419,48.1832,16326069,16326069,48.3846
25,0.049207,-0.11391227397529001,0.101,48.7638,2018-02-13,48.8622,"Feb 13, 18",47.7305,48.4784,12878589,12878589,48.3152
26,2.3718,-0.070814261339167,4.864,51.1356,2018-02-14,51.293,"Feb 14, 18",48.3704,48.6162,22166641,22166641,50.3774
27,1.9978,-0.034512208196217004,3.907,53.1334,2018-02-15,53.1432,"Feb 15, 18",49.7775,51.3324,26888184,26888184,51.6828
28,1.0235,-0.015914174663427,1.9260000000000002,54.1569,2018-02-16,55.2,"Feb 16, 18",52.8184,52.9464,27810913,27810913,54.423
29,1.7056,0.015078307987796,3.149,55.8625,2018-02-20,56.5527,"Feb 20, 18",53.586,53.9695,22000669,22000669,55.7876
30,-0.522539,0.005583952813509,-0.935,55.34,2018-02-21,56.5329,"Feb 21, 18",55.2907,56.1977,16464322,16464322,55.8563
31,-0.059156999999999994,0.004508228744001,-0.107,55.2808,2018-02-22,56.178,"Feb 22, 18",55.0245,55.6949,14924644,14924644,55.5297
32,0.9267700000000001,0.021349125156497003,1.6760000000000002,56.2076,2018-02-23,56.3259,"Feb 23, 18",55.5174,55.7935,13532407,13532407,55.9576
33,1.7747000000000002,0.053595407821168006,3.157,57.9822,2018-02-26,58.1646,"Feb 26, 18",56.5329,56.7055,14822228,14822228,57.4379
34,-1.1535,0.032635142378985,-1.9889999999999999,56.8287,2018-02-27,58.071,"Feb 27, 18",56.8189,57.8146,13102733,13102733,57.316
35,-0.049297,0.031739311354885,-0.08700000000000001,56.7794,2018-02-28,57.9418,"Feb 28, 18",56.7696,57.0851,13152704,13152704,57.2479
36,-0.5126809999999999,0.022423032124536002,-0.903,56.2667,2018-03-01,57.6175,"Mar 1, 18",55.3301,56.7301,17330221,17330221,56.5583
37,0.946488,0.039621897526379006,1.682,57.2132,2018-03-02,57.3217,"Mar 2, 18",54.3442,55.1132,15719349,15719349,56.2978
38,-0.39436899999999997,0.032457066435046006,-0.6890000000000001,56.8189,2018-03-05,57.5977,"Mar 5, 18",56.3062,56.5034,13326704,13326704,57.0378
39,2.3268,0.07473556630875801,4.095,59.1456,2018-03-06,59.333,"Mar 6, 18",57.2822,57.4991,23269604,23269604,58.6803
40,-0.561979,0.06452527315577801,-0.9500000000000001,58.5837,2018-03-07,59.2442,"Mar 7, 18",57.7752,58.3175,17284037,17284037,58.52
41,-0.049296,0.06362944213167801,-0.084,58.5344,2018-03-08,59.0668,"Mar 8, 18",58.1696,58.9189,12223446,12223446,58.4809
42,2.2085,0.10375831096784201,3.773,60.7428,2018-03-09,60.8907,"Mar 9, 18",58.633,58.8696,18066546,18066546,60.1802
43,-0.630992,0.09229240069994701,-1.039,60.1118,2018-03-12,61.5217,"Mar 12, 18",60.0231,61.0386,16207751,16207751,60.4797
44,-1.262,0.069362397265625,-2.099,58.8499,2018-03-13,61.364,"Mar 13, 18",58.6477,60.5161,15676512,15676512,59.8738
45,0.532399,0.07903664548532001,0.905,59.3823,2018-03-14,59.8555,"Mar 14, 18",58.5491,59.1456,11896381,11896381,59.3053
46,0.049297,0.07993247650942001,0.083,59.4316,2018-03-15,60.378,"Mar 15, 18",58.7513,59.5499,11944172,11944172,59.6551
47,-0.828178,0.064883242145124,-1.393,58.6034,2018-03-16,59.6682,"Mar 16, 18",58.3964,59.5301,15070235,15070235,58.872
48,-0.926769,0.04804234573262801,-1.581,57.6766,2018-03-19,58.2484,"Mar 19, 18",56.6611,57.9921,13747327,13747327,57.4095
49,0.719725,0.061120025003316,1.248,58.3963,2018-03-20,58.6822,"Mar 20, 18",57.4991,57.5977,8527340,8527340,58.2321
