,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.4,0.0,3.367,12.28,2018-01-08,12.3,"Jan 8, 18",11.85,12.01,63346034,63346034,12.14
1,-0.46,-0.037459283387622,-3.746,11.82,2018-01-09,12.02,"Jan 9, 18",11.71,12.0,62560940,62560940,11.8352
2,0.14,-0.026058631921823002,1.184,11.96,2018-01-10,12.15,"Jan 10, 18",11.56,11.63,52561170,52561170,11.9878
3,0.18,-0.011400651465797001,1.505,12.14,2018-01-11,12.19,"Jan 11, 18",11.9001,12.07,38354916,38354916,12.1005
4,-0.12,-0.021172638436482,-0.988,12.02,2018-01-12,12.07,"Jan 12, 18",11.8,11.82,47149344,47149344,11.9331
5,-0.11,-0.030130293159609002,-0.915,11.91,2018-01-16,12.2,"Jan 16, 18",11.8,12.05,42686623,42686623,12.0251
6,0.27,-0.008143322475570001,2.267,12.18,2018-01-17,12.19,"Jan 17, 18",11.82,11.9,39020825,39020825,12.0967
7,0.29,0.015472312703583001,2.3810000000000002,12.47,2018-01-18,12.68,"Jan 18, 18",12.15,12.18,62086151,62086151,12.522
8,0.12,0.025244299674267,0.962,12.59,2018-01-19,12.88,"Jan 19, 18",12.54,12.56,46800669,46800669,12.6613
9,0.06,0.030130293159609002,0.47700000000000004,12.65,2018-01-22,12.74,"Jan 22, 18",12.37,12.61,34758615,34758615,12.6021
10,0.29,0.053745928338762,2.292,12.94,2018-01-23,12.995,"Jan 23, 18",12.76,12.82,46417226,46417226,12.9181
11,-0.23,0.035016286644951,-1.7770000000000001,12.71,2018-01-24,13.05,"Jan 24, 18",12.6,13.02,41956439,41956439,12.816
12,-0.30000000000000004,0.010586319218241,-2.36,12.41,2018-01-25,12.94,"Jan 25, 18",12.32,12.78,42966567,42966567,12.6405
13,0.54,0.05456026058631901,4.351,12.95,2018-01-26,12.95,"Jan 26, 18",12.62,12.7,44238971,44238971,12.8402
14,0.37,0.084690553745928,2.857,13.32,2018-01-29,13.47,"Jan 29, 18",13.05,13.13,66645418,66645418,13.2685
15,-0.45,0.048045602605863005,-3.378,12.87,2018-01-30,13.27,"Jan 30, 18",12.69,13.12,91236383,91236383,12.9678
16,0.87,0.11889250814332201,6.76,13.74,2018-01-31,13.85,"Jan 31, 18",13.15,13.24,140977843,140977843,13.5724
17,-0.49,0.078990228013029,-3.566,13.25,2018-02-01,13.84,"Feb 1, 18",13.21,13.62,67543333,67543333,13.5212
18,-0.8,0.013843648208469,-6.038,12.45,2018-02-02,13.06,"Feb 2, 18",12.43,13.05,79432558,79432558,12.6442
19,-0.88,-0.05781758957654701,-7.068,11.57,2018-02-05,12.18,"Feb 5, 18",10.93,12.05,116568862,116568862,11.7359
20,0.08,-0.051302931596091006,0.6910000000000001,11.65,2018-02-06,11.74,"Feb 6, 18",11.0,11.04,87123202,87123202,11.4642
21,-0.05,-0.055374592833876,-0.429,11.6,2018-02-07,11.9,"Feb 7, 18",11.53,11.7,55758364,55758364,11.7053
22,-0.38,-0.08631921824104201,-3.276,11.22,2018-02-08,11.85,"Feb 8, 18",11.21,11.72,56471761,56471761,11.4436
23,0.09,-0.078990228013029,0.802,11.31,2018-02-09,11.57,"Feb 9, 18",10.63,11.54,85458235,85458235,11.1069
24,0.37,-0.04885993485342,3.271,11.68,2018-02-12,11.8,"Feb 12, 18",11.43,11.47,63160875,63160875,11.6401
25,0.1,-0.04071661237785,0.856,11.78,2018-02-13,11.82,"Feb 13, 18",11.53,11.6,33661383,33661383,11.7197
26,0.42,-0.006514657980456,3.565,12.2,2018-02-14,12.31,"Feb 14, 18",11.63,11.72,51756817,51756817,12.0675
27,-0.01,-0.0073289902280130005,-0.082,12.19,2018-02-15,12.625,"Feb 15, 18",12.07,12.4,59593761,59593761,12.2723
28,-0.37,-0.037459283387622,-3.035,11.82,2018-02-16,12.225,"Feb 16, 18",11.82,12.11,47332348,47332348,11.9818
