,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,1.0516,0.0,0.531,198.9439,2018-01-08,199.3804,"Jan 8, 18",197.0391,197.8228,230898,230898,198.6826
1,-0.257944,-0.0012968480058950002,-0.13,198.6859,2018-01-09,201.2554,"Jan 9, 18",198.1006,199.0232,304798,304798,199.1326
2,-1.8751,-0.010721615490598,-0.9440000000000001,196.8109,2018-01-10,200.3874,"Jan 10, 18",195.4319,198.805,333145,333145,196.9751
3,2.3215,0.0009475032911280001,1.18,199.1324,2018-01-11,199.1324,"Jan 11, 18",196.4339,197.0688,264406,264406,198.0369
4,2.0635,0.011319774066960001,1.036,201.1959,2018-01-12,201.5134,"Jan 12, 18",198.8546,200.1542,245522,245522,200.9455
5,0.208339,0.012366802902727,0.10400000000000001,201.4042,2018-01-16,204.44,"Jan 16, 18",199.9161,203.2198,387241,387241,201.9537
6,4.6331,0.035655277693862,2.3,206.0373,2018-01-17,206.8507,"Jan 17, 18",201.315,202.7932,331294,331294,204.6714
7,-2.3413,0.023886633367496003,-1.1360000000000001,203.696,2018-01-18,206.5929,"Jan 18, 18",203.3686,206.3449,216520,216520,204.5577
8,6.6272,0.057198034219697005,3.253,210.3231,2018-01-19,212.1684,"Jan 19, 18",205.1246,205.1246,489960,489960,209.7308
9,1.9544000000000001,0.067022411845751,0.929,212.2776,2018-01-22,212.3073,"Jan 22, 18",207.8628,209.9858,259923,259923,210.2253
10,-1.0417,0.061786262358383005,-0.491,211.2359,2018-01-23,212.8371,"Jan 23, 18",210.2972,212.1486,222408,222408,211.2199
11,-1.4584000000000001,0.054455552545214,-0.6900000000000001,209.7775,2018-01-24,212.595,"Jan 24, 18",208.4481,212.5752,491660,491660,210.4085
12,-0.44644000000000006,0.052211703902456004,-0.213,209.3311,2018-01-25,210.3231,"Jan 25, 18",207.7437,210.3231,217130,217130,209.1631
13,4.7223,0.07594854629873,2.2560000000000002,214.0534,2018-01-26,215.2786,"Jan 26, 18",209.46,209.6386,399447,399447,213.2144
14,-6.4982,0.043285066795212004,-3.036,207.5552,2018-01-29,211.1565,"Jan 29, 18",201.9499,204.5194,570975,570975,208.2303
15,-5.9426,0.013414334392760002,-2.863,201.6126,2018-01-30,207.5949,"Jan 30, 18",200.2931,206.6028,761698,761698,203.9017
16,-3.5616,-0.0044881999397820005,-1.767,198.051,2018-01-31,202.2277,"Jan 31, 18",195.794,202.2277,859692,859692,198.6827
17,2.1132,0.006133387351911001,1.067,200.1641,2018-02-01,200.8288,"Feb 1, 18",195.1313,196.8208,474274,474274,198.7768
18,-4.6132,-0.017055059240318002,-2.305,195.5509,2018-02-02,198.9339,"Feb 2, 18",193.7453,198.2792,450329,450329,196.0746
19,-8.5419,-0.05999128397503001,-4.368,187.009,2018-02-05,196.0817,"Feb 5, 18",185.124,193.1104,526223,526223,190.4351
20,2.1826,-0.049020351968570006,1.167,189.1916,2018-02-06,189.6678,"Feb 6, 18",179.5817,180.5604,702295,702295,186.1085
21,-2.5140000000000002,-0.061657080212059005,-1.329,186.6776,2018-02-07,190.1356,"Feb 7, 18",185.4853,187.4129,590015,590015,187.9507
22,-8.7044,-0.10541011812877901,-4.663,177.9732,2018-02-08,186.7174,"Feb 8, 18",177.7854,186.1311,719019,719019,180.5984
23,1.1228,-0.09976581337754001,0.631,179.0961,2018-02-09,180.9145,"Feb 9, 18",172.8261,180.8052,593023,593023,176.5529
24,0.943971,-0.095021259762174,0.527,180.04,2018-02-12,183.0409,"Feb 12, 18",178.3409,180.4474,381060,381060,180.3502
25,0.7353029999999999,-0.091325242945373,0.40800000000000003,180.7753,2018-02-13,181.3318,"Feb 13, 18",177.5062,179.4935,638692,638692,180.133
26,7.4723,-0.053765408238201,4.133,188.2476,2018-02-14,188.4165,"Feb 14, 18",178.7582,179.3842,689105,689105,185.4741
27,0.834669,-0.049569753081145,0.443,189.0823,2018-02-15,191.6857,"Feb 15, 18",186.8466,189.5493,609556,609556,188.7476
28,1.4905,-0.042077691248638006,0.788,190.5728,2018-02-16,191.5764,"Feb 16, 18",187.6614,188.3669,366922,366922,190.2498
29,-4.4615,-0.06450361131957301,-2.341,186.1113,2018-02-20,191.1143,"Feb 20, 18",185.6542,189.1419,477440,477440,187.4883
30,1.7189999999999999,-0.055862984489597006,0.924,187.8303,2018-02-21,192.8184,"Feb 21, 18",185.4853,186.6379,466435,466435,189.9189
31,-2.186,-0.06685150939536201,-1.164,185.6442,2018-02-22,190.1356,"Feb 22, 18",185.3859,188.7544,421074,421074,187.2221
32,3.1598,-0.050968137248742,1.702,188.8041,2018-02-23,188.8041,"Feb 23, 18",186.0318,186.8068,274084,274084,187.7062
33,4.8192,-0.026744222868859004,2.552,193.6233,2018-02-26,193.8618,"Feb 26, 18",188.5755,189.5294,357908,357908,192.1469
34,-4.5807,-0.049769809478953,-2.366,189.0425,2018-02-27,194.14,"Feb 27, 18",188.8836,192.8284,512508,512508,190.5228
35,-0.884351,-0.054214781151872005,-0.468,188.1582,2018-02-28,191.4372,"Feb 28, 18",188.0489,189.7282,499825,499825,189.3617
36,-3.9647,-0.07414351483006,-2.107,184.1935,2018-03-01,188.7246,"Mar 1, 18",183.4582,187.9694,418456,418456,185.546
37,2.0966,-0.063604865492231,1.138,186.2901,2018-03-02,186.9559,"Mar 2, 18",181.1728,182.6832,264405,264405,185.0389
38,0.675684,-0.06020843061787701,0.363,186.9658,2018-03-05,188.1483,"Mar 5, 18",183.7066,184.0246,425713,425713,186.2287
39,3.6169000000000002,-0.042027928476319004,1.935,190.5827,2018-03-06,190.6224,"Mar 6, 18",185.9722,187.5223,290582,290582,189.3309
40,-1.6892,-0.050518764335071006,-0.886,188.8935,2018-03-07,189.4698,"Mar 7, 18",186.151,188.2277,411565,411565,188.1478
41,1.4309,-0.043326284445011,0.757,190.3244,2018-03-08,190.4833,"Mar 8, 18",187.2043,190.1554,396746,396746,189.5994
42,4.541,-0.020500754232726,2.386,194.8654,2018-03-09,195.0045,"Mar 9, 18",191.0448,192.0434,345710,345710,193.9394
43,-1.3712,-0.027393652180338002,-0.704,193.4941,2018-03-12,195.7795,"Mar 12, 18",192.4011,194.3089,355564,355564,193.606
44,0.218603,-0.026294849955188004,0.113,193.7127,2018-03-13,195.6503,"Mar 13, 18",192.878,194.7262,409057,409057,194.0746
45,-1.4805000000000001,-0.033736646361109006,-0.764,192.2322,2018-03-14,195.3522,"Mar 14, 18",191.5913,194.9846,300237,300237,192.4544
46,-2.981,-0.048720770026122004,-1.5510000000000002,189.2512,2018-03-15,193.0271,"Mar 15, 18",188.347,192.2322,306947,306947,189.4692
47,1.9277000000000002,-0.039031103743316004,1.019,191.1789,2018-03-16,192.9377,"Mar 16, 18",189.0823,189.3605,775981,775981,191.1884
48,-1.729,-0.047721995999877004,-0.904,189.4499,2018-03-19,192.3862,"Mar 19, 18",187.0056,191.2186,419752,419752,190.019
49,-1.4011,-0.05476418226444701,-0.74,188.0489,2018-03-20,190.0561,"Mar 20, 18",186.7571,190.0561,513214,513214,187.8479
50,2.9909,-0.039730295827115,1.5899999999999999,191.0398,2018-03-21,193.663,"Mar 21, 18",187.244,188.3669,375084,375084,191.6173
51,-7.045,-0.075142288856305,-3.688,183.9948,2018-03-22,189.7431,"Mar 22, 18",182.862,188.3867,348756,348756,185.1799
52,-4.223,-0.09636937850318601,-2.295,179.7718,2018-03-23,185.2865,"Mar 23, 18",179.4687,184.5115,344414,344414,182.2766
53,7.6313,-0.058010826167578,4.245,187.403,2018-03-26,187.8303,"Mar 26, 18",181.3517,183.7961,288957,288957,185.4271
54,-3.3486000000000002,-0.07484270691385801,-1.787,184.0544,2018-03-27,188.5656,"Mar 27, 18",182.7477,188.5656,418872,418872,185.9355
55,-0.228539,-0.075991271911327,-0.124,183.8259,2018-03-28,185.3163,"Mar 28, 18",182.3851,184.6903,355975,355975,183.7485
56,4.5509,-0.053115978926722006,2.476,188.3768,2018-03-29,189.6089,"Mar 29, 18",184.124,185.0779,266571,266571,187.742
57,-9.0919,-0.098816802123613,-4.8260000000000005,179.2849,2018-04-02,186.3398,"Apr 2, 18",176.8902,186.3398,518538,518538,179.9781
58,1.0036,-0.093772163911534,0.56,180.2885,2018-04-03,182.0572,"Apr 3, 18",177.8043,180.4872,399523,399523,180.1602
59,2.4742,-0.08133549206585301,1.3719999999999999,182.7627,2018-04-04,183.2794,"Apr 4, 18",175.3004,176.0853,378945,378945,181.1611
60,-1.9078,-0.09092563280402101,-1.044,180.8548,2018-04-05,183.8259,"Apr 5, 18",180.1493,183.0409,405740,405740,181.4179
61,-5.5346,-0.11874553580180101,-3.06,175.3202,2018-04-06,179.5432,"Apr 6, 18",173.2633,178.3111,454657,454657,175.6579
62,-1.7488000000000001,-0.12753595360300002,-0.998,173.5714,2018-04-09,178.4999,"Apr 9, 18",173.5018,176.3933,383530,383530,175.8789
63,1.5897999999999999,-0.119544756084504,0.916,175.1612,2018-04-10,177.9335,"Apr 10, 18",174.5054,177.387,804975,804975,175.7718
64,-5.4253,-0.146815257969709,-3.097,169.7359,2018-04-11,173.1043,"Apr 11, 18",169.6464,171.6437,548449,548449,170.797
65,2.4742,-0.134378586124027,1.458,172.2101,2018-04-12,173.6906,"Apr 12, 18",170.1433,170.8984,542099,542099,172.3132
66,-4.0342,-0.154657167171247,-2.343,168.1758,2018-04-13,173.8396,"Apr 13, 18",167.1027,173.5217,618721,618721,169.343
67,2.0966,-0.144118517833419,1.2469999999999999,170.2724,2018-04-16,172.528,"Apr 16, 18",169.408,169.9545,497083,497083,170.9954
68,1.56,-0.13627660863188001,0.916,171.8325,2018-04-17,172.9454,"Apr 17, 18",170.8637,171.8921,554719,554719,172.0476
69,-1.5402,-0.14401848963451502,-0.896,170.2923,2018-04-18,173.2832,"Apr 18, 18",170.2923,172.3194,411451,411451,171.237
70,1.1924000000000001,-0.13802484016850902,0.7000000000000001,171.4847,2018-04-19,172.1405,"Apr 19, 18",170.0886,170.3022,259302,259302,170.92
71,-1.1924000000000001,-0.14401848963451502,-0.6950000000000001,170.2923,2018-04-20,173.3925,"Apr 20, 18",168.9707,171.7033,496533,496533,170.1891
72,-0.556445,-0.146815257969709,-0.327,169.7359,2018-04-23,172.6224,"Apr 23, 18",169.4179,170.6301,273956,273956,170.6579
73,-1.8482,-0.15610531411116402,-1.089,167.8877,2018-04-24,171.5542,"Apr 24, 18",166.8245,171.276,383012,383012,168.7326
74,0.029809,-0.15595552313994002,0.018000000000000002,167.9175,2018-04-25,168.9906,"Apr 25, 18",167.0282,167.838,394245,394245,167.9735
75,1.0831,-0.15051127478651002,0.645,169.0006,2018-04-26,169.1695,"Apr 26, 18",166.5462,168.2255,410185,410185,168.3832
76,-0.079492,-0.150910884927861,-0.047,168.9211,2018-04-27,169.4775,"Apr 27, 18",167.7287,168.9211,571844,571844,168.9112
77,-5.1074,-0.176583448901926,-3.024,163.8137,2018-04-30,169.6464,"Apr 30, 18",159.2926,160.2067,993884,993884,166.0146
78,-0.725366,-0.18022970294640803,-0.443,163.0883,2018-05-01,164.9763,"May 1, 18",160.5048,162.989,541699,541699,162.26
79,-3.0207,-0.19541338035496403,-1.8519999999999999,160.0676,2018-05-02,163.8584,"May 2, 18",159.8093,163.0386,958691,958691,161.6722
80,-1.0135,-0.200507781339362,-0.633,159.0541,2018-05-03,159.7795,"May 3, 18",155.1987,159.1733,525379,525379,158.2549
81,1.6395,-0.19226676465073803,1.031,160.6936,2018-05-04,162.3232,"May 4, 18",157.8518,157.8518,329045,329045,160.9035
82,0.725367,-0.188620510606256,0.451,161.419,2018-05-07,162.9095,"May 7, 18",159.9285,161.6276,306319,306319,161.4575
83,0.8247319999999999,-0.18447512087578402,0.511,162.2437,2018-05-08,163.6448,"May 8, 18",160.6837,161.2401,414472,414472,162.2692
84,0.547461,-0.181723088770251,0.337,162.7912,2018-05-09,164.155,"May 9, 18",161.1436,162.9405,252017,252017,162.722
85,1.1647,-0.175868674535886,0.715,163.9559,2018-05-10,164.9812,"May 10, 18",162.2367,163.1695,224405,224405,164.1396
86,0.059729,-0.17556858993917301,0.036000000000000004,164.0156,2018-05-11,165.1447,"May 11, 18",163.5577,164.3541,177136,177136,164.248
87,1.095,-0.170064525728107,0.668,165.1106,2018-05-14,166.1659,"May 14, 18",164.2147,164.7423,340330,340330,165.1047
88,0.696838,-0.166561528149392,0.422,165.8075,2018-05-15,165.8473,"May 15, 18",163.9843,164.2844,345715,345715,165.1433
89,0.7665200000000001,-0.16270868320164603,0.462,166.574,2018-05-16,167.9876,"May 16, 18",165.4491,165.4491,224635,224635,166.8655
90,1.9113,-0.15310145221843902,1.147,168.4853,2018-05-17,168.8751,"May 17, 18",165.4491,166.7034,398033,398033,168.1166
91,-1.533,-0.16080714211393202,-0.91,166.9523,2018-05-18,168.774,"May 18, 18",166.9025,168.2862,230641,230641,167.6679
92,-0.8859779999999999,-0.16526065890937,-0.531,166.0663,2018-05-21,169.1172,"May 21, 18",165.9469,168.0075,306973,306973,167.0014
93,0.607244,-0.162208039552858,0.366,166.6736,2018-05-22,167.3604,"May 22, 18",165.2401,166.2953,323862,323862,166.555
94,-2.4588,-0.17456780529586402,-1.475,164.2147,2018-05-23,166.2455,"May 23, 18",162.6618,165.7378,274681,274681,163.545
95,-0.995482,-0.17957172851240902,-0.606,163.2192,2018-05-24,163.936,"May 24, 18",161.2084,163.4681,200951,200951,163.0409
96,-0.627154,-0.18272387341356,-0.384,162.5921,2018-05-25,163.3586,"May 25, 18",160.5852,162.5722,537767,537767,162.5515
97,-6.0724,-0.21324755370735102,-3.735,156.5196,2018-05-29,161.3875,"May 29, 18",154.9866,160.8301,580295,580295,156.8431
98,3.6136,-0.195083639156566,2.309,160.1332,2018-05-30,160.2626,"May 30, 18",157.3758,157.8735,538162,538162,159.2993
99,-1.5928,-0.203089413648772,-0.995,158.5405,2018-05-31,160.6708,"May 31, 18",157.5052,159.7052,367708,367708,158.7185
100,1.9611,-0.19323186084117103,1.237,160.5016,2018-06-01,161.8451,"Jun 1, 18",159.9142,160.3323,271674,271674,160.6058
101,1.0453,-0.18797811845449902,0.651,161.5468,2018-06-04,162.1839,"Jun 4, 18",160.6608,161.2084,316290,316290,161.4157
102,1.0353,-0.182774138840145,0.641,162.5821,2018-06-05,163.0998,"Jun 5, 18",159.9043,161.3179,415255,415255,161.5781
103,3.5638,-0.164860546113753,2.192,166.1459,2018-06-06,167.2808,"Jun 6, 18",163.3088,163.5079,526515,526515,165.6482
