,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,1.4676,0.0,1.068,138.9461,2018-01-08,140.1496,"Jan 8, 18",137.6252,137.6252,1882127,1882127,139.0021
1,-0.9392889999999999,-0.00676017534857,-0.676,138.0068,2018-01-09,139.1809,"Jan 9, 18",137.8209,139.0342,1581550,1581550,138.4955
2,-3.3658,-0.030983957088396002,-2.439,134.641,2018-01-10,137.5665,"Jan 10, 18",133.0951,137.3806,3330524,3330524,135.0208
3,-2.583,-0.04957389951931,-1.9180000000000001,132.058,2018-01-11,135.0324,"Jan 11, 18",131.6079,135.0226,3244102,3244102,132.2909
4,-1.9275,-0.063446185247372,-1.46,130.1305,2018-01-12,132.5766,"Jan 12, 18",129.6804,132.4689,3197282,3197282,130.4117
5,2.5733,-0.044926054059811,1.9769999999999999,132.7038,2018-01-16,135.0225,"Jan 16, 18",130.3653,130.3653,3193909,3193909,133.5993
6,0.98821,-0.037813943680319005,0.745,133.692,2018-01-17,134.2006,"Jan 17, 18",132.6255,133.1832,1999706,1999706,133.6113
7,-1.4187,-0.048025097501837005,-1.061,132.2732,2018-01-18,133.7213,"Jan 18, 18",131.8134,133.6333,3416403,3416403,132.4809
8,2.3776,-0.030913426141503,1.7970000000000002,134.6508,2018-01-19,134.7095,"Jan 19, 18",131.8427,132.9679,3284691,3284691,133.8828
9,1.585,-0.019505405333435002,1.177,136.2359,2018-01-22,136.2359,"Jan 22, 18",134.4453,134.7193,1826817,1826817,135.6394
10,1.9177,-0.005703650552264,1.408,138.1536,2018-01-23,138.3884,"Jan 23, 18",136.1967,136.5,2923425,2923425,137.7961
11,0.547918,-0.0017603948581490002,0.397,138.7015,2018-01-24,139.6015,"Jan 24, 18",137.9677,138.0557,3061531,3061531,138.5734
12,1.1741,0.0066896444016770005,0.847,139.8756,2018-01-25,139.9734,"Jan 25, 18",138.4471,139.3864,2409540,2409540,139.3608
13,2.1232,0.021970389956968,1.518,141.9988,2018-01-26,142.0037,"Jan 26, 18",139.7538,140.0517,2107947,2107947,141.1636
14,-0.782741,0.016336550648057002,-0.551,141.216,2018-01-29,142.8402,"Jan 29, 18",140.5801,141.7737,3901721,3901721,141.6286
15,0.8023100000000001,0.022111451850753,0.5680000000000001,142.0184,2018-01-30,142.5173,"Jan 30, 18",139.7535,140.7758,2440014,2440014,141.7198
16,2.495,0.040067335463175,1.7570000000000001,144.5133,2018-01-31,145.6287,"Jan 31, 18",142.1064,142.2727,3184697,3184697,144.3527
17,-0.6261909999999999,0.035560551897462,-0.433,143.8871,2018-02-01,146.1375,"Feb 1, 18",143.3784,144.8264,2351036,2351036,144.2279
18,-1.8003,0.02260372907192,-1.251,142.0868,2018-02-02,143.574,"Feb 2, 18",141.1182,143.2805,2474550,2474550,142.0875
19,-3.1114,0.00021159284067700002,-2.19,138.9755,2018-02-05,143.1338,"Feb 5, 18",138.7113,141.0301,3000876,3000876,140.8143
20,-1.8296999999999999,-0.012956822825541002,-1.317,137.1458,2018-02-06,139.1026,"Feb 6, 18",134.6606,137.2534,3817038,3817038,136.8117
21,-0.16633199999999998,-0.014153689812092002,-0.121,136.9795,2018-02-07,139.2592,"Feb 7, 18",136.2359,136.8327,2245859,2245859,137.704
22,-6.2913,-0.059432398606366,-4.593,130.6882,2018-02-08,137.8894,"Feb 8, 18",130.5806,136.8621,3890078,3890078,133.7322
23,2.4265,-0.041968792215110004,1.857,133.1147,2018-02-09,133.9757,"Feb 9, 18",127.5572,131.4514,3977336,3977336,130.5528
24,0.176117,-0.040701394281667004,0.132,133.2908,2018-02-12,134.2692,"Feb 12, 18",130.9426,134.0344,3820973,3820973,132.8249
25,0.078274,-0.040137866410068,0.059000000000000004,133.3691,2018-02-13,133.9659,"Feb 13, 18",131.9504,133.0951,3710257,3710257,133.054
26,-0.812093,-0.04598257885611701,-0.609,132.557,2018-02-14,132.9679,"Feb 14, 18",129.7587,132.1167,4829308,4829308,131.9085
27,0.724035,-0.040771925228559006,0.546,133.281,2018-02-15,133.9757,"Feb 15, 18",130.1745,132.6353,3223301,3223301,132.5987
28,3.718,-0.014013347621847002,2.79,136.999,2018-02-16,138.0068,"Feb 16, 18",132.8701,132.9288,3024737,3024737,136.1735
29,-0.7631709999999999,-0.019505405333435002,-0.557,136.2359,2018-02-20,137.6644,"Feb 20, 18",135.6782,136.1576,2220485,2220485,136.5053
30,-1.7612,-0.032180824074946004,-1.293,134.4747,2018-02-21,137.2241,"Feb 21, 18",134.3769,136.4218,2812090,2812090,135.7352
31,1.5068000000000001,-0.021336331138477,1.12,135.9815,2018-02-22,137.4491,"Feb 22, 18",134.2692,134.9835,3075900,3075900,136.2662
32,2.8276,-0.0009859938494130001,2.079,138.8091,2018-02-23,138.8091,"Feb 23, 18",135.8738,136.5881,1925002,1925002,137.8554
33,0.851229,0.0051401226806650005,0.613,139.6603,2018-02-26,139.8658,"Feb 26, 18",139.0146,139.0733,2214061,2214061,139.5056
34,-1.996,-0.009224440268564001,-1.429,137.6644,2018-02-27,139.905,"Feb 27, 18",132.8799,139.6408,4572523,4572523,136.7682
35,-1.3404,-0.018872066218483002,-0.974,136.3239,2018-02-28,138.5645,"Feb 28, 18",136.3044,138.2612,4015611,4015611,137.3049
36,-3.8746,-0.046756979864854005,-2.842,132.4494,2018-03-01,136.6077,"Mar 1, 18",131.9993,136.001,3177951,3177951,133.941
37,-1.3404,-0.056404605814772,-1.012,131.1089,2018-03-02,131.8427,"Mar 2, 18",129.1716,131.7253,3224579,3224579,130.9561
