,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,17.73,0.0,1.442,1246.87,2018-01-08,1253.08,"Jan 8, 18",1232.03,1236.0,4279475,4279475,1244.41
1,5.83,0.004675707972763001,0.468,1252.7,2018-01-09,1259.33,"Jan 9, 18",1241.76,1256.9,3661316,3661316,1250.63
2,1.63,0.005982981385389,0.13,1254.33,2018-01-10,1254.33,"Jan 10, 18",1237.23,1245.15,2686017,2686017,1248.27
3,22.35,0.023907865294698002,1.782,1276.68,2018-01-11,1276.77,"Jan 11, 18",1256.46,1259.74,3125048,3125048,1266.15
4,28.52,0.046781139974496004,2.234,1305.2,2018-01-12,1305.76,"Jan 12, 18",1273.39,1273.39,5443730,5443730,1297.55
5,-0.34,0.046508457176770004,-0.026000000000000002,1304.86,2018-01-16,1339.94,"Jan 16, 18",1292.3,1323.0,7220701,7220701,1318.72
6,-9.86,0.038600656042731,-0.756,1295.0,2018-01-17,1314.0,"Jan 17, 18",1280.88,1312.24,5253754,5253754,1295.03
7,-1.6800000000000002,0.037253282218675,-0.13,1293.32,2018-01-18,1304.6,"Jan 18, 18",1284.02,1293.95,4026915,4026915,1295.09
8,1.26,0.038263812586717,0.097,1294.58,2018-01-19,1313.0,"Jan 19, 18",1292.99,1312.0,4578536,4578536,1299.95
9,32.73,0.06451354190894,2.528,1327.31,2018-01-22,1327.45,"Jan 22, 18",1296.66,1297.17,4140061,4140061,1314.43
10,35.23,0.09276829180267301,2.654,1362.54,2018-01-23,1364.9,"Jan 23, 18",1337.34,1338.09,5169306,5169306,1351.57
11,-5.03,0.08873419041279301,-0.369,1357.51,2018-01-24,1388.16,"Jan 24, 18",1338.0,1374.82,6807457,6807457,1362.2
12,20.44,0.105127238605468,1.506,1377.95,2018-01-25,1378.34,"Jan 25, 18",1357.62,1368.0,4753012,4753012,1369.92
13,24.1,0.12445563691483401,1.749,1402.05,2018-01-26,1402.53,"Jan 26, 18",1380.91,1392.01,4857310,4857310,1395.91
14,15.63,0.136991025527922,1.115,1417.68,2018-01-29,1431.39,"Jan 29, 18",1400.44,1409.18,5701898,5701898,1416.7
15,20.14,0.15314347125201502,1.421,1437.82,2018-01-30,1439.25,"Jan 30, 18",1392.0,1403.17,5871942,5871942,1420.89
16,13.07,0.163625718799875,0.909,1450.89,2018-01-31,1472.58,"Jan 31, 18",1450.04,1451.3,6424693,6424693,1459.87
17,-60.89,0.11479143776015101,-4.197,1390.0,2018-02-01,1459.88,"Feb 1, 18",1385.14,1445.0,9113808,9113808,1424.91
18,39.95,0.146831666492898,2.874,1429.95,2018-02-02,1498.0,"Feb 2, 18",1414.0,1477.39,11125722,11125722,1457.98
19,-39.95,0.11479143776015101,-2.794,1390.0,2018-02-05,1458.98,"Feb 5, 18",1320.72,1402.62,11494985,11494985,1419.81
20,52.84,0.15716955255960902,3.801,1442.84,2018-02-06,1443.99,"Feb 6, 18",1351.79,1361.46,11066819,11066819,1407.04
21,-26.06,0.13626921812217802,-1.806,1416.78,2018-02-07,1460.99,"Feb 7, 18",1415.15,1449.0,7162741,7162741,1442.35
22,-66.28,0.08311211273027601,-4.678,1350.5,2018-02-08,1433.75,"Feb 8, 18",1349.94,1429.67,8578557,8578557,1386.1
23,-10.9,0.074370223038488,-0.807,1339.6,2018-02-09,1383.5,"Feb 9, 18",1265.93,1373.49,14141524,14141524,1322.89
24,46.63,0.111767866738312,3.481,1386.23,2018-02-12,1393.81,"Feb 12, 18",1344.01,1364.67,6738944,6738944,1373.0
25,28.28,0.13444865944324502,2.04,1414.51,2018-02-13,1419.72,"Feb 13, 18",1383.53,1385.93,5917879,5917879,1408.14
26,36.54,0.163754040116451,2.583,1451.05,2018-02-14,1452.06,"Feb 14, 18",1403.36,1406.25,5959209,5959209,1434.84
27,10.71,0.17234354824480502,0.738,1461.76,2018-02-15,1468.94,"Feb 15, 18",1436.84,1466.89,5652736,5652736,1458.53
28,-13.07,0.16186130069694502,-0.894,1448.69,2018-02-16,1465.8,"Feb 16, 18",1446.56,1457.37,4472564,4472564,1455.35
29,19.66,0.177628782471308,1.357,1468.35,2018-02-20,1488.77,"Feb 20, 18",1446.49,1446.49,6499228,6499228,1468.67
30,14.57,0.18931404236207403,0.992,1482.92,2018-02-21,1503.49,"Feb 21, 18",1478.92,1485.0,6304351,6304351,1491.4
31,2.42,0.191254902275297,0.163,1485.34,2018-02-22,1502.54,"Feb 22, 18",1475.76,1495.36,4858063,4858063,1488.92
32,14.66,0.20301234290663803,0.987,1500.0,2018-02-23,1500.0,"Feb 23, 18",1486.5,1495.34,4418103,4418103,1494.78
33,21.95,0.22061642352450503,1.463,1521.95,2018-02-26,1522.84,"Feb 26, 18",1507.0,1509.2,4954988,4954988,1517.06
34,-9.97,0.21262040148531902,-0.655,1511.98,2018-02-27,1526.78,"Feb 27, 18",1507.21,1524.5,4808776,4808776,1517.96
35,0.47000000000000003,0.21299734535276302,0.031,1512.45,2018-02-28,1528.7,"Feb 28, 18",1512.0,1519.51,4515023,4515023,1519.56
36,-19.0,0.19775918900927902,-1.256,1493.45,2018-03-01,1518.49,"Mar 1, 18",1465.0,1513.6,6835230,6835230,1493.96
37,6.8,0.20321284496378902,0.455,1500.25,2018-03-02,1501.05,"Mar 2, 18",1455.01,1469.1,6587564,6587564,1480.64
38,23.36,0.22194775718398801,1.557,1523.61,2018-03-05,1525.38,"Mar 5, 18",1481.0,1494.24,5233934,5233934,1509.0
39,14.03,0.233199932631308,0.921,1537.64,2018-03-06,1542.13,"Mar 6, 18",1528.0,1533.2,4561718,4561718,1535.85
40,7.36,0.23910271319383702,0.47900000000000004,1545.0,2018-03-07,1545.9,"Mar 7, 18",1522.51,1526.52,4174123,4174123,1536.92
41,6.86,0.24460448964206302,0.444,1551.86,2018-03-08,1554.88,"Mar 8, 18",1545.25,1550.0,3862615,3862615,1550.8
42,27.03,0.266282772061241,1.742,1578.89,2018-03-09,1578.94,"Mar 9, 18",1559.08,1563.5,4534250,4534250,1569.02
43,19.5,0.28192193251902703,1.235,1598.39,2018-03-12,1605.33,"Mar 12, 18",1586.7,1592.6,5174211,5174211,1598.03
44,-10.21,0.273733428504976,-0.639,1588.18,2018-03-13,1617.54,"Mar 13, 18",1578.01,1615.96,6531892,6531892,1595.64
45,2.8200000000000003,0.27599509170964104,0.178,1591.0,2018-03-14,1606.44,"Mar 14, 18",1590.89,1597.0,4259443,4259443,1597.75
46,-8.68,0.269033660285354,-0.546,1582.32,2018-03-15,1596.91,"Mar 15, 18",1578.11,1595.0,4069701,4069701,1583.95
47,-10.64,0.260500292733003,-0.672,1571.68,2018-03-16,1589.44,"Mar 16, 18",1567.5,1583.45,5425012,5425012,1575.86
48,-26.75,0.23904657261783502,-1.702,1544.93,2018-03-19,1561.66,"Mar 19, 18",1525.35,1554.53,6580766,6580766,1542.45
49,41.58,0.27239407476320704,2.691,1586.51,2018-03-20,1587.0,"Mar 20, 18",1545.41,1550.34,4581568,4581568,1569.29
50,-4.65,0.268664736500196,-0.293,1581.86,2018-03-21,1590.0,"Mar 21, 18",1563.17,1586.45,4750771,4750771,1579.84
51,-36.94,0.239038552535549,-2.335,1544.92,2018-03-22,1573.85,"Mar 22, 18",1542.4,1565.47,6320551,6320551,1555.21
52,-49.36,0.19945142637163402,-3.195,1495.56,2018-03-23,1549.02,"Mar 23, 18",1495.36,1539.01,8006033,8006033,1518.78
53,60.3,0.247812522556481,4.032,1555.86,2018-03-26,1556.99,"Mar 26, 18",1499.25,1530.0,5624700,5624700,1531.97
54,-58.81,0.20064641863225502,-3.7800000000000002,1497.05,2018-03-27,1575.96,"Mar 27, 18",1482.32,1572.4,6999631,6999631,1539.09
55,-65.63,0.148010618588946,-4.384,1431.42,2018-03-28,1455.9,"Mar 28, 18",1386.17,1447.0,13705317,13705317,1425.27
56,15.92,0.16077858958832902,1.112,1447.34,2018-03-29,1455.47,"Mar 29, 18",1365.2,1406.0,12581121,12581121,1416.82
57,-75.35,0.10034726956298501,-5.206,1371.99,2018-04-02,1421.36,"Apr 2, 18",1355.0,1417.62,10463607,10463607,1380.91
58,20.06,0.11643555462879,1.462,1392.05,2018-04-03,1414.0,"Apr 3, 18",1355.33,1391.38,10231212,10231212,1383.57
59,18.52,0.131288747022544,1.33,1410.57,2018-04-04,1415.39,"Apr 4, 18",1352.88,1358.24,6982305,6982305,1384.59
60,41.18,0.164315445876474,2.919,1451.75,2018-04-05,1459.56,"Apr 5, 18",1427.07,1441.99,6413459,6413459,1445.19
61,-46.52,0.127006023081796,-3.204,1405.23,2018-04-06,1452.5,"Apr 6, 18",1400.26,1429.97,5882257,5882257,1424.88
62,0.85,0.12768773007611,0.06,1406.08,2018-04-09,1438.48,"Apr 9, 18",1402.57,1425.03,4208206,4208206,1423.81
63,30.14,0.151860258086248,2.144,1436.22,2018-04-10,1438.38,"Apr 10, 18",1415.7,1431.99,4280144,4280144,1428.04
64,-9.17,0.144505842629945,-0.638,1427.05,2018-04-11,1448.78,"Apr 11, 18",1424.89,1439.44,3582533,3582533,1437.17
65,21.45,0.16170891913351002,1.5030000000000001,1448.5,2018-04-12,1452.12,"Apr 12, 18",1435.06,1439.5,3135027,3135027,1446.52
66,-17.71,0.14750535340492602,-1.223,1430.79,2018-04-13,1459.78,"Apr 13, 18",1424.52,1449.14,3685267,3685267,1442.33
67,10.71,0.156094861533279,0.749,1441.5,2018-04-16,1447.0,"Apr 16, 18",1427.48,1445.0,2808624,2808624,1438.57
68,62.33,0.20608403442219303,4.324,1503.83,2018-04-17,1507.19,"Apr 17, 18",1457.02,1462.3,5114403,5114403,1486.24
69,24.01,0.225340251990985,1.597,1527.84,2018-04-18,1533.8,"Apr 18, 18",1504.11,1514.65,5227509,5227509,1522.22
70,29.07,0.248654631196516,1.903,1556.91,2018-04-19,1568.52,"Apr 19, 18",1539.06,1543.22,6523728,6523728,1554.42
71,-29.42,0.225059549110974,-1.8900000000000001,1527.49,2018-04-20,1561.2,"Apr 20, 18",1516.09,1561.2,5541622,5541622,1538.98
72,-9.63,0.21733620986951302,-0.63,1517.86,2018-04-23,1548.0,"Apr 23, 18",1503.41,1546.69,4465424,4465424,1526.48
73,-57.77,0.171004194503035,-3.806,1460.09,2018-04-24,1539.5,"Apr 24, 18",1448.45,1535.8,7494699,7494699,1476.55
74,0.08,0.17106835516132401,0.005,1460.17,2018-04-25,1469.99,"Apr 25, 18",1415.02,1458.0,6587290,6587290,1447.1
75,57.79,0.21741641069237302,3.958,1517.96,2018-04-26,1529.42,"Apr 26, 18",1478.5,1485.01,8801101,8801101,1506.44
76,54.66,0.261254180467891,3.601,1572.62,2018-04-27,1638.1,"Apr 27, 18",1567.39,1634.01,13053241,13053241,1594.06
77,-6.49,0.256049147064249,-0.41300000000000003,1566.13,2018-04-30,1596.0,"Apr 30, 18",1560.94,1582.5,5464085,5464085,1576.45
78,16.13,0.26898553979163803,1.03,1582.26,2018-05-01,1585.0,"May 1, 18",1552.18,1563.22,4572071,4572071,1570.77
79,-12.58,0.25889627627579404,-0.795,1569.68,2018-05-02,1588.5,"May 2, 18",1566.36,1580.98,4360273,4360273,1577.17
80,2.395,0.26082109602444503,0.153,1572.08,2018-05-03,1574.8,"May 3, 18",1546.02,1560.01,4251917,4251917,1562.84
81,8.875,0.26793490901216604,0.5650000000000001,1580.95,2018-05-04,1584.9,"May 4, 18",1562.19,1562.45,3443567,3443567,1578.04
82,19.19,0.283325446919085,1.214,1600.14,2018-05-07,1606.95,"May 7, 18",1587.83,1589.34,3801855,3801855,1599.49
83,-7.75,0.27710988314740104,-0.484,1592.39,2018-05-08,1596.88,"May 8, 18",1582.51,1595.0,3067949,3067949,1590.05
