,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-2.4903,0.0,-1.075,229.0904,2018-01-08,230.7407,"Jan 8, 18",228.0082,230.7407,1630822,1630822,229.0024
1,2.8066,0.0122506224617,1.225,231.8969,2018-01-09,232.6974,"Jan 9, 18",228.2899,229.0904,1777122,1777122,230.5684
2,-0.760934,0.008929226191931,-0.328,231.136,2018-01-10,232.0056,"Jan 10, 18",229.3374,230.3256,851162,851162,230.4608
3,1.0969,0.013717292387633001,0.47500000000000003,232.2329,2018-01-11,234.2094,"Jan 11, 18",231.1459,231.2447,1520365,1520365,232.9779
4,4.7632,0.034509521132269,2.051,236.9962,2018-01-12,237.5693,"Jan 12, 18",234.7726,236.3143,1916549,1916549,236.3732
5,1.9073,0.042834618997566,0.805,238.9034,2018-01-16,240.9342,"Jan 16, 18",237.7472,238.3599,1513841,1513841,239.3241
6,7.3129,0.07475607882303201,3.061,246.2163,2018-01-17,247.0958,"Jan 17, 18",239.3086,240.1486,1712364,1712364,244.9588
7,0.494112,0.076912869330185,0.201,246.7104,2018-01-18,247.3033,"Jan 18, 18",244.1015,247.3033,1205673,1205673,246.3473
8,0.405172,0.078681603419436,0.164,247.1156,2018-01-19,247.7283,"Jan 19, 18",246.409,247.6986,1523463,1523463,247.1259
9,0.43481899999999996,0.080579544145018,0.176,247.5504,2018-01-22,247.9556,"Jan 22, 18",245.0798,247.2045,1267381,1267381,247.133
10,0.0,0.080579544145018,0.0,247.5504,2018-01-23,247.7283,"Jan 23, 18",245.7815,247.5208,1007294,1007294,246.9271
11,2.4607,0.09132071880794601,0.994,250.0111,2018-01-24,250.8807,"Jan 24, 18",247.1057,248.1335,1472839,1472839,249.5047
12,-1.6207,0.084246218959851,-0.648,248.3904,2018-01-25,251.4114,"Jan 25, 18",247.2737,249.932,1075777,1075777,248.4088
13,6.7595,0.113752038496593,2.721,255.1499,2018-01-26,255.4858,"Jan 26, 18",247.165,248.3904,1213291,1213291,252.6284
14,-1.1562000000000001,0.10870468601041301,-0.453,253.9936,2018-01-29,255.9898,"Jan 29, 18",253.0548,253.6675,1975854,1975854,254.5045
15,-13.4201,0.050124754245485,-5.284,240.5735,2018-01-30,246.5325,"Jan 30, 18",236.6602,240.9392,4527895,4527895,241.1421
16,4.3581,0.06914824890087,1.812,244.9316,2018-01-31,264.7949,"Jan 31, 18",241.9373,257.1461,4063338,4063338,247.5529
17,-3.8738,0.052238766879799,-1.5819999999999999,241.0578,2018-02-01,245.989,"Feb 1, 18",239.0615,244.5067,2001670,2001670,241.6178
18,-4.6941,0.031748602298481005,-1.947,236.3637,2018-02-02,240.9688,"Feb 2, 18",235.8103,239.1999,1380018,1380018,237.8575
19,-8.6272,-0.005909894085478,-3.65,227.7365,2018-02-05,236.843,"Feb 5, 18",225.1276,235.3063,2016395,2016395,230.9363
20,4.3284,0.012983957424667,1.901,232.0649,2018-02-06,233.567,"Feb 6, 18",221.9653,223.161,2347075,2347075,228.8932
21,3.5675,0.028556412665044002,1.537,235.6324,2018-02-07,237.846,"Feb 7, 18",229.9699,231.1261,2312331,2312331,235.9106
22,-7.7773,-0.005392194522337,-3.301,227.8551,2018-02-08,237.4211,"Feb 8, 18",227.7068,235.2174,2362384,2362384,232.0925
23,1.1266,-0.000474921690302,0.494,228.9816,2018-02-09,230.6814,"Feb 9, 18",222.6867,229.5548,2597160,2597160,226.4646
24,1.0475,0.004097945614482,0.457,230.0292,2018-02-12,231.6894,"Feb 12, 18",227.7464,229.9402,1790861,1790861,229.8971
25,0.671993,0.007031285466348,0.292,230.7012,2018-02-13,232.0649,"Feb 13, 18",226.6593,228.112,1397867,1397867,229.0719
26,1.5514999999999999,0.013803721151126,0.673,232.2527,2018-02-14,232.9543,"Feb 14, 18",228.7346,228.9816,1500188,1500188,231.6314
27,-2.9251,0.0010349626173770002,-1.259,229.3275,2018-02-15,234.3082,"Feb 15, 18",226.6307,234.3082,1532815,1532815,228.7267
28,2.9251,0.013803721151126,1.276,232.2527,2018-02-16,233.5176,"Feb 16, 18",228.6358,228.6358,1086638,1086638,231.8738
29,-2.767,0.001725083198597,-1.191,229.4856,2018-02-20,232.0847,"Feb 20, 18",228.8927,230.5332,998789,998789,230.1632
30,-0.18776099999999998,0.0009057559810450001,-0.082,229.2979,2018-02-21,232.6677,"Feb 21, 18",229.2682,230.2565,967000,967000,230.5974
31,1.6306,0.008023470210886001,0.711,230.9285,2018-02-22,232.4009,"Feb 22, 18",229.2682,230.5233,1023480,1023480,230.8201
32,1.5416,0.014752691513917001,0.668,232.4701,2018-02-23,232.7863,"Feb 23, 18",230.0885,232.2131,1052677,1052677,231.764
33,2.9449,0.027607442302252,1.267,235.415,2018-02-26,235.8498,"Feb 26, 18",231.5906,232.6578,974303,974303,234.7786
34,-0.998107,0.023250646906199,-0.424,234.4169,2018-02-27,237.935,"Feb 27, 18",234.2489,236.0672,1341496,1341496,235.64
35,-1.8085,0.015356383331645001,-0.771,232.6084,2018-02-28,236.8677,"Feb 28, 18",232.5689,234.6738,1593652,1593652,234.1268
36,-3.3007,0.0009489703627910001,-1.419,229.3078,2018-03-01,233.8585,"Mar 1, 18",226.6,231.887,1498414,1498414,229.8444
