,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.295878,0.0,0.47600000000000003,62.4201,2018-01-08,62.5286,"Jan 8, 18",61.7396,62.0157,572328,572328,62.3619
1,-0.049312999999999996,-0.000789809692711,-0.079,62.3708,2018-01-09,62.7801,"Jan 9, 18",62.282,62.4497,526384,526384,62.5149
2,0.16766299999999998,0.0018968249009530002,0.269,62.5385,2018-01-10,62.8245,"Jan 10, 18",62.1341,62.2524,634427,634427,62.569
3,1.3216,0.023067889990563,2.113,63.86,2018-01-11,63.8798,"Jan 11, 18",62.6963,62.7357,558679,558679,63.4362
4,0.562165,0.032074604173976,0.88,64.4222,2018-01-12,64.4715,"Jan 12, 18",63.7614,63.9882,856560,856560,64.2818
5,-0.24656299999999998,0.028123953662362002,-0.383,64.1756,2018-01-16,65.2802,"Jan 16, 18",63.9389,64.7871,1003245,1003245,64.594
6,0.512853,0.036340858153062004,0.799,64.6885,2018-01-17,64.8562,"Jan 17, 18",64.0967,64.5701,677984,677984,64.6468
7,0.31560099999999996,0.04139692182486,0.488,65.0041,2018-01-18,65.2013,"Jan 18, 18",64.5307,64.5307,507710,507710,64.9422
8,1.1145,0.059251747433919005,1.714,66.1186,2018-01-19,66.1284,"Jan 19, 18",65.0435,65.2704,635213,635213,65.762
9,-0.039450000000000006,0.058618938450915,-0.06,66.0791,2018-01-22,66.1432,"Jan 22, 18",65.5071,66.1087,929272,929272,65.9211
10,-0.19725099999999998,0.05545969968007101,-0.299,65.8819,2018-01-23,66.2665,"Jan 23, 18",65.4578,65.9706,655594,655594,65.8294
11,0.0,0.05545969968007101,0.0,65.8819,2018-01-24,66.7192,"Jan 24, 18",65.5465,66.2369,900702,900702,65.908
12,0.591752,0.064939018040663,0.898,66.4736,2018-01-25,66.878,"Jan 25, 18",66.0002,66.1284,1418651,1418651,66.424
13,0.433953,0.071891906613414,0.653,66.9076,2018-01-26,67.1837,"Jan 26, 18",66.2764,66.7892,1310565,1310565,66.6337
14,-1.006,0.055775303147543004,-1.504,65.9016,2018-01-29,67.45,"Jan 29, 18",65.8621,66.9076,1373455,1373455,66.314
15,-0.21755000000000002,0.052289246572818006,-0.33,65.684,2018-01-30,66.3268,"Jan 30, 18",62.3019,63.4886,2342707,2342707,65.3946
16,0.356012,0.057992537660144006,0.542,66.04,2018-01-31,66.6927,"Jan 31, 18",65.595,66.4158,4651935,4651935,66.0047
17,0.009888,0.05815114041791,0.015,66.0499,2018-02-01,67.3652,"Feb 1, 18",65.6049,66.2477,1481479,1481479,66.4324
18,-2.1262,0.024089996651719,-3.219,63.9238,2018-02-02,65.6643,"Feb 2, 18",63.9139,65.4269,1005986,1005986,64.5133
19,-3.0459,-0.024706785154141,-4.765,60.8779,2018-02-05,64.0226,"Feb 5, 18",60.7691,63.5776,1560335,1560335,62.1753
20,0.751579,-0.012665791948426002,1.235,61.6295,2018-02-06,62.0151,"Feb 6, 18",58.8407,59.6318,2007185,2007185,61.0694
21,0.395567,-0.0063296918780960006,0.642,62.025,2018-02-07,63.1524,"Feb 7, 18",61.4416,61.4712,1155280,1155280,62.413
