,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.271449,0.0,0.22,123.3927,2018-01-08,124.2652,"Jan 8, 18",122.9565,123.48,918994,918994,123.4233
1,-0.930681,-0.007542585582453001,-0.754,122.462,2018-01-09,123.4218,"Jan 9, 18",122.2294,123.3539,866146,866146,122.6669
2,-1.0082,-0.015713247218028,-0.8230000000000001,121.4538,2018-01-10,122.4329,"Jan 10, 18",120.6773,122.4329,1087388,1087388,121.3358
3,-0.174502,-0.017127431363443,-0.14400000000000002,121.2793,2018-01-11,122.6753,"Jan 11, 18",121.1048,122.0936,840115,840115,121.6056
4,0.019389,-0.016970209744984,0.016,121.2987,2018-01-12,121.5314,"Jan 12, 18",119.8057,121.2793,1622004,1622004,121.1023
5,-0.184198,-0.018463004699629002,-0.152,121.1145,2018-01-16,122.7335,"Jan 16, 18",121.0272,121.4538,558247,558247,121.5341
6,0.552592,-0.013984619835695001,0.456,121.6671,2018-01-17,122.2875,"Jan 17, 18",120.4553,121.6283,1227147,1227147,121.1159
7,-0.116336,-0.014927949546448,-0.096,121.5507,2018-01-18,122.0549,"Jan 18, 18",120.7461,121.638,651543,651543,121.4932
8,0.552592,-0.010449564682513,0.455,122.1033,2018-01-19,122.2584,"Jan 19, 18",121.3084,121.8416,616812,616812,121.8335
9,1.3282,0.00031444323691700004,1.088,123.4315,2018-01-22,123.4315,"Jan 22, 18",121.5265,122.113,738629,738629,123.1735
10,0.33931,0.0030642007185180003,0.275,123.7708,2018-01-23,123.9647,"Jan 23, 18",122.9274,123.4121,524049,524049,123.51
11,-1.0179,-0.005185071726285,-0.8220000000000001,122.7529,2018-01-24,124.0229,"Jan 24, 18",122.0549,123.5187,562129,562129,122.7333
12,0.339311,-0.002435314244683,0.276,123.0922,2018-01-25,123.2279,"Jan 25, 18",122.1712,122.6365,425465,425465,122.8055
13,-0.48473000000000005,-0.006363423444012001,-0.394,122.6075,2018-01-26,123.5187,"Jan 26, 18",121.7155,123.3733,365743,365743,122.3881
14,-1.9001000000000001,-0.021763037845836,-1.55,120.7073,2018-01-29,122.3554,"Jan 29, 18",120.3777,122.3554,570715,570715,120.8659
15,1.2021,-0.012020970446387001,0.996,121.9094,2018-01-30,122.2681,"Jan 30, 18",119.573,121.6186,727398,727398,121.399
16,3.8294,0.019013280364235,3.141,125.7388,2018-01-31,125.7388,"Jan 31, 18",122.0258,122.0258,926192,926192,124.8115
17,-4.3432,-0.016184912073404,-3.454,121.3956,2018-02-01,126.4223,"Feb 1, 18",121.3278,125.7388,848941,848941,122.2723
18,-1.0664,-0.024827238564355,-0.878,120.3292,2018-02-02,121.8406,"Feb 2, 18",118.9332,120.6588,672220,672220,120.4281
19,-4.1105,-0.058139582001204004,-3.416,116.2187,2018-02-05,120.6298,"Feb 5, 18",116.0248,120.1547,852131,852131,117.7624
20,-1.2991000000000001,-0.068667757492947,-1.118,114.9196,2018-02-06,116.6162,"Feb 6, 18",112.8935,115.4722,1051676,1051676,114.7556
21,0.407173,-0.06536772434674,0.354,115.3268,2018-02-07,117.2173,"Feb 7, 18",114.1732,114.59,963488,963488,116.1196
22,-4.2462,-0.09977980869208601,-3.682,111.0806,2018-02-08,116.6986,"Feb 8, 18",110.5183,114.9681,1065853,1065853,113.5536
23,3.3543,-0.07259586669227601,3.02,114.4349,2018-02-09,115.2783,"Feb 9, 18",111.0903,112.2924,958186,958186,113.1088
24,1.0082,-0.06442439463598701,0.881,115.4432,2018-02-12,116.0248,"Feb 12, 18",111.8368,115.1814,920817,920817,114.6749
25,1.2409,-0.054367883999620004,1.075,116.6841,2018-02-13,117.1688,"Feb 13, 18",114.2604,115.2202,792487,792487,115.8955
26,-0.290838,-0.05672539785578801,-0.249,116.3932,2018-02-14,116.7713,"Feb 14, 18",114.2992,115.6952,498772,498772,115.9621
27,1.6287,-0.043526075691673,1.399,118.0219,2018-02-15,118.051,"Feb 15, 18",116.4902,116.8876,559750,559750,117.4931
28,0.891902,-0.036297933346138005,0.756,118.9138,2018-02-16,119.4179,"Feb 16, 18",118.0122,118.177,575957,575957,118.8232
29,-1.6384,-0.049575866319482007,-1.3780000000000001,117.2754,2018-02-20,120.1547,"Feb 20, 18",117.1106,118.5454,774519,774519,118.0005
30,-2.4624,-0.069531665973756,-2.1,114.813,2018-02-21,117.5178,"Feb 21, 18",114.7064,116.8876,680856,680856,115.5
31,1.4929999999999999,-0.05743208471813901,1.3,116.306,2018-02-22,117.1106,"Feb 22, 18",115.4044,115.4335,515925,515925,116.4172
32,2.5981,-0.036376544155367,2.234,118.9041,2018-02-23,118.9235,"Feb 23, 18",116.5289,116.8198,273958,273958,118.1231
33,0.7077049999999999,-0.030641196764476002,0.595,119.6118,2018-02-26,119.6312,"Feb 26, 18",117.9734,119.4082,308953,308953,119.1232
34,-2.4624,-0.050596996418750005,-2.059,117.1494,2018-02-27,119.7815,"Feb 27, 18",116.7713,119.3888,543491,543491,117.6502
35,0.45564699999999997,-0.04690471964711,0.389,117.605,2018-02-28,119.4858,"Feb 28, 18",117.576,117.5953,848276,848276,118.1095
36,1.2506,-0.036769598201514,1.063,118.8556,2018-03-01,119.3404,"Mar 1, 18",116.5483,117.1203,653889,653889,118.5549
37,0.862819,-0.029776477862952,0.726,119.7185,2018-03-02,119.922,"Mar 2, 18",117.4305,118.5066,512203,512203,118.9124
38,1.4542000000000002,-0.017991339844253003,1.215,121.1727,2018-03-05,121.9821,"Mar 5, 18",118.7781,119.0205,618839,618839,121.0705
39,0.407172,-0.014692117118759002,0.336,121.5798,2018-03-06,121.9191,"Mar 6, 18",119.4179,121.0951,589452,589452,120.8706
40,0.3587,-0.011785138018699001,0.295,121.9385,2018-03-07,122.3845,"Mar 7, 18",120.94,121.1436,470484,470484,121.9017
41,-0.13572499999999998,-0.012884878927197,-0.111,121.8028,2018-03-08,122.53960000000001,"Mar 8, 18",121.066,122.3069,388090,388090,121.6208
42,0.329617,-0.010213732254825001,0.271,122.1324,2018-03-09,122.559,"Mar 9, 18",120.7073,122.4136,471960,471960,121.7274
43,0.048472999999999995,-0.009820678208678001,0.04,122.1809,2018-03-12,122.685,"Mar 12, 18",121.638,122.1033,714545,714545,122.1808
44,0.5138119999999999,-0.0056567365816610005,0.421,122.6947,2018-03-13,123.606,"Mar 13, 18",121.8513,122.4039,439494,439494,122.8901
45,-0.155113,-0.006913699108618001,-0.126,122.53960000000001,2018-03-14,123.4315,"Mar 14, 18",121.6283,122.9661,586726,586726,122.7097
46,0.6592319999999999,-0.0015714057638740002,0.538,123.1988,2018-03-15,123.5963,"Mar 15, 18",122.4426,122.7238,436725,436725,123.1087
47,1.1246,0.007542585582453001,0.913,124.3234,2018-03-16,124.6433,"Mar 16, 18",122.559,122.8304,1269042,1269042,124.086
48,-0.9694600000000001,-0.00031444323691700004,-0.78,123.3539,2018-03-19,124.5318,"Mar 19, 18",122.6365,124.3331,490267,490267,123.4464
49,-0.8240400000000001,-0.006992309917847,-0.668,122.5299,2018-03-20,124.2943,"Mar 20, 18",122.0646,123.4703,621297,621297,122.5718
50,-0.9985419999999999,-0.015084360744193,-0.8150000000000001,121.5314,2018-03-21,122.5638,"Mar 21, 18",120.6443,122.53960000000001,364994,364994,121.6442
51,-3.0829,-0.040068820927007004,-2.537,118.4485,2018-03-22,121.9773,"Mar 22, 18",118.3127,120.9691,1061627,1061627,120.0402
52,-3.4707,-0.06819609263757001,-2.93,114.9778,2018-03-23,118.7296,"Mar 23, 18",114.4544,118.3321,968974,968974,116.0623
53,2.4333,-0.04847531499027,2.116,117.4112,2018-03-26,117.6438,"Mar 26, 18",115.1329,116.083,764855,764855,116.4264
54,0.8434300000000001,-0.041640226690882,0.718,118.2546,2018-03-27,120.3389,"Mar 27, 18",115.9376,117.8959,981063,981063,118.6086
55,2.4221,-0.02201102658423,2.048,120.6767,2018-03-28,120.9404,"Mar 28, 18",118.8894,118.9382,441217,441217,120.4754
56,1.299,-0.011484471933915,1.076,121.9756,2018-03-29,122.1514,"Mar 29, 18",120.3545,120.8915,590892,590892,121.7218
57,-3.0277,-0.036020769462050004,-2.482,118.948,2018-04-02,122.2003,"Apr 2, 18",117.7662,121.9268,718255,718255,118.8461
58,1.0157,-0.027789326272948,0.854,119.9637,2018-04-03,120.3837,"Apr 3, 18",118.3327,119.1824,601440,601440,119.7658
59,1.5627,-0.015124881779878,1.303,121.5264,2018-04-04,121.6436,"Apr 4, 18",118.7331,119.4363,509863,509863,120.7725
60,-1.2306,-0.025097919082733,-1.013,120.2958,2018-04-05,121.7998,"Apr 5, 18",119.6951,121.7998,543111,543111,120.2071
61,-1.0743,-0.033805079230781,-0.893,119.2214,2018-04-06,120.872,"Apr 6, 18",118.8894,120.6571,456275,456275,119.7787
62,-0.7129639999999999,-0.039582568498784006,-0.598,118.5085,2018-04-09,119.8856,"Apr 9, 18",118.3327,119.3191,627538,627538,118.8928
63,0.35159799999999997,-0.036733129269397,0.297,118.8601,2018-04-10,119.2703,"Apr 10, 18",118.2838,119.1726,557856,557856,118.884
64,-0.595765,-0.041561615881652005,-0.501,118.2643,2018-04-11,119.1726,"Apr 11, 18",118.2545,118.4987,533336,533336,118.5995
65,-0.292999,-0.043936148572808004,-0.248,117.9713,2018-04-12,118.5182,"Apr 12, 18",117.2974,118.5182,647605,647605,117.843
66,1.2306,-0.033963111269953,1.043,119.2019,2018-04-13,119.28,"Apr 13, 18",117.7174,118.2448,392354,392354,118.8889
67,0.8594649999999999,-0.026997545235658,0.721,120.0614,2018-04-16,120.6083,"Apr 16, 18",119.1091,119.5535,361023,361023,120.0413
68,1.2892000000000001,-0.016549601394572,1.074,121.3506,2018-04-17,122.4727,"Apr 17, 18",119.8172,120.3544,454577,454577,121.6376
69,0.058600000000000006,-0.016074694856340003,0.048,121.4092,2018-04-18,122.3761,"Apr 18, 18",121.2529,121.5361,453419,453419,121.7278
70,-2.1975,-0.03388369004001,-1.81,119.2117,2018-04-19,121.0966,"Apr 19, 18",118.3131,121.0966,356197,356197,119.1889
71,-0.742265,-0.039899442997843,-0.623,118.4694,2018-04-20,119.827,"Apr 20, 18",118.3229,119.4754,527388,527388,118.6698
72,0.068366,-0.039345115229669006,0.058,118.5378,2018-04-23,119.28,"Apr 23, 18",118.0299,118.5475,320264,320264,118.4343
73,0.283232,-0.037050003768456005,0.23900000000000002,118.821,2018-04-24,119.4851,"Apr 24, 18",118.0006,118.8991,420210,420210,118.6944
74,0.19533299999999998,-0.03546725211459,0.164,119.0163,2018-04-25,119.3289,"Apr 25, 18",118.0104,118.5573,411352,411352,118.8227
75,1.4162,-0.023990073967098003,1.19,120.4325,2018-04-26,121.3115,"Apr 26, 18",119.0163,119.2703,457644,457644,120.546
76,1.5138,-0.01172192520303,1.2570000000000001,121.9463,2018-04-27,122.4249,"Apr 27, 18",120.3348,120.3837,393181,393181,121.7677
77,-0.283232,-0.014017036664243001,-0.232,121.6631,2018-04-30,122.3565,"Apr 30, 18",121.1845,122.3565,657254,657254,121.699
78,4.7271,0.02429236089331,3.885,126.3902,2018-05-01,127.484,"May 1, 18",121.7412,122.6886,1224242,1224242,125.6651
79,-1.7971,0.009728290247316002,-1.422,124.5931,2018-05-02,125.9214,"May 2, 18",123.4113,125.7456,1060541,1060541,125.0101
80,-0.8203969999999999,0.003079598712079,-0.658,123.7727,2018-05-03,124.6419,"May 3, 18",123.1086,124.2415,721397,721397,123.756
81,1.7775,0.017484826898187002,1.436,125.5502,2018-05-04,125.8921,"May 4, 18",123.2062,123.7825,455214,455214,124.9983
82,1.2208,0.027379253391813,0.972,126.7711,2018-05-07,127.025,"May 7, 18",125.3451,126.1655,454862,454862,126.3774
83,-1.4259,0.015822654014378,-1.125,125.3451,2018-05-08,126.2144,"May 8, 18",124.9154,126.0581,621579,621579,125.4836
84,1.465,0.027695317470158003,1.169,126.8101,2018-05-09,126.8785,"May 9, 18",125.2621,125.6381,316640,316640,126.4671
85,-0.468798,0.023896065164308002,-0.37,126.3413,2018-05-10,127.4743,"May 10, 18",125.8139,126.9664,446638,446638,126.4765
86,-1.2892000000000001,0.013448121323222002,-1.02,125.0521,2018-05-11,126.9566,"May 11, 18",124.9642,126.5757,664458,664458,125.5506
87,-1.0353,0.005058646094947001,-0.8280000000000001,124.0169,2018-05-14,125.3793,"May 14, 18",123.3918,125.1986,609501,609501,124.0281
88,-2.7640000000000002,-0.017341382431861,-2.229,121.2529,2018-05-15,123.6164,"May 15, 18",120.9111,123.6164,639897,639897,121.6677
89,-1.4748,-0.029293467117584,-1.216,119.7781,2018-05-16,121.7803,"May 16, 18",119.5633,121.5459,844802,844802,120.0636
90,-0.869231,-0.036337643961109,-0.726,118.9089,2018-05-17,120.2274,"May 17, 18",118.8122,119.7781,516196,516196,119.1492
91,-0.517632,-0.040532381575247,-0.435,118.3913,2018-05-18,119.0847,"May 18, 18",117.7711,118.8698,808941,808941,118.3115
92,2.1584,-0.023040260890636002,1.823,120.5497,2018-05-21,120.9111,"May 21, 18",117.9322,119.1921,706113,706113,119.8887
93,0.36136599999999997,-0.020111400431305,0.30000000000000004,120.9111,2018-05-22,121.1162,"May 22, 18",119.9832,120.4325,643024,643024,120.7176
94,1.9631,-0.00420203140056,1.624,122.8742,2018-05-23,123.3332,"May 23, 18",120.5399,120.8915,504062,504062,122.7594
95,-1.9533,-0.020032789622076,-1.5899999999999999,120.9208,2018-05-24,123.0402,"May 24, 18",120.0907,123.0402,782744,782744,121.0328
96,-0.302766,-0.022485933122461003,-0.25,120.6181,2018-05-25,121.3994,"May 25, 18",120.413,121.0185,612747,612747,120.6897
97,0.869231,-0.015441756278937001,0.721,121.4873,2018-05-29,121.5459,"May 29, 18",119.8172,120.2274,1026753,1026753,120.8165
98,0.9180649999999999,-0.008001283706410001,0.756,122.4054,2018-05-30,123.2648,"May 30, 18",121.1455,121.7119,1178735,1178735,122.4025
99,-0.400433,-0.011247018664799002,-0.327,122.0049,2018-05-31,122.5714,"May 31, 18",121.458,121.7412,1356449,1356449,122.1178
100,0.6445989999999999,-0.006023046744256,0.528,122.6495,2018-06-01,122.8351,"Jun 1, 18",121.3017,122.3175,905487,905487,122.3128
101,1.592,0.006878851017928,1.298,124.2415,2018-06-04,124.3734,"Jun 4, 18",122.8253,123.0988,549155,549155,123.6919
102,-0.5859989999999999,0.0021297856356170004,-0.47200000000000003,123.6555,2018-06-05,125.0717,"Jun 5, 18",123.2648,124.4954,591835,591835,123.8624
103,-0.283232,-0.00016532582559500002,-0.229,123.3723,2018-06-06,123.7532,"Jun 6, 18",122.6886,123.2258,770034,770034,123.2707
104,0.019534,-7.293786423357744e-06,0.016,123.3918,2018-06-07,123.9192,"Jun 7, 18",122.3565,123.8801,563381,563381,123.2902
105,0.830163,0.006720818978756001,0.673,124.222,2018-06-08,124.5443,"Jun 8, 18",122.757,123.2844,598444,598444,124.0961
106,-1.8752,-0.008476190244641,-1.51,122.3468,2018-06-11,124.3392,"Jun 11, 18",121.7608,124.3392,861208,861208,122.4599
