,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.258667,0.0,0.392,66.2883,2018-01-08,66.925,"Jan 8, 18",65.3133,66.149,4622445,4622445,66.3455
1,-0.43774399999999997,-0.006604483747509,-0.66,65.8505,2018-01-09,66.4076,"Jan 9, 18",64.5671,66.4076,5995943,5995943,65.4567
2,0.636718,0.0030005295052060003,0.967,66.4872,2018-01-10,66.5967,"Jan 10, 18",65.4426,65.5918,4504020,4504020,66.1249
3,2.3976,0.039171316808546006,3.606,68.8849,2018-01-11,68.9744,"Jan 11, 18",66.8852,67.9397,8176290,8176290,68.381
4,1.1143,0.055979712860338,1.6179999999999999,69.9991,2018-01-12,70.3473,"Jan 12, 18",68.6958,69.3425,8021879,8021879,69.857
5,-1.6415000000000002,0.031216670211786004,-2.345,68.3576,2018-01-16,70.8149,"Jan 16, 18",68.0492,70.5563,5371714,5371714,69.2055
6,1.6415000000000002,0.055979712860338,2.401,69.9991,2018-01-17,70.4568,"Jan 17, 18",68.4372,69.6111,7076063,7076063,69.7705
7,-0.557128,0.047575514834442,-0.796,69.442,2018-01-18,70.3623,"Jan 18, 18",68.8152,69.7504,5620207,5620207,69.4406
8,0.76605,0.059131098549819,1.103,70.208,2018-01-19,70.4767,"Jan 19, 18",69.1236,69.8598,5210041,5210041,70.0061
9,0.726256,0.070087783213628,1.034,70.9343,2018-01-22,71.0338,"Jan 22, 18",69.3226,70.0887,3862712,3862712,70.5475
10,0.248718,0.07383957651651901,0.35100000000000003,71.183,2018-01-23,71.9939,"Jan 23, 18",70.7851,70.9542,5194898,5194898,71.4564
11,-1.4625,0.051778368128312005,-2.055,69.7206,2018-01-24,71.5312,"Jan 24, 18",69.5216,71.2925,9137394,9137394,70.202
12,0.736204,0.06288440041455201,1.056,70.4568,2018-01-25,70.8348,"Jan 25, 18",69.5912,70.2379,4676928,4676928,70.3373
13,1.6913,0.088397198298945,2.4,72.148,2018-01-26,72.2177,"Jan 26, 18",70.3921,70.9741,5748494,5748494,71.6333
14,-0.069641,0.087347239256399,-0.097,72.0784,2018-01-29,72.3072,"Jan 29, 18",71.3323,72.1281,7863823,7863823,71.8958
15,-0.835692,0.074740187936634,-1.159,71.2427,2018-01-30,71.5113,"Jan 30, 18",70.3648,71.0686,5284585,5284585,71.0482
16,2.5071,0.11256134189593,3.519,73.7498,2018-01-31,74.5606,"Jan 31, 18",72.5858,72.5858,7058952,7058952,73.6437
17,-0.775999,0.10085490199627901,-1.052,72.9738,2018-02-01,73.8592,"Feb 1, 18",72.7848,73.1031,5136990,5136990,73.235
18,-1.9201000000000001,0.071889006053858,-2.6310000000000002,71.0537,2018-02-02,72.5858,"Feb 2, 18",71.0139,72.2873,6198415,6198415,71.7064
19,-3.4224,0.020259985547977002,-4.817,67.6313,2018-02-05,70.7652,"Feb 5, 18",66.5668,70.1782,10160732,10160732,69.1082
20,1.7112,0.046074495800918006,2.5300000000000002,69.3425,2018-02-06,69.4818,"Feb 6, 18",65.3829,65.6615,10524316,10524316,67.6933
21,-0.23876899999999998,0.042472050120458,-0.34400000000000003,69.1037,2018-02-07,70.4966,"Feb 7, 18",69.0739,69.2629,6255211,6255211,69.6967
22,-3.6114,-0.012006643706355001,-5.226,65.4924,2018-02-08,69.432,"Feb 8, 18",65.4227,69.2729,11179322,11179322,66.974
23,1.2436,0.006752322808097001,1.899,66.7359,2018-02-09,67.4324,"Feb 9, 18",62.9952,66.6464,18582250,18582250,65.5998
24,1.2336,0.025363450261961,1.849,67.9696,2018-02-12,68.8451,"Feb 12, 18",66.8155,66.8155,8315677,8315677,68.0078
25,-0.28851299999999996,0.021011249345661002,-0.424,67.6811,2018-02-13,67.8602,"Feb 13, 18",66.8354,67.6114,5373597,5373597,67.3839
26,1.6117,0.045324740565076,2.3810000000000002,69.2928,2018-02-14,69.5415,"Feb 14, 18",66.7658,66.8653,7197634,7197634,68.7406
27,2.328,0.080444060264028,3.36,71.6208,2018-02-15,71.7004,"Feb 15, 18",68.6958,69.641,6182546,6182546,70.6933
28,-1.7908,0.053428734784267004,-2.5,69.83,2018-02-16,71.7553,"Feb 16, 18",69.432,71.5909,6497699,6497699,70.3648
29,0.646667,0.063184604221257,0.926,70.4767,2018-02-20,70.9244,"Feb 20, 18",69.3923,69.6111,5386393,5386393,70.3988
30,-0.61682,0.05387828621340401,-0.875,69.8598,2018-02-21,71.4715,"Feb 21, 18",69.8598,70.5364,5555734,5555734,70.5493
31,-0.726256,0.042923110111437006,-1.04,69.1336,2018-02-22,70.3374,"Feb 22, 18",68.7157,69.7007,5229239,5229239,69.4782
32,2.5668,0.081644875490848,3.713,71.7004,2018-02-23,71.7004,"Feb 23, 18",69.432,69.5912,5842100,5842100,70.8158
33,1.0844,0.09800372011350401,1.512,72.7848,2018-02-26,73.7398,"Feb 26, 18",72.3072,72.3072,4868504,4868504,72.7817
34,-0.547179,0.08974886971003901,-0.752,72.2376,2018-02-27,72.9837,"Feb 27, 18",71.6527,72.6753,4141839,4141839,72.2758
35,0.5173329999999999,0.097552660122525,0.716,72.7549,2018-02-28,74.4362,"Feb 28, 18",72.5957,72.7748,7469666,7469666,73.2981
36,-1.1143,0.08074426407073301,-1.532,71.6407,2018-03-01,73.0434,"Mar 1, 18",71.1532,72.7848,8123915,8123915,71.8402
37,1.9897,0.1107601190557,2.777,73.6304,2018-03-02,73.9687,"Mar 2, 18",70.3772,70.8547,6942413,6942413,72.6062
38,1.0844,0.127118963678356,1.473,74.7148,2018-03-05,74.9635,"Mar 5, 18",72.546,73.2822,6276549,6276549,74.1165
39,-1.1739,0.10940995620644901,-1.5710000000000002,73.5409,2018-03-06,75.0929,"Mar 6, 18",72.4863,75.0133,8413256,8413256,73.3145
40,0.149231,0.11166073047581501,0.203,73.6901,2018-03-07,73.7597,"Mar 7, 18",72.3769,73.0036,5834774,5834774,73.1116
41,2.7259,0.152782617747023,3.699,76.416,2018-03-08,76.5155,"Mar 8, 18",73.8493,74.1278,8860522,8860522,75.7652
42,1.4028,0.173944723276958,1.8359999999999999,77.8188,2018-03-09,77.8487,"Mar 9, 18",76.0181,76.4608,8934731,8934731,77.2677
43,-1.353,0.153533881544706,-1.7389999999999999,76.4658,2018-03-12,79.2216,"Mar 12, 18",75.8987,78.8336,8450783,8450783,77.1661
44,-0.9252300000000001,0.13957666737569002,-1.21,75.5406,2018-03-13,77.4507,"Mar 13, 18",75.4162,77.0926,5108464,5108464,76.0261
45,-1.7012,0.11391150474518101,-2.252,73.8393,2018-03-14,76.0678,"Mar 14, 18",73.5508,75.9584,11755687,11755687,74.1025
46,-0.835692,0.10130445342541501,-1.1320000000000001,73.0036,2018-03-15,73.322,"Mar 15, 18",72.1381,72.6156,9989751,9989751,72.85
47,-1.6913,0.075791655541022,-2.317,71.3124,2018-03-16,73.521,"Mar 16, 18",71.2427,73.4911,10549935,10549935,71.8379
48,-0.626768,0.06633598991073801,-0.879,70.6856,2018-03-19,71.7799,"Mar 19, 18",69.4519,70.6358,8278549,8278549,70.6569
49,0.318358,0.071137742256174,0.45,71.0039,2018-03-20,71.7103,"Mar 20, 18",70.4767,70.9741,3994453,3994453,71.0629
50,0.23876899999999998,0.074740187936634,0.336,71.2427,2018-03-21,72.2575,"Mar 21, 18",70.7453,70.8348,4868797,4868797,71.4231
51,-1.8405,0.046975107221032,-2.583,69.4022,2018-03-22,71.2576,"Mar 22, 18",69.2878,70.2677,5108118,5108118,70.0445
52,-1.7112,0.021160596968092003,-2.466,67.691,2018-03-23,70.1583,"Mar 23, 18",67.6711,69.5017,5386419,5386419,68.6995
53,2.0295,0.051778368128312005,2.998,69.7206,2018-03-26,69.7803,"Mar 26, 18",68.079,69.0739,4709366,4709366,69.1114
54,-3.7706,-0.005103464713984001,-5.408,65.95,2018-03-27,70.3075,"Mar 27, 18",65.2237,70.3075,7334865,7334865,67.1243
55,0.020000999999999998,-0.004801752345436,0.03,65.97,2018-03-28,66.54,"Mar 28, 18",64.45,65.93,10463557,10463557,65.5811
56,1.49,0.017675819111366002,2.259,67.46,2018-03-29,68.01,"Mar 29, 18",64.92,66.34,11704314,11704314,67.0777
57,-2.37,-0.018077096561535,-3.513,65.09,2018-04-02,67.23,"Apr 2, 18",64.0918,66.8,9041779,9041779,65.2993
58,0.39,-0.012193705374855,0.599,65.48,2018-04-03,65.86,"Apr 3, 18",64.09,65.39,7186376,7186376,65.2055
59,0.79,-0.000276066817221,1.206,66.27,2018-04-04,66.52,"Apr 4, 18",63.52,63.955,5231650,5231650,65.0956
60,0.26,0.0036461939738980003,0.392,66.53,2018-04-05,67.66,"Apr 5, 18",66.15,67.2,4489722,4489722,66.7979
61,-1.97,-0.026072474328048004,-2.961,64.56,2018-04-06,66.36,"Apr 6, 18",64.13,65.85,4599116,4599116,64.9671
62,1.21,-0.007818876030913,1.874,65.77,2018-04-09,66.77,"Apr 9, 18",64.96,65.16,6588199,6588199,66.1096
63,0.75,0.003495337789624,1.1400000000000001,66.52,2018-04-10,67.05,"Apr 10, 18",65.3,66.96,6354661,6354661,66.1713
64,-0.67,-0.006612026556722,-1.007,65.85,2018-04-11,66.77,"Apr 11, 18",65.71,65.8,3140316,3140316,66.0688
65,1.37,0.014055270688794001,2.08,67.22,2018-04-12,67.58,"Apr 12, 18",65.8,66.25,4614940,4614940,67.0822
66,-1.34,-0.006159458003901001,-1.9929999999999999,65.88,2018-04-13,67.59,"Apr 13, 18",65.29,67.46,4842582,4842582,65.96340000000001
67,0.68,0.004098762526720001,1.032,66.56,2018-04-16,66.85,"Apr 16, 18",65.76,66.53,5717845,5717845,66.3973
68,1.72,0.030046026221821003,2.584,68.28,2018-04-17,68.52,"Apr 17, 18",67.1,67.25,5676297,5676297,68.1167
69,0.41000000000000003,0.036231129777049,0.6000000000000001,68.69,2018-04-18,69.01,"Apr 18, 18",67.97,68.75,4257371,4257371,68.618
70,-1.01,0.020994655165391,-1.47,67.68,2018-04-19,68.72,"Apr 19, 18",67.44,68.25,4564284,4564284,67.8719
71,-1.38,0.00017650173560000002,-2.039,66.3,2018-04-20,67.47,"Apr 20, 18",65.96,67.44,4759437,4759437,66.4861
72,-0.07,-0.000879491554316,-0.106,66.23,2018-04-23,67.84,"Apr 23, 18",65.965,66.6,4423568,4423568,66.5771
73,-0.89,-0.014305691954688001,-1.344,65.34,2018-04-24,67.24,"Apr 24, 18",64.71,66.62,4825775,4825775,65.8039
74,-0.52,-0.022150213536929003,-0.796,64.82,2018-04-25,65.76,"Apr 25, 18",64.01,65.38,3903632,3903632,64.8105
75,1.52,0.000779926472695,2.345,66.34,2018-04-26,66.695,"Apr 26, 18",64.93,65.26,4601529,4601529,66.1524
76,-0.55,-0.007517163662365001,-0.8290000000000001,65.79,2018-04-27,67.3,"Apr 27, 18",65.51,66.69,4749705,4749705,66.0263
77,0.56,0.000930782656969,0.851,66.35,2018-04-30,66.6,"Apr 30, 18",65.28,65.86,5060767,5060767,66.1162
78,1.45,0.022804929376677,2.185,67.8,2018-05-01,67.99,"May 1, 18",65.59,66.15,4360295,4360295,67.0986
79,0.59,0.031705444248834,0.87,68.39,2018-05-02,68.89,"May 2, 18",67.66,67.94,7675147,7675147,68.3899
80,-1.57,0.008021023317840001,-2.296,66.82,2018-05-03,71.03,"May 3, 18",64.06,68.49,22232009,22232009,67.5984
81,3.02,0.053579590968541,4.52,69.84,2018-05-04,69.92,"May 4, 18",66.0228,66.3,11358668,11358668,68.9328
82,0.53,0.061574968735055004,0.759,70.37,2018-05-07,70.73,"May 7, 18",69.6,70.27,5744520,5744520,70.1506
83,-0.76,0.050109898730243005,-1.08,69.61,2018-05-08,70.16,"May 8, 18",69.18,69.66,4059219,4059219,69.6137
84,1.7000000000000002,0.075755450056797,2.442,71.31,2018-05-09,72.04,"May 9, 18",69.81,69.98,5664539,5664539,71.1931
85,1.5899999999999999,0.09974158335633801,2.23,72.9,2018-05-10,72.91,"May 10, 18",71.32,71.78,5069928,5069928,72.3238
86,-1.2,0.081638841243477,-1.646,71.7,2018-05-11,72.78,"May 11, 18",71.27,72.77,4996266,4996266,71.9175
87,0.0,0.081638841243477,0.0,71.7,2018-05-14,72.34,"May 14, 18",71.035,71.87,2964785,2964785,71.6307
88,-1.53,0.058557845049578006,-2.134,70.17,2018-05-15,71.155,"May 15, 18",69.67,70.98,3896220,3896220,70.1307
89,0.16,0.06097154399796,0.228,70.33,2018-05-16,71.94,"May 16, 18",70.1,71.13,5029462,5029462,70.701
90,1.33,0.081035416506381,1.891,71.66,2018-05-17,71.9,"May 17, 18",70.11,70.3,6447396,6447396,71.2699
91,0.33,0.086013670587418,0.461,71.99,2018-05-18,72.14,"May 18, 18",71.05,71.52,5673341,5673341,71.7118
92,-0.54,0.07786743663663101,-0.75,71.45,2018-05-21,73.5,"May 21, 18",71.19,72.5,6392087,6392087,71.7548
93,-0.1,0.076358874793892,-0.14,71.35,2018-05-22,72.57,"May 22, 18",71.23,71.95,4008827,4008827,71.57
94,0.39,0.08224226598057201,0.547,71.74,2018-05-23,71.805,"May 23, 18",70.55,70.73,3809449,3809449,71.2442
95,-0.9400000000000001,0.068061784658831,-1.31,70.8,2018-05-24,71.94,"May 24, 18",70.05,71.75,5526004,5526004,70.7742
96,0.66,0.078018292820904,0.932,71.46,2018-05-25,71.81,"May 25, 18",70.6,70.66,3705573,3705573,71.3326
97,-0.8200000000000001,0.065648085710449,-1.147,70.64,2018-05-29,71.19,"May 29, 18",69.87,70.8,4855943,4855943,70.4777
98,0.05,0.066402366631818,0.07100000000000001,70.69,2018-05-30,71.21,"May 30, 18",70.51,70.92,4093806,4093806,70.7396
99,0.22,0.069721202685843,0.311,70.91,2018-05-31,72.28,"May 31, 18",70.69,70.83,6050285,6050285,71.3965
100,2.12,0.101702713751898,2.99,73.03,2018-06-01,73.21,"Jun 1, 18",70.77,71.42,6388352,6388352,72.5659
101,-0.24,0.09808216532932601,-0.329,72.79,2018-06-04,73.86,"Jun 4, 18",72.66,73.25,4134504,4134504,72.9789
102,-0.02,0.097780452960778,-0.027,72.77,2018-06-05,73.35,"Jun 5, 18",72.19,72.79,5354048,5354048,72.7581
103,2.02,0.128253402184095,2.776,74.79,2018-06-06,75.01,"Jun 6, 18",73.26,73.26,6638541,6638541,74.4117
104,-0.84,0.11558148270509201,-1.123,73.95,2018-06-07,75.28,"Jun 7, 18",73.08,74.79,4686510,4686510,74.1003
105,0.34,0.12071059297040301,0.46,74.29,2018-06-08,74.83,"Jun 8, 18",73.45,73.45,4672568,4672568,74.2288
106,0.71,0.13142138205384601,0.9560000000000001,75.0,2018-06-11,75.53,"Jun 11, 18",74.225,74.25,5108047,5108047,75.1381
107,0.9400000000000001,0.145601863375588,1.2530000000000001,75.94,2018-06-12,76.04,"Jun 12, 18",74.791,75.23,4311531,4311531,75.5074
108,0.73,0.156614364827578,0.961,76.67,2018-06-13,77.52,"Jun 13, 18",75.7,76.04,8634789,8634789,76.8512
109,1.04,0.172303407992058,1.3559999999999999,77.71,2018-06-14,79.25,"Jun 14, 18",76.8,76.83,6717555,6717555,78.2022
110,-0.30000000000000004,0.167777722463843,-0.386,77.41,2018-06-15,77.83,"Jun 15, 18",76.37,77.66,6596147,6596147,77.4121
111,0.46,0.17471710694044001,0.594,77.87,2018-06-18,77.93,"Jun 18, 18",76.47,77.02,3993044,3993044,77.4685
112,-0.63,0.16521316733118702,-0.809,77.24,2018-06-19,77.3,"Jun 19, 18",75.655,76.64,3735314,3735314,76.8746
113,-0.4,0.159178919960234,-0.518,76.84,2018-06-20,77.67,"Jun 20, 18",76.78,77.25,3566053,3566053,77.1107
114,-0.79,0.1472612814026,-1.028,76.05,2018-06-21,77.9054,"Jun 21, 18",75.31,77.17,4233816,4233816,76.1769
115,-0.07,0.14620528811268302,-0.092,75.98,2018-06-22,76.56,"Jun 22, 18",75.215,76.46,3978784,3978784,76.053
116,-1.28,0.126895696525631,-1.685,74.7,2018-06-25,75.4,"Jun 25, 18",74.14,75.19,5390769,5390769,74.7027
117,0.5700000000000001,0.13549449902924002,0.763,75.27,2018-06-26,76.42,"Jun 26, 18",74.43,75.32,4865448,4865448,75.3349
118,-1.85,0.10758610493857801,-2.458,73.42,2018-06-27,75.89,"Jun 27, 18",73.4,75.77,4497366,4497366,74.391
119,2.59,0.14665785666550502,3.528,76.01,2018-06-28,76.19,"Jun 28, 18",73.66,74.0,4755234,4755234,75.1766
120,0.31,0.151334398377994,0.40800000000000003,76.32,2018-06-29,77.24,"Jun 29, 18",76.08,76.44,5072620,5072620,76.4979
121,0.96,0.165816592068283,1.258,77.28,2018-07-02,77.325,"Jul 2, 18",75.0,75.36,3324929,3324929,76.6161
122,-1.4,0.144696726269944,-1.812,75.88,2018-07-03,77.68,"Jul 3, 18",75.72,77.68,2028270,2028270,76.5016
123,0.31,0.149373267982434,0.40900000000000003,76.19,2018-07-05,76.81,"Jul 5, 18",75.685,76.51,7998765,7998765,75.9762
124,1.0,0.164458886409818,1.313,77.19,2018-07-06,77.48,"Jul 6, 18",76.02,76.2,2954209,2954209,77.0739
125,-0.35000000000000003,0.159178919960234,-0.453,76.84,2018-07-09,77.99,"Jul 9, 18",75.93,77.7,4518442,4518442,76.485
126,-0.65,0.149373267982434,-0.846,76.19,2018-07-10,77.07,"Jul 10, 18",75.6749,77.0,2944703,2944703,76.2392
127,2.42,0.185880464576704,3.176,78.61,2018-07-11,79.3631,"Jul 11, 18",75.35,75.35,8191922,8191922,77.9938
128,2.76,0.227516771436286,3.511,81.37,2018-07-12,81.46,"Jul 12, 18",78.67,79.29,8698509,8698509,80.4216
129,0.13,0.22947790183184602,0.16,81.5,2018-07-13,81.64,"Jul 13, 18",79.921,81.4,4550940,4550940,81.115
130,-1.27,0.210319166429068,-1.558,80.23,2018-07-16,81.64,"Jul 16, 18",80.1,81.61,4153266,4153266,80.5772
131,0.72,0.22118081169678502,0.897,80.95,2018-07-17,81.16,"Jul 17, 18",77.55,79.16,4862800,4862800,80.3802
132,0.32,0.226008209593548,0.395,81.27,2018-07-18,81.47,"Jul 18, 18",80.395,80.75,5273739,5273739,81.1301
133,-0.66,0.216051701431474,-0.812,80.61,2018-07-19,81.19,"Jul 19, 18",80.19,81.02,3541198,3541198,80.6197
134,-0.96,0.201569507741185,-1.191,79.65,2018-07-20,80.955,"Jul 20, 18",79.55,80.94,5664687,5664687,80.1383
135,0.1,0.20307806958392302,0.126,79.75,2018-07-23,80.0,"Jul 23, 18",78.82,79.5,3253602,3253602,79.6118
136,-1.34,0.18286334089122802,-1.6800000000000002,78.41,2018-07-24,80.2,"Jul 24, 18",77.96,80.1,4762871,4762871,78.6266
137,1.04,0.19855238405570802,1.326,79.45,2018-07-25,79.74,"Jul 25, 18",78.32,78.6,4485324,4485324,79.225
138,-1.8,0.17139827088641502,-2.266,77.65,2018-07-26,79.62,"Jul 26, 18",77.46,79.39,6181268,6181268,78.0946
139,-2.29,0.136852204687704,-2.949,75.36,2018-07-27,77.5744,"Jul 27, 18",74.67,77.08,6078060,6078060,75.972
140,-2.61,0.09747874059223101,-3.463,72.75,2018-07-30,75.48,"Jul 30, 18",71.79,75.37,8907262,8907262,72.9793
141,0.67,0.10758610493857801,0.921,73.42,2018-07-31,74.29,"Jul 31, 18",72.515,72.91,6373210,6373210,73.5363
142,-0.34,0.10245699467326701,-0.463,73.08,2018-08-01,74.58,"Aug 1, 18",72.92,73.77,6069913,6069913,73.5529
143,0.98,0.11724090073210401,1.341,74.06,2018-08-02,74.159,"Aug 2, 18",72.55,73.65,6621504,6621504,73.5657
144,-2.74,0.07590630624107,-3.7,71.32,2018-08-03,75.25,"Aug 3, 18",70.73,74.5,12700409,12700409,71.783
145,-0.75,0.064592092420532,-1.052,70.57,2018-08-06,71.61,"Aug 6, 18",70.46,71.16,6394839,6394839,70.7746
146,-0.34,0.05946298215522101,-0.482,70.23,2018-08-07,71.665,"Aug 7, 18",69.87,70.57,7887262,7887262,70.5106
147,-0.22,0.056144146101197,-0.313,70.01,2018-08-08,70.55,"Aug 8, 18",69.27,70.07,6922753,6922753,69.9732
148,0.49,0.063536099130615,0.7000000000000001,70.5,2018-08-09,70.97,"Aug 9, 18",69.56,70.02,7571039,7571039,70.5145
149,0.11,0.065195517157628,0.156,70.61,2018-08-10,71.04,"Aug 10, 18",69.77,70.1,4629043,4629043,70.6302
150,-0.09,0.06383781149916301,-0.127,70.52,2018-08-13,72.3,"Aug 13, 18",70.255,70.61,5721510,5721510,71.0694
151,0.77,0.075453737688249,1.092,71.29,2018-08-14,71.7359,"Aug 14, 18",70.18,71.05,4830246,4830246,71.1913
152,-1.98,0.045584213202028004,-2.777,69.31,2018-08-15,70.81,"Aug 15, 18",68.445,70.39,8564470,8564470,69.3043
153,0.38,0.05131674820443401,0.548,69.69,2018-08-16,69.99,"Aug 16, 18",68.91,69.68,9465217,9465217,69.5425
154,-0.54,0.043170514253646,-0.775,69.15,2018-08-17,69.67,"Aug 17, 18",68.33,69.51,5551731,5551731,68.9182
155,-0.22,0.039851678199621,-0.318,68.93,2018-08-20,69.39,"Aug 20, 18",68.22,69.21,4579767,4579767,68.8594
156,0.73,0.050864179651612,1.059,69.66,2018-08-21,70.26,"Aug 21, 18",69.04,69.27,6014091,6014091,69.7406
157,1.77,0.077565724268083,2.541,71.43,2018-08-22,71.52,"Aug 22, 18",69.5001,69.58,7987928,7987928,71.0671
158,-0.26,0.073643463476963,-0.364,71.17,2018-08-23,71.895,"Aug 23, 18",70.51,71.56,6789524,6789524,71.2997
159,2.92,0.11769346928492601,4.103,74.09,2018-08-24,74.16,"Aug 24, 18",71.46,71.71,8889484,8889484,73.4241
160,0.0,0.11769346928492601,0.0,74.09,2018-08-27,75.0,"Aug 27, 18",73.33,74.87,5913025,5913025,73.9507
161,-0.09,0.116335763626461,-0.121,74.0,2018-08-28,74.33,"Aug 28, 18",73.39,74.25,4079827,4079827,73.8679
162,0.91,0.13006367639538102,1.23,74.91,2018-08-29,75.4,"Aug 29, 18",73.8778,73.94,4763296,4763296,74.8768
163,-0.81,0.11784432546920001,-1.081,74.1,2018-08-30,75.77,"Aug 30, 18",73.6,74.4,7819114,7819114,74.4165
164,-2.0,0.087673088614431,-2.699,72.1,2018-08-31,72.45,"Aug 31, 18",71.01,71.52,9950688,9950688,71.9172
