,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.262082,0.0,0.527,49.99,2018-01-08,50.0483,"Jan 8, 18",49.6115,49.8444,3524320,3524320,49.9089
1,0.5727019999999999,0.011456291258251,1.146,50.5627,2018-01-09,51.1257,"Jan 9, 18",50.223,50.2715,4102077,4102077,50.7541
2,0.601822,0.023496699339867002,1.19,51.1646,2018-01-10,51.7907,"Jan 10, 18",50.6113,50.6501,4035694,4035694,51.3605
3,0.43680599999999997,0.032234446889377,0.854,51.6014,2018-01-11,51.7179,"Jan 11, 18",51.1888,51.4849,3624541,3624541,51.5337
4,-0.019413,0.031846369273854,-0.038,51.582,2018-01-12,52.3294,"Jan 12, 18",51.3587,51.8926,4418407,4418407,51.5635
5,-0.05824000000000001,0.030680136027205002,-0.113,51.5237,2018-01-16,52.0285,"Jan 16, 18",51.2422,51.6693,4033120,4033120,51.6882
6,0.194136,0.034564912982596,0.377,51.7179,2018-01-17,51.912,"Jan 17, 18",51.1646,51.7955,4853164,4853164,51.6216
7,0.834784,0.05126225245049,1.6139999999999999,52.5526,2018-01-18,54.0669,"Jan 18, 18",51.514,52.708,7884429,7884429,52.5032
8,0.640648,0.06407881576315201,1.219,53.1933,2018-01-19,53.5185,"Jan 19, 18",52.6982,52.805,5762913,5762913,53.0856
9,0.077656,0.065631126225244,0.146,53.2709,2018-01-22,53.5136,"Jan 22, 18",52.7662,53.203,3551138,3551138,53.1323
10,-0.009706,0.06543708741748301,-0.018000000000000002,53.2612,2018-01-23,53.6786,"Jan 23, 18",52.9021,53.0186,5095790,5095790,53.3174
11,0.126188,0.06796159231846301,0.23700000000000002,53.3874,2018-01-24,53.9213,"Jan 24, 18",53.2515,53.533,4533869,4533869,53.5197
12,-0.300911,0.061942388477695,-0.5640000000000001,53.0865,2018-01-25,53.6689,"Jan 25, 18",52.8633,53.6592,4944367,4944367,53.1057
13,0.737717,0.076699339867973,1.3900000000000001,53.8242,2018-01-26,53.8242,"Jan 26, 18",52.9894,53.2321,4263851,4263851,53.536
14,-0.05824000000000001,0.07553510702140401,-0.108,53.766,2018-01-29,54.2077,"Jan 29, 18",53.6689,53.7272,3917158,3917158,53.9105
15,-0.349445,0.068543708741748,-0.65,53.4165,2018-01-30,54.0184,"Jan 30, 18",53.2224,53.3001,4390847,4390847,53.7094
16,0.155308,0.07165233046609301,0.291,53.5719,2018-01-31,54.0088,"Jan 31, 18",53.3195,53.4165,3703133,3703133,53.6334
17,0.495048,0.081554310862172,0.924,54.0669,2018-02-01,54.1543,"Feb 1, 18",53.4165,53.4165,3413306,3413306,53.8668
18,-0.572704,0.07009801960392001,-1.059,53.4942,2018-02-02,54.3484,"Feb 2, 18",53.3292,53.9407,4409807,4409807,53.7096
19,-2.1549,0.026991398279655004,-4.028,51.3393,2018-02-05,53.4214,"Feb 5, 18",51.2034,52.7759,6967924,6967924,52.2994
20,0.7959569999999999,0.042912582516503005,1.55,52.1352,2018-02-06,52.2517,"Feb 6, 18",49.5921,50.2036,7401401,7401401,51.3544
21,0.106776,0.045049009801960006,0.20500000000000002,52.242,2018-02-07,52.7565,"Feb 7, 18",51.7373,51.8732,4511483,4511483,52.3362
22,-2.3635,-0.002230446089217,-4.524,49.8785,2018-02-08,52.3202,"Feb 8, 18",49.8492,52.3006,4861690,4861690,50.8084
23,1.3185,0.024144828965793,2.643,51.197,2018-02-09,51.6072,"Feb 9, 18",49.5757,50.7184,7493958,7493958,50.5985
24,0.566468,0.035477095419083005,1.106,51.7635,2018-02-12,52.3983,"Feb 12, 18",51.1775,51.4802,3681709,3681709,51.825
25,0.32230000000000003,0.041924384876975,0.623,52.0858,2018-02-13,52.1834,"Feb 13, 18",51.2947,51.4314,2240673,2240673,51.889
26,1.3771,0.06947189437887501,2.644,53.4629,2018-02-14,53.5508,"Feb 14, 18",51.91,51.9979,3118099,3118099,52.9939
27,0.08790099999999999,0.07123024604920901,0.164,53.5508,2018-02-15,54.1417,"Feb 15, 18",53.2773,53.7168,3804476,3804476,53.6076
28,0.126966,0.07377075415083001,0.23700000000000002,53.6778,2018-02-16,53.9708,"Feb 16, 18",53.2773,53.3066,2857716,2857716,53.6526
29,-0.3516,0.066737347469493,-0.655,53.3262,2018-02-20,54.0001,"Feb 20, 18",53.1015,53.4727,2901217,2901217,53.4839
30,0.478566,0.07630926185237001,0.897,53.8047,2018-02-21,54.547,"Feb 21, 18",53.2969,53.4043,3799483,3799483,54.0929
31,-0.752033,0.06126625325065001,-1.3980000000000001,53.0527,2018-02-22,54.2931,"Feb 22, 18",52.916,54.1368,3684293,3684293,53.5147
32,1.0157,0.081584316863372,1.915,54.0684,2018-02-23,54.0782,"Feb 23, 18",53.1992,53.2773,3275030,3275030,53.6809
33,0.419968,0.089985997199439,0.777,54.4884,2018-02-26,54.5177,"Feb 26, 18",53.795,54.2638,3247600,3247600,54.2612
34,-0.820403,0.073574714942988,-1.506,53.668,2018-02-27,54.8791,"Feb 27, 18",53.668,54.1563,3659979,3659979,54.2002
35,-0.586,0.061852370474094004,-1.092,53.082,2018-02-28,54.5079,"Feb 28, 18",53.0624,53.8536,4089974,4089974,53.7041
36,-0.44927000000000006,0.052864572914582006,-0.846,52.6327,2018-03-01,53.502,"Mar 1, 18",52.1932,53.0527,4181590,4181590,52.8069
37,0.390669,0.060680136027205005,0.742,53.0234,2018-03-02,53.1503,"Mar 2, 18",51.5584,52.3495,3583997,3583997,52.6397
38,0.659805,0.07387877575515,1.244,53.6832,2018-03-05,53.8396,"Mar 5, 18",52.1485,52.52,3018488,3018488,53.2659
39,0.32256799999999997,0.080332066413282,0.601,54.0058,2018-03-06,54.0449,"Mar 6, 18",53.1651,53.9569,2954687,2954687,53.7696
40,-0.22482000000000002,0.07583316663332601,-0.41600000000000004,53.7809,2018-03-07,53.9229,"Mar 7, 18",52.999,53.4388,3022399,3022399,53.5655
