,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.14,0.0,-0.231,60.49,2018-01-08,60.6,"Jan 8, 18",59.77,60.6,467362,467362,60.3607
1,1.22,0.020168622912878003,2.017,61.71,2018-01-09,61.81,"Jan 9, 18",60.51,60.51,883004,883004,61.5942
2,2.29,0.05802612001983701,3.711,64.0,2018-01-10,64.78,"Jan 10, 18",61.19,61.74,1527985,1527985,63.9988
3,1.25,0.07869069267647501,1.953,65.25,2018-01-11,65.73,"Jan 11, 18",63.4,64.4,1032999,1032999,65.2352
4,0.11,0.08050917507025901,0.169,65.36,2018-01-12,65.6,"Jan 12, 18",65.03,65.5,853491,853491,65.3409
5,-2.14,0.04513142668209601,-3.274,63.22,2018-01-16,65.59,"Jan 16, 18",62.97,65.59,916634,916634,63.8993
6,1.1400000000000001,0.063977516944949,1.803,64.36,2018-01-17,64.59,"Jan 17, 18",63.39,63.53,508344,508344,64.2941
7,-0.87,0.049594974375929,-1.3519999999999999,63.49,2018-01-18,64.74,"Jan 18, 18",63.05,64.27,577090,577090,63.919
8,0.7000000000000001,0.061167135063646,1.103,64.19,2018-01-19,64.71,"Jan 19, 18",63.18,63.77,773757,773757,64.1222
9,0.22,0.064804099851214,0.343,64.41,2018-01-22,64.61,"Jan 22, 18",63.26,63.77,585325,585325,64.2032
10,0.54,0.07373119523888201,0.838,64.95,2018-01-23,65.0,"Jan 23, 18",63.7,63.98,632923,632923,64.6334
11,-0.33,0.06827574805753,-0.508,64.62,2018-01-24,65.57,"Jan 24, 18",64.55,65.03,408103,408103,64.8615
12,0.27,0.07273929575136301,0.418,64.89,2018-01-25,65.47,"Jan 25, 18",64.5,64.75,453421,453421,64.9283
13,0.84,0.08662588857662401,1.294,65.73,2018-01-26,65.92,"Jan 26, 18",64.75,65.24,489281,489281,65.5189
14,1.73,0.11522565713341001,2.632,67.46,2018-01-29,67.55,"Jan 29, 18",65.45,65.75,986924,986924,67.0475
15,-2.4,0.07554967763266601,-3.558,65.06,2018-01-30,66.84,"Jan 30, 18",64.12,66.84,1228389,1228389,64.9156
16,-0.8,0.06232435113241801,-1.23,64.26,2018-01-31,65.02,"Jan 31, 18",63.5,64.85,1045129,1045129,64.3328
17,-0.17,0.059513969251115004,-0.265,64.09,2018-02-01,64.42,"Feb 1, 18",63.23,63.71,876730,876730,63.9717
18,-1.94,0.027442552488014003,-3.027,62.15,2018-02-02,63.89,"Feb 2, 18",62.09,63.62,976065,976065,62.7692
19,-3.02,-0.022483055050421002,-4.859,59.13,2018-02-05,62.68,"Feb 5, 18",59.08,61.62,1448380,1448380,60.22
20,-0.35000000000000003,-0.028269135394280002,-0.592,58.78,2018-02-06,59.2,"Feb 6, 18",56.53,58.65,1545715,1545715,57.9443
21,0.22,-0.024632170606711003,0.374,59.0,2018-02-07,60.26,"Feb 7, 18",58.53,58.53,1123287,1123287,59.312
