,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.225458,0.0,0.419,53.9728,2018-01-08,54.1689,"Jan 8, 18",53.6689,53.7866,3773113,3773113,53.9811
1,0.490127,0.00908049980731,0.908,54.4629,2018-01-09,54.6786,"Jan 9, 18",53.9924,54.0316,4121702,4121702,54.4535
2,1.7056,0.040683455370112004,3.132,56.1686,2018-01-10,56.2568,"Jan 10, 18",54.6492,54.8452,5113401,5113401,55.9855
3,0.519535,0.050308673998754,0.925,56.6881,2018-01-11,56.7175,"Jan 11, 18",56.1098,56.4431,3476238,3476238,56.4511
4,0.578349,0.061025183055168006,1.02,57.2665,2018-01-12,57.5213,"Jan 12, 18",56.8254,57.0116,3484223,3484223,57.2657
5,-0.862624,0.045043058725876,-1.506,56.4039,2018-01-16,57.8252,"Jan 16, 18",56.2274,57.5213,5864094,5864094,56.7357
6,0.343089,0.051398111641419005,0.608,56.7469,2018-01-17,57.041,"Jan 17, 18",55.9823,56.6587,4253093,4253093,56.6637
7,-2.4898,0.005267468057984,-4.388,54.2571,2018-01-18,54.7374,"Jan 18, 18",53.5905,54.3159,11105334,11105334,54.1867
8,1.2351,0.028151216909257003,2.276,55.4922,2018-01-19,55.8745,"Jan 19, 18",54.3551,54.4629,8964500,8964500,55.2345
9,1.0881,0.048311371653870006,1.9609999999999999,56.5803,2018-01-22,56.6685,"Jan 22, 18",55.355,55.4824,5563104,5563104,56.2607
10,0.0,0.048311371653870006,0.0,56.5803,2018-01-23,56.8156,"Jan 23, 18",56.051,56.345,3832688,3832688,56.4841
11,0.049012,0.049219236356090004,0.08700000000000001,56.6293,2018-01-24,57.1783,"Jan 24, 18",56.2372,56.7175,3972328,3972328,56.7065
12,-0.9018339999999999,0.032510820265022,-1.593,55.7275,2018-01-25,56.7469,"Jan 25, 18",55.5902,56.6097,4546117,4546117,55.9815
13,0.9116369999999999,0.049400809296534,1.6360000000000001,56.6391,2018-01-26,56.6391,"Jan 26, 18",55.551,55.7373,5054994,5054994,56.3156
14,-0.01967,0.049035810630539,-0.035,56.6194,2018-01-29,57.0328,"Jan 29, 18",56.3635,56.4915,4057570,4057570,56.7169
15,-0.8071619999999999,0.034081982035395,-1.426,55.8123,2018-01-30,56.708,"Jan 30, 18",55.8123,56.2651,4401256,4401256,56.0996
16,0.0,0.034081982035395,0.0,55.8123,2018-01-31,56.2602,"Jan 31, 18",55.4973,55.8024,3484760,3484760,55.8347
17,0.787476,0.048672664749651005,1.411,56.5998,2018-02-01,56.649,"Feb 1, 18",55.4973,55.7926,3232280,3232280,56.4017
18,-1.1517,0.027334138677259003,-2.035,55.4481,2018-02-02,56.8705,"Feb 2, 18",55.3398,56.2257,4359936,4359936,55.8969
19,-1.9195000000000002,-0.008230071443393001,-3.462,53.5286,2018-02-05,55.832,"Feb 5, 18",53.4203,54.887,7296108,7296108,54.6077
20,1.0926,0.012013458631014001,2.041,54.6212,2018-02-06,54.7787,"Feb 6, 18",51.8552,52.4852,10571958,10571958,53.8827
21,-0.147651,0.009278747813713,-0.27,54.4736,2018-02-07,55.325,"Feb 7, 18",54.3456,54.3555,6123722,6123722,54.8381
22,-2.0179,-0.028108602851806,-3.7039999999999997,52.4557,2018-02-08,54.7689,"Feb 8, 18",52.4065,54.4342,7132390,7132390,53.6482
23,0.777631,-0.013701345863101,1.482,53.2333,2018-02-09,53.6074,"Feb 9, 18",51.2941,53.1349,6199593,6199593,52.645
24,0.521703,-0.004035365962114,0.98,53.755,2018-02-12,54.3062,"Feb 12, 18",53.0561,53.6566,4857374,4857374,53.7633
25,0.196868,-0.000387232087273,0.366,53.9519,2018-02-13,54.1389,"Feb 13, 18",53.2727,53.5089,3100285,3100285,53.7813
26,1.1517,0.020951293985118,2.135,55.1036,2018-02-14,55.1774,"Feb 14, 18",53.6763,53.6763,4066985,4066985,54.8304
27,0.177181,0.024232576408857003,0.322,55.2807,2018-02-15,55.7926,"Feb 15, 18",54.7984,55.6154,3224786,3224786,55.2274
28,0.08859199999999999,0.02587414401328,0.16,55.3693,2018-02-16,55.7138,"Feb 16, 18",55.0248,55.1036,3377602,3377602,55.4367
29,0.16733699999999999,0.028975706281682,0.302,55.5367,2018-02-20,55.9353,"Feb 20, 18",55.1724,55.3201,2980830,2980830,55.5828
30,0.029530999999999998,0.029522277888121003,0.053,55.5662,2018-02-21,56.4619,"Feb 21, 18",55.4087,55.5859,3890866,3890866,55.9925
31,-0.541389,0.019491299321139,-0.974,55.0248,2018-02-22,56.5112,"Feb 22, 18",54.9264,55.8517,4275917,4275917,55.4951
32,0.984344,0.037730115910236006,1.7890000000000001,56.0092,2018-02-23,56.0387,"Feb 23, 18",55.261,55.3103,3208089,3208089,55.6281
33,1.26,0.061073355467939,2.25,57.2691,2018-02-26,57.3085,"Feb 26, 18",55.9895,56.3241,3922225,3922225,56.876
34,-0.187025,0.057608647318649,-0.327,57.0821,2018-02-27,57.7514,"Feb 27, 18",57.0624,57.2888,4572649,4572649,57.3733
35,-0.944969,0.040099828061542005,-1.655,56.1371,2018-02-28,57.3872,"Feb 28, 18",56.0977,57.151,5078470,5078470,56.6384
36,-1.4962,0.012378457297008,-2.665,54.6409,2018-03-01,56.2946,"Mar 1, 18",54.257,56.147,6691126,6691126,55.009
37,-0.13780799999999999,0.009825319420152,-0.252,54.5031,2018-03-02,54.6015,"Mar 2, 18",53.2628,54.3259,5399043,5399043,54.007
38,1.0237,0.028792280556132,1.8780000000000001,55.5268,2018-03-05,55.7926,"Mar 5, 18",53.947,54.1192,4397289,4397289,55.2102
39,0.452799,0.037181691518690003,0.8150000000000001,55.9796,2018-03-06,56.2651,"Mar 6, 18",55.4185,55.9402,7012099,7012099,55.8349
40,0.02953,0.037730115910236006,0.053,56.0092,2018-03-07,56.206,"Mar 7, 18",55.1921,55.5071,5049143,5049143,55.7731
41,-1.1911,0.015661592505854,-2.127,54.8181,2018-03-08,56.6588,"Mar 8, 18",54.2767,56.5013,8016414,8016414,55.0604
42,1.5159,0.043747961936382,2.765,56.334,2018-03-09,56.5505,"Mar 9, 18",54.8575,55.0642,6573563,6573563,56.1206
