,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,3.8234,0.0,0.746,516.4414,2018-01-08,516.6657,"Jan 8, 18",510.6185,511.0281,561517,561517,514.7549
1,4.3403,0.008404244895935001,0.84,520.7817,2018-01-09,526.6923,"Jan 9, 18",515.544,515.9634,547671,547671,522.3546
2,-2.3116,0.003928228836805,-0.444,518.4701,2018-01-10,522.6739,"Jan 10, 18",516.7242,521.2986,483772,483772,518.8729
3,6.1935,0.015920876986236,1.195,524.6636,2018-01-11,525.6731,"Jan 11, 18",517.5337,520.9865,765925,765925,521.6022
4,17.176,0.049179248604004,3.274,541.8396,2018-01-12,542.6589,"Jan 12, 18",533.237,539.0794,941849,941849,539.3796
5,7.2859,0.063287141580825,1.345,549.1255,2018-01-16,557.7282,"Jan 16, 18",547.2333,548.7549,1370552,1370552,551.3343
6,13.1771,0.08880233071941901,2.4,562.3026,2018-01-17,564.3704,"Jan 17, 18",551.3591,553.2318,983901,983901,560.3366
7,2.6432,0.09392043317983301,0.47000000000000003,564.9458,2018-01-18,569.8128,"Jan 18, 18",560.8493,563.0439,819845,819845,565.3521
8,10.767900000000001,0.114770620635758,1.9060000000000001,575.7137,2018-01-19,576.0064,"Jan 19, 18",566.7112,568.262,591655,591655,571.779
9,2.9261,0.12043651031849802,0.508,578.6398,2018-01-22,578.8154,"Jan 22, 18",567.6476,577.8595,843573,843573,574.2919
10,-3.4918,0.11367523982391801,-0.603,575.148,2018-01-23,579.8688,"Jan 23, 18",573.8996,578.3862,643398,643398,575.4748
11,-1.9605000000000001,0.10987926219702701,-0.341,573.1876,2018-01-24,577.8498,"Jan 24, 18",568.8082,577.3133,642174,642174,573.8783
12,-11.8701,0.08689485389823501,-2.071,561.3175,2018-01-25,571.4905,"Jan 25, 18",558.8303,570.5834,892464,892464,563.0855
13,11.0215,0.10823609416286101,1.964,572.339,2018-01-26,572.4853,"Jan 26, 18",562.8976,563.9607,516601,516601,570.085
14,-12.0749,0.084855125867136,-2.11,560.2641,2018-01-29,571.1003,"Jan 29, 18",560.0495,571.1003,611014,611014,563.5466
15,-11.8311,0.061946234364634006,-2.112,548.433,2018-01-30,557.4453,"Jan 30, 18",548.3257,556.0018,851135,851135,552.4914
16,-0.47792599999999996,0.061020863160854005,-0.08700000000000001,547.9551,2018-01-31,552.9977,"Jan 31, 18",545.8581,550.8909,665825,665825,549.6009
17,3.3064999999999998,0.06742333205664701,0.603,551.2616,2018-02-01,554.4705,"Feb 1, 18",544.9803,547.5747,659597,659597,550.391
18,-16.4543,0.035562408435884006,-2.985,534.8073,2018-02-02,551.3298,"Feb 2, 18",532.3592,551.3298,808150,808150,540.1163
19,-22.7746,-0.008536689738661,-4.258,512.0327,2018-02-05,539.4012,"Feb 5, 18",505.7222,526.6826,1129441,1129441,523.6512
20,9.9974,0.010821556908489,1.952,522.0301,2018-02-06,525.2488,"Feb 6, 18",494.7592,498.2217,1076684,1076684,512.5424
21,-2.8871,0.00523137765485,-0.553,519.1431,2018-02-07,528.3114,"Feb 7, 18",518.8895,521.9911,672416,672416,523.1489
22,-22.3161,-0.037980107714060005,-4.299,496.8269,2018-02-08,523.2688,"Feb 8, 18",496.4661,521.0645,1038698,1038698,508.7892
23,11.8311,-0.015071216211558,2.3810000000000002,508.658,2018-02-09,513.0276,"Feb 9, 18",487.6879,504.3079,938570,938570,500.4272
24,3.7746,-0.007762352127463,0.742,512.4326,2018-02-12,519.0258,"Feb 12, 18",507.0682,513.3495,614748,614748,512.4034
25,-4.0087,-0.015524510622115002,-0.782,508.4239,2018-02-13,513.5445,"Feb 13, 18",505.9855,508.024,517482,517482,508.5962
26,18.2099,0.019735830628605,3.582,526.6338,2018-02-14,527.0337,"Feb 14, 18",503.6739,505.137,657379,657379,519.7883
