,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.019452,0.0,0.032,60.2101,2018-01-08,60.4921,"Jan 8, 18",59.5293,60.0837,4663711,4663711,60.091
1,-0.058352999999999995,-0.0009682760865700001,-0.097,60.1518,2018-01-09,60.3949,"Jan 9, 18",59.86,60.1712,5156771,5156771,60.1678
2,0.155606,0.0016160079455100002,0.259,60.3074,2018-01-10,60.3657,"Jan 10, 18",59.5002,59.8308,5096335,5096335,60.0554
3,0.44736899999999996,0.009044994112283001,0.742,60.7547,2018-01-11,60.8034,"Jan 11, 18",60.1031,60.2879,6591063,6591063,60.5562
4,0.33066599999999996,0.014537428105915,0.544,61.0854,2018-01-12,61.4841,"Jan 12, 18",60.8034,61.027,5489236,5489236,61.1216
5,-2.8106,-0.032142447861737006,-4.601,58.2748,2018-01-16,60.1615,"Jan 16, 18",57.7885,60.0545,14471659,14471659,58.623
6,1.877,-0.0009682760865700001,3.221,60.1518,2018-01-17,60.2976,"Jan 17, 18",58.6249,58.6735,10608482,10608482,59.593
7,-0.019451,-0.00129214201604,-0.032,60.1323,2018-01-18,60.2004,"Jan 18, 18",59.4175,60.1129,7904177,7904177,59.8852
8,0.437645,0.005977402462377,0.728,60.57,2018-01-19,60.7061,"Jan 19, 18",59.8697,60.3949,7490267,7490267,60.3818
9,0.9725419999999999,0.022129177662883002,1.6059999999999999,61.5425,2018-01-22,61.6835,"Jan 22, 18",60.3171,60.5797,6748074,6748074,61.2787
10,0.14588099999999998,0.024552359155689003,0.23700000000000002,61.6884,2018-01-23,61.9315,"Jan 23, 18",61.0757,61.2605,6459887,6459887,61.6444
11,0.320939,0.029882029759126003,0.52,62.0093,2018-01-24,62.2427,"Jan 24, 18",61.4063,61.9607,6430049,6430049,61.8455
12,-0.23341099999999998,0.026005603711005004,-0.376,61.7759,2018-01-25,62.4956,"Jan 25, 18",61.4647,62.2427,6183219,6183219,61.9077
13,0.7099559999999999,0.037797645245565004,1.149,62.4859,2018-01-26,62.9537,"Jan 26, 18",61.8829,62.1746,6727310,6727310,62.4292
14,0.175058,0.040704134356196006,0.28,62.6609,2018-01-29,63.1763,"Jan 29, 18",62.3205,62.3594,6763254,6763254,62.851
15,-0.457095,0.033112384799228005,-0.729,62.2038,2018-01-30,62.836,"Jan 30, 18",61.5717,62.1746,5847968,5847968,62.3346
16,-1.3227,0.011145970526539001,-2.126,60.8812,2018-01-31,62.2719,"Jan 31, 18",60.2344,62.2038,8886885,8886885,60.824
17,0.194509,0.014376325566640001,0.319,61.0757,2018-02-01,61.2507,"Feb 1, 18",60.2441,60.4727,7132976,7132976,60.8732
18,0.6613300000000001,0.025359532702985,1.083,61.737,2018-02-02,62.5248,"Feb 2, 18",61.1243,61.1632,11719210,11719210,61.8208
19,-2.4508,-0.015344601653210001,-3.9699999999999998,59.2862,2018-02-05,64.0808,"Feb 5, 18",59.257,63.6335,23181859,23181859,60.7711
20,-0.058351999999999994,-0.016314538590701002,-0.098,59.2278,2018-02-06,59.5245,"Feb 6, 18",56.8354,58.1872,18286290,18286290,57.9787
21,1.6825,0.011629278144364001,2.841,60.9103,2018-02-07,61.0465,"Feb 7, 18",58.6443,58.975,12176593,12176593,60.3074
22,0.058351999999999994,0.012599215081855,0.096,60.9687,2018-02-08,62.9869,"Feb 8, 18",60.8131,60.8325,14961705,14961705,61.919
23,0.009725,0.012760317621130002,0.016,60.9784,2018-02-09,61.5814,"Feb 9, 18",58.9069,61.5619,11158002,11158002,60.1266
24,0.44737000000000005,0.020190964638823,0.734,61.4258,2018-02-12,61.842,"Feb 12, 18",60.5894,61.2216,7502933,7502933,61.4434
25,0.690506,0.031659140243912004,1.124,62.1163,2018-02-13,62.3497,"Feb 13, 18",60.9687,61.0757,7519098,7519098,61.849
26,1.4394,0.055565428391582,2.317,63.5557,2018-02-14,64.1295,"Feb 14, 18",61.5328,61.844,10290569,10290569,63.1866
27,3.5303,0.11419844843307,5.555,67.086,2018-02-15,67.5334,"Feb 15, 18",65.337,65.4618,15684900,15684900,66.4684
28,-0.019451,0.11387458250360001,-0.029,67.0665,2018-02-16,68.1266,"Feb 16, 18",66.6386,66.9693,10547419,10547419,67.1922
29,-1.5658,0.087868978792594,-2.335,65.5007,2018-02-20,66.9401,"Feb 20, 18",65.1993,66.6094,8703677,8703677,65.9441
30,-0.797484,0.074625353553639,-1.218,64.7033,2018-02-21,65.8898,"Feb 21, 18",64.6838,65.491,7046249,7046249,65.3096
31,-0.573801,0.06509539097261001,-0.887,64.1295,2018-02-22,65.1604,"Feb 22, 18",64.0517,65.1604,6528408,6528408,64.4716
32,1.9548,0.09756170476381801,3.048,66.0843,2018-02-23,66.1621,"Feb 23, 18",64.3531,64.3531,5240848,5240848,65.6213
33,0.6613300000000001,0.10854491190016201,1.001,66.7456,2018-02-26,66.9741,"Feb 26, 18",66.0162,66.1232,4229351,4229351,66.5389
34,-0.76831,0.095784594279032,-1.151,65.9773,2018-02-27,66.9883,"Feb 27, 18",65.9578,66.6581,4398540,4398540,66.2947
35,-1.595,0.06929402209928201,-2.417,64.3823,2018-02-28,66.0745,"Feb 28, 18",64.3531,65.987,8363900,8363900,64.9657
36,-0.495996,0.061056201534294,-0.77,63.8863,2018-03-01,64.6935,"Mar 1, 18",63.0499,64.2851,7801327,7801327,63.9484
37,0.46682,0.068809053630537,0.731,64.3531,2018-03-02,64.6741,"Mar 2, 18",63.3417,63.6529,5391365,5391365,64.17
38,0.632153,0.079308953149056,0.982,64.9853,2018-03-05,65.2965,"Mar 5, 18",63.7988,64.0225,6339604,6339604,64.7143
