,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.561557,0.0,0.616,91.7506,2018-01-08,92.2727,"Jan 8, 18",91.12,91.1792,439074,439074,91.823
1,0.177334,0.0019324124310900002,0.193,91.9279,2018-01-09,92.4401,"Jan 9, 18",91.5141,91.8097,451825,451825,91.9313
2,-0.325112,-0.0016108886481390001,-0.354,91.6028,2018-01-10,92.2333,"Jan 10, 18",90.5289,91.7407,402474,402474,91.3471
3,0.463038,0.003435399877493,0.505,92.0658,2018-01-11,92.1643,"Jan 11, 18",91.2481,91.8195,455621,455621,91.7472
4,0.581262,0.009771053268316001,0.631,92.6471,2018-01-12,92.909,"Jan 12, 18",91.6915,92.253,361679,361679,92.5654
5,0.029554999999999998,0.010092577051267001,0.032,92.6766,2018-01-16,93.2382,"Jan 16, 18",92.2235,93.0116,375938,375938,92.7736
6,1.0936,0.022011845154146,1.18,93.7702,2018-01-17,94.0658,"Jan 17, 18",92.8244,93.0609,298690,298690,93.6396
7,-0.049259,0.021474518967723,-0.053,93.7209,2018-01-18,94.0559,"Jan 18, 18",93.4944,93.8293,360599,360599,93.7324
8,0.7881509999999999,0.030065198483715003,0.841,94.5091,2018-01-19,94.5781,"Jan 19, 18",93.7899,93.9574,289335,289335,94.2519
9,0.9162239999999999,0.040050964244375,0.969,95.4253,2018-01-22,95.5632,"Jan 22, 18",94.4795,94.4795,587663,587663,95.2629
10,-0.206889,0.037795938119205,-0.217,95.2184,2018-01-23,96.0952,"Jan 23, 18",95.0214,95.2972,275960,275960,95.3055
11,-0.463038,0.032749649593572,-0.486,94.7554,2018-01-24,95.711,"Jan 24, 18",94.3121,95.445,275600,275600,94.9
12,0.197036,0.034896774517005,0.20800000000000002,94.9524,2018-01-25,95.3268,"Jan 25, 18",94.6082,95.0707,294966,294966,94.8952
13,1.0344,0.046171905142854006,1.089,95.9869,2018-01-26,96.0657,"Jan 26, 18",94.4106,95.0214,262186,262186,95.632
14,-0.600966,0.039621539259688004,-0.626,95.3859,2018-01-29,96.0754,"Jan 29, 18",95.3564,95.6421,378301,378301,95.6005
15,-0.394075,0.035326199501692,-0.41300000000000003,94.9918,2018-01-30,95.9474,"Jan 30, 18",94.9918,95.0707,421813,421813,95.2264
16,-0.009852,0.035219388211085,-0.01,94.982,2018-01-31,95.3465,"Jan 31, 18",94.3022,95.1495,549412,549412,94.9403
17,-0.226592,0.032749649593572,-0.23900000000000002,94.7554,2018-02-01,95.1692,"Feb 1, 18",93.9672,94.8638,407751,407751,94.6045
18,-1.3891,0.017609694105542,-1.466,93.3663,2018-02-02,94.8244,"Feb 2, 18",93.3663,94.0756,390918,390918,93.9769
19,-4.0885,-0.026952412300301,-4.379,89.2777,2018-02-05,93.1791,"Feb 5, 18",89.2777,92.6077,680756,680756,91.1615
20,0.246296,-0.024267961190444002,0.276,89.524,2018-02-06,90.1644,"Feb 6, 18",86.2139,87.8788,843645,843645,89.0183
21,0.758595,-0.015999895368531,0.847,90.2826,2018-02-07,90.7457,"Feb 7, 18",89.0808,89.4551,648893,648893,90.2917
22,-0.8866689999999999,-0.025663047435112003,-0.982,89.396,2018-02-08,93.1003,"Feb 8, 18",89.3861,92.6175,850233,850233,90.9499
23,1.4285,-0.010093666962395002,1.5979999999999999,90.8245,2018-02-09,91.2875,"Feb 9, 18",88.1743,90.4206,902465,902465,89.8802
24,1.665,0.008053353329569,1.833,92.4895,2018-02-12,93.2382,"Feb 12, 18",90.322,90.4403,1341632,1341632,92.2156
25,1.5862,0.025340433741032002,1.7149999999999999,94.0756,2018-02-13,94.4598,"Feb 13, 18",91.987,92.3614,1079088,1079088,93.521
26,1.8226,0.045205153971745,1.937,95.8982,2018-02-14,95.9869,"Feb 14, 18",93.5978,94.0559,747371,747371,95.2474
27,1.6354000000000002,0.06302956056963101,1.705,97.5336,2018-02-15,97.5632,"Feb 15, 18",95.4056,96.5583,663082,663082,96.6994
28,-0.216742,0.060667723153854006,-0.222,97.3169,2018-02-16,97.7504,"Feb 16, 18",96.7652,97.7504,685352,685352,97.3318
29,-0.187186,0.058627409521027005,-0.192,97.1297,2018-02-20,97.9671,"Feb 20, 18",96.4893,96.7849,720962,720962,97.3305
30,0.541854,0.064532548016034,0.558,97.6715,2018-02-21,99.2577,"Feb 21, 18",97.0201,97.1395,751620,751620,98.3158
31,0.699483,0.072156476360917,0.716,98.371,2018-02-22,98.9917,"Feb 22, 18",97.4952,98.0164,911773,911773,98.4479
32,1.5072999999999999,0.08858579671413501,1.532,99.8784,2018-02-23,99.8981,"Feb 23, 18",98.2938,98.6961,669063,669063,99.2256
33,-0.403927,0.084182555754403,-0.404,99.4744,2018-02-26,100.4695,"Feb 26, 18",98.7257,99.9473,811579,811579,99.3047
34,-0.15763000000000002,0.082464855815656,-0.158,99.3168,2018-02-27,100.6813,"Feb 27, 18",99.2774,99.5533,699044,699044,99.8262
35,-0.42363000000000006,0.07784799227470901,-0.427,98.8932,2018-02-28,100.2724,"Feb 28, 18",98.8144,99.573,713766,713766,99.3027
