,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,1.32,0.0,0.655,202.74,2018-01-08,203.07,"Jan 8, 18",199.8,201.15,3887912,3887912,201.9514
1,0.28,0.001381079214757,0.138,203.02,2018-01-09,204.4,"Jan 9, 18",202.58,203.34,3834919,3834919,203.4264
2,2.59,0.014156061951267002,1.276,205.61,2018-01-10,205.724,"Jan 10, 18",202.5,203.0,3793089,3793089,204.7095
3,1.08,0.019483081779619,0.525,206.69,2018-01-11,207.28,"Jan 11, 18",205.7156,205.96,3641516,3641516,206.539
4,3.47,0.036598599191082,1.679,210.16,2018-01-12,210.39,"Jan 12, 18",206.8,207.27,4184374,4184374,208.9073
5,0.13,0.037239814540791005,0.062,210.29,2018-01-16,214.03,"Jan 16, 18",209.36,213.12,6220020,6220020,211.7261
6,3.87,0.05632830225905001,1.8399999999999999,214.16,2018-01-17,214.5,"Jan 17, 18",211.14,211.92,4600654,4600654,213.6366
7,-0.97,0.051543849265068005,-0.453,213.19,2018-01-18,215.78,"Jan 18, 18",213.055,215.67,5141495,5141495,213.9242
8,0.06,0.051839794811088004,0.028,213.25,2018-01-19,214.3,"Jan 19, 18",212.11,213.45,5140181,5140181,213.2874
9,2.7199999999999998,0.065255992897306,1.275,215.97,2018-01-22,216.08,"Jan 22, 18",213.25,213.29,3267192,3267192,214.8627
10,-0.41000000000000003,0.06323369833284001,-0.19,215.56,2018-01-23,216.35,"Jan 23, 18",212.77,216.04,3659082,3659082,215.1642
11,0.05,0.06348031962118901,0.023,215.61,2018-01-24,216.89,"Jan 24, 18",214.59,216.12,4294243,4294243,215.7317
12,-0.51,0.060964782480023,-0.23700000000000002,215.1,2018-01-25,216.5,"Jan 25, 18",214.28,216.24,3088344,3088344,215.2879
13,2.09,0.071273552333037,0.972,217.19,2018-01-26,217.34,"Jan 26, 18",215.15,215.52,3640838,3640838,216.3855
14,-1.73,0.06274045575614,-0.797,215.46,2018-01-29,217.62,"Jan 29, 18",215.19,217.15,3021260,3021260,215.9188
15,-1.05,0.057561408700798004,-0.487,214.41,2018-01-30,216.62,"Jan 30, 18",214.1,214.97,5040126,5040126,215.2971
16,-0.03,0.057413435927789004,-0.014,214.38,2018-01-31,215.05,"Jan 31, 18",213.37,214.99,4626303,4626303,214.1664
17,2.87,0.071569497879056,1.339,217.25,2018-02-01,217.5,"Feb 1, 18",214.03,214.49,4508901,4508901,216.1472
18,-8.13,0.031468876393410006,-3.742,209.12,2018-02-02,216.58,"Feb 2, 18",207.87,216.16,6080558,6080558,211.4987
19,-12.32,-0.029298609055933,-5.891,196.8,2018-02-05,207.1,"Feb 5, 18",196.0,205.49,10746479,10746479,201.5576
20,4.44,-0.007398638650488,2.2560000000000002,201.24,2018-02-06,201.92,"Feb 6, 18",190.18,193.15,10662988,10662988,197.5724
