,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-1.0875,0.0,-0.876,123.065,2018-01-08,124.2884,"Jan 8, 18",122.1716,123.8418,724340,724340,122.8776
1,-1.3011,-0.010573274285946,-1.057,121.7638,2018-01-09,122.7348,"Jan 9, 18",121.589,122.395,598889,598889,121.8783
2,-0.728251,-0.016490472514524002,-0.598,121.0356,2018-01-10,121.356,"Jan 10, 18",120.0306,121.356,582601,582601,120.7888
3,-0.7670929999999999,-0.022723763864624002,-0.634,120.2685,2018-01-11,121.5211,"Jan 11, 18",120.1422,121.288,447865,447865,120.4368
4,-1.4856,-0.03479624588632,-1.235,118.7828,2018-01-12,120.6666,"Jan 12, 18",118.6857,120.3947,637036,637036,119.1583
5,-0.747674,-0.040871084386299,-0.629,118.0352,2018-01-16,120.9239,"Jan 16, 18",117.9186,119.181,826741,826741,118.8685
6,0.912744,-0.033454678421972,0.773,118.9479,2018-01-17,119.045,"Jan 17, 18",117.3506,118.7828,844437,844437,118.3259
7,-1.2817,-0.043869499857798006,-1.078,117.6662,2018-01-18,118.7634,"Jan 18, 18",117.1807,118.5304,1080886,1080886,117.8751
8,0.747672,-0.037793848779100005,0.635,118.4139,2018-01-19,118.7634,"Jan 19, 18",117.3846,118.1323,1061517,1061517,118.1113
9,1.4759,-0.025800999471823002,1.246,119.8898,2018-01-22,120.0937,"Jan 22, 18",118.1712,118.4139,1067107,1067107,119.6065
10,0.6602819999999999,-0.020435542193149,0.551,120.5501,2018-01-23,120.686,"Jan 23, 18",119.7053,120.0354,1083235,1083235,120.2099
11,-0.883613,-0.027615487750375003,-0.733,119.6665,2018-01-24,121.0161,"Jan 24, 18",119.3266,120.4821,603827,603827,119.7503
12,-0.543762,-0.032034290821923,-0.454,119.1227,2018-01-25,120.0354,"Jan 25, 18",117.9769,119.5499,846394,846394,118.7166
13,0.281592,-0.029746069150448,0.23600000000000002,119.4043,2018-01-26,120.0354,"Jan 26, 18",118.307,119.6373,559227,559227,119.165
14,-1.5827,-0.042607565107869005,-1.326,117.8215,2018-01-29,119.0741,"Jan 29, 18",117.6856,118.8217,604248,604248,117.8957
15,-1.8643,-0.057756470158046004,-1.5819999999999999,115.9572,2018-01-30,118.2099,"Jan 30, 18",115.899,117.3846,1106796,1106796,116.3108
