,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.860927,0.0,-1.167,72.91460000000001,2018-01-08,73.6092,"Jan 8, 18",72.7199,73.5408,14215682,14215682,72.9739
1,0.7630939999999999,0.010465668055506,1.047,73.6777,2018-01-09,74.2451,"Jan 9, 18",72.9928,73.1396,14209525,14209525,73.7888
2,0.332631,0.015028540237483002,0.451,74.0104,2018-01-10,74.6299,"Jan 10, 18",73.7364,74.0593,14007988,14007988,74.1599
3,-0.088049,0.013820277420434,-0.11900000000000001,73.9223,2018-01-11,74.3723,"Jan 11, 18",73.5114,74.3332,15459949,15459949,73.8477
4,1.2523,0.030995164205796004,1.694,75.1746,2018-01-12,75.292,"Jan 12, 18",74.1375,74.2549,16946726,16946726,74.784
5,0.26414699999999997,0.034617209722058,0.35100000000000003,75.4387,2018-01-16,76.7399,"Jan 16, 18",75.1256,76.0746,26181356,26181356,75.7311
6,0.352197,0.039447518055368,0.467,75.7909,2018-01-17,75.9737,"Jan 17, 18",74.4506,75.2235,20958364,20958364,75.267
7,-0.078265,0.038373659047707,-0.10300000000000001,75.7126,2018-01-18,76.0159,"Jan 18, 18",75.4094,75.9768,15420833,15420833,75.6991
8,0.890276,0.050583833690372004,1.176,76.6029,2018-01-19,76.6812,"Jan 19, 18",75.7518,75.8887,17813995,17813995,76.3136
9,0.28371399999999997,0.054474686825409006,0.37,76.8866,2018-01-22,77.1899,"Jan 22, 18",76.3583,76.5442,11561072,11561072,76.7002
10,-0.039132,0.0539384430553,-0.051000000000000004,76.8475,2018-01-23,77.1752,"Jan 23, 18",76.2703,76.7594,10080008,10080008,76.8731
11,0.8804919999999999,0.066014213888576,1.146,77.728,2018-01-24,77.9775,"Jan 24, 18",76.9551,77.2486,18108648,18108648,77.6039
12,-0.009783,0.065879810079188,-0.013000000000000001,77.7182,2018-01-25,78.6477,"Jan 25, 18",77.4932,78.1193,16178829,16178829,78.0691
13,0.6261300000000001,0.07446656773814801,0.806,78.3443,2018-01-26,78.3443,"Jan 26, 18",77.2437,77.8845,12807783,12807783,77.945
