,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,1.9283000000000001,0.0,3.164,62.8817,2018-01-08,63.2674,"Jan 8, 18",60.7413,61.1366,3546144,3546144,62.3366
1,1.8126,0.028825556560970002,2.883,64.6943,2018-01-09,65.0221,"Jan 9, 18",62.4286,62.8431,5314158,5314158,64.1559
2,0.925581,0.043545260385772,1.431,65.6199,2018-01-10,65.7163,"Jan 10, 18",63.3349,64.4533,4363889,4363889,65.12
3,1.0124,0.05964374372830201,1.5430000000000001,66.6322,2018-01-11,66.6901,"Jan 11, 18",65.3499,65.7452,2566015,2566015,66.1869
4,2.2947,0.09613607774598901,3.444,68.9269,2018-01-12,68.9558,"Jan 12, 18",66.3141,66.9504,4045711,4045711,68.3551
5,1.0509,0.11284841217715101,1.525,69.9778,2018-01-16,70.5467,"Jan 16, 18",68.9944,69.033,4520386,4520386,69.9759
6,0.06749000000000001,0.113921856438359,0.096,70.0453,2018-01-17,70.537,"Jan 17, 18",69.033,69.4186,3369972,3369972,69.9776
7,-0.906299,0.099509078157874,-1.294,69.139,2018-01-18,70.1128,"Jan 18, 18",68.3484,69.7079,3828394,3828394,68.995
8,0.19283000000000003,0.10257515302544301,0.279,69.3318,2018-01-19,69.9489,"Jan 19, 18",68.6666,69.4475,2868399,2868399,69.1673
9,1.5426,0.127108522829376,2.225,70.8745,2018-01-22,71.318,"Jan 22, 18",69.4379,69.4668,3313829,3313829,70.8294
10,-0.289244,0.12250782024022801,-0.40800000000000003,70.5852,2018-01-23,71.2794,"Jan 23, 18",69.9682,70.8648,2217052,2217052,70.5313
11,1.4269,0.145201227066062,2.022,72.0122,2018-01-24,72.6485,"Jan 24, 18",70.9516,71.3276,2770663,2770663,72.0097
12,-0.674901,0.134468374741776,-0.937,71.3373,2018-01-25,72.0797,"Jan 25, 18",70.7009,71.7904,2426839,2426839,71.1784
13,0.9448639999999999,0.14949341382309903,1.325,72.2821,2018-01-26,72.3303,"Jan 26, 18",71.4337,71.6169,1403708,1403708,72.0108
