,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.714125,0.0,-0.506,140.4083,2018-01-08,140.6137,"Jan 8, 18",138.9223,140.4376,1556053,1556053,140.0484
1,2.2695,0.016163574375588,1.616,142.6778,2018-01-09,143.0398,"Jan 9, 18",139.7529,140.6137,2208646,2208646,142.338
2,-0.547819,0.012262095616854,-0.384,142.13,2018-01-10,142.6583,"Jan 10, 18",141.7974,142.3648,1541601,1541601,142.1946
3,-0.7728189999999999,0.0067581474884320005,-0.544,141.3572,2018-01-11,142.7072,"Jan 11, 18",140.7213,142.0713,1428613,1428613,141.2293
4,1.1152,0.014700697893215,0.789,142.4724,2018-01-12,142.6485,"Jan 12, 18",140.5453,141.5528,1357440,1357440,141.8848
5,0.029348,0.014910087224188,0.021,142.5018,2018-01-16,142.9909,"Jan 16, 18",141.5333,142.7854,1867848,1867848,142.4644
6,1.8293,0.027938519304058003,1.284,144.3311,2018-01-17,144.605,"Jan 17, 18",142.6094,143.3333,1729098,1729098,144.0455
7,0.146737,0.028983329333095,0.10200000000000001,144.4778,2018-01-18,145.0843,"Jan 18, 18",143.2452,144.3409,1327419,1327419,144.1614
8,0.498907,0.032536538082150006,0.34500000000000003,144.9767,2018-01-19,145.0746,"Jan 19, 18",143.7539,144.7909,1474974,1474974,144.7274
9,1.5554000000000001,0.043614230782653,1.073,146.5321,2018-01-22,146.5615,"Jan 22, 18",145.1626,145.3093,1436637,1436637,146.1466
10,3.4239,0.06799954133765501,2.337,149.956,2018-01-23,150.8364,"Jan 23, 18",146.493,146.5419,3036061,3036061,149.0665
11,1.6532,0.079774486266125,1.102,151.6093,2018-01-24,152.0006,"Jan 24, 18",149.2517,149.8288,2113562,2113562,151.0391
12,-0.16630299999999998,0.07859008334977301,-0.11,151.443,2018-01-25,151.9125,"Jan 25, 18",149.9511,151.5408,1641686,1641686,151.1773
13,0.968467,0.085487111516911,0.639,152.4114,2018-01-26,152.519,"Jan 26, 18",150.8951,151.5897,1311417,1311417,152.1232
14,-1.6435,0.073782675240708,-1.078,150.768,2018-01-29,152.4212,"Jan 29, 18",150.5821,152.118,1334670,1334670,151.0951
15,-1.0369,0.066397071967967,-0.6880000000000001,149.731,2018-01-30,152.1669,"Jan 30, 18",149.6039,150.5919,2203700,2203700,150.6009
16,3.0228,0.087925713793273,2.019,152.7538,2018-01-31,154.0745,"Jan 31, 18",150.499,150.993,3363810,3363810,152.173
17,-0.6554289999999999,0.083257898571523,-0.429,152.0984,2018-02-01,153.4875,"Feb 1, 18",151.218,152.4506,2088052,2088052,152.1307
18,-2.1815,0.067721067771634,-1.434,149.9169,2018-02-02,153.038,"Feb 2, 18",149.7702,151.6777,1469096,1469096,150.7438
19,-5.7717,0.026614523500391,-3.85,144.1452,2018-02-05,150.318,"Feb 5, 18",143.3822,149.6625,2327624,2327624,146.3628
20,-1.438,0.016372963706561,-0.998,142.7072,2018-02-06,143.8909,"Feb 6, 18",138.3735,141.8463,3348689,3348689,141.4304
21,1.6043,0.027798926416743003,1.124,144.3115,2018-02-07,146.3854,"Feb 7, 18",141.7417,142.4333,3102309,3102309,144.7711
22,-6.9749,-0.021876911834984,-4.833,137.3366,2018-02-08,144.8006,"Feb 8, 18",137.2583,144.4387,2266041,2266041,140.0695
23,4.0402,0.006897740375747001,2.942,141.3768,2018-02-09,142.4235,"Feb 9, 18",137.0431,138.579,3508423,3508423,139.6833
24,0.088043,0.007524483951447,0.062,141.4648,2018-02-12,143.0985,"Feb 12, 18",139.3811,141.8268,2205831,2205831,141.4249
25,0.498907,0.011077692700502,0.353,141.9637,2018-02-13,142.355,"Feb 13, 18",140.242,140.6333,1387834,1387834,141.5818
26,2.1228,0.026196457047054002,1.495,144.0865,2018-02-14,144.155,"Feb 14, 18",140.6724,141.3572,1989089,1989089,142.6535
27,-0.215217,0.024663784121024,-0.149,143.8713,2018-02-15,145.3485,"Feb 15, 18",143.0985,144.5072,1783073,1783073,143.9568
28,-0.068476,0.024175921224030002,-0.048,143.8028,2018-02-16,144.8789,"Feb 16, 18",142.8735,143.5094,1514310,1514310,143.9323
29,-1.5261,0.013307617854500001,-1.061,142.2768,2018-02-20,144.4485,"Feb 20, 18",141.3963,143.6952,1270533,1270533,142.4804
30,-1.6825999999999999,0.0013239958036660002,-1.183,140.5942,2018-02-21,143.5485,"Feb 21, 18",140.5453,142.3648,1581339,1581339,141.8535
31,-0.635863,-0.003204938739376,-0.452,139.9583,2018-02-22,142.1251,"Feb 22, 18",139.6159,140.8681,1996686,1996686,140.691
32,0.9195559999999999,0.0033445316266910003,0.657,140.8779,2018-02-23,140.8779,"Feb 23, 18",139.0974,140.1637,1386440,1386440,140.3987
33,2.0837,0.018184110198613,1.479,142.9615,2018-02-26,143.4567,"Feb 26, 18",140.8974,141.0539,1803216,1803216,142.6347
34,-1.9076,0.004598018778092,-1.334,141.0539,2018-02-27,143.392,"Feb 27, 18",141.0539,142.9322,1739360,1739360,141.8832
