,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,1.9086,0.0,1.513,128.0942,2018-01-08,128.5095,"Jan 8, 18",125.6417,126.057,1130469,1130469,127.8871
1,1.246,0.009727216376697,0.973,129.3402,2018-01-09,130.1116,"Jan 9, 18",128.2623,128.2623,1085896,1085896,129.3931
2,1.5229,0.021616903809852,1.177,130.8632,2018-01-10,130.9917,"Jan 10, 18",128.8655,129.0337,791947,791947,130.4435
3,-0.138448,0.020535668281624002,-0.106,130.7247,2018-01-11,131.8323,"Jan 11, 18",130.3984,130.9423,1082999,1082999,130.9938
4,-0.672462,0.015285625734810002,-0.514,130.0522,2018-01-12,131.1499,"Jan 12, 18",129.9632,130.7247,618182,618182,130.3011
5,-0.7120200000000001,0.009727216376697,-0.547,129.3402,2018-01-16,131.5851,"Jan 16, 18",128.3909,130.7544,861865,861865,129.9509
6,0.721908,0.015362912606503002,0.558,130.0621,2018-01-17,130.4083,"Jan 17, 18",129.1227,129.4094,721010,721010,130.0243
7,1.3746,0.026094077639737003,1.057,131.4367,2018-01-18,131.5257,"Jan 18, 18",129.3204,129.6171,760612,760612,130.9241
8,0.959248,0.033583097439228,0.73,132.396,2018-01-19,132.663,"Jan 19, 18",131.1758,131.5851,885343,885343,132.0557
9,0.672462,0.038832359310569005,0.508,133.0684,2018-01-22,133.1475,"Jan 22, 18",131.8916,132.3268,607592,607592,132.8027
10,0.24722899999999998,0.040762969751948,0.186,133.3157,2018-01-23,133.464,"Jan 23, 18",132.4429,132.8509,635940,635940,133.1142
11,0.7515759999999999,0.046629745921361,0.5640000000000001,134.0672,2018-01-24,134.1562,"Jan 24, 18",131.9114,133.5036,605938,605938,133.507
12,1.5724,0.058905087037508005,1.173,135.6396,2018-01-25,135.9066,"Jan 25, 18",133.7607,134.8683,793921,793921,135.0938
13,-0.138447,0.05782463218475101,-0.10200000000000001,135.5012,2018-01-26,136.1094,"Jan 26, 18",134.4926,135.9758,953655,953655,135.5073
14,-1.8888,0.043078453200847,-1.3940000000000001,133.6123,2018-01-29,137.0043,"Jan 29, 18",133.2366,135.6792,983605,983605,134.3185
15,-1.7998,0.029027856062179003,-1.347,131.8125,2018-01-30,133.4047,"Jan 30, 18",130.9126,133.0388,1434199,1434199,132.1245
16,1.0878,0.037520043842734004,0.8250000000000001,132.9003,2018-01-31,133.9189,"Jan 31, 18",132.0202,132.0894,872360,872360,133.175
17,2.1459,0.054273339464238006,1.615,135.0463,2018-02-01,135.2836,"Feb 1, 18",132.0793,132.6828,892994,892994,134.6016
18,-1.8888,0.039527160480333,-1.399,133.1574,2018-02-02,135.4221,"Feb 2, 18",133.0338,134.6804,861578,861578,134.0352
19,-4.0743,0.007720099739098001,-3.06,129.0831,2018-02-05,135.0562,"Feb 5, 18",128.6084,131.6938,1719284,1719284,131.3981
20,-13.4394,-0.09719799959717101,-10.411,115.6437,2018-02-06,124.2869,"Feb 6, 18",106.8028,124.1781,7648364,7648364,115.0177
21,-2.3487,-0.11553294372422701,-2.031,113.2951,2018-02-07,114.8032,"Feb 7, 18",109.7795,109.7795,4190808,4190808,112.4342
22,-3.3771,-0.141897915752625,-2.981,109.9179,2018-02-08,113.6066,"Feb 8, 18",109.8388,113.1418,3246257,3246257,111.5387
23,-3.9952,-0.17308746219579002,-3.635,105.9227,2018-02-09,107.4061,"Feb 9, 18",95.7369,103.1933,7012910,7012910,102.0462
24,3.5304,-0.145526495344832,3.333,109.4531,2018-02-12,112.0639,"Feb 12, 18",107.149,107.3764,2567309,2567309,109.8856
25,1.5229,-0.133636807911677,1.391,110.9761,2018-02-13,112.2122,"Feb 13, 18",108.3258,109.5026,2403518,2403518,110.3356
26,2.7492,-0.11217447784521001,2.477,113.7253,2018-02-14,114.33840000000001,"Feb 14, 18",110.086,110.3531,2331852,2331852,112.5507
27,2.4228,-0.09326027251819301,2.13,116.1481,2018-02-15,116.2767,"Feb 15, 18",113.3495,115.179,2075493,2075493,115.1904
28,-5.9335,-0.139581651628254,-5.109,110.2146,2018-02-16,116.0888,"Feb 16, 18",109.6114,115.5449,2804005,2804005,110.8374
29,-0.662574,-0.14475440730337502,-0.601,109.552,2018-02-20,111.7721,"Feb 20, 18",108.8103,109.73,1707206,1707206,109.9806
30,0.514236,-0.14073939335270402,0.46900000000000003,110.0663,2018-02-21,111.8463,"Feb 21, 18",109.5224,110.0069,1400520,1400520,110.7537
31,-1.3251,-0.151084904702945,-1.204,108.7411,2018-02-22,110.8277,"Feb 22, 18",108.3752,110.1058,992886,992886,109.2027
32,-1.1966,-0.16042646739665,-1.1,107.5445,2018-02-23,108.8993,"Feb 23, 18",107.0699,108.8895,2064160,2064160,107.6003
33,2.5514,-0.14050831341309702,2.372,110.0959,2018-02-26,110.719,"Feb 26, 18",107.6533,107.7324,1609023,1609023,109.3939
34,-1.1274,-0.14930886800495202,-1.024,108.9686,2018-02-27,110.6893,"Feb 27, 18",108.9389,109.7103,1271456,1271456,109.5337
35,1.7998,-0.135258270866284,1.6520000000000001,110.7684,2018-02-28,112.232,"Feb 28, 18",109.3542,109.7597,1800923,1800923,110.7851
36,-0.376752,-0.138199856043443,-0.34,110.3916,2018-03-01,111.7497,"Mar 1, 18",110.1042,110.6593,2780233,2780233,110.8826
37,3.6083,-0.11002996232460101,3.269,114.0,2018-03-02,115.3581,"Mar 2, 18",109.7374,110.0645,1907402,1907402,113.3912
38,0.34695699999999996,-0.10732101843799301,0.304,114.347,2018-03-05,115.5563,"Mar 5, 18",112.1363,113.5143,1957395,1957395,114.2645
39,2.7955,-0.08549801630362601,2.445,117.1424,2018-03-06,118.1635,"Mar 6, 18",114.1586,114.347,2139407,2139407,116.715
40,0.614609,-0.080699984854895,0.525,117.757,2018-03-07,118.0643,"Mar 7, 18",116.2007,116.5774,1488372,1488372,117.2793
41,1.0904,-0.072186718836606,0.926,118.8475,2018-03-08,119.6009,"Mar 8, 18",117.8661,118.3518,1257486,1257486,118.7594
42,4.6096,-0.036201482971125,3.879,123.457,2018-03-09,123.4669,"Mar 9, 18",119.135,119.1746,1432695,1432695,122.0169
43,-0.713739,-0.041773163812256,-0.578,122.7433,2018-03-12,123.457,"Mar 12, 18",121.9899,123.0903,1253509,1253509,122.8632
44,-3.8661000000000003,-0.071954858221527,-3.15,118.8772,2018-03-13,123.4769,"Mar 13, 18",118.4212,123.4769,1141077,1141077,119.7798
45,-0.624521,-0.07683017654195101,-0.525,118.2527,2018-03-14,119.5017,"Mar 14, 18",117.9156,119.5017,818758,818758,118.4853
46,-0.674086,-0.08209270989631001,-0.5700000000000001,117.5786,2018-03-15,118.3816,"Mar 15, 18",116.617,118.2527,938184,938184,117.4178
47,0.604694,-0.07737196531927201,0.514,118.1833,2018-03-16,118.7186,"Mar 16, 18",116.7856,117.9156,1218044,1218044,117.9454
48,-0.683999,-0.082711785545325,-0.579,117.4993,2018-03-19,119.4026,"Mar 19, 18",116.2007,118.1635,1275440,1275440,117.507
49,1.3581,-0.07210943196491301,1.156,118.8574,2018-03-20,120.493,"Mar 20, 18",116.964,117.5687,1166765,1166765,119.2038
50,-2.5477,-0.091998700956015,-2.143,116.3097,2018-03-21,117.4725,"Mar 21, 18",114.9913,115.2094,1441339,1441339,116.283
51,-4.6690000000000005,-0.128448438727124,-4.014,111.6407,2018-03-22,116.2708,"Mar 22, 18",111.4325,115.5068,1039193,1039193,113.2667
52,-0.902087,-0.135490912156834,-0.808,110.7386,2018-03-23,112.8501,"Mar 23, 18",110.3867,111.6605,1030235,1030235,111.3075
53,2.855,-0.11320262744136701,2.578,113.5936,2018-03-26,114.2875,"Mar 26, 18",111.2838,111.9579,818156,818156,113.0191
54,-2.508,-0.132781968270226,-2.208,111.0856,2018-03-27,113.9306,"Mar 27, 18",110.1636,113.544,1013991,1013991,112.0321
55,-0.148695,-0.13394283269656201,-0.134,110.9369,2018-03-28,112.5329,"Mar 28, 18",110.5007,111.0856,814189,814189,111.2902
56,2.171,-0.11699514888261901,1.957,113.1078,2018-03-29,114.3569,"Mar 29, 18",111.1153,111.4821,1472700,1472700,113.1214
57,-1.6059,-0.129532016281767,-1.42,111.5019,2018-04-02,114.1289,"Apr 2, 18",110.3322,113.088,1105552,1105552,111.4866
58,-1.477,-0.141062592997965,-1.325,110.0249,2018-04-03,111.5416,"Apr 3, 18",108.2207,111.1748,1894000,1894000,109.7908
59,0.218087,-0.139359939794307,0.198,110.243,2018-04-04,110.8377,"Apr 4, 18",108.072,108.7064,1661325,1661325,110.0528
60,0.386609,-0.136341848420927,0.35100000000000003,110.6296,2018-04-05,111.829,"Apr 5, 18",110.119,111.4127,1020678,1020678,110.9224
61,-2.2403,-0.153832101687664,-2.025,108.3892,2018-04-06,110.0943,"Apr 6, 18",107.5268,109.3012,1301934,1301934,108.733
62,0.684,-0.148492281461611,0.631,109.0732,2018-04-09,111.0756,"Apr 9, 18",108.7758,108.91460000000001,931036,931036,109.9826
63,0.247826,-0.146557767642875,0.227,109.321,2018-04-10,110.6097,"Apr 10, 18",108.8849,109.6581,893832,893832,109.6319
64,-1.8141,-0.16071922069851702,-1.659,107.507,2018-04-11,108.7956,"Apr 11, 18",107.0906,108.7163,1181691,1181691,107.8574
65,1.2094,-0.151278512219913,1.125,108.7163,2018-04-12,109.6878,"Apr 12, 18",107.279,107.9729,675614,675614,108.9363
66,-1.3085,-0.16149365076638902,-1.204,107.4078,2018-04-13,109.0831,"Apr 13, 18",107.1094,108.9939,894964,894964,107.7999
67,0.455999,-0.157933770615687,0.425,107.8638,2018-04-16,108.7847,"Apr 16, 18",107.6358,108.1315,568177,568177,108.1896
68,1.2689,-0.148027779555983,1.176,109.1327,2018-04-17,109.3607,"Apr 17, 18",108.1513,108.6767,763864,763864,108.845
69,-0.753392,-0.153909388559357,-0.6900000000000001,108.3793,2018-04-18,109.7076,"Apr 18, 18",108.3496,109.2913,563537,563537,108.7172
70,0.545217,-0.149653145887948,0.503,108.9245,2018-04-19,109.44,"Apr 19, 18",107.8539,108.0423,988333,988333,108.7248
71,0.277566,-0.147485990778661,0.255,109.2021,2018-04-20,109.9257,"Apr 20, 18",108.6866,109.2318,562829,562829,109.2166
72,-2.2007,-0.164666315883154,-2.015,107.0014,2018-04-23,109.896,"Apr 23, 18",106.8824,109.777,818906,818906,107.5458
73,-2.3692,-0.18316207915737,-2.214,104.6322,2018-04-24,107.9332,"Apr 24, 18",104.5628,107.5466,1069893,1069893,105.4841
74,0.713739,-0.17759039831623902,0.682,105.3459,2018-04-25,105.6631,"Apr 25, 18",103.4228,104.3447,1061114,1061114,104.7714
75,0.5947819999999999,-0.17294694061089402,0.5650000000000001,105.9407,2018-04-26,106.7734,"Apr 26, 18",103.9085,105.5144,964265,964265,105.8819
76,-0.674087,-0.17820947396525302,-0.636,105.2666,2018-04-27,106.5156,"Apr 27, 18",104.2456,105.7424,853568,853568,105.055
77,0.584869,-0.173643303131601,0.556,105.8515,2018-04-30,107.3651,"Apr 30, 18",105.683,105.683,803775,803775,106.3621
