,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.5700000000000001,0.0,1.288,44.84,2018-01-08,44.91,"Jan 8, 18",44.22,44.27,2151067,2151067,44.7141
1,0.31,0.0069134701159670004,0.6910000000000001,45.15,2018-01-09,45.5,"Jan 9, 18",44.85,44.91,1757159,1757159,45.2228
2,-0.88,-0.012711864406779001,-1.949,44.27,2018-01-10,44.95,"Jan 10, 18",44.08,44.95,2227080,2227080,44.3089
3,0.85,0.006244424620874001,1.92,45.12,2018-01-11,45.165,"Jan 11, 18",44.25,44.41,1090314,1090314,44.7838
4,-0.23,0.001115075825156,-0.51,44.89,2018-01-12,45.25,"Jan 12, 18",44.77,45.25,1176948,1176948,44.916
5,-0.24,-0.004237288135593,-0.535,44.65,2018-01-16,45.515,"Jan 16, 18",44.59,45.18,1156975,1156975,44.9274
6,0.34,0.003345227475468,0.761,44.99,2018-01-17,45.26,"Jan 17, 18",44.57,44.92,1640636,1640636,44.9359
7,0.2,0.007805530776092,0.445,45.19,2018-01-18,45.3,"Jan 18, 18",44.62,45.0,1460655,1460655,45.1083
8,0.6900000000000001,0.023193577163247003,1.5270000000000001,45.88,2018-01-19,45.905,"Jan 19, 18",45.1,45.26,1509945,1509945,45.7261
9,-0.15,0.019848349687778002,-0.327,45.73,2018-01-22,45.975,"Jan 22, 18",45.23,45.88,1299143,1299143,45.5844
10,0.22,0.024754683318465,0.481,45.95,2018-01-23,46.03,"Jan 23, 18",45.53,45.68,1087247,1087247,45.8708
11,-0.74,0.008251561106155,-1.6099999999999999,45.21,2018-01-24,45.59,"Jan 24, 18",44.58,45.25,1823205,1823205,45.1015
12,0.6000000000000001,0.021632471008028002,1.327,45.81,2018-01-25,45.95,"Jan 25, 18",45.39,45.39,1478364,1478364,45.7441
13,0.4,0.030553077609277002,0.873,46.21,2018-01-26,46.24,"Jan 26, 18",45.66,46.01,1119102,1119102,45.9945
14,0.13,0.033452274754683,0.281,46.34,2018-01-29,46.6,"Jan 29, 18",45.79,46.21,1430845,1430845,46.3737
