,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.93,0.0,2.114,44.92,2018-01-08,45.05,"Jan 8, 18",43.92,43.95,2005745,2005745,44.7769
1,0.15,0.0033392698130000004,0.334,45.07,2018-01-09,45.27,"Jan 9, 18",44.62,45.0,1693155,1693155,45.012
2,-0.23,-0.0017809439002670002,-0.51,44.84,2018-01-10,45.17,"Jan 10, 18",44.57,44.89,1367276,1367276,44.7834
3,0.03,-0.001113089937667,0.067,44.87,2018-01-11,45.14,"Jan 11, 18",44.77,44.9,1173224,1173224,44.8838
4,0.2,0.0033392698130000004,0.446,45.07,2018-01-12,45.16,"Jan 12, 18",44.64,44.98,1205068,1205068,45.0304
5,-0.79,-0.014247551202137,-1.7530000000000001,44.28,2018-01-16,45.4085,"Jan 16, 18",44.2,45.22,2219259,2219259,44.6538
6,0.58,-0.0013357079252000002,1.31,44.86,2018-01-17,45.06,"Jan 17, 18",44.51,44.66,2167754,2167754,44.8603
7,0.08,0.00044523597506600004,0.178,44.94,2018-01-18,45.08,"Jan 18, 18",44.72,44.91,1633440,1633440,44.9625
8,0.66,0.015138023152270001,1.469,45.6,2018-01-19,45.74,"Jan 19, 18",44.84,45.0,2147919,2147919,45.5089
9,0.09,0.017141585040071003,0.197,45.69,2018-01-22,45.86,"Jan 22, 18",45.25,45.52,1452805,1452805,45.6572
10,0.06,0.018477292965271,0.131,45.75,2018-01-23,45.94,"Jan 23, 18",45.5,45.6,1531402,1531402,45.7336
11,-0.37,0.010240427426536,-0.809,45.38,2018-01-24,46.0,"Jan 24, 18",45.36,45.89,1552065,1552065,45.5794
12,-0.52,-0.0013357079252000002,-1.146,44.86,2018-01-25,45.95,"Jan 25, 18",44.77,45.58,1571138,1571138,45.1738
13,0.9400000000000001,0.019590382902938002,2.095,45.8,2018-01-26,45.81,"Jan 26, 18",44.671,45.17,1529437,1529437,45.6079
14,-1.24,-0.008014247551202001,-2.707,44.56,2018-01-29,45.745,"Jan 29, 18",44.475,45.56,1965639,1965639,44.8461
15,-0.58,-0.020926090828139003,-1.302,43.98,2018-01-30,44.71,"Jan 30, 18",43.82,44.36,2258144,2258144,44.0842
16,0.88,-0.0013357079252000002,2.001,44.86,2018-01-31,45.03,"Jan 31, 18",43.92,44.06,3580601,3580601,44.6956
17,-2.63,-0.059884238646482006,-5.8629999999999995,42.23,2018-02-01,45.25,"Feb 1, 18",41.9,44.4,7211410,7211410,42.848
18,-1.13,-0.085040071237756,-2.676,41.1,2018-02-02,42.15,"Feb 2, 18",41.08,42.04,3802854,3802854,41.4222
