,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.81,0.0,-0.772,104.18,2018-01-08,106.15,"Jan 8, 18",101.13,106.0,11417214,11417214,103.2778
1,1.31,0.012574390478018001,1.2570000000000001,105.49,2018-01-09,106.1,"Jan 9, 18",103.83,104.33,7472191,7472191,105.2478
2,-0.03,0.012286427337300001,-0.028,105.46,2018-01-10,105.8234,"Jan 10, 18",104.65,105.26,8539241,8539241,105.3714
3,-0.88,0.0038395085429060003,-0.834,104.58,2018-01-11,105.83,"Jan 11, 18",104.34,105.62,7010835,7010835,104.9051
4,1.42,0.017469763870224,1.358,106.0,2018-01-12,106.43,"Jan 12, 18",104.31,104.76,8748823,8748823,105.6412
5,-1.18,0.006143213668650001,-1.113,104.82,2018-01-16,107.29,"Jan 16, 18",104.68,106.72,6253148,6253148,105.6518
6,-2.8,-0.020733346131695002,-2.6710000000000003,102.02,2018-01-17,104.35,"Jan 17, 18",101.75,103.0,11874787,11874787,102.4665
7,-0.30000000000000004,-0.023612977538875,-0.294,101.72,2018-01-18,102.86,"Jan 18, 18",101.27,102.4,9279762,9279762,101.9447
8,0.93,-0.014686120176617001,0.914,102.65,2018-01-19,103.05,"Jan 19, 18",102.0,102.0,8112136,8112136,102.6425
9,0.26,-0.012190439623728,0.253,102.91,2018-01-22,103.5,"Jan 22, 18",99.99,100.0,12934277,12934277,102.3098
10,1.6400000000000001,0.0035515454021880005,1.5939999999999999,104.55,2018-01-23,106.275,"Jan 23, 18",103.0,103.0,10546653,10546653,104.7874
11,-1.44,-0.010270685352274002,-1.377,103.11,2018-01-24,105.33,"Jan 24, 18",102.71,104.97,9397299,9397299,103.7276
12,1.28,0.002015741985025,1.241,104.39,2018-01-25,106.28,"Jan 25, 18",101.8,106.1,11169447,11169447,103.9979
13,0.78,0.009502783643693,0.747,105.17,2018-01-26,106.67,"Jan 26, 18",104.6,104.94,7992037,7992037,105.4267
14,-1.9100000000000001,-0.008830869648684,-1.816,103.26,2018-01-29,105.83,"Jan 29, 18",102.81,104.76,7140142,7140142,103.6949
15,-1.6800000000000002,-0.024956805528892,-1.627,101.58,2018-01-30,103.73,"Jan 30, 18",100.87,102.64,6742476,6742476,101.8477
16,-0.42,-0.028988289498944,-0.41300000000000003,101.16,2018-01-31,102.54,"Jan 31, 18",100.43,102.06,7064387,7064387,101.3975
