,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.06,0.0,0.085,70.59,2018-01-08,70.77,"Jan 8, 18",70.01,70.12,1196689,1196689,70.5196
1,1.11,0.015724606884827002,1.572,71.7,2018-01-09,71.8,"Jan 9, 18",70.3,70.57,1719931,1719931,71.1737
2,0.65,0.024932710015582,0.907,72.35,2018-01-10,72.62,"Jan 10, 18",70.97,71.66,1848177,1848177,72.2236
3,0.29,0.029040940643150003,0.401,72.64,2018-01-11,73.43,"Jan 11, 18",72.2,72.25,1501019,1501019,72.7369
4,0.26,0.032724181895452,0.358,72.9,2018-01-12,73.16,"Jan 12, 18",72.05,72.67,1750724,1750724,72.8125
5,-2.2800000000000002,0.00042498937526500003,-3.128,70.62,2018-01-16,72.4,"Jan 16, 18",70.56,72.25,2152009,2152009,71.1162
6,-0.34,-0.004391556877744,-0.481,70.28,2018-01-17,71.25,"Jan 17, 18",70.08,71.21,1945598,1945598,70.4637
7,-0.79,-0.015582943759739001,-1.124,69.49,2018-01-18,70.496,"Jan 18, 18",68.86,70.28,2434636,2434636,69.4808
8,-0.58,-0.023799405014874,-0.835,68.91,2018-01-19,69.4,"Jan 19, 18",68.16,69.4,3157829,3157829,68.8324
9,0.22,-0.020682816262926,0.319,69.13,2018-01-22,69.41,"Jan 22, 18",68.62,69.27,2531314,2531314,69.0926
10,0.06,-0.019832837512395,0.08700000000000001,69.19,2018-01-23,69.855,"Jan 23, 18",68.63,68.9,2911550,2911550,69.3854
11,-1.49,-0.040940643150587,-2.153,67.7,2018-01-24,69.71,"Jan 24, 18",67.64,69.57,3603909,3603909,68.205
12,0.35000000000000003,-0.035982433772489004,0.517,68.05,2018-01-25,68.82,"Jan 25, 18",67.93,68.14,2528271,2528271,68.3302
13,0.55,-0.028190961892619004,0.808,68.6,2018-01-26,68.81,"Jan 26, 18",68.12,68.41,2331961,2331961,68.5281
14,0.13,-0.026349341266468002,0.19,68.73,2018-01-29,69.05,"Jan 29, 18",68.08,68.48,2438784,2438784,68.7706
15,0.63,-0.01742456438589,0.917,69.36,2018-01-30,69.9,"Jan 30, 18",68.13,69.02,3413376,3413376,69.4529
16,-0.23,-0.020682816262926,-0.332,69.13,2018-01-31,69.78,"Jan 31, 18",68.83,69.5,2276821,2276821,69.3148
17,-0.84,-0.032582518770364,-1.215,68.29,2018-02-01,69.06,"Feb 1, 18",67.95,68.89,1301512,1301512,68.2927
18,-1.9,-0.05949851253718601,-2.782,66.39,2018-02-02,68.005,"Feb 2, 18",66.38,67.83,2217960,2217960,66.8607
19,-2.98,-0.101714123813571,-4.489,63.41,2018-02-05,66.7,"Feb 5, 18",63.4,66.4,3887600,3887600,65.1324
20,0.58,-0.093497662558436,0.915,63.99,2018-02-06,64.26,"Feb 6, 18",61.2265,62.7,5219182,5219182,63.3753
21,-0.51,-0.10072248193795101,-0.797,63.48,2018-02-07,64.57,"Feb 7, 18",61.53,62.49,6285388,6285388,63.361
22,-2.26,-0.13273834820796102,-3.56,61.22,2018-02-08,63.49,"Feb 8, 18",61.18,63.27,3131390,3131390,62.2488
23,0.09,-0.13146338008216402,0.147,61.31,2018-02-09,62.23,"Feb 9, 18",59.75,61.56,3790825,3790825,61.0515
24,1.18,-0.114747131321716,1.925,62.49,2018-02-12,63.11,"Feb 12, 18",61.27,61.68,2686857,2686857,62.4094
25,0.0,-0.114747131321716,0.0,62.49,2018-02-13,62.795,"Feb 13, 18",60.795,62.03,2692783,2692783,61.9983
26,-0.27,-0.11857203569910701,-0.432,62.22,2018-02-14,62.9,"Feb 14, 18",61.93,62.2,2849366,2849366,62.2998
27,2.18,-0.087689474429805,3.504,64.4,2018-02-15,64.44,"Feb 15, 18",62.15,62.7,2284345,2284345,63.8526
28,-0.18,-0.09023941068139901,-0.28,64.22,2018-02-16,64.83,"Feb 16, 18",63.99,64.4,2522381,2522381,64.3831
