,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.924229,0.0,-2.175,41.5611,2018-01-08,42.7478,"Jan 8, 18",41.4249,42.6702,3349471,3349471,41.7431
1,-0.243219,-0.005851625678819,-0.585,41.3179,2018-01-09,41.9017,"Jan 9, 18",41.1428,41.55,3381076,3381076,41.3737
2,-0.048644,-0.0070209883761490005,-0.11800000000000001,41.2693,2018-01-10,41.4774,"Jan 10, 18",40.5688,41.0747,2251698,2251698,41.1293
3,1.2647,0.023408908811364003,3.065,42.534,2018-01-11,42.534,"Jan 11, 18",41.2206,41.3179,2639877,2639877,42.3278
4,-0.194574,0.018726645829874003,-0.457,42.3394,2018-01-12,42.641,"Jan 12, 18",41.9795,42.3492,2260542,2260542,42.364
5,-2.7338,-0.047048802846892,-6.457,39.6057,2018-01-16,41.8044,"Jan 16, 18",39.4306,41.7703,6781118,6781118,40.1572
6,-1.1188,-0.073968205846332,-2.825,38.4869,2018-01-17,39.917,"Jan 17, 18",38.2826,39.917,5651631,5651631,38.7043
7,0.505895,-0.061795765752109,1.314,38.9928,2018-01-18,39.917,"Jan 18, 18",38.8274,39.2457,6375648,6375648,39.1646
8,0.30159,-0.054538979959625006,0.773,39.2944,2018-01-19,39.5278,"Jan 19, 18",38.4771,39.2749,3539914,3539914,39.1805
9,0.437793,-0.044007497395400004,1.114,39.7321,2018-01-22,39.7516,"Jan 22, 18",39.1776,39.1776,2273226,2273226,39.5759
10,0.447522,-0.033237811318757006,1.126,40.1797,2018-01-23,40.5591,"Jan 23, 18",39.2423,39.5473,2560902,2560902,40.1367
11,0.330777,-0.025280851565526,0.8230000000000001,40.5104,2018-01-24,40.9288,"Jan 24, 18",39.917,40.3353,2422231,2422231,40.5778
12,-1.1966,-0.054072197319127005,-2.954,39.3138,2018-01-25,40.9482,"Jan 25, 18",39.2263,40.8607,1814390,1814390,39.6304
13,1.6733,-0.013808585432050002,4.256,40.9872,2018-01-26,41.0844,"Jan 26, 18",39.1776,39.4987,2758263,2758263,40.5692
14,-0.029186,-0.014511165488882,-0.07100000000000001,40.958,2018-01-29,41.3666,"Jan 29, 18",40.3353,40.7634,2208049,2208049,41.0002
15,-0.097287,-0.016852296979627,-0.23800000000000002,40.8607,2018-01-30,41.2012,"Jan 30, 18",40.3645,40.6758,2245829,2245829,40.8147
16,0.428064,-0.006554205735651001,1.048,41.2887,2018-01-31,41.5222,"Jan 31, 18",40.3353,40.9385,2730383,2730383,41.1292
17,-0.846399,-0.026919402999439002,-2.05,40.4423,2018-02-01,41.8044,"Feb 1, 18",40.384,41.0358,1961729,1961729,40.852
18,-1.615,-0.065775448676767,-3.993,38.8274,2018-02-02,40.1894,"Feb 2, 18",38.5063,40.1894,1911132,1911132,39.0825
19,-1.6636000000000002,-0.10580326314751001,-4.285,37.1638,2018-02-05,39.3916,"Feb 5, 18",37.0665,38.4869,3665779,3665779,38.1991
20,0.817213,-0.08614064594055501,2.199,37.981,2018-02-06,38.2631,"Feb 6, 18",35.8407,36.1617,3752531,3752531,37.2413
21,0.428064,-0.07584255469657901,1.127,38.409,2018-02-07,39.2749,"Feb 7, 18",37.6113,37.6599,3264357,3264357,38.6676
22,-1.9652,-0.12312715495980601,-5.117,36.4438,2018-02-08,38.9052,"Feb 8, 18",36.3757,38.4285,4103212,4103212,37.277
23,0.15566000000000002,-0.11938086335539701,0.427,36.5995,2018-02-09,37.1443,"Feb 9, 18",34.9262,36.7746,4032864,4032864,36.0324
24,0.7977569999999999,-0.100185028788939,2.18,37.3973,2018-02-12,37.8253,"Feb 12, 18",36.619,37.1346,3115628,3115628,37.2267
25,0.544808,-0.08707661731763501,1.457,37.9421,2018-02-13,38.1853,"Feb 13, 18",36.8719,37.3194,2372683,2372683,37.6598
26,0.642098,-0.071627074355587,1.6920000000000002,38.5842,2018-02-14,38.9928,"Feb 14, 18",37.4362,37.5918,2757824,2757824,38.511
27,1.4998,-0.035540445272141,3.887,40.084,2018-02-15,40.2996,"Feb 15, 18",38.3195,40.0938,3996001,3996001,39.5625
28,-0.519552,-0.048042520530014,-1.296,39.5644,2018-02-16,40.2212,"Feb 16, 18",39.4076,39.9762,2884767,2884767,39.8961
29,1.4312,-0.013604067264822,3.617,40.9957,2018-02-20,41.1231,"Feb 20, 18",39.5056,39.7605,3878049,3878049,40.8426
30,0.794033,0.005500335650403001,1.937,41.7897,2018-02-21,42.9072,"Feb 21, 18",41.2407,41.378,4653396,4653396,42.2725
31,0.333298,0.013519853901845002,0.798,42.123,2018-02-22,42.7896,"Feb 22, 18",41.971,42.0642,2980132,2980132,42.3768
32,1.1273,0.040643775068513,2.676,43.2503,2018-02-23,43.3287,"Feb 23, 18",42.1524,42.5739,2733447,2733447,42.8867
33,-1.4214,0.006443525315739,-3.286,41.8289,2018-02-26,43.6032,"Feb 26, 18",41.5446,43.4856,3491957,3491957,42.2105
34,-0.882259,-0.014785460442577001,-2.109,40.9466,2018-02-27,41.8583,"Feb 27, 18",40.8094,41.2701,2721889,2721889,41.2575
35,-0.5195529999999999,-0.027285129604365,-1.2690000000000001,40.4271,2018-02-28,41.7995,"Feb 28, 18",40.4075,40.9368,2944378,2944378,40.8514
36,0.401918,-0.017615029438585002,0.994,40.829,2018-03-01,41.6623,"Mar 1, 18",40.2408,40.5643,2841167,2841167,40.9241
37,0.215664,-0.012425080183152,0.528,41.0447,2018-03-02,41.2309,"Mar 2, 18",39.7311,40.6624,2348463,2348463,40.7482
38,2.637,0.051021267483295,6.425,43.6816,2018-03-05,43.9169,"Mar 5, 18",41.6623,41.7995,9383184,9383184,43.2993
39,-1.3332,0.018945600573613,-3.052,42.3485,2018-03-06,44.113,"Mar 6, 18",42.2112,44.0542,5640085,5640085,42.8143
40,-1.2646,-0.011481890517816002,-2.9859999999999998,41.0839,2018-03-07,42.2602,"Mar 7, 18",40.6045,41.6819,3685142,3685142,41.1524
41,-0.999895,-0.035540445272141,-2.434,40.084,2018-03-08,40.4565,"Mar 8, 18",38.8292,40.4565,7437325,7437325,39.5383
42,0.597977,-0.021151990683595003,1.492,40.682,2018-03-09,41.2308,"Mar 9, 18",39.5546,40.4859,4000837,4000837,40.409
43,0.372508,-0.012189282766818,0.916,41.0545,2018-03-12,41.1917,"Mar 12, 18",40.2016,40.5251,3971449,3971449,40.8369
44,-1.4704000000000002,-0.047570925697346,-3.582,39.584,2018-03-13,41.1329,"Mar 13, 18",39.4076,40.682,3632972,3632972,39.851
45,-0.068619,-0.049221507611685006,-0.17300000000000001,39.5154,2018-03-14,39.9075,"Mar 14, 18",39.0155,39.6036,3796253,3796253,39.3685
46,-1.294,-0.08035639095211601,-3.275,38.2214,2018-03-15,39.7703,"Mar 15, 18",38.1038,39.535,3669847,3669847,38.4642
47,-0.6469900000000001,-0.095923832622332,-1.693,37.5744,2018-03-16,38.3489,"Mar 16, 18",37.3245,38.2214,4597441,4597441,37.745400000000004
48,-0.627386,-0.11101727336379401,-1.67,36.9471,2018-03-19,37.7705,"Mar 19, 18",36.4765,37.3686,4161372,4161372,36.8837
49,0.254876,-0.10488654053910901,0.6900000000000001,37.2019,2018-03-20,37.5352,"Mar 20, 18",36.6236,37.1137,3274647,3274647,37.1971
50,0.696005,-0.088140111787224,1.871,37.8979,2018-03-21,38.3881,"Mar 21, 18",37.1039,37.1921,2502510,2502510,38.0269
51,-1.3626,-0.12092557704199301,-3.5949999999999998,36.5353,2018-03-22,37.9862,"Mar 22, 18",36.5157,37.3392,2163096,2163096,36.9507
52,-0.343101,-0.129180892709769,-0.9390000000000001,36.1922,2018-03-23,37.1235,"Mar 23, 18",36.0746,36.4961,3327680,3327680,36.6538
53,0.42152399999999995,-0.119036791615236,1.165,36.6138,2018-03-26,36.8686,"Mar 26, 18",35.908,36.6432,2579012,2579012,36.5177
54,0.14704399999999998,-0.11549983037022601,0.402,36.7608,2018-03-27,37.2608,"Mar 27, 18",36.3785,36.7902,4438373,4438373,36.8873
55,-0.990092,-0.139322587708217,-2.693,35.7707,2018-03-28,36.6334,"Mar 28, 18",35.6531,36.153,2522577,2522577,35.9396
56,1.2156,-0.110074083698458,3.398,36.9863,2018-03-29,37.1235,"Mar 29, 18",35.9668,36.006,3083894,3083894,36.8194
57,-1.0881,-0.13625481519979002,-2.942,35.8982,2018-04-02,36.9961,"Apr 2, 18",35.6737,36.8686,3022755,3022755,36.0719
58,0.35290499999999997,-0.12776370211568,0.983,36.2511,2018-04-03,36.4324,"Apr 3, 18",35.8099,36.1334,2036633,2036633,36.1994
59,0.127438,-0.12469833570333701,0.352,36.3785,2018-04-04,36.4373,"Apr 4, 18",34.9963,35.4962,3301954,3301954,35.8468
60,1.441,-0.09002649111789601,3.961,37.8195,2018-04-05,38.1234,"Apr 5, 18",36.5157,36.6922,4174186,4174186,37.7805
61,-1.7155,-0.131303069456775,-4.536,36.104,2018-04-06,37.6823,"Apr 6, 18",35.8099,37.2215,3400192,3400192,36.4299
62,0.323496,-0.12351934862166701,0.896,36.4275,2018-04-09,37.0059,"Apr 9, 18",35.8295,36.3785,1960413,1960413,36.6316
63,0.107831,-0.12092557704199301,0.296,36.5353,2018-04-10,37.0696,"Apr 10, 18",36.2707,36.898,2900548,2900548,36.6779
64,0.137241,-0.117622007117232,0.376,36.6726,2018-04-11,37.0745,"Apr 11, 18",36.4275,36.4275,1913690,1913690,36.7194
65,0.774427,-0.09898919903467401,2.112,37.447,2018-04-12,37.7411,"Apr 12, 18",36.2707,36.9079,2122746,2122746,37.3645
66,0.225466,-0.093563452362906,0.602,37.6725,2018-04-13,37.7901,"Apr 13, 18",37.0353,37.6235,1955732,1955732,37.4672
67,0.019606,-0.093091857530238,0.052000000000000005,37.6921,2018-04-16,38.0646,"Apr 16, 18",37.5744,37.9372,1634677,1634677,37.7836
68,0.6175809999999999,-0.07823180810902501,1.638,38.3097,2018-04-17,38.6234,"Apr 17, 18",37.4372,37.8979,1805904,1805904,38.2025
69,0.921472,-0.056062038781456006,2.4050000000000002,39.2311,2018-04-18,39.5546,"Apr 18, 18",38.2312,38.5253,2064725,2064725,39.2059
70,-0.37251,-0.065024746698234,-0.9500000000000001,38.8586,2018-04-19,39.2213,"Apr 19, 18",38.4714,39.1429,1192390,1192390,38.8179
71,-0.9018649999999999,-0.086722921193134,-2.321,37.9568,2018-04-20,38.8684,"Apr 20, 18",37.7705,38.79,2575424,2575424,38.0933
72,0.274481,-0.080120593535782,0.723,38.2312,2018-04-23,38.6136,"Apr 23, 18",37.6627,37.9077,1899267,1899267,38.1593
73,-0.058817999999999995,-0.08153537803378601,-0.154,38.1724,2018-04-24,39.0302,"Apr 24, 18",37.6627,38.4567,1958829,1958829,38.2325
74,0.656794,-0.06573213894723601,1.721,38.8292,2018-04-25,38.9763,"Apr 25, 18",37.947,38.1626,2016830,2016830,38.5723
75,0.20586000000000002,-0.060777987108137005,0.53,39.0351,2018-04-26,39.3096,"Apr 26, 18",38.8635,39.0645,1782114,1782114,39.0577
76,-0.284284,-0.067618518277909,-0.728,38.7508,2018-04-27,39.0449,"Apr 27, 18",38.2901,39.0155,2162932,2162932,38.6672
77,-0.7156100000000001,-0.084836541862462,-1.847,38.0352,2018-04-30,39.1037,"Apr 30, 18",37.8293,38.692,2701249,2701249,38.2211
78,-0.127438,-0.08790431437089001,-0.335,37.9077,2018-05-01,37.9666,"May 1, 18",37.3784,37.7607,2255234,2255234,37.7569
79,0.39211599999999996,-0.078467605525359,1.034,38.2999,2018-05-02,39.0155,"May 2, 18",37.9273,37.9273,3195910,3195910,38.4755
80,-0.784231,-0.09733861712033601,-2.048,37.5156,2018-05-03,38.2803,"May 3, 18",36.6138,36.6824,2831627,2831627,37.6358
