,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,5.67,0.0,1.616,356.55,2018-01-08,360.19,"Jan 8, 18",351.63,354.47,1485897,1485897,356.303
1,-1.79,-0.005020333754031,-0.502,354.76,2018-01-09,358.77,"Jan 9, 18",354.15,356.66,938935,938935,356.08
2,-3.93,-0.016042630767073,-1.108,350.83,2018-01-10,356.46,"Jan 10, 18",347.53,354.02,1092374,1092374,350.5783
3,4.44,-0.0035899593324920003,1.266,355.27,2018-01-11,356.19,"Jan 11, 18",348.32,350.28,1191089,1191089,353.0581
4,-1.27,-0.007151872107698001,-0.357,354.0,2018-01-12,359.56,"Jan 12, 18",353.08,357.39,644642,644642,354.4137
5,-1.07,-0.010152853737203002,-0.302,352.93,2018-01-16,356.54,"Jan 16, 18",349.8692,352.18,1112560,1112560,353.2044
6,4.91,0.0036180058897760004,1.391,357.84,2018-01-17,359.99,"Jan 17, 18",352.065,358.59,1119462,1119462,356.1898
7,7.41,0.024400504838031002,2.071,365.25,2018-01-18,365.25,"Jan 18, 18",356.49,356.49,1534564,1534564,362.9262
8,0.8,0.026644229420838002,0.219,366.05,2018-01-19,370.0,"Jan 19, 18",362.8,366.73,1453378,1453378,365.5857
9,4.2,0.038423783480577005,1.147,370.25,2018-01-22,371.0,"Jan 22, 18",366.0,366.37,1821955,1821955,369.4668
10,-1.0,0.035619127752068006,-0.27,369.25,2018-01-23,372.0,"Jan 23, 18",366.16,367.81,1043114,1043114,368.7373
11,6.93,0.055055391950638,1.877,376.18,2018-01-24,377.06,"Jan 24, 18",367.27,370.45,1758310,1758310,372.9799
12,-1.04,0.052138549992988004,-0.276,375.14,2018-01-25,378.38,"Jan 25, 18",371.7,376.23,981775,981775,374.643
13,1.8599999999999999,0.05735520964801501,0.496,377.0,2018-01-26,378.14,"Jan 26, 18",374.31,375.83,1228545,1228545,376.2596
14,-2.5,0.050343570326742006,-0.663,374.5,2018-01-29,376.615,"Jan 29, 18",370.71,375.24,925630,925630,374.034
15,2.07,0.056149207684756,0.553,376.57,2018-01-30,377.98,"Jan 30, 18",371.84,376.37,1241633,1241633,375.7449
16,0.68,0.058056373580143004,0.181,377.25,2018-01-31,379.325,"Jan 31, 18",373.21,374.81,2152768,2152768,376.4821
17,-6.07,0.041032113308091006,-1.609,371.18,2018-02-01,380.255,"Feb 1, 18",371.14,376.11,1928171,1928171,375.2444
18,16.32,0.08680409479736301,4.397,387.5,2018-02-02,396.64,"Feb 2, 18",375.495,380.0,4374876,4374876,388.1757
19,-14.93,0.044930584770719005,-3.8529999999999998,372.57,2018-02-05,395.0,"Feb 5, 18",371.47,391.6,2872626,2872626,379.0365
20,-2.8200000000000003,0.037021455616323,-0.757,369.75,2018-02-06,370.96,"Feb 6, 18",360.1221,366.08,4492123,4492123,365.6079
21,-6.2,0.019632590099565,-1.677,363.55,2018-02-07,370.52,"Feb 7, 18",360.061,367.11,1554983,1554983,365.9395
22,-14.9,-0.022156780255223003,-4.098,348.65,2018-02-08,363.04,"Feb 8, 18",346.13,362.1,1769875,1769875,351.79
23,0.78,-0.019969148786986003,0.224,349.43,2018-02-09,355.56,"Feb 9, 18",343.15,351.41,1908166,1908166,348.9954
24,8.45,0.003730192118917,2.418,357.88,2018-02-12,360.38,"Feb 12, 18",350.0,350.26,855081,855081,355.7988
25,-2.2,-0.0024400504838030003,-0.615,355.68,2018-02-13,357.49,"Feb 13, 18",353.41,354.46,772400,772400,355.7523
26,3.26,0.006703127191137001,0.917,358.94,2018-02-14,359.285,"Feb 14, 18",352.0123,354.06,915515,915515,357.1077
27,4.73,0.019969148786986003,1.318,363.67,2018-02-15,365.92,"Feb 15, 18",355.63,359.29,1096707,1096707,362.8061
28,1.99,0.025550413686719002,0.547,365.66,2018-02-16,370.09,"Feb 16, 18",361.49,364.03,751952,751952,366.1436
29,-6.89,0.00622633571729,-1.884,358.77,2018-02-20,365.23,"Feb 20, 18",358.67,364.98,803193,803193,360.4753
30,2.2,0.012396578320011,0.613,360.97,2018-02-21,367.38,"Feb 21, 18",356.5055,359.34,878277,878277,362.5949
31,-4.22,0.0005609311457010001,-1.169,356.75,2018-02-22,365.26,"Feb 22, 18",355.02,361.02,601081,601081,359.4685
32,8.31,0.023867620249614002,2.329,365.06,2018-02-23,368.09,"Feb 23, 18",356.27,359.73,613542,613542,363.9351
33,-7.04,0.004122843920908,-1.928,358.02,2018-02-26,368.37,"Feb 26, 18",357.29,365.32,770171,770171,360.2012
34,-6.8,-0.014948815032954001,-1.899,351.22,2018-02-27,359.75,"Feb 27, 18",351.12,357.76,947161,947161,353.5339
35,-9.29,-0.041004066750806006,-2.645,341.93,2018-02-28,353.04,"Feb 28, 18",341.71,352.94,1065747,1065747,344.8689
36,-2.52,-0.04807179918664901,-0.737,339.41,2018-03-01,349.65,"Mar 1, 18",337.6121,342.72,1363473,1363473,342.0859
37,-6.66,-0.066750806338521,-1.962,332.75,2018-03-02,339.73,"Mar 2, 18",331.8055,336.86,1986250,1986250,334.1394
