,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.107385,0.0,0.146,73.7337,2018-01-08,73.8313,"Jan 8, 18",73.2163,73.3725,1689239,1689239,73.6418
1,0.10738299999999999,0.0014565931182070001,0.146,73.8411,2018-01-09,74.0655,"Jan 9, 18",73.4604,73.7825,2518947,2518947,73.8976
2,-0.8004979999999999,-0.009400043670668,-1.084,73.0406,2018-01-10,73.6849,"Jan 10, 18",72.717,73.4116,3138309,3138309,72.9932
3,-0.263579,-0.012975071100460001,-0.361,72.777,2018-01-11,73.2065,"Jan 11, 18",72.6111,73.1773,2007355,2007355,72.8502
4,0.06833499999999999,-0.012048764676125001,0.094,72.8453,2018-01-12,73.0504,"Jan 12, 18",72.4402,72.982,2338181,2338181,72.7863
5,0.780974,-0.0014565931182070001,1.072,73.6263,2018-01-16,73.9314,"Jan 16, 18",72.8209,73.1577,4580468,4580468,73.569
6,1.23,0.015226416143500001,1.671,74.8564,2018-01-17,75.2859,"Jan 17, 18",73.8704,74.0168,3455174,3455174,74.7725
7,-0.048812,0.014563218718171001,-0.065,74.8075,2018-01-18,75.4518,"Jan 18, 18",74.5293,74.8954,4040062,4040062,74.8875
8,0.849309,0.026083052932376,1.135,75.6569,2018-01-19,76.0571,"Jan 19, 18",74.9735,75.1297,4480624,4480624,75.6383
9,0.274737,0.029808622109022003,0.363,75.9316,2018-01-22,76.0984,"Jan 22, 18",75.2054,75.4311,2824708,2824708,75.8399
10,-0.47101499999999996,0.023420769607384002,-0.62,75.4606,2018-01-23,75.7255,"Jan 23, 18",74.9405,75.5587,3388943,3388943,75.4721
11,-0.098129,0.022088949828911002,-0.13,75.3624,2018-01-24,75.701,"Jan 24, 18",75.019,75.5489,3767873,3767873,75.3894
12,0.500454,0.028876890756872,0.664,75.8629,2018-01-25,75.912,"Jan 25, 18",75.1858,75.6274,4237133,4237133,75.6529
13,-3.6798,-0.021029732673119,-4.851,72.1831,2018-01-26,72.8994,"Jan 26, 18",71.0939,72.4579,13162436,13162436,71.8711
14,0.22569599999999998,-0.017968717153757002,0.313,72.4088,2018-01-29,73.0074,"Jan 29, 18",71.4668,72.0359,8636810,8636810,72.15
15,0.863528,-0.006257654234088,1.193,73.2723,2018-01-30,73.3557,"Jan 30, 18",71.7513,72.399,6027731,6027731,72.8466
16,-0.42195099999999996,-0.011979596846489,-0.5760000000000001,72.8504,2018-01-31,73.3704,"Jan 31, 18",71.771,73.3704,5458859,5458859,72.6757
17,-0.892967,-0.024090748192481002,-1.226,71.9574,2018-02-01,73.2331,"Feb 1, 18",71.8102,72.9387,3900272,3900272,72.1858
18,-0.8831549999999999,-0.036068988807017005,-1.227,71.0742,2018-02-02,71.77590000000001,"Feb 2, 18",70.9369,71.6238,5130483,5130483,71.2373
19,-2.571,-0.07093635610311101,-3.617,68.5033,2018-02-05,71.614,"Feb 5, 18",68.4738,70.9859,6277973,6277973,69.7661
20,0.58877,-0.062950862360087,0.859,69.0921,2018-02-06,69.7103,"Feb 6, 18",66.9136,67.8066,6903843,6903843,68.2909
21,-0.235509,-0.06614614484286001,-0.341,68.8565,2018-02-07,69.7103,"Feb 7, 18",68.7094,69.0822,4413154,4413154,69.0823
22,-1.1972,-0.082381597559867,-1.7389999999999999,67.6594,2018-02-08,68.9743,"Feb 8, 18",67.6496,68.8565,4875204,4875204,68.0678
23,0.794839,-0.07160226599234801,1.175,68.4542,2018-02-09,68.7486,"Feb 9, 18",67.208,68.2383,6097604,6097604,68.1245
24,0.421952,-0.065878967147993,0.616,68.8762,2018-02-12,69.5434,"Feb 12, 18",68.4346,68.6995,3457558,3457558,68.9768
25,0.107941,-0.06441559287001701,0.157,68.9841,2018-02-13,69.1313,"Feb 13, 18",68.3855,68.6407,3528622,3528622,68.8541
26,-0.667273,-0.07346572869664701,-0.967,68.3168,2018-02-14,68.7192,"Feb 14, 18",67.7084,68.4738,3579222,3579222,68.3569
27,1.5701,-0.052171530792568005,2.298,69.8869,2018-02-15,69.8869,"Feb 15, 18",68.1991,68.5131,3617116,3617116,69.2571
28,0.235508,-0.048977604541749,0.337,70.1224,2018-02-16,70.4953,"Feb 16, 18",69.4846,69.6121,4421651,4421651,70.0928
29,-1.4032,-0.068008251315205,-2.001,68.7192,2018-02-20,69.6416,"Feb 20, 18",68.4837,69.4748,3016716,3016716,68.871
30,-0.8733409999999999,-0.079853581198285,-1.271,67.8458,2018-02-21,69.1313,"Feb 21, 18",67.8458,68.6701,2749103,2749103,68.2764
31,0.24532099999999998,-0.07652674421600901,0.362,68.0911,2018-02-22,68.4738,"Feb 22, 18",67.8655,67.9832,3162126,3162126,68.1503
32,0.892967,-0.06441559287001701,1.311,68.9841,2018-02-23,68.9841,"Feb 23, 18",68.101,68.4542,2398535,2398535,68.6738
33,0.755586,-0.054167904228324,1.095,69.7397,2018-02-26,69.7986,"Feb 26, 18",69.1706,69.4453,2844686,2844686,69.5582
34,-1.1285,-0.069472981825135,-1.6179999999999999,68.6112,2018-02-27,69.9556,"Feb 27, 18",68.6112,69.8476,3071086,3071086,68.9741
35,-0.932218,-0.082115776096954,-1.359,67.679,2018-02-28,69.043,"Feb 28, 18",67.679,68.9841,3795986,3795986,68.0004
36,-0.107941,-0.08357915037493001,-0.159,67.5711,2018-03-01,68.1598,"Mar 1, 18",67.1099,67.5809,4997389,4997389,67.5515
37,0.402325,-0.07812302922544201,0.595,67.9734,2018-03-02,68.0911,"Mar 2, 18",67.2178,67.2178,3189293,3189293,67.7679
38,0.785025,-0.06747660838937901,1.155,68.7584,2018-03-05,68.8369,"Mar 5, 18",67.679,67.6986,3096859,3096859,68.5549
39,-0.42195000000000005,-0.07319855100178001,-0.614,68.3365,2018-03-06,69.0921,"Mar 6, 18",67.9341,68.778,2948307,2948307,68.3597
40,0.039251,-0.07266690807595401,0.057,68.3757,2018-03-07,68.5916,"Mar 7, 18",67.7183,67.787,3303251,3303251,68.3084
41,1.3149,-0.054833814117560005,1.923,69.6906,2018-03-08,69.7201,"Mar 8, 18",68.3463,68.4444,4134840,4134840,69.4878
42,0.215883,-0.051905709329655006,0.31,69.9065,2018-03-09,70.2303,"Mar 9, 18",69.4355,69.8182,2928242,2928242,69.8441
43,-0.157005,-0.054034993496867,-0.225,69.7495,2018-03-12,70.3088,"Mar 12, 18",69.5631,70.0243,2975202,2975202,69.8288
44,-0.206069,-0.056830187553316,-0.295,69.5434,2018-03-13,70.0635,"Mar 13, 18",69.1902,69.9065,4666470,4666470,69.5164
45,-0.863529,-0.06854125047298501,-1.242,68.6799,2018-03-14,69.6514,"Mar 14, 18",68.4052,69.5533,4161400,4161400,68.766
46,-0.42195099999999996,-0.07426319308538701,-0.614,68.258,2018-03-15,68.8958,"Mar 15, 18",68.0028,68.7192,3039950,3039950,68.2895
47,0.058876,-0.07346572869664701,0.08600000000000001,68.3168,2018-03-16,68.6603,"Mar 16, 18",68.1451,68.3267,7050397,7050397,68.3641
48,0.43176499999999995,-0.067609519120836,0.632,68.7486,2018-03-19,69.9654,"Mar 19, 18",68.4689,68.6603,3776870,3776870,69.0703
49,-0.363075,-0.072533997344497,-0.528,68.3855,2018-03-20,69.2392,"Mar 20, 18",68.0323,68.9056,2403268,2403268,68.4126
50,-0.981281,-0.085841345273599,-1.435,67.4043,2018-03-21,68.3659,"Mar 21, 18",67.2963,68.3365,4184503,4184503,67.6139
51,0.12756599999999998,-0.08411214953271001,0.189,67.5318,2018-03-22,68.2825,"Mar 22, 18",67.2669,67.2669,4116192,4116192,67.8068
52,-0.431764,-0.089967002876567,-0.639,67.1001,2018-03-23,68.1697,"Mar 23, 18",66.9823,67.6299,3743728,3743728,67.4249
53,-0.186443,-0.092496375470103,-0.278,66.9136,2018-03-26,67.8164,"Mar 26, 18",66.5898,67.5907,3271090,3271090,66.9578
54,1.0696,-0.077990118493985,1.5979999999999999,67.9832,2018-03-27,68.5425,"Mar 27, 18",66.9136,66.9136,3760249,3760249,67.848
55,1.4915,-0.057760562673512005,2.194,69.4748,2018-03-28,69.7299,"Mar 28, 18",68.2482,68.2482,4174353,4174353,69.3512
56,0.863529,-0.046049499753843,1.2429999999999999,70.3383,2018-03-29,70.9369,"Mar 29, 18",69.7005,69.7888,4829756,4829756,70.4836
57,-1.5014,-0.06641196630577301,-2.134,68.8369,2018-04-02,70.3285,"Apr 2, 18",68.6112,69.985,4109338,4109338,69.1128
58,0.785025,-0.05576554546971001,1.1400000000000001,69.6219,2018-04-03,69.7299,"Apr 3, 18",68.6603,68.9939,3717424,3717424,69.3021
59,0.686897,-0.046449588180167006,0.987,70.3088,2018-04-04,70.6621,"Apr 4, 18",69.0037,69.2,3569244,3569244,70.1688
60,0.157006,-0.044318947781001004,0.223,70.4659,2018-04-05,70.8093,"Apr 5, 18",70.0243,70.3285,3294384,3294384,70.5268
61,-0.166817,-0.046582498911623006,-0.23700000000000002,70.299,2018-04-06,71.0546,"Apr 6, 18",69.8084,70.3088,2922554,2922554,70.3362
