,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.690522,0.0,0.487,142.4229,2018-01-08,142.4618,"Jan 8, 18",141.0321,141.2169,646943,646943,142.0519
1,-0.272318,-0.0019126137720830003,-0.191,142.1505,2018-01-09,142.7535,"Jan 9, 18",141.7154,142.4812,540385,540385,142.2709
2,-1.6825,-0.013726022992089,-1.184,140.468,2018-01-10,141.6156,"Jan 10, 18",138.27,141.46,727047,727047,139.6735
3,-2.3731,-0.030388371532948003,-1.689,138.0949,2018-01-11,140.6139,"Jan 11, 18",137.9588,140.147,1192244,1192244,138.6597
4,-1.0017,-0.037421650591302,-0.725,137.0932,2018-01-12,138.1047,"Jan 12, 18",136.4027,138.0755,1101300,1101300,137.1474
5,1.4102000000000001,-0.027520153009101003,1.029,138.5034,2018-01-16,139.476,"Jan 16, 18",137.3071,137.5697,875074,875074,138.5085
6,1.8576000000000001,-0.014477306669082,1.341,140.361,2018-01-17,141.1877,"Jan 17, 18",138.518,139.0383,860997,860997,140.2661
7,-1.1476,-0.022534999638400003,-0.8180000000000001,139.2134,2018-01-18,140.468,"Jan 18, 18",138.6201,140.4194,586608,586608,139.2713
8,0.70025,-0.017618655426901,0.503,139.9136,2018-01-19,140.8667,"Jan 19, 18",139.3204,139.6997,789749,789749,140.0056
9,0.6029909999999999,-0.013384785733193,0.431,140.5166,2018-01-22,140.5944,"Jan 22, 18",138.9022,139.8261,734305,734305,140.1213
10,-0.117383,-0.014209091375052002,-0.084,140.3992,2018-01-23,141.0155,"Jan 23, 18",139.4601,140.5362,727479,727479,140.4131
11,-1.2424,-0.022931705505224,-0.885,139.1569,2018-01-24,140.8639,"Jan 24, 18",138.3449,140.4384,716143,716143,139.3389
12,3.7956000000000003,0.003718503133976,2.7279999999999998,142.9525,2018-01-25,142.9916,"Jan 25, 18",138.5406,139.2253,1250490,1250490,141.7154
13,-3.4141,-0.020253063236319,-2.388,139.5384,2018-01-26,142.121,"Jan 26, 18",139.2742,141.8471,1225784,1225784,139.9629
14,-1.6435,-0.031792640088075,-1.178,137.8949,2018-01-29,139.8221,"Jan 29, 18",136.6916,139.3036,1208313,1208313,137.8003
15,0.782605,-0.026297737231863003,0.5680000000000001,138.6775,2018-01-30,139.4601,"Jan 30, 18",137.4547,137.934,1030670,1030670,138.8667
16,-0.068478,-0.026778699211994002,-0.049,138.609,2018-01-31,140.2623,"Jan 31, 18",137.8753,138.8438,1818636,1818636,138.9297
17,-1.3304,-0.036119893640699,-0.96,137.2786,2018-02-01,139.5775,"Feb 1, 18",137.2786,138.5014,1658765,1658765,138.4256
18,-9.2152,-0.10082297158673201,-6.713,128.0634,2018-02-02,132.3091,"Feb 2, 18",127.9265,131.9862,3511141,3511141,129.506
19,-3.825,-0.127678905569258,-2.987,124.2385,2018-02-05,128.8068,"Feb 5, 18",124.1015,127.3689,2431556,2431556,125.7497
20,3.5511,-0.10274611737297801,2.858,127.7895,2018-02-06,128.2787,"Feb 6, 18",122.2819,122.8885,2732084,2732084,126.8976
21,-2.7489,-0.122047086528921,-2.151,125.0406,2018-02-07,128.0537,"Feb 7, 18",124.8939,127.9656,1857151,1857151,126.214
22,-0.058695,-0.122459239349851,-0.047,124.9819,2018-02-08,126.7917,"Feb 8, 18",123.358,124.6102,1831691,1831691,125.4131
23,1.0174,-0.11531572520992,0.8140000000000001,125.9993,2018-02-09,126.7526,"Feb 9, 18",122.2624,125.7743,1729641,1729641,124.6739
24,-0.831517,-0.121153971727861,-0.66,125.1678,2018-02-12,127.5841,"Feb 12, 18",124.2372,126.0287,1166598,1166598,125.5147
25,0.5673889999999999,-0.117170061836965,0.453,125.7352,2018-02-13,126.0189,"Feb 13, 18",124.2482,124.6591,1109688,1109688,125.3844
26,0.264128,-0.11531572520992,0.21,125.9993,2018-02-14,126.7526,"Feb 14, 18",124.3265,125.52,1019529,1019529,125.9205
27,2.1815,-0.09999866594487201,1.7309999999999999,128.1808,2018-02-15,128.2102,"Feb 15, 18",125.1189,126.4591,845415,845415,127.0786
28,0.655432,-0.09539617575544301,0.511,128.8363,2018-02-16,129.9417,"Feb 16, 18",127.3689,127.7895,1088665,1088665,128.8449
29,-2.8565,-0.11545264139404501,-2.217,125.9798,2018-02-20,128.5721,"Feb 20, 18",125.6374,128.3863,1024494,1024494,126.1689
30,-2.4359,-0.132555930261215,-1.9340000000000002,123.5439,2018-02-21,127.0069,"Feb 21, 18",123.4754,126.0482,934899,934899,124.6374
