,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,4.68,0.0,1.491,318.47,2018-01-08,320.1,"Jan 8, 18",312.33,314.1,1087703,1087703,317.3433
1,0.9,0.0028260118692490003,0.28300000000000003,319.37,2018-01-09,322.18,"Jan 9, 18",318.135,319.67,681944,681944,319.5815
2,2.43,0.010456243916224002,0.761,321.8,2018-01-10,328.2478,"Jan 10, 18",318.0,318.94,1154620,1154620,323.9586
3,3.7,0.022074292712029,1.15,325.5,2018-01-11,328.19,"Jan 11, 18",320.5,322.61,813572,813572,325.6284
4,1.8399999999999999,0.027851916978051002,0.5650000000000001,327.34,2018-01-12,328.6199,"Jan 12, 18",323.07,326.84,675908,675908,326.2433
5,0.03,0.027946117373692,0.009000000000000001,327.37,2018-01-16,330.94,"Jan 16, 18",324.9001,329.33,706540,706540,327.8082
6,7.26,0.050742613118974,2.218,334.63,2018-01-17,339.6,"Jan 17, 18",325.0,328.0,979061,979061,332.9323
7,2.9,0.059848651364335,0.867,337.53,2018-01-18,341.5,"Jan 18, 18",332.62,334.51,889043,889043,337.2272
8,6.34,0.079756334976606,1.8780000000000001,343.87,2018-01-19,345.88,"Jan 19, 18",338.37,339.25,1152978,1152978,343.039
9,-13.87,0.036204352058278,-4.034,330.0,2018-01-22,340.2553,"Jan 22, 18",329.31,340.0,1438674,1438674,332.1388
10,-1.29,0.032153735045687006,-0.391,328.71,2018-01-23,334.392,"Jan 23, 18",327.9931,330.0,1225218,1225218,329.4346
11,0.8200000000000001,0.034728545859892004,0.249,329.53,2018-01-24,331.94,"Jan 24, 18",324.27,329.92,786768,786768,329.0331
12,4.44,0.048670204414858004,1.347,333.97,2018-01-25,335.18,"Jan 25, 18",329.6,330.34,573940,573940,333.1776
13,-3.74,0.036926555091531005,-1.12,330.23,2018-01-26,332.56,"Jan 26, 18",326.7743,332.56,665600,665600,329.6472
14,2.1,0.04352058278644701,0.636,332.33,2018-01-29,336.24,"Jan 29, 18",325.0,327.0,764790,764790,332.3657
15,-10.25,0.011335447608879001,-3.084,322.08,2018-01-30,331.19,"Jan 30, 18",313.01,329.69,1929254,1929254,320.4302
16,2.68,0.019750682952868002,0.8320000000000001,324.76,2018-01-31,330.0,"Jan 31, 18",321.68,322.87,737156,737156,325.241
17,-10.04,-0.011775049455207002,-3.092,314.72,2018-02-01,315.2,"Feb 1, 18",306.2,314.06,1646308,1646308,311.4828
18,-3.08,-0.021446290074418003,-0.979,311.64,2018-02-02,317.5,"Feb 2, 18",310.85,313.81,951975,951975,313.1146
19,-11.34,-0.05705403962696601,-3.6390000000000002,300.3,2018-02-05,314.36,"Feb 5, 18",299.17,310.88,1349301,1349301,305.9534
20,4.03,-0.044399786479103004,1.342,304.33,2018-02-06,305.46,"Feb 6, 18",293.55,296.8,2092166,2092166,300.1951
21,-32.12,-0.145257010079442,-10.554,272.21,2018-02-07,279.7,"Feb 7, 18",268.04,273.64,4780612,4780612,272.6599
22,-6.2,-0.164725091845385,-2.278,266.01,2018-02-08,271.11,"Feb 8, 18",265.0,270.17,1891122,1891122,267.1603
23,-10.55,-0.19785223097937002,-3.966,255.46,2018-02-09,267.34,"Feb 9, 18",247.515,266.79,3064613,3064613,254.7368
24,-1.01,-0.20102364429930603,-0.395,254.45,2018-02-12,259.16,"Feb 12, 18",249.31,257.0,1953508,1953508,253.3599
25,-3.12,-0.21082048544603801,-1.226,251.33,2018-02-13,257.9571,"Feb 13, 18",250.625,254.13,1520320,1520320,253.0426
26,38.58,-0.089678776650861,15.35,289.91,2018-02-14,292.06,"Feb 14, 18",281.0,281.5,5384609,5384609,287.6244
27,-3.26,-0.09991521964392201,-1.124,286.65,2018-02-15,292.6,"Feb 15, 18",286.16,291.99,1208986,1208986,288.4959
28,18.98,-0.040317769334631,6.621,305.63,2018-02-16,306.0,"Feb 16, 18",286.76,287.0,2742393,2742393,299.6673
29,11.94,-0.0028260118692490003,3.907,317.57,2018-02-20,322.245,"Feb 20, 18",300.0,304.47,2740580,2740580,315.0781
30,3.39,0.007818632838257001,1.067,320.96,2018-02-21,324.44,"Feb 21, 18",316.01,318.0,1902927,1902927,321.4878
31,-7.05,-0.014318460137532001,-2.197,313.91,2018-02-22,324.47,"Feb 22, 18",311.67,320.04,1287493,1287493,315.944
32,1.9100000000000001,-0.008321034948346,0.608,315.82,2018-02-23,317.44,"Feb 23, 18",309.17,316.55,955338,955338,314.2463
33,-3.93,-0.020661286777404003,-1.244,311.89,2018-02-26,318.74,"Feb 26, 18",311.3104,316.49,911041,911041,313.987
34,7.26,0.0021352089678770003,2.328,319.15,2018-02-27,330.14,"Feb 27, 18",317.31,318.86,1749924,1749924,323.6562
35,-0.74,-0.000188400791283,-0.232,318.41,2018-02-28,325.69,"Feb 28, 18",318.27,320.2,912634,912634,322.066
36,-5.15,-0.016359468709768,-1.617,313.26,2018-03-01,320.88,"Mar 1, 18",309.07,318.26,1095845,1095845,314.331
37,6.73,0.004772820045844,2.148,319.99,2018-03-02,320.85,"Mar 2, 18",309.031,310.34,843313,843313,317.2618
38,0.17,0.005306622287813,0.053,320.16,2018-03-05,324.82,"Mar 5, 18",318.4,320.0,790311,790311,320.7659
39,-2.12,-0.001350205670863,-0.662,318.04,2018-03-06,322.74,"Mar 6, 18",315.16,322.25,535325,535325,317.9185
40,1.9100000000000001,0.004647219518321,0.601,319.95,2018-03-07,320.09,"Mar 7, 18",314.88,315.86,384740,384740,318.2114
