,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.640705,0.0,0.364,176.7953,2018-01-08,177.0477,"Jan 8, 18",174.9896,175.8342,1435286,1435286,176.4905
1,-0.155322,-0.000878982642638,-0.088,176.6399,2018-01-09,177.9796,"Jan 9, 18",176.3487,177.1447,1610437,1610437,176.8519
2,-1.3591,-0.008565838571500001,-0.769,175.2809,2018-01-10,176.8535,"Jan 10, 18",174.8052,176.5429,911228,911228,175.6816
3,3.2423,0.009773449859809,1.85,178.5232,2018-01-11,179.1154,"Jan 11, 18",175.3682,175.941,1217415,1217415,178.2986
4,0.27181299999999997,0.011310821045582,0.152,178.795,2018-01-12,179.6881,"Jan 12, 18",178.1349,178.5135,1470025,1470025,178.9041
5,-1.5823,0.0023609224905860003,-0.885,177.2127,2018-01-16,179.4988,"Jan 16, 18",176.0866,179.4066,1449667,1449667,178.0042
6,1.1067,0.008620704283428001,0.624,178.3194,2018-01-17,178.9499,"Jan 17, 18",177.0671,177.3971,1049385,1049385,178.0198
7,0.029123999999999997,0.008785301419211,0.016,178.3485,2018-01-18,179.858,"Jan 18, 18",177.9408,178.0087,873672,873672,178.6613
8,5.2033,0.038216513674288,2.917,183.55180000000001,2018-01-19,184.0274,"Jan 19, 18",181.2122,181.6879,1807950,1807950,182.6693
9,0.48538000000000003,0.040962061774266006,0.264,184.0372,2018-01-22,184.0566,"Jan 22, 18",182.1175,183.28,1237635,1237635,183.4225
10,-1.1164,0.034647414269497,-0.607,182.9208,2018-01-23,184.7749,"Jan 23, 18",182.5228,184.4352,1031291,1031291,183.1242
11,-0.07765899999999999,0.034207922948177004,-0.042,182.8431,2018-01-24,185.4351,"Jan 24, 18",182.5616,183.6877,1352846,1352846,183.4441
12,1.0193,0.039973347707772,0.557,183.8624,2018-01-25,184.4255,"Jan 25, 18",181.1928,184.4255,1430314,1430314,183.3149
13,3.0094,0.056995293426918,1.637,186.8718,2018-01-26,186.9009,"Jan 26, 18",183.5809,184.7167,1120172,1120172,185.7279
14,-1.6406,0.047715634974459006,-0.878,185.2312,2018-01-29,188.5027,"Jan 29, 18",184.5128,186.4349,1289475,1289475,185.8393
