,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.513941,0.0,1.157,44.9359,2018-01-08,44.965,"Jan 8, 18",44.3734,44.5092,2252037,2252037,44.7452
1,-0.610911,-0.013597146157081002,-1.3599999999999999,44.3249,2018-01-09,44.9553,"Jan 9, 18",44.2765,44.8389,2058468,2058468,44.4307
2,-0.7078800000000001,-0.029348471934466002,-1.597,43.6171,2018-01-10,44.1795,"Jan 10, 18",43.5589,44.1795,2245456,2245456,43.7019
3,-0.572122,-0.04208216592969,-1.312,43.0449,2018-01-11,43.7819,"Jan 11, 18",42.9286,43.6171,2816613,2816613,43.2045
4,-0.368486,-0.050280510682995,-0.856,42.6765,2018-01-12,43.171,"Jan 12, 18",42.6377,43.0546,3402055,3402055,42.8805
5,0.242424,-0.044886160063557,0.5680000000000001,42.9189,2018-01-16,43.3068,"Jan 16, 18",42.628,42.8122,3564770,3564770,42.9141
6,0.281213,-0.038628357282262,0.655,43.2001,2018-01-17,43.3359,"Jan 17, 18",42.8898,43.0352,1910119,1910119,43.1882
7,-0.436364,-0.048339968710986,-1.01,42.7637,2018-01-18,43.2001,"Jan 18, 18",42.4146,43.0449,2887599,2887599,42.7492
8,-0.048485999999999994,-0.049419283913307,-0.113,42.7152,2018-01-19,43.171,"Jan 19, 18",42.5795,42.8607,1919334,1919334,42.8076
9,0.106668,-0.0470447904682,0.25,42.8219,2018-01-22,43.2292,"Jan 22, 18",42.6765,42.9868,2304999,2304999,42.9686
10,0.290909,-0.040571124646440006,0.679,43.1128,2018-01-23,43.4328,"Jan 23, 18",42.7928,42.870400000000004,2017018,2017018,43.1525
11,-0.19394000000000003,-0.044886160063557,-0.45,42.9189,2018-01-24,43.1322,"Jan 24, 18",42.870400000000004,43.0159,1426072,1426072,42.9757
12,0.7175779999999999,-0.028916745853538,1.6720000000000002,43.6365,2018-01-25,43.714,"Jan 25, 18",42.8802,42.9189,2193645,2193645,43.3887
13,-0.20363699999999998,-0.033449869703288004,-0.467,43.4328,2018-01-26,43.7237,"Jan 26, 18",42.948,43.6849,4510958,4510958,43.3207
14,-0.669092,-0.048339968710986,-1.541,42.7637,2018-01-29,43.3456,"Jan 29, 18",42.7056,43.3165,2624174,2624174,42.9098
15,0.213333,-0.043590981820771,0.499,42.9771,2018-01-30,43.1031,"Jan 30, 18",42.6377,42.8801,2062258,2062258,42.9997
16,0.416971,-0.034313321865145005,0.97,43.394,2018-01-31,43.4716,"Jan 31, 18",42.7928,43.0256,3701025,3701025,43.2177
