,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.5700000000000001,0.0,-0.54,104.92,2018-01-08,105.58,"Jan 8, 18",103.5844,105.4,1352719,1352719,104.5635
1,1.05,0.010007624857033002,1.001,105.97,2018-01-09,106.74,"Jan 9, 18",105.04,105.41,1085157,1085157,105.7968
2,-0.17,0.008387342737323,-0.16,105.8,2018-01-10,106.06,"Jan 10, 18",103.4,105.62,920847,920847,105.0669
3,0.98,0.017727792603888,0.926,106.78,2018-01-11,106.8,"Jan 11, 18",105.68,106.09,624849,624849,106.53
4,2.7,0.04346168509340401,2.529,109.48,2018-01-12,109.7,"Jan 12, 18",107.0,107.78,757907,757907,108.8914
5,-0.18,0.04174609226077,-0.164,109.3,2018-01-16,111.62,"Jan 16, 18",108.64,110.5,1190923,1190923,109.6505
6,2.05,0.061284788410217006,1.876,111.35,2018-01-17,111.72,"Jan 17, 18",108.9,110.33,1217379,1217379,110.814
7,-0.35000000000000003,0.057948913457872,-0.314,111.0,2018-01-18,111.76,"Jan 18, 18",109.74,111.18,1079847,1079847,110.9157
8,-0.33,0.054803659931376,-0.297,110.67,2018-01-19,111.95,"Jan 19, 18",109.0601,111.95,1236893,1236893,110.6149
9,0.92,0.063572245520396,0.8310000000000001,111.59,2018-01-22,111.785,"Jan 22, 18",109.81,111.66,1144558,1144558,111.2108
10,-0.62,0.057662981319100005,-0.556,110.97,2018-01-23,112.33,"Jan 23, 18",110.12,111.17,854460,854460,111.2507
11,0.05,0.05813953488372001,0.045,111.02,2018-01-24,112.21,"Jan 24, 18",110.91,111.34,716509,716509,111.296
12,-0.36,0.054708349218452,-0.324,110.66,2018-01-25,111.36,"Jan 25, 18",109.79,111.36,784824,784824,110.5951
13,0.14,0.05604269919938901,0.127,110.8,2018-01-26,111.06,"Jan 26, 18",110.265,110.91,1111482,1111482,110.7463
14,0.47000000000000003,0.060522302706824,0.424,111.27,2018-01-29,112.42,"Jan 29, 18",110.87,111.18,822084,822084,111.4427
15,-2.58,0.035932138772397,-2.319,108.69,2018-01-30,109.82,"Jan 30, 18",107.71,109.03,1954486,1954486,109.0534
16,-1.45,0.022112085398398002,-1.334,107.24,2018-01-31,112.13,"Jan 31, 18",106.61,110.92,1628975,1628975,108.1455
17,-0.51,0.017251239039268,-0.47600000000000003,106.73,2018-02-01,107.31,"Feb 1, 18",104.55,106.99,1941828,1941828,106.393
18,-2.98,-0.011151353412123002,-2.792,103.75,2018-02-02,106.72,"Feb 2, 18",103.51,106.0,1202247,1202247,104.9711
19,-4.37,-0.052802134959969,-4.212,99.38,2018-02-05,104.02,"Feb 5, 18",99.19,103.29,1932885,1932885,101.6684
20,4.29,-0.011913839115516,4.317,103.67,2018-02-06,106.61,"Feb 6, 18",99.79,99.79,2812499,2812499,102.7487
21,0.71,-0.005146778497903,0.685,104.38,2018-02-07,107.09,"Feb 7, 18",103.01,103.01,3105225,3105225,105.4812
22,-4.02,-0.04346168509340401,-3.851,100.36,2018-02-08,104.95,"Feb 8, 18",100.09,104.04,3144021,3144021,102.2519
23,1.3,-0.031071292413267,1.295,101.66,2018-02-09,102.65,"Feb 9, 18",97.9,101.18,2704028,2704028,100.091
24,1.43,-0.017441860465116,1.407,103.09,2018-02-12,103.93,"Feb 12, 18",101.1,102.57,1332143,1332143,102.6823
25,-0.09,-0.018299656881433,-0.08700000000000001,103.0,2018-02-13,103.11,"Feb 13, 18",100.81,102.18,1426510,1426510,102.2606
26,-0.87,-0.026591688905833,-0.845,102.13,2018-02-14,103.82,"Feb 14, 18",101.17,102.01,1336635,1336635,102.2624
27,-2.37,-0.04918032786885201,-2.321,99.76,2018-02-15,102.91,"Feb 15, 18",97.61,102.46,2520979,2520979,99.4052
28,0.46,-0.044796035074342,0.461,100.22,2018-02-16,100.98,"Feb 16, 18",98.84,99.72,1265244,1265244,100.077
29,0.04,-0.044414792222645,0.04,100.26,2018-02-20,102.34,"Feb 20, 18",99.46,99.87,1260085,1260085,100.7559
30,-0.06,-0.04498665650019,-0.06,100.2,2018-02-21,102.2628,"Feb 21, 18",100.12,100.46,1096272,1096272,101.3125
31,-0.71,-0.05175371711780401,-0.709,99.49,2018-02-22,100.96,"Feb 22, 18",99.08,100.59,1150004,1150004,99.7939
32,0.96,-0.042603888677087004,0.965,100.45,2018-02-23,100.59,"Feb 23, 18",98.91,100.24,974525,974525,99.9852
33,2.23,-0.021349599695005002,2.22,102.68,2018-02-26,103.18,"Feb 26, 18",99.775,100.62,1101995,1101995,102.246
