,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.163183,0.0,0.61,26.9157,2018-01-08,27.0501,"Jan 8, 18",26.6757,26.9541,4733566,4733566,26.8402
1,-0.268773,-0.009986736365764,-0.999,26.6469,2018-01-09,27.0501,"Jan 9, 18",26.5462,26.9445,2614662,2614662,26.6838
2,-0.479952,-0.027816478858064,-1.8010000000000002,26.167,2018-01-10,26.5989,"Jan 10, 18",26.1478,26.5989,4141596,4141596,26.2731
3,0.163184,-0.021753103207421003,0.624,26.3302,2018-01-11,26.5126,"Jan 11, 18",26.1286,26.2342,3610034,3610034,26.3086
4,-0.057595,-0.023893118142942003,-0.219,26.2726,2018-01-12,26.3782,"Jan 12, 18",26.023,26.2534,3957859,3957859,26.2658
5,0.143985,-0.01854308080414,0.548,26.4166,2018-01-16,26.5126,"Jan 16, 18",26.1094,26.359,4906177,4906177,26.3553
6,0.345566,-0.005706706494722,1.308,26.7621,2018-01-17,26.8677,"Jan 17, 18",26.4646,26.5126,4922868,4922868,26.7076
7,-0.047996,-0.007490052274323001,-0.179,26.7141,2018-01-18,26.8773,"Jan 18, 18",26.4646,26.8005,4415119,4415119,26.7002
8,-0.028796,-0.008560059742083001,-0.108,26.6853,2018-01-19,26.9589,"Jan 19, 18",26.6037,26.8101,3564082,3564082,26.7169
9,-0.009597999999999999,-0.008916728898003,-0.036000000000000004,26.6757,2018-01-22,26.9637,"Jan 22, 18",26.6277,26.8389,2902169,2902169,26.774
10,0.278372,0.0014266766236800002,1.044,26.9541,2018-01-23,27.0405,"Jan 23, 18",26.5893,26.7621,2774154,2774154,26.9151
11,0.057593,0.0035666915592010005,0.214,27.0117,2018-01-24,27.0501,"Jan 24, 18",26.7621,26.9061,4402512,4402512,26.962
12,0.230377,0.012126751301285,0.853,27.2421,2018-01-25,27.2709,"Jan 25, 18",26.9061,27.0117,4441794,4441794,27.1292
13,0.076793,0.014980104548646001,0.28200000000000003,27.3189,2018-01-26,27.3477,"Jan 26, 18",27.0357,27.2997,3052595,3052595,27.2308
14,-0.7007300000000001,-0.011056743833524,-2.565,26.6181,2018-01-29,27.2805,"Jan 29, 18",26.6037,27.2037,4638577,4638577,26.7271
15,0.086392,-0.007846721430243,0.325,26.7045,2018-01-30,26.8677,"Jan 30, 18",26.5509,26.6757,4479458,4479458,26.6876
16,0.345565,0.004993368182882,1.294,27.0501,2018-01-31,27.0597,"Jan 31, 18",26.6373,26.7717,4540985,4540985,26.9512
17,-0.441556,-0.011413412989444,-1.6320000000000001,26.6085,2018-02-01,27.1845,"Feb 1, 18",26.5557,27.0405,5210848,5210848,26.7158
18,-0.163184,-0.017473073336379,-0.613,26.4454,2018-02-02,26.747700000000002,"Feb 2, 18",26.4166,26.4934,4374318,4374318,26.5719
19,-0.614339,-0.040299899315269005,-2.323,25.831,2018-02-05,26.6709,"Feb 5, 18",25.831,26.3686,4794186,4794186,26.1592
20,-0.5663429999999999,-0.061339664210850006,-2.192,25.2647,2018-02-06,25.5718,"Feb 6, 18",24.8135,25.5718,6675083,6675083,25.2011
21,0.038396,-0.05991298758717001,0.152,25.3031,2018-02-07,25.7638,"Feb 7, 18",25.1975,25.2551,5097663,5097663,25.4864
22,-0.48955000000000004,-0.078103114539097,-1.935,24.8135,2018-02-08,25.4615,"Feb 8, 18",24.8039,25.2647,5480946,5480946,25.091
23,0.623937,-0.054919619404288,2.515,25.4375,2018-02-09,25.648600000000002,"Feb 9, 18",24.8423,24.8807,4156877,4156877,25.2002
24,0.220778,-0.046719944121832,0.868,25.6582,2018-02-12,25.8118,"Feb 12, 18",25.2791,25.4759,2870879,2870879,25.5634
25,0.038396,-0.045293267498151005,0.15,25.6966,2018-02-13,25.8022,"Feb 13, 18",25.3559,25.5814,3354650,3354650,25.6147
26,-0.293414,-0.056193968575961005,-1.142,25.4032,2018-02-14,25.6845,"Feb 14, 18",25.3353,25.5681,2989969,2989969,25.5115
27,0.5528759999999999,-0.035652054377185,2.176,25.9561,2018-02-15,25.9561,"Feb 15, 18",25.4129,25.4711,3202831,3202831,25.7541
28,0.14549299999999998,-0.03024628748277,0.561,26.1016,2018-02-16,26.1792,"Feb 16, 18",25.8397,25.8882,3285019,3285019,26.0489
