,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.61919,0.0,-0.621,99.0706,2018-01-08,99.7095,"Jan 8, 18",98.7856,99.68,1763394,1763394,99.111
1,0.8747309999999999,0.008830066639346,0.883,99.9454,2018-01-09,100.2206,"Jan 9, 18",98.9134,99.3163,2164186,2164186,99.7399
2,1.4251,0.023214757960484,1.426,101.3705,2018-01-10,101.9209,"Jan 10, 18",99.562,99.9454,2620628,2620628,101.2213
3,1.258,0.035912773315191,1.241,102.6285,2018-01-11,102.6678,"Jan 11, 18",101.1346,101.7145,2177735,2177735,102.0988
4,0.992672,0.045932900376095,0.967,103.6212,2018-01-12,104.5745,"Jan 12, 18",102.7661,103.1199,2298242,2298242,103.814
5,-0.992672,0.035912773315191,-0.9580000000000001,102.6285,2018-01-16,104.6433,"Jan 16, 18",101.9602,104.1814,2675501,2675501,102.9491
6,-0.029484,0.035615005864504,-0.029,102.599,2018-01-17,103.7293,"Jan 17, 18",101.4786,103.2084,2287310,2287310,102.457
7,-0.9631869999999999,0.025892646254287003,-0.9390000000000001,101.6358,2018-01-18,102.8446,"Jan 18, 18",101.3606,102.6383,2638340,2638340,102.0016
8,0.9533579999999999,0.035516086508005,0.9380000000000001,102.5892,2018-01-19,102.6187,"Jan 19, 18",100.3581,100.938,2928947,2928947,101.821
9,1.091,0.04652843527746801,1.063,103.6802,2018-01-22,103.7293,"Jan 22, 18",101.97,102.5401,2407015,2407015,102.9917
10,0.216226,0.04871071740758601,0.209,103.8964,2018-01-23,104.1028,"Jan 23, 18",102.088,103.3951,2904127,2904127,103.3555
11,-0.44228000000000006,0.044246224409663006,-0.426,103.4541,2018-01-24,104.6728,"Jan 24, 18",102.2452,102.4614,4170639,4170639,103.5301
12,-0.9828439999999999,0.034326026086447005,-0.9500000000000001,102.4713,2018-01-25,104.0831,"Jan 25, 18",101.911,103.749,2615679,2615679,102.7631
13,0.6290209999999999,0.0406750337638,0.614,103.1003,2018-01-26,103.1789,"Jan 26, 18",101.8717,102.8841,3036485,3036485,102.5286
14,-0.294854,0.037698368638122,-0.28600000000000003,102.8054,2018-01-29,103.9554,"Jan 29, 18",102.5499,102.7465,2258030,2258030,103.1618
15,-1.1106,0.026488181155660002,-1.08,101.6948,2018-01-30,103.1091,"Jan 30, 18",101.685,102.314,1821833,1821833,102.1662
16,0.481593,0.031349360960769006,0.47400000000000003,102.1764,2018-01-31,102.6677,"Jan 31, 18",101.6064,101.7538,2231112,2231112,102.1846
17,0.746962,0.038889438440869006,0.731,102.9234,2018-02-01,102.9529,"Feb 1, 18",101.2525,101.9897,1754618,1754618,102.3783
18,-3.096,0.0076389968365990005,-3.008,99.8274,2018-02-02,103.0806,"Feb 2, 18",99.7684,102.5302,1826633,1826633,100.7898
19,-4.4916,-0.037698368638122,-4.499,95.3358,2018-02-05,100.3188,"Feb 5, 18",93.9402,98.8151,3056413,3056413,97.2326
20,1.4153,-0.023412596673483003,1.4849999999999999,96.7511,2018-02-06,97.1049,"Feb 6, 18",91.543,93.203,3956930,3956930,94.9115
21,-0.314511,-0.02658710051216,-0.325,96.4366,2018-02-07,97.9207,"Feb 7, 18",96.2105,96.2302,2481284,2481284,97.1047
22,-6.2116,-0.08928582243369801,-6.441,90.225,2018-02-08,96.643,"Feb 8, 18",90.0285,96.584,3962481,3962481,92.7009
