,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,1.1497,0.0,0.499,231.593,2018-01-08,232.0129,"Jan 8, 18",229.3236,230.2433,390721,390721,231.2781
1,2.5994,0.01122400072541,1.1219999999999999,234.1924,2018-01-09,235.702,"Jan 9, 18",231.1931,231.9629,481891,481891,234.3916
2,-3.2592,-0.0028489634833520003,-1.392,230.9332,2018-01-10,234.8022,"Jan 10, 18",228.2238,233.0327,564520,564520,230.0353
3,-2.3494,-0.012993484259023,-1.017,228.5838,2018-01-11,231.1731,"Jan 11, 18",227.624,230.2234,660263,660263,228.8888
4,2.1995,-0.003496651453195,0.962,230.7832,2018-01-12,231.2531,"Jan 12, 18",225.8644,228.8237,352605,352605,229.2298
5,0.11997000000000001,-0.0029785010773200004,0.052000000000000005,230.9032,2018-01-16,234.0124,"Jan 16, 18",229.0936,231.693,488489,488489,230.5736
6,4.229,0.015281549960491001,1.831,235.1321,2018-01-17,235.3921,"Jan 17, 18",231.0631,232.2928,735725,735725,234.0553
7,0.32991899999999996,0.016706463494147002,0.14,235.4621,2018-01-18,236.1619,"Jan 18, 18",233.9524,235.582,578305,578305,235.0804
8,5.1287,0.038851778767061,2.178,240.5908,2018-01-19,241.4806,"Jan 19, 18",235.762,235.762,447729,447729,239.629
9,0.689997,0.041831143428342,0.28700000000000003,241.2808,2018-01-22,243.9505,"Jan 22, 18",240.6109,240.7009,490980,490980,241.4288
10,-2.6097,0.030562668129002,-1.082,238.6711,2018-01-23,242.1607,"Jan 23, 18",237.7412,241.6708,431154,431154,239.3792
11,0.6299239999999999,0.033282525810365005,0.264,239.301,2018-01-24,242.5706,"Jan 24, 18",238.2312,238.9711,365424,365424,240.0551
12,4.4595,0.052538289153817,1.8639999999999999,243.7605,2018-01-25,243.8405,"Jan 25, 18",240.1809,240.1809,339242,339242,242.6604
13,1.7898,0.06026650200999101,0.734,245.5503,2018-01-26,245.6903,"Jan 26, 18",242.1307,244.1605,221386,221386,244.233
14,-1.9798,0.051717884392015,-0.806,243.5705,2018-01-29,247.68,"Jan 29, 18",243.1906,246.0302,313367,313367,244.2703
15,-0.7399100000000001,0.048523055532766,-0.304,242.8306,2018-01-30,244.9754,"Jan 30, 18",240.1309,240.7609,380607,380607,243.2767
