,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.569778,0.0,1.02,56.4472,2018-01-08,56.4472,"Jan 8, 18",55.5926,55.7596,4522857,4522857,56.0871
1,0.461715,0.008179325103813001,0.8180000000000001,56.9089,2018-01-09,57.2921,"Jan 9, 18",56.3981,56.457,5519676,5519676,56.9454
2,-0.275063,0.0033075156960840004,-0.483,56.6339,2018-01-10,57.2528,"Jan 10, 18",56.5464,57.1152,4627894,4627894,56.8099
3,1.5030000000000001,0.029934168568148,2.654,58.1369,2018-01-11,58.4316,"Jan 11, 18",56.5258,57.1447,7341782,7341782,57.7348
4,0.8546659999999999,0.045075752207372005,1.47,58.9916,2018-01-12,59.1782,"Jan 12, 18",58.078,58.3432,6742061,6742061,58.8482
5,-1.1887,0.024017134596578,-2.015,57.8029,2018-01-16,59.1586,"Jan 16, 18",57.7636,58.9424,5458604,5458604,58.2881
6,1.002,0.041768236511288005,1.734,58.8049,2018-01-17,59.1262,"Jan 17, 18",57.744,57.9306,5798442,5798442,58.7088
7,-0.09823699999999999,0.040028557660964005,-0.167,58.7067,2018-01-18,59.0014,"Jan 18, 18",58.1074,58.5691,4554801,4554801,58.6591
8,-0.009824,0.039854944089343,-0.017,58.6969,2018-01-19,58.7558,"Jan 19, 18",58.2253,58.6281,5037506,5037506,58.5731
9,0.9037839999999999,0.055864595586672006,1.54,59.6006,2018-01-22,59.6105,"Jan 22, 18",58.7362,58.8049,5748807,5748807,59.3279
10,-0.19647399999999998,0.052385237886024005,-0.33,59.4042,2018-01-23,59.6301,"Jan 23, 18",58.9719,59.5417,5478827,5478827,59.3862
11,0.019648,0.052732465029266005,0.033,59.4238,2018-01-24,60.2343,"Jan 24, 18",59.3845,59.4729,4992002,4992002,59.6607
12,-0.9921979999999999,0.035154976686177,-1.67,58.4316,2018-01-25,59.8266,"Jan 25, 18",58.353,59.6792,5473390,5473390,58.8202
13,0.8939600000000001,0.050992786178942005,1.53,59.3256,2018-01-26,59.4533,"Jan 26, 18",58.5593,58.6477,5277702,5277702,59.2032
14,-0.7171339999999999,0.038287107243583,-1.209,58.6084,2018-01-29,59.4631,"Jan 29, 18",58.5102,58.8639,4167626,4167626,58.9059
15,-1.1788,0.017403874771467,-2.011,57.4296,2018-01-30,58.2744,"Jan 30, 18",57.0563,57.9011,6380960,6380960,57.6293
16,0.34383,0.023494522314658,0.599,57.7734,2018-01-31,58.1958,"Jan 31, 18",57.2528,57.4984,7073708,7073708,57.7213
17,0.530481,0.032892685553933,0.918,58.3039,2018-02-01,58.913,"Feb 1, 18",57.126,57.9601,7011049,7011049,58.0837
18,-1.6013000000000002,0.004524582264487,-2.746,56.7026,2018-02-02,58.3923,"Feb 2, 18",56.5946,58.1271,8433342,8433342,57.0735
19,-1.7486000000000002,-0.026453039300443,-3.084,54.954,2018-02-05,57.4394,"Feb 5, 18",54.4334,56.1329,11060265,11060265,55.894
20,0.0,-0.026453039300443,0.0,54.954,2018-02-06,55.5434,"Feb 6, 18",53.4608,53.785,11013514,11013514,54.528
21,-0.304535,-0.031847460990093,-0.554,54.6495,2018-02-07,55.966,"Feb 7, 18",54.6495,55.0719,7721650,7721650,55.1663
22,-2.3479,-0.07344208392976001,-4.296,52.3016,2018-02-08,54.8456,"Feb 8, 18",52.2918,54.6397,8618439,8618439,53.2909
23,-0.923468,-0.08980250570444501,-1.766,51.3781,2018-02-09,52.9386,"Feb 9, 18",49.5608,52.5831,9685635,9685635,51.0955
24,1.3728,-0.06548066157400101,2.672,52.751,2018-02-12,53.294200000000004,"Feb 12, 18",51.9016,51.9806,7035416,7035416,52.8092
25,-0.088889,-0.067055584687991,-0.169,52.6621,2018-02-13,53.2744,"Feb 13, 18",51.9609,52.2769,5438295,5438295,52.7687
26,2.163,-0.028736589237375,4.107,54.8251,2018-02-14,55.1707,"Feb 14, 18",51.8917,52.0497,6612440,6612440,54.1945
27,-0.958031,-0.045709973213906005,-1.7469999999999999,53.867,2018-02-15,55.0226,"Feb 15, 18",53.0967,54.9535,6190824,6190824,53.8218
28,0.10864299999999999,-0.043784279822559,0.202,53.9757,2018-02-16,54.3806,"Feb 16, 18",53.5609,53.7189,5070906,5070906,54.0151
29,0.187656,-0.040460820022959004,0.34800000000000003,54.1633,2018-02-20,54.6177,"Feb 20, 18",53.6695,53.9263,4262866,4262866,54.2322
30,-1.0766,-0.059531739395399005,-1.988,53.0868,2018-02-21,54.7559,"Feb 21, 18",53.067,53.9164,5286957,5286957,53.7785
31,1.1457,-0.039234895619268004,2.158,54.2325,2018-02-22,54.8152,"Feb 22, 18",53.5214,53.5905,5565872,5565872,54.3192
32,2.1136,-0.0017910542949870001,3.8970000000000002,56.3461,2018-02-23,56.435,"Feb 23, 18",54.3905,54.667,6513912,6513912,55.8436
33,-0.45432599999999995,-0.009841055003614001,-0.806,55.8917,2018-02-26,56.83,"Feb 26, 18",55.8177,56.5535,5986348,5986348,56.0833
34,-0.750621,-0.02313843733613,-1.343,55.1411,2018-02-27,56.909,"Feb 27, 18",55.1312,55.8029,5378320,5378320,55.9054
35,-1.5011999999999999,-0.049733202001162005,-2.723,53.6399,2018-02-28,55.8819,"Feb 28, 18",53.63,55.3288,5889949,5889949,54.3633
36,-0.42469399999999996,-0.057257047293754006,-0.792,53.2152,2018-03-01,54.3312,"Mar 1, 18",52.8596,53.8275,5135391,5135391,53.5265
37,0.177778,-0.054107201065774005,0.334,53.393,2018-03-02,53.5411,"Mar 2, 18",52.1288,52.8794,4574396,4574396,52.9657
38,-0.069136,-0.055333125469465005,-0.129,53.3238,2018-03-05,53.5559,"Mar 5, 18",52.6522,52.83,5266045,5266045,53.2365
39,0.069136,-0.054107201065774005,0.13,53.393,2018-03-06,53.7189,"Mar 6, 18",52.8399,53.6102,4931938,4931938,53.3467
40,0.009878,-0.053933587494153,0.019,53.4028,2018-03-07,53.788,"Mar 7, 18",52.5841,52.6522,7245777,7245777,53.3161
41,-0.493832,-0.062681585623379,-0.925,52.909,2018-03-08,53.709,"Mar 8, 18",52.267,53.4621,4726027,4726027,52.7474
42,1.4716,-0.036611204807324,2.781,54.3806,2018-03-09,54.3905,"Mar 9, 18",53.3436,53.4028,5310042,5310042,54.1831
43,-0.31605000000000005,-0.042209356708570005,-0.581,54.0646,2018-03-12,54.7263,"Mar 12, 18",53.9164,54.3312,5074351,5074351,54.1897
44,-0.770376,-0.055857509318442,-1.425,53.294200000000004,2018-03-13,54.5288,"Mar 13, 18",52.9189,54.2621,5528068,5528068,53.3625
45,0.0,-0.055857509318442,0.0,53.294200000000004,2018-03-14,54.0547,"Mar 14, 18",53.2053,53.6695,4101559,4101559,53.4879
46,0.06913699999999999,-0.054633356481809,0.13,53.3633,2018-03-15,53.8374,"Mar 15, 18",52.7213,53.6399,4934643,4934643,53.221
47,0.888895,-0.038885896908969,1.666,54.2522,2018-03-16,54.509,"Mar 16, 18",52.9781,53.4423,13000781,13000781,54.1074
48,-1.3432,-0.062681585623379,-2.476,52.909,2018-03-19,54.2325,"Mar 19, 18",52.7213,54.0843,4821966,4821966,53.1325
49,1.1161,-0.042909125696225,2.109,54.0251,2018-03-20,54.7856,"Mar 20, 18",53.2448,53.4325,5140620,5140620,54.1127
50,2.3111,-0.001966439433665,4.2780000000000005,56.3362,2018-03-21,56.8794,"Mar 21, 18",54.3609,54.4201,7720095,7720095,56.1387
51,-0.533337,-0.011414206550546,-0.9470000000000001,55.8029,2018-03-22,56.5732,"Mar 22, 18",55.3584,55.714,11053224,11053224,55.9187
52,1.2247,0.010282175200895001,2.195,57.0276,2018-03-23,57.6597,"Mar 23, 18",56.2671,56.3362,9442001,9442001,57.0547
53,1.3235000000000001,0.033727093637948,2.321,58.351,2018-03-26,58.3708,"Mar 26, 18",57.4918,57.6498,8795715,8795715,57.9454
54,0.05926000000000001,0.03477763290296,0.10200000000000001,58.4103,2018-03-27,59.0807,"Mar 27, 18",57.9658,58.4202,9089645,9089645,58.4115
55,-0.404941,0.027602786320667,-0.6930000000000001,58.0053,2018-03-28,59.0029,"Mar 28, 18",57.709,58.43,13327619,13327619,58.1953
56,0.5530900000000001,0.037401323714905,0.9540000000000001,58.5584,2018-03-29,58.8547,"Mar 29, 18",58.0152,58.0152,8469189,8469189,58.47
57,-1.1852,0.016404710951118,-2.024,57.3732,2018-04-02,58.5683,"Apr 2, 18",55.872,58.5387,7403821,7403821,57.0051
58,1.9161000000000001,0.050349707337122004,3.34,59.2893,2018-04-03,59.3387,"Apr 3, 18",57.1461,57.8177,8257314,8257314,58.5358
59,-0.464201,0.042126093056874,-0.783,58.8251,2018-04-04,58.9979,"Apr 4, 18",57.7288,58.0942,8174211,8174211,58.3844
60,0.888895,0.057873552629714005,1.5110000000000001,59.714,2018-04-05,60.4152,"Apr 5, 18",58.993,59.0918,6822629,6822629,59.8762
61,-1.1852,0.036876939865927,-1.9849999999999999,58.5288,2018-04-06,59.9016,"Apr 6, 18",57.8127,59.4671,8837538,8837538,58.7651
62,1.3432,0.06067262858033601,2.295,59.872,2018-04-09,60.3955,"Apr 9, 18",58.7757,59.1214,10832062,10832062,59.8706
63,1.6988,0.09076800975070501,2.8369999999999997,61.5708,2018-04-10,62.2226,"Apr 10, 18",60.6226,60.6819,11158041,11158041,61.5265
64,0.879018,0.10634008418486601,1.428,62.4498,2018-04-11,62.4943,"Apr 11, 18",60.8399,61.5313,10014141,10014141,62.0253
65,0.009877,0.10651546932354401,0.016,62.4597,2018-04-12,63.0918,"Apr 12, 18",62.0646,62.5091,10336245,10336245,62.6269
66,1.6395,0.1355603112289,2.625,64.0992,2018-04-13,64.198,"Apr 13, 18",62.9535,63.1609,9672907,9672907,63.7162
67,0.819759,0.15008361796510702,1.279,64.919,2018-04-16,65.1758,"Apr 16, 18",63.5856,64.1683,8534926,8534926,64.5546
68,0.770376,0.163729999007922,1.187,65.6893,2018-04-17,66.0844,"Apr 17, 18",64.6523,65.1066,8312592,8312592,65.5761
69,-0.088889,0.16215684746099,-0.135,65.6005,2018-04-18,66.4696,"Apr 18, 18",65.5609,66.1733,11015565,11015565,66.1006
70,-0.10864299999999999,0.160231154069643,-0.166,65.4918,2018-04-19,65.7733,"Apr 19, 18",64.7412,65.077,8366275,8366275,65.2308
71,-0.5135839999999999,0.151132385663062,-0.784,64.9782,2018-04-20,65.2954,"Apr 20, 18",64.5338,65.0375,7008374,7008374,64.9105
72,-0.306175,0.145707847333437,-0.47100000000000003,64.672,2018-04-23,64.8202,"Apr 23, 18",63.6745,64.7708,9209722,9209722,64.3309
73,-0.167903,0.142733386244135,-0.26,64.5041,2018-04-24,65.798,"Apr 24, 18",64.0498,65.1856,8731627,8731627,64.9485
74,-0.246916,0.138359387179523,-0.383,64.2572,2018-04-25,64.7511,"Apr 25, 18",63.1313,64.1585,9867902,9867902,64.2716
75,1.8864,0.171779999716549,2.936,66.1437,2018-04-26,66.3017,"Apr 26, 18",64.2967,64.9387,10574560,10574560,65.6407
76,-1.9951,0.13643546535523401,-3.016,64.1486,2018-04-27,65.9363,"Apr 27, 18",64.1486,65.6103,6398799,6398799,64.7917
77,0.543214,0.146058617610793,0.847,64.6918,2018-04-30,65.3288,"Apr 30, 18",63.9609,64.0795,6381298,6381298,64.7616
78,0.20740899999999998,0.14973284768775,0.321,64.8992,2018-05-01,64.9683,"May 1, 18",63.7535,64.2474,7433820,7433820,64.4156
79,-0.256791,0.145183463484459,-0.396,64.6424,2018-05-02,65.1807,"May 2, 18",64.3362,64.3757,6810047,6810047,64.7863
80,0.5333359999999999,0.154633002168397,0.8250000000000001,65.1758,2018-05-03,65.3437,"May 3, 18",63.5264,64.0992,7088763,7088763,64.5947
81,0.859265,0.16985430632520201,1.318,66.035,2018-05-04,66.2622,"May 4, 18",64.7907,65.1856,6302172,6302172,65.83
82,-0.08889000000000001,0.16827938321121302,-0.135,65.9461,2018-05-07,67.7931,"May 7, 18",65.8671,66.44,9121533,9121533,66.929
83,0.958032,0.18525276718774303,1.453,66.9042,2018-05-08,66.9042,"May 8, 18",64.6424,65.9758,8988387,8988387,66.076
84,0.948155,0.20204899445853802,1.417,67.8523,2018-05-09,69.2844,"May 9, 18",67.6548,67.7634,9271165,9271165,68.3485
85,0.632103,0.21324706982808603,0.932,68.4844,2018-05-10,68.8449,"May 10, 18",67.8029,68.6029,6512326,6512326,68.4144
86,0.381805,0.220010912853073,0.558,68.8662,2018-05-11,69.3125,"May 11, 18",68.3009,68.5489,6382225,6382225,68.8431
87,0.148761,0.22264700463441903,0.216,69.015,2018-05-14,69.6299,"May 14, 18",68.777,68.9257,8805220,8805220,69.2005
88,0.495869,0.23143220567184902,0.718,69.5109,2018-05-15,70.0067,"May 15, 18",68.6679,68.9753,5962666,5962666,69.4823
89,-0.23801599999999998,0.22721410450828303,-0.342,69.2728,2018-05-16,69.6183,"May 16, 18",68.529,69.4216,4363391,4363391,69.1879
