,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.722421,0.0,0.389,186.5229,2018-01-08,187.0168,"Jan 8, 18",185.3057,185.375,1962275,1962275,186.3622
1,-2.1673,-0.011618948665284,-1.162,184.3557,2018-01-09,187.3344,"Jan 9, 18",184.2171,187.0474,2241908,2241908,185.2086
2,-0.8609669999999999,-0.016235003852073,-0.467,183.4947,2018-01-10,184.3062,"Jan 10, 18",181.9717,183.8213,2609522,2609522,183.3219
3,3.9189,0.004775284965009,2.136,187.4136,2018-01-11,188.6902,"Jan 11, 18",183.1088,183.5046,4678618,4678618,186.2382
4,2.4345,0.017826765507077,1.299,189.848,2018-01-12,190.1835,"Jan 12, 18",188.0272,188.1261,3499538,3499538,189.6179
5,-0.30678099999999997,0.016182463386533,-0.162,189.5413,2018-01-16,190.8377,"Jan 16, 18",188.9079,190.3528,2006574,2006574,189.7273
6,0.7521089999999999,0.020214676053181002,0.397,190.2934,2018-01-17,190.5606,"Jan 17, 18",189.3532,190.5309,2585195,2585195,190.1473
7,-0.771901,0.016076310201053,-0.406,189.5215,2018-01-18,191.0257,"Jan 18, 18",189.2345,190.234,1907960,1907960,189.8849
8,0.771901,0.020214676053181002,0.40700000000000003,190.2934,2018-01-19,190.6397,"Jan 19, 18",189.1751,189.7194,2353839,2353839,190.0228
9,2.0683,0.031303394918264005,1.087,192.3617,2018-01-22,192.7377,"Jan 22, 18",190.0658,190.5012,3009122,3009122,192.0657
10,-0.9500339999999999,0.026209650396814003,-0.494,191.4116,2018-01-23,192.0846,"Jan 23, 18",190.0757,191.5997,2316444,2316444,191.4161
11,0.8114859999999999,0.030560322619903,0.424,192.2231,2018-01-24,192.7278,"Jan 24, 18",189.9322,192.4112,2799224,2799224,191.876
12,3.6715,0.050244232745684,1.9100000000000001,195.8946,2018-01-25,196.3894,"Jan 25, 18",192.713,192.9752,3558701,3558701,195.1619
13,0.9500329999999999,0.055337441139935,0.485,196.8446,2018-01-26,197.1613,"Jan 26, 18",193.6581,195.6967,2756240,2756240,195.9232
14,-0.583874,0.05220753054986801,-0.297,196.2608,2018-01-29,197.8046,"Jan 29, 18",195.5087,196.3102,2031082,2031082,196.5579
15,-0.40574299999999996,0.05003192637472301,-0.20700000000000002,195.855,2018-01-30,196.7259,"Jan 30, 18",194.044,195.5383,2285040,2285040,195.802
16,-3.0084,0.033903075708130004,-1.536,192.8466,2018-01-31,196.4139,"Jan 31, 18",192.0846,195.3899,2682299,2682299,193.6983
17,-1.3855,0.026475033360514003,-0.718,191.4611,2018-02-01,193.3711,"Feb 1, 18",190.4418,191.4017,2096563,2096563,192.1882
18,-2.4542,0.013317399632967,-1.282,189.0069,2018-02-02,191.5898,"Feb 2, 18",188.8188,189.2642,2386573,2386573,190.0248
19,-8.1346,-0.030294939656203,-4.304,180.8722,2018-02-05,190.1053,"Feb 5, 18",180.6298,188.6803,3407221,3407221,184.8714
20,2.2167,-0.018410071900018,1.226,183.089,2018-02-06,183.3166,"Feb 6, 18",174.3704,177.0523,4067910,4067910,180.4623
21,-1.8011,-0.028066258888318003,-0.984,181.2879,2018-02-07,184.2567,"Feb 7, 18",181.1691,182.6832,2594822,2594822,182.3985
22,-4.5324,-0.052366224200888004,-2.5,176.7554,2018-02-08,182.5942,"Feb 8, 18",176.6763,182.5942,3013199,3013199,179.4702
23,2.0881,-0.041171352150325004,1.181,178.8435,2018-02-09,180.1795,"Feb 9, 18",173.9647,177.9133,2777218,2777218,177.4323
24,0.33647099999999996,-0.039367284124362,0.188,179.18,2018-02-12,181.3561,"Feb 12, 18",178.507,179.9519,1596154,1596154,179.538
25,3.0579,-0.022973050494068,1.7069999999999999,182.2379,2018-02-13,182.6832,"Feb 13, 18",178.1805,178.3487,2123884,2123884,181.2257
26,3.1668,-0.005994974343632001,1.738,185.4047,2018-02-14,186.5229,"Feb 14, 18",180.417,180.8128,2190997,2190997,184.2173
27,4.5942,0.018635781450963,2.478,189.9989,2018-02-15,190.2271,"Feb 15, 18",185.1269,186.6351,2072861,2072861,188.8704
28,0.079382,0.019061466447283,0.042,190.0783,2018-02-16,193.1146,"Feb 16, 18",189.5623,189.9691,1970118,1970118,190.966
29,-3.4134,0.00076130062314,-1.796,186.6649,2018-02-20,189.9989,"Feb 20, 18",186.1787,188.4013,2202139,2202139,187.3725
30,-2.3517,-0.011846802725027,-1.26,184.3132,2018-02-21,187.677,"Feb 21, 18",184.2537,187.0717,1747191,1747191,185.6826
31,0.833503,-0.007378182518071001,0.452,185.1467,2018-02-22,186.8733,"Feb 22, 18",184.2239,184.9086,1360115,1360115,185.6267
32,3.1951,0.009751617629792,1.726,188.3418,2018-02-23,188.3815,"Feb 23, 18",184.472,186.3771,1561698,1561698,187.0234
33,2.9768,0.025711052101377002,1.581,191.3186,2018-02-26,191.6014,"Feb 26, 18",188.4609,188.6296,1852410,1852410,190.475
34,-2.689,0.011294591709650002,-1.4060000000000001,188.6296,2018-02-27,194.0076,"Feb 27, 18",188.6296,191.9537,2170354,2170354,190.9409
35,0.793813,0.015550369418446001,0.421,189.4234,2018-02-28,192.2613,"Feb 28, 18",189.4135,190.118,2179803,2179803,190.4297
36,-1.8555000000000001,0.005601993106476,-0.98,187.5678,2018-03-01,191.4972,"Mar 1, 18",185.8711,189.8302,2447672,2447672,188.1842
37,0.297678,0.007198043779074001,0.159,187.8655,2018-03-02,188.9173,"Mar 2, 18",185.7681,186.0298,2275923,2275923,187.702
38,2.1334,0.018635781450963,1.1360000000000001,189.9989,2018-03-05,190.495,"Mar 5, 18",186.0497,186.9923,2155785,2155785,188.8848
39,-0.019844999999999998,0.018529092138284003,-0.01,189.979,2018-03-06,190.7629,"Mar 6, 18",188.5997,190.6538,2458710,2458710,189.666
40,-4.0683,-0.0032816345874950004,-2.141,185.9108,2018-03-07,188.2823,"Mar 7, 18",183.3507,187.7465,5157114,5157114,185.7664
41,-1.6571,-0.012165798408667002,-0.891,184.2537,2018-03-08,184.9054,"Mar 8, 18",181.6639,184.7498,6061513,6061513,183.1024
42,2.8676,0.0032081851611780003,1.556,187.1213,2018-03-09,187.1809,"Mar 9, 18",182.795,185.0574,3288116,3288116,185.4148
