,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.078037,0.0,-0.392,19.8212,2018-01-08,19.9724,"Jan 8, 18",19.6749,19.8115,3212683,3212683,19.8533
1,0.26337299999999997,0.013288801888886,1.329,20.084600000000002,2018-01-09,20.1724,"Jan 9, 18",19.6457,19.7725,2680547,2680547,20.0333
2,-0.068281,0.009842996387706,-0.34,20.0163,2018-01-10,20.031,"Jan 10, 18",19.7969,19.9578,3590556,3590556,19.9684
3,0.0,0.009842996387706,0.0,20.0163,2018-01-11,20.1822,"Jan 11, 18",19.87,20.0554,3170640,3170640,20.015
4,0.253618,0.022642423263979,1.267,20.27,2018-01-12,20.2992,"Jan 12, 18",19.9773,20.0066,2043008,2043008,20.1969
5,-0.370673,0.003940225617016,-1.8290000000000002,19.8993,2018-01-16,20.6553,"Jan 16, 18",19.7725,20.3285,5880663,5880663,20.0029
6,0.292636,0.018702197646963,1.471,20.1919,2018-01-17,20.4163,"Jan 17, 18",19.9578,20.1041,2943665,2943665,20.2174
7,-0.673064,-0.01525134704256,-3.333,19.5189,2018-01-18,20.1139,"Jan 18, 18",19.4798,20.0651,3991610,3991610,19.607
8,0.5072369999999999,0.010337416503541001,2.599,20.0261,2018-01-19,20.0554,"Jan 19, 18",19.5579,19.5969,4254706,4254706,19.8824
9,0.351164,0.028055819022057,1.754,20.3773,2018-01-22,20.465,"Jan 22, 18",20.0749,20.0749,3168458,3168458,20.3196
10,-0.11705399999999999,0.022148003148144003,-0.5740000000000001,20.2602,2018-01-23,20.4407,"Jan 23, 18",19.9481,20.4065,3976408,3976408,20.2527
11,-0.380428,0.002956430488567,-1.8780000000000001,19.8798,2018-01-24,20.4309,"Jan 24, 18",19.7871,20.3382,6571791,6571791,19.983
12,-0.126809,-0.0034407603979570004,-0.638,19.753,2018-01-25,19.909,"Jan 25, 18",19.6262,19.8993,4167303,4167303,19.7667
13,-0.029264,-0.004918975642241001,-0.148,19.7237,2018-01-26,19.87,"Jan 26, 18",19.4798,19.7237,4444142,4444142,19.6937
14,-0.5072369999999999,-0.030507739188343003,-2.572,19.2165,2018-01-29,19.7237,"Jan 29, 18",19.2067,19.6554,4705951,4705951,19.3589
15,-0.009755,-0.031002159304179003,-0.051000000000000004,19.2067,2018-01-30,19.4408,"Jan 30, 18",18.9336,19.1872,4099044,4099044,19.1893
16,-0.078036,-0.034937339817972,-0.406,19.1287,2018-01-31,19.353,"Jan 31, 18",19.0067,19.2165,4670025,4670025,19.1767
17,-0.731591,-0.071847314996064,-3.825,18.397100000000002,2018-02-01,19.0799,"Feb 1, 18",18.1825,19.0701,7430256,7430256,18.4537
18,-0.790119,-0.11170867555950201,-4.295,17.607,2018-02-02,18.3873,"Feb 2, 18",17.5875,18.3386,6702014,6702014,17.7943
19,-0.7511,-0.14960244586604202,-4.266,16.8559,2018-02-05,17.6752,"Feb 5, 18",16.8364,17.4606,5928458,5928458,17.2725
20,0.146319,-0.14222145985106802,0.868,17.0022,2018-02-06,17.051,"Feb 6, 18",16.095,16.4852,6314959,6314959,16.7082
21,0.048771999999999996,-0.13975944947833602,0.28700000000000003,17.051,2018-02-07,17.2265,"Feb 7, 18",16.7291,16.9729,13399513,13399513,16.9911
22,2.4191000000000003,-0.017713357415292,14.188,19.4701,2018-02-08,19.753,"Feb 8, 18",18.8653,19.0214,15122202,15122202,19.389
23,-0.097546,-0.022637378160757,-0.501,19.3725,2018-02-09,19.5091,"Feb 9, 18",18.3581,19.1287,11642091,11642091,19.1721
24,0.546254,0.004924020745464001,2.8200000000000003,19.9188,2018-02-12,20.1285,"Feb 12, 18",19.4896,19.5286,9902160,9902160,19.7815
25,0.136565,0.011815631747825002,0.686,20.0554,2018-02-13,20.2504,"Feb 13, 18",19.8115,19.8505,7354435,7354435,20.0711
26,0.673064,0.045769176437349006,3.356,20.7284,2018-02-14,20.8162,"Feb 14, 18",19.7139,19.9578,6381605,6381605,20.495
27,0.273127,0.059547353338849,1.318,21.0015,2018-02-15,21.1089,"Feb 15, 18",20.6894,21.0015,5027939,5027939,20.9309
28,-0.078037,0.055612172825055005,-0.372,20.9235,2018-02-16,21.0698,"Feb 16, 18",20.7479,20.8942,5000647,5000647,20.922
29,-0.253618,0.042817791052004006,-1.212,20.6699,2018-02-20,21.1479,"Feb 20, 18",20.5772,20.9723,5505305,5505305,20.7768
30,-0.38042699999999996,0.023626218392428,-1.8399999999999999,20.2895,2018-02-21,20.7577,"Feb 21, 18",20.2797,20.6699,4766138,4766138,20.4384
31,-0.136564,0.016734607390067,-0.673,20.1529,2018-02-22,20.6114,"Feb 22, 18",20.1431,20.465,4850650,4850650,20.2751
