,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.02,0.0,0.046,43.55,2018-01-08,43.86,"Jan 8, 18",43.28,43.59,1254389,1254389,43.5991
1,-0.07,-0.001607347876004,-0.161,43.48,2018-01-09,43.7,"Jan 9, 18",43.1,43.63,1027722,1027722,43.3507
2,0.04,-0.0006888633754300001,0.092,43.52,2018-01-10,43.59,"Jan 10, 18",43.2,43.45,1119372,1119372,43.4207
3,0.98,0.021814006888633,2.252,44.5,2018-01-11,44.5025,"Jan 11, 18",43.56,43.57,1125971,1125971,44.2
4,0.35000000000000003,0.029850746268656,0.787,44.85,2018-01-12,44.87,"Jan 12, 18",44.13,44.51,775634,775634,44.6505
5,-0.53,0.01768082663605,-1.182,44.32,2018-01-16,45.26,"Jan 16, 18",44.16,45.08,825327,825327,44.5402
6,0.01,0.017910447761194,0.023,44.33,2018-01-17,44.51,"Jan 17, 18",44.07,44.51,1271721,1271721,44.2961
7,0.27,0.024110218140068,0.609,44.6,2018-01-18,44.745,"Jan 18, 18",44.26,44.29,666993,666993,44.5511
8,1.07,0.048679678530424,2.399,45.67,2018-01-19,46.09,"Jan 19, 18",44.69,45.0,1294654,1294654,45.372
9,-0.25,0.042939150401837003,-0.547,45.42,2018-01-22,45.848,"Jan 22, 18",44.98,45.67,1092184,1092184,45.4486
10,-0.43,0.033065442020666004,-0.9470000000000001,44.99,2018-01-23,45.61,"Jan 23, 18",44.95,45.42,1031500,1031500,45.0716
11,-0.27,0.026865671641791003,-0.6000000000000001,44.72,2018-01-24,45.335,"Jan 24, 18",44.45,45.14,1093835,1093835,44.7543
12,0.26,0.032835820895522005,0.581,44.98,2018-01-25,45.16,"Jan 25, 18",44.66,44.86,867903,867903,44.8778
13,0.36,0.041102181400689004,0.8,45.34,2018-01-26,45.35,"Jan 26, 18",44.67,45.01,525456,525456,45.0897
14,-0.55,0.028473019517795004,-1.213,44.79,2018-01-29,45.316,"Jan 29, 18",44.72,45.27,504431,504431,44.8886
15,-0.39,0.019517795637198,-0.871,44.4,2018-01-30,44.92,"Jan 30, 18",44.3,44.55,824545,824545,44.516
16,-0.33,0.011940298507462001,-0.743,44.07,2018-01-31,44.77,"Jan 31, 18",43.79,44.58,878213,878213,44.2383
17,-0.45,0.001607347876004,-1.021,43.62,2018-02-01,44.18,"Feb 1, 18",43.47,43.99,761258,761258,43.7595
18,-0.18,-0.002525832376578,-0.41300000000000003,43.44,2018-02-02,43.65,"Feb 2, 18",43.199,43.35,1052490,1052490,43.5089
19,-1.73,-0.042250287026406,-3.983,41.71,2018-02-05,43.43,"Feb 5, 18",41.631,43.02,1278582,1278582,42.4777
20,0.05,-0.041102181400688005,0.12,41.76,2018-02-06,41.85,"Feb 6, 18",39.21,40.65,1647236,1647236,41.1905
21,-0.02,-0.041561423650975,-0.048,41.74,2018-02-07,42.17,"Feb 7, 18",41.52,41.6,700241,700241,41.8933
22,-0.99,-0.064293915040183,-2.372,40.75,2018-02-08,42.36,"Feb 8, 18",40.74,41.73,1074468,1074468,41.5058
23,0.79,-0.046153846153846004,1.939,41.54,2018-02-09,41.815,"Feb 9, 18",40.29,40.99,1363093,1363093,41.172
24,1.29,-0.016532721010332003,3.105,42.83,2018-02-12,43.26,"Feb 12, 18",42.02,42.35,1427723,1427723,42.856700000000004
25,0.36,-0.008266360505166001,0.841,43.19,2018-02-13,43.32,"Feb 13, 18",42.09,42.54,1579743,1579743,42.8658
26,1.71,0.030998851894374003,3.959,44.9,2018-02-14,44.91,"Feb 14, 18",42.9425,43.07,1534667,1534667,44.2863
27,0.84,0.05028702640642901,1.871,45.74,2018-02-15,45.93,"Feb 15, 18",44.1,44.92,2094103,2094103,45.3178
28,0.73,0.067049368541905,1.596,46.47,2018-02-16,46.62,"Feb 16, 18",45.3,45.6,2262602,2262602,46.314
29,0.36,0.07531572904707201,0.775,46.83,2018-02-20,47.11,"Feb 20, 18",46.1111,46.33,3834024,3834024,46.861
30,-0.72,0.058783008036739005,-1.537,46.11,2018-02-21,47.6532,"Feb 21, 18",46.05,47.04,2134092,2134092,46.8498
31,0.09,0.060849598163031,0.195,46.2,2018-02-22,46.55,"Feb 22, 18",45.89,46.24,1670917,1670917,46.1887
32,0.5700000000000001,0.073938002296211,1.234,46.77,2018-02-23,46.82,"Feb 23, 18",45.93,46.43,1441385,1441385,46.4544
33,0.15,0.07738231917336401,0.321,46.92,2018-02-26,50.71,"Feb 26, 18",46.74,49.46,2963445,2963445,47.5109
34,0.75,0.09460390355912701,1.5979999999999999,47.67,2018-02-27,48.68,"Feb 27, 18",47.06,47.34,2189499,2189499,47.7907
35,-0.86,0.074856486796785,-1.804,46.81,2018-02-28,47.98,"Feb 28, 18",46.72,47.94,2293618,2293618,47.3244
36,-0.86,0.05510907003444301,-1.837,45.95,2018-03-01,47.1,"Mar 1, 18",45.51,46.82,1455010,1455010,46.0401
37,0.21,0.05993111366245601,0.457,46.16,2018-03-02,46.25,"Mar 2, 18",45.45,45.63,1361465,1361465,45.9264
38,1.34,0.09070034443168701,2.903,47.5,2018-03-05,47.51,"Mar 5, 18",45.77,45.95,1410623,1410623,46.9362
39,1.54,0.126061997703788,3.242,49.04,2018-03-06,49.06,"Mar 6, 18",47.38,47.55,3326782,3326782,48.6011
40,0.49,0.137313432835821,0.999,49.53,2018-03-07,49.575,"Mar 7, 18",48.5,48.5,2130785,2130785,49.2788
41,-0.43,0.12743972445464902,-0.868,49.1,2018-03-08,49.75,"Mar 8, 18",48.51,49.67,1789684,1789684,49.0243
42,1.01,0.15063145809414402,2.057,50.11,2018-03-09,50.21,"Mar 9, 18",49.18,49.47,1395595,1395595,49.9496
43,1.0,0.173593570608496,1.996,51.11,2018-03-12,51.2,"Mar 12, 18",50.16,50.22,1829510,1829510,50.7827
44,-0.33,0.16601607347876002,-0.646,50.78,2018-03-13,51.51,"Mar 13, 18",50.51,51.16,1657591,1657591,50.8415
45,-0.07,0.16440872560275502,-0.138,50.71,2018-03-14,51.315,"Mar 14, 18",50.39,50.83,1115750,1115750,50.6894
46,-0.41000000000000003,0.154994259471871,-0.809,50.3,2018-03-15,50.71,"Mar 15, 18",50.14,50.71,855255,855255,50.3475
47,0.74,0.171986222732491,1.471,51.04,2018-03-16,51.3,"Mar 16, 18",50.2,50.2,1806911,1806911,50.837
48,-0.59,0.158438576349024,-1.156,50.45,2018-03-19,51.14,"Mar 19, 18",50.03,50.93,1226724,1226724,50.3485
49,0.81,0.17703788748564803,1.6059999999999999,51.26,2018-03-20,51.3,"Mar 20, 18",50.07,50.46,939164,939164,51.0744
50,-0.01,0.176808266360505,-0.02,51.25,2018-03-21,51.6786,"Mar 21, 18",51.08,51.19,838339,838339,51.3906
51,-1.38,0.14512055109070002,-2.693,49.87,2018-03-22,51.21,"Mar 22, 18",49.85,50.89,800965,800965,50.3534
52,-0.14,0.14190585533869102,-0.281,49.73,2018-03-23,50.95,"Mar 23, 18",49.501,50.36,1034415,1034415,50.2957
53,1.2,0.169460390355912,2.4130000000000003,50.93,2018-03-26,50.96,"Mar 26, 18",49.978,50.36,1091985,1091985,50.541
54,-0.9400000000000001,0.147876004592422,-1.846,49.99,2018-03-27,51.7744,"Mar 27, 18",49.73,50.98,1593322,1593322,50.7505
55,-0.16,0.14420206659012602,-0.32,49.83,2018-03-28,50.47,"Mar 28, 18",49.37,50.11,1677883,1677883,49.9156
56,1.1,0.169460390355912,2.208,50.93,2018-03-29,51.35,"Mar 29, 18",49.86,49.96,1294023,1294023,50.8529
57,-1.13,0.14351320321469502,-2.219,49.8,2018-04-02,51.13,"Apr 2, 18",49.32,50.93,1002164,1002164,49.8381
58,0.52,0.15545350172215802,1.044,50.32,2018-04-03,50.57,"Apr 3, 18",49.7067,50.14,1577586,1577586,50.1958
59,0.34,0.163260619977037,0.676,50.66,2018-04-04,50.83,"Apr 4, 18",49.22,49.68,1169592,1169592,50.1863
60,0.09,0.16532721010332901,0.178,50.75,2018-04-05,51.425,"Apr 5, 18",50.46,51.0,1193923,1193923,50.8928
61,-1.09,0.14029850746268602,-2.148,49.66,2018-04-06,50.75,"Apr 6, 18",49.12,50.38,1537385,1537385,49.7952
62,0.23,0.145579793340987,0.463,49.89,2018-04-09,50.61,"Apr 9, 18",49.88,50.1,1227488,1227488,50.2417
63,0.71,0.16188289322617602,1.423,50.6,2018-04-10,50.96,"Apr 10, 18",50.18,50.36,743352,743352,50.6701
64,-0.18,0.15774971297359303,-0.356,50.42,2018-04-11,50.78,"Apr 11, 18",50.21,50.23,665784,665784,50.4938
65,0.42,0.16739380022962103,0.833,50.84,2018-04-12,51.15,"Apr 12, 18",50.44,50.45,1060422,1060422,50.8703
66,-0.45,0.15706084959816302,-0.885,50.39,2018-04-13,51.475,"Apr 13, 18",50.2,51.09,1002834,1002834,50.6125
67,-0.06,0.15568312284730101,-0.11900000000000001,50.33,2018-04-16,50.84,"Apr 16, 18",50.305,50.83,2136607,2136607,50.5152
68,0.97,0.17795637198622202,1.927,51.3,2018-04-17,51.93,"Apr 17, 18",50.96,51.18,1606792,1606792,51.3969
69,0.53,0.19012629161882802,1.033,51.83,2018-04-18,52.305,"Apr 18, 18",51.37,51.37,1237221,1237221,51.9356
70,0.03,0.19081515499425902,0.058,51.86,2018-04-19,52.42,"Apr 19, 18",51.83,51.89,1397514,1397514,52.0571
71,-0.36,0.182548794489093,-0.6940000000000001,51.5,2018-04-20,52.19,"Apr 20, 18",51.35,51.97,927029,927029,51.603
72,0.44,0.19265212399540702,0.854,51.94,2018-04-23,52.43,"Apr 23, 18",50.9,51.8,1155076,1155076,52.0354
73,-0.77,0.17497129735935701,-1.482,51.17,2018-04-24,52.73,"Apr 24, 18",50.8416,52.23,1316406,1316406,51.5854
74,0.17,0.17887485648679602,0.332,51.34,2018-04-25,51.57,"Apr 25, 18",50.48,51.07,1021172,1021172,51.1608
75,0.08,0.180711825487945,0.156,51.42,2018-04-26,51.82,"Apr 26, 18",51.38,51.42,1081947,1081947,51.5845
76,0.21,0.185533869115958,0.40800000000000003,51.63,2018-04-27,51.82,"Apr 27, 18",51.215,51.56,785679,785679,51.5755
77,-0.55,0.172904707233065,-1.065,51.08,2018-04-30,52.03,"Apr 30, 18",51.06,51.65,1496783,1496783,51.3111
78,0.58,0.18622273249138901,1.135,51.66,2018-05-01,51.765,"May 1, 18",50.87,51.08,1144913,1144913,51.3724
79,0.14,0.18943742824339802,0.271,51.8,2018-05-02,52.36,"May 2, 18",51.4945,51.59,1079640,1079640,51.9977
80,0.48,0.20045924225028702,0.927,52.28,2018-05-03,52.34,"May 3, 18",51.39,51.48,1178661,1178661,51.983
81,0.54,0.212858783008036,1.033,52.82,2018-05-04,53.14,"May 4, 18",51.93,52.07,1187547,1187547,52.7217
82,-0.38,0.204133180252583,-0.719,52.44,2018-05-07,53.429,"May 7, 18",52.01,53.05,1546779,1546779,52.4088
83,0.76,0.22158438576349002,1.449,53.2,2018-05-08,53.24,"May 8, 18",52.44,52.48,1065154,1065154,52.9666
84,0.6000000000000001,0.235361653272101,1.1280000000000001,53.8,2018-05-09,53.8931,"May 9, 18",52.95,53.29,1359666,1359666,53.5472
85,0.46,0.245924225028702,0.855,54.26,2018-05-10,54.62,"May 10, 18",53.85,53.91,1391712,1391712,54.3261
86,1.0,0.268886337543054,1.843,55.26,2018-05-11,55.31,"May 11, 18",54.22,54.5,1794856,1794856,55.0443
87,0.35000000000000003,0.276923076923077,0.633,55.61,2018-05-14,55.63,"May 14, 18",55.07,55.35,1536198,1536198,55.4246
88,-0.22,0.271871412169919,-0.396,55.39,2018-05-15,55.45,"May 15, 18",54.69,55.06,1761403,1761403,55.1974
89,0.73,0.288633754305396,1.318,56.12,2018-05-16,56.25,"May 16, 18",55.12,55.29,987525,987525,56.0121
90,0.17,0.292537313432835,0.303,56.29,2018-05-17,56.78,"May 17, 18",55.658,55.93,1446668,1446668,56.4161
91,-2.22,0.24156142365097502,-3.944,54.07,2018-05-18,55.99,"May 18, 18",54.035,55.57,2263311,2263311,54.5295
92,-0.1,0.23926521239954002,-0.185,53.97,2018-05-21,55.08,"May 21, 18",53.76,54.54,2066230,2066230,54.2197
93,-0.97,0.21699196326062,-1.7970000000000002,53.0,2018-05-22,54.42,"May 22, 18",52.94,54.34,2716296,2716296,53.2767
94,-0.04,0.216073478760046,-0.075,52.96,2018-05-23,53.2,"May 23, 18",52.56,52.97,2586935,2586935,52.8594
95,-0.25,0.21033295063145802,-0.47200000000000003,52.71,2018-05-24,54.51,"May 24, 18",52.15,52.67,2724354,2724354,52.9293
96,1.54,0.24569460390355902,2.922,54.25,2018-05-25,54.375,"May 25, 18",52.85,53.0,2191547,2191547,53.9958
97,1.17,0.27256027554535,2.157,55.42,2018-05-29,55.55,"May 29, 18",54.12,54.16,2786786,2786786,55.2056
98,0.74,0.28955223880597003,1.335,56.16,2018-05-30,56.49,"May 30, 18",55.39,55.57,2414688,2414688,56.0446
99,-1.33,0.259012629161882,-2.368,54.83,2018-05-31,56.55,"May 31, 18",54.63,56.31,13684532,13684532,54.9036
100,0.74,0.276004592422502,1.35,55.57,2018-06-01,56.07,"Jun 1, 18",54.9,55.18,1597428,1597428,55.5354
101,0.54,0.28840413318025204,0.972,56.11,2018-06-04,56.15,"Jun 4, 18",55.47,55.63,2478779,2478779,55.8811
102,1.18,0.31549942594718705,2.103,57.29,2018-06-05,57.33,"Jun 5, 18",55.95,55.95,2570824,2570824,57.1211
103,-0.14,0.31228473019517805,-0.244,57.15,2018-06-06,57.41,"Jun 6, 18",56.6324,57.14,1651327,1651327,57.0159
104,-0.08,0.310447761194029,-0.14,57.07,2018-06-07,57.42,"Jun 7, 18",56.43,57.42,1415230,1415230,56.9454
105,0.56,0.323306544202066,0.981,57.63,2018-06-08,57.73,"Jun 8, 18",56.91,56.98,1163038,1163038,57.5199
106,-0.06,0.32192881745120505,-0.10400000000000001,57.57,2018-06-11,58.0,"Jun 11, 18",57.29,57.83,1747328,1747328,57.5504
107,0.04,0.322847301951779,0.069,57.61,2018-06-12,57.8,"Jun 12, 18",57.34,57.58,1147062,1147062,57.5622
108,0.09,0.32491389207807103,0.156,57.7,2018-06-13,58.24,"Jun 13, 18",57.57,57.8,1688221,1688221,57.7545
109,0.38,0.333639494833524,0.659,58.08,2018-06-14,58.19,"Jun 14, 18",57.325,57.72,2254340,2254340,58.0261
110,0.14,0.336854190585533,0.241,58.22,2018-06-15,58.32,"Jun 15, 18",57.33,57.98,3610591,3610591,58.1018
111,0.6000000000000001,0.35063145809414403,1.031,58.82,2018-06-18,58.96,"Jun 18, 18",57.77,57.92,2302539,2302539,58.7257
112,0.61,0.364638346727899,1.037,59.43,2018-06-19,59.54,"Jun 19, 18",58.19,58.27,2535986,2535986,59.1933
113,0.77,0.38231917336394905,1.296,60.2,2018-06-20,60.4,"Jun 20, 18",59.05,59.64,1634292,1634292,60.0303
114,-0.63,0.367853042479908,-1.047,59.57,2018-06-21,60.43,"Jun 21, 18",59.24,60.19,1293167,1293167,59.7322
115,0.34,0.37566016073478703,0.5710000000000001,59.91,2018-06-22,60.295,"Jun 22, 18",59.7374,60.23,2535471,2535471,59.9889
116,-1.6099999999999999,0.338691159586682,-2.6870000000000003,58.3,2018-06-25,60.01,"Jun 25, 18",57.79,60.0,1528391,1528391,58.2956
117,-2.02,0.29230769230769205,-3.465,56.28,2018-06-26,57.75,"Jun 26, 18",55.78,57.45,3904879,3904879,56.4704
118,-1.11,0.266819747416762,-1.972,55.17,2018-06-27,56.56,"Jun 27, 18",55.13,56.56,2704659,2704659,55.6709
119,0.84,0.286107921928817,1.5230000000000001,56.01,2018-06-28,56.08,"Jun 28, 18",54.63,55.24,2661877,2661877,55.5297
120,0.55,0.29873708381171005,0.982,56.56,2018-06-29,57.04,"Jun 29, 18",55.78,56.08,53422601,53422601,56.5413
121,0.28,0.30516647531572905,0.495,56.84,2018-07-02,56.88,"Jul 2, 18",55.7,56.57,2522995,2522995,56.4639
122,0.5,0.31664753157290404,0.88,57.34,2018-07-03,57.8,"Jul 3, 18",56.84,57.45,1486964,1486964,57.2079
123,-0.18,0.312514351320321,-0.314,57.16,2018-07-05,57.7873,"Jul 5, 18",56.14,57.39,2537558,2537558,56.9287
124,0.85,0.33203214695752004,1.487,58.01,2018-07-06,58.255,"Jul 6, 18",57.03,57.3,1697506,1697506,57.9564
125,0.74,0.34902411021814,1.276,58.75,2018-07-09,58.82,"Jul 9, 18",58.09,58.11,1611359,1611359,58.549
126,-0.04,0.34810562571756604,-0.068,58.71,2018-07-10,59.5,"Jul 10, 18",58.37,59.02,1319412,1319412,58.808
127,-0.39,0.33915040183696904,-0.664,58.32,2018-07-11,58.61,"Jul 11, 18",56.931,57.14,1989762,1989762,58.108
128,0.56,0.35200918484500504,0.96,58.88,2018-07-12,59.15,"Jul 12, 18",58.505,58.75,1903447,1903447,58.7781
129,0.43,0.361882893226176,0.73,59.31,2018-07-13,59.52,"Jul 13, 18",58.76,59.02,1094025,1094025,59.2589
130,-0.88,0.34167623421354704,-1.484,58.43,2018-07-16,59.66,"Jul 16, 18",58.32,59.31,2197817,2197817,58.6157
131,0.73,0.35843857634902404,1.249,59.16,2018-07-17,59.29,"Jul 17, 18",57.85,58.09,1569134,1569134,58.8609
132,0.16,0.36211251435132,0.27,59.32,2018-07-18,59.39,"Jul 18, 18",58.49,59.16,1557184,1557184,59.1392
133,-0.19,0.35774971297359304,-0.32,59.13,2018-07-19,59.46,"Jul 19, 18",58.98,59.05,854161,854161,59.1285
134,-0.15,0.35430539609644,-0.254,58.98,2018-07-20,59.36,"Jul 20, 18",58.96,59.01,939919,939919,59.1057
135,-0.72,0.33777267508610803,-1.221,58.26,2018-07-23,59.03,"Jul 23, 18",58.07,59.0,1723028,1723028,58.3972
136,-0.89,0.31733639494833504,-1.528,57.37,2018-07-24,58.72,"Jul 24, 18",57.06,58.64,2259307,2259307,57.5415
137,0.96,0.339380022962112,1.673,58.33,2018-07-25,58.4,"Jul 25, 18",56.775,57.39,1333546,1333546,58.0301
138,-0.21,0.33455797933409803,-0.36,58.12,2018-07-26,58.71,"Jul 26, 18",57.7301,57.97,1193806,1193806,58.1987
139,-1.18,0.307462686567164,-2.03,56.94,2018-07-27,58.45,"Jul 27, 18",56.68,58.23,816550,816550,57.0952
140,-0.73,0.290700344431687,-1.282,56.21,2018-07-30,56.915,"Jul 30, 18",55.86,56.86,1045024,1045024,56.283
141,1.18,0.317795637198622,2.099,57.39,2018-07-31,57.61,"Jul 31, 18",56.31,56.4,1613487,1613487,57.3159
142,0.18,0.32192881745120505,0.314,57.57,2018-08-01,57.8,"Aug 1, 18",55.88,55.96,1008798,1008798,57.5748
143,0.23,0.327210103329506,0.4,57.8,2018-08-02,57.95,"Aug 2, 18",57.34,57.61,1191367,1191367,57.7608
144,-0.37,0.31871412169919605,-0.64,57.43,2018-08-03,57.83,"Aug 3, 18",56.72,57.71,754276,754276,57.1652
145,1.08,0.34351320321469503,1.881,58.51,2018-08-06,58.58,"Aug 6, 18",57.36,57.57,988120,988120,58.2879
146,0.65,0.35843857634902404,1.111,59.16,2018-08-07,59.365,"Aug 7, 18",58.47,58.51,1005059,1005059,59.0785
147,0.21,0.363260619977037,0.355,59.37,2018-08-08,59.68,"Aug 8, 18",59.04,59.1,730020,730020,59.3922
148,0.63,0.37772675086107904,1.061,60.0,2018-08-09,60.32,"Aug 9, 18",59.41,59.41,659561,659561,60.0006
149,0.23,0.38300803673938005,0.383,60.23,2018-08-10,60.72,"Aug 10, 18",59.65,59.7,751951,751951,60.3403
150,-0.93,0.36165327210103304,-1.544,59.3,2018-08-13,60.62,"Aug 13, 18",59.26,60.35,1330848,1330848,59.6568
151,0.21,0.366475315729047,0.354,59.51,2018-08-14,59.84,"Aug 14, 18",59.1,59.41,1146516,1146516,59.5573
152,0.55,0.37910447761194005,0.924,60.06,2018-08-15,60.14,"Aug 15, 18",58.8,59.21,1040717,1040717,59.7219
153,0.76,0.39655568312284706,1.2650000000000001,60.82,2018-08-16,60.93,"Aug 16, 18",60.05,60.27,885053,885053,60.7231
154,0.16,0.40022962112514304,0.263,60.98,2018-08-17,61.1,"Aug 17, 18",60.18,60.87,777704,777704,60.7645
155,0.6900000000000001,0.416073478760046,1.1320000000000001,61.67,2018-08-20,62.22,"Aug 20, 18",60.99,61.15,1076235,1076235,61.7195
156,0.8,0.43444316877152706,1.297,62.47,2018-08-21,62.76,"Aug 21, 18",61.71,62.01,1114022,1114022,62.3878
157,0.53,0.44661308840413305,0.848,63.0,2018-08-22,63.2499,"Aug 22, 18",62.26,62.38,687102,687102,62.8742
158,-0.01,0.44638346727898903,-0.016,62.99,2018-08-23,63.29,"Aug 23, 18",62.77,62.94,736248,736248,63.0257
159,-0.26,0.440413318025258,-0.41300000000000003,62.73,2018-08-24,63.5,"Aug 24, 18",62.42,63.15,1147451,1147451,62.8175
160,1.06,0.46475315729047,1.69,63.79,2018-08-27,64.12,"Aug 27, 18",62.86,63.05,995102,995102,63.7669
161,0.28,0.471182548794489,0.439,64.07,2018-08-28,64.609,"Aug 28, 18",63.8,63.82,1101041,1101041,64.2076
162,0.05,0.47233065442020605,0.078,64.12,2018-08-29,64.78,"Aug 29, 18",64.02,64.28,1705613,1705613,64.3008
163,0.27,0.47853042479908103,0.421,64.39,2018-08-30,64.76,"Aug 30, 18",64.06,64.11,1110937,1110937,64.4427
164,-0.08,0.47669345579793304,-0.124,64.31,2018-08-31,64.54,"Aug 31, 18",64.12,64.26,1261062,1261062,64.3124
165,0.59,0.49024110218140005,0.917,64.9,2018-09-04,65.06,"Sep 4, 18",64.36,64.71,1684265,1684265,64.6968
166,-0.22,0.48518943742824305,-0.339,64.68,2018-09-05,64.79,"Sep 5, 18",63.74,64.77,1518183,1518183,64.464
