,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.76,0.0,0.7030000000000001,108.86,2018-01-08,109.14,"Jan 8, 18",107.57,108.0,2933620,2933620,108.6619
1,0.29,0.0026639720742230003,0.266,109.15,2018-01-09,109.34,"Jan 9, 18",108.2499,109.0,3302271,3302271,108.813
2,-0.35000000000000003,-0.000551166636046,-0.321,108.8,2018-01-10,109.49,"Jan 10, 18",108.225,108.675,3113335,3113335,108.6885
3,0.30000000000000004,0.002204666544185,0.276,109.1,2018-01-11,109.4,"Jan 11, 18",108.67,109.0,3668120,3668120,109.0653
4,1.1400000000000001,0.012676832629064001,1.045,110.24,2018-01-12,110.71,"Jan 12, 18",108.91,109.23,5749471,5749471,110.0884
5,-1.35,0.000275583318023,-1.225,108.89,2018-01-16,111.44,"Jan 16, 18",108.23,110.85,5790819,5790819,109.706
6,1.15,0.01083961050891,1.056,110.04,2018-01-17,110.38,"Jan 17, 18",109.23,109.75,4254674,4254674,109.8528
7,1.73,0.026731581848245003,1.572,111.77,2018-01-18,112.17,"Jan 18, 18",110.215,110.23,3842823,3842823,111.5041
8,0.16,0.028201359544368,0.14300000000000002,111.93,2018-01-19,112.4,"Jan 19, 18",111.61,112.21,3120889,3120889,112.0054
9,0.96,0.037020025721109004,0.858,112.89,2018-01-22,112.96,"Jan 22, 18",111.01,111.63,2214707,2214707,112.3872
10,0.35000000000000003,0.040235164431379006,0.31,113.24,2018-01-23,113.76,"Jan 23, 18",112.681,113.18,2816839,2816839,113.2679
11,-0.39,0.036652581297078005,-0.34400000000000003,112.85,2018-01-24,113.84,"Jan 24, 18",112.5,113.63,4975487,4975487,113.0973
12,-0.89,0.028476942862392003,-0.789,111.96,2018-01-25,113.47,"Jan 25, 18",111.9,113.28,4715109,4715109,112.6757
13,1.74,0.044460775307734006,1.554,113.7,2018-01-26,113.92,"Jan 26, 18",112.03,112.72,3927448,3927448,113.4329
14,-0.4,0.040786331067426004,-0.352,113.3,2018-01-29,114.41,"Jan 29, 18",112.85,113.7,3181484,3181484,113.5673
15,-1.07,0.030957192724600003,-0.9440000000000001,112.23,2018-01-30,113.45,"Jan 30, 18",111.84,112.42,3737729,3737729,112.5975
16,1.6800000000000002,0.046389858533896,1.4969999999999999,113.91,2018-01-31,114.52,"Jan 31, 18",112.64,113.06,4181752,4181752,113.9546
17,-1.17,0.035642109130993,-1.027,112.74,2018-02-01,114.27,"Feb 1, 18",112.53,113.3,4302769,4302769,113.2763
18,-1.96,0.017637332353481,-1.7389999999999999,110.78,2018-02-02,112.35,"Feb 2, 18",110.71,112.03,4403837,4403837,111.355
19,-3.13,-0.011115193826933,-2.825,107.65,2018-02-05,111.61,"Feb 5, 18",107.5,109.15,6123968,6123968,109.4766
20,1.92,0.006522138526547001,1.784,109.57,2018-02-06,109.62,"Feb 6, 18",103.69,105.01,6857941,6857941,107.8204
21,0.48,0.010931471614918,0.438,110.05,2018-02-07,112.29,"Feb 7, 18",108.81,109.07,4515370,4515370,110.8544
22,-6.02,-0.044368914201726006,-5.47,104.03,2018-02-08,110.18,"Feb 8, 18",104.0,110.1,6803753,6803753,106.2748
23,2.95,-0.01726988792945,2.836,106.98,2018-02-09,108.11,"Feb 9, 18",102.37,105.32,6615838,6615838,105.4975
24,1.57,-0.0028476942862390004,1.468,108.55,2018-02-12,109.48,"Feb 12, 18",106.26,107.7,4624113,4624113,108.1582
25,-0.86,-0.010747749402902,-0.792,107.69,2018-02-13,108.08,"Feb 13, 18",105.93,108.01,7542752,7542752,107.2039
26,1.33,0.0014697776961230002,1.235,109.02,2018-02-14,109.22,"Feb 14, 18",106.73,106.73,7427952,7427952,108.3459
27,4.1,0.039132831159287,3.761,113.12,2018-02-15,113.43,"Feb 15, 18",110.05,112.31,8341909,8341909,112.3661
28,-0.26,0.036744442403086004,-0.23,112.86,2018-02-16,114.15,"Feb 16, 18",112.67,112.84,4667328,4667328,113.2612
29,1.49,0.050431747198236,1.32,114.35,2018-02-20,115.26,"Feb 20, 18",112.282,112.45,4287773,4287773,114.2317
30,0.13,0.051625941576336,0.114,114.48,2018-02-21,115.67,"Feb 21, 18",114.17,114.77,4976536,4976536,114.8462
31,-1.48,0.038030497887194,-1.293,113.0,2018-02-22,115.0,"Feb 22, 18",112.481,114.52,4763427,4763427,113.5472
32,1.96,0.056035274664706,1.7349999999999999,114.96,2018-02-23,114.96,"Feb 23, 18",112.74,113.63,4173529,4173529,113.9046
33,1.69,0.071559801580011,1.47,116.65,2018-02-26,116.8,"Feb 26, 18",115.365,116.11,5418949,5418949,116.2416
34,-0.18,0.069906301671872,-0.154,116.47,2018-02-27,117.61,"Feb 27, 18",115.76,117.3,5908216,5908216,116.6476
35,-0.22,0.06788535733970201,-0.189,116.25,2018-02-28,118.15,"Feb 28, 18",116.22,117.0,9684436,9684436,117.0775
36,3.18,0.097097189050156,2.735,119.43,2018-03-01,122.47,"Mar 1, 18",118.05,120.91,15555500,15555500,120.1171
37,2.49,0.119970604446077,2.085,121.92,2018-03-02,122.33,"Mar 2, 18",117.64,118.65,10627548,10627548,120.3824
38,0.58,0.12529854859452502,0.47600000000000003,122.5,2018-03-05,122.94,"Mar 5, 18",119.66,120.0,10121251,10121251,121.6034
39,1.98,0.143487047584052,1.616,124.48,2018-03-06,124.69,"Mar 6, 18",122.75,122.87,8154828,8154828,123.9758
40,0.85,0.151295241594708,0.683,125.33,2018-03-07,125.77,"Mar 7, 18",123.1789,123.38,6750393,6750393,125.0945
41,1.03,0.160756935513503,0.8220000000000001,126.36,2018-03-08,127.29,"Mar 8, 18",125.7,125.76,6127919,6127919,126.4438
42,1.05,0.17040235164431303,0.8310000000000001,127.41,2018-03-09,127.5,"Mar 9, 18",126.25,127.19,5637799,5637799,127.0199
43,-0.63,0.16461510196582702,-0.494,126.78,2018-03-12,128.2,"Mar 12, 18",126.78,127.87,5609794,5609794,127.2486
44,-0.05,0.164155796435789,-0.039,126.73,2018-03-13,128.11,"Mar 13, 18",125.727,127.89,4641762,4641762,126.9882
45,1.26,0.175730295792761,0.994,127.99,2018-03-14,128.87,"Mar 14, 18",126.51,127.05,5402432,5402432,127.7267
46,-0.77,0.168656990630167,-0.602,127.22,2018-03-15,128.46,"Mar 15, 18",126.67,128.0,4603474,4603474,127.6425
47,-1.25,0.15717435237920202,-0.983,125.97,2018-03-16,127.95,"Mar 16, 18",125.69,127.29,6662884,6662884,126.3277
48,-0.99,0.14808010288443801,-0.786,124.98,2018-03-19,125.76,"Mar 19, 18",123.47,125.03,6830383,6830383,124.6942
49,0.14,0.149366158368546,0.112,125.12,2018-03-20,126.83,"Mar 20, 18",124.45,124.59,7113554,7113554,125.5858
50,-3.42,0.117949660113907,-2.733,121.7,2018-03-21,124.02,"Mar 21, 18",120.2,121.56,14824039,14824039,122.1225
51,-3.66,0.084328495315083,-3.007,118.04,2018-03-22,120.66,"Mar 22, 18",117.44,120.4,10950478,10950478,118.9515
52,-3.61,0.051166636046298,-3.058,114.43,2018-03-23,118.31,"Mar 23, 18",114.31,118.01,10902124,10902124,116.1151
53,4.54,0.09287157817380101,3.967,118.97,2018-03-26,119.26,"Mar 26, 18",115.04,118.24,13171665,13171665,117.0877
54,-5.16,0.045471247473819004,-4.337,113.81,2018-03-27,120.16,"Mar 27, 18",112.715,120.09,8304669,8304669,115.9203
55,-0.93,0.036928164615101004,-0.8170000000000001,112.88,2018-03-28,114.86,"Mar 28, 18",111.34,113.15,6489512,6489512,113.191
56,3.42,0.06834466286974,3.03,116.3,2018-03-29,117.26,"Mar 29, 18",112.52,113.91,7794691,7794691,115.3279
57,-1.0,0.059158552268969,-0.86,115.3,2018-04-02,117.68,"Apr 2, 18",113.61,115.91,6461251,6461251,115.005
58,1.19,0.070090023883887,1.032,116.49,2018-04-03,117.45,"Apr 3, 18",114.6,116.76,5193332,5193332,115.9341
59,2.99,0.09755649458019401,2.567,119.48,2018-04-04,119.675,"Apr 4, 18",114.0,114.06,6389309,6389309,117.7328
60,-0.44,0.093514605915855,-0.368,119.04,2018-04-05,121.035,"Apr 5, 18",118.67,120.4,5052398,5052398,119.6374
61,-2.94,0.066507440749586,-2.47,116.1,2018-04-06,118.98,"Apr 6, 18",114.951,118.1,5385492,5385492,116.7696
62,1.09,0.07652030130442701,0.9390000000000001,117.19,2018-04-09,119.23,"Apr 9, 18",117.14,117.14,4104150,4104150,118.1032
63,2.3,0.097648355686202,1.963,119.49,2018-04-10,120.12,"Apr 10, 18",117.68,118.92,3761181,3761181,119.1055
64,-0.33,0.094616939187947,-0.276,119.16,2018-04-11,120.71,"Apr 11, 18",118.87,119.33,3059409,3059409,119.6255
65,2.24,0.11519382693367601,1.88,121.4,2018-04-12,121.73,"Apr 12, 18",119.34,120.0,4419885,4419885,120.8107
66,-2.39,0.09323902259783201,-1.9689999999999999,119.01,2018-04-13,121.94,"Apr 13, 18",118.5,121.94,4933058,4933058,119.3972
67,0.4,0.09691346683814,0.336,119.41,2018-04-16,120.98,"Apr 16, 18",118.66,120.95,4464686,4464686,119.5813
68,3.94,0.13310674260518002,3.3,123.35,2018-04-17,123.86,"Apr 17, 18",120.01,120.4,5524566,5524566,122.5407
69,1.11,0.14330332537203702,0.9,124.46,2018-04-18,124.74,"Apr 18, 18",122.23,123.53,4321753,4321753,124.0579
70,-0.4,0.139628881131728,-0.321,124.06,2018-04-19,124.52,"Apr 19, 18",123.18,124.04,3656957,3656957,123.945
71,-1.24,0.12823810398677102,-1.0,122.82,2018-04-20,124.38,"Apr 20, 18",122.05,124.01,2971019,2971019,123.0227
72,-0.93,0.11969502112805401,-0.757,121.89,2018-04-23,124.57,"Apr 23, 18",121.24,123.19,3932668,3932668,122.3515
73,-4.01,0.08285871761896,-3.29,117.88,2018-04-24,123.53,"Apr 24, 18",116.91,123.34,5379304,5379304,119.2367
74,-0.56,0.077714495682527,-0.47500000000000003,117.32,2018-04-25,118.23,"Apr 25, 18",115.04,117.77,4972939,4972939,117.0041
75,3.51,0.10995774389123601,2.992,120.83,2018-04-26,122.07,"Apr 26, 18",118.16,118.7,4998816,4998816,120.7679
76,-0.61,0.10435421642476501,-0.505,120.22,2018-04-27,121.64,"Apr 27, 18",119.55,121.63,3801182,3801182,120.2814
77,0.77,0.11142752158735901,0.64,120.99,2018-04-30,121.7,"Apr 30, 18",119.78,120.87,2788268,2788268,120.9746
78,2.12,0.13090207606099502,1.752,123.11,2018-05-01,123.32,"May 1, 18",120.42,120.88,3873908,3873908,122.1242
79,-0.29,0.12823810398677102,-0.23600000000000002,122.82,2018-05-02,123.97,"May 2, 18",121.74,122.29,3671020,3671020,122.8099
80,1.5899999999999999,0.14284401984199802,1.295,124.41,2018-05-03,125.0,"May 3, 18",121.67,122.62,4435617,4435617,123.7076
81,0.71,0.149366158368546,0.5710000000000001,125.12,2018-05-04,125.84,"May 4, 18",122.98,124.38,6341164,6341164,124.9675
82,1.85,0.166360462979974,1.479,126.97,2018-05-07,127.69,"May 7, 18",125.46,125.79,4341967,4341967,126.8427
83,1.78,0.18271173984934702,1.4020000000000001,128.75,2018-05-08,128.96,"May 8, 18",126.5,126.59,4467772,4467772,128.1736
84,0.98,0.19171412823810302,0.761,129.73,2018-05-09,129.74,"May 9, 18",127.33,128.88,4605347,4605347,128.9857
85,0.89,0.19988976667279001,0.686,130.62,2018-05-10,131.0,"May 10, 18",129.05,129.95,3772425,3772425,130.3675
86,0.01,0.19998162777879802,0.008,130.63,2018-05-11,130.85,"May 11, 18",128.89,130.0,3233163,3233163,130.227
87,-2.94,0.17297446261252902,-2.251,127.69,2018-05-14,131.0,"May 14, 18",127.1601,130.79,4169825,4169825,128.522
88,0.44,0.17701635127686902,0.34500000000000003,128.13,2018-05-15,128.59,"May 15, 18",126.09,126.93,2933123,2933123,127.6894
89,0.64,0.182895462061363,0.499,128.77,2018-05-16,128.97,"May 16, 18",127.92,128.71,2439933,2439933,128.5302
90,-2.7199999999999998,0.15790924122726402,-2.112,126.05,2018-05-17,129.46,"May 17, 18",125.55,129.19,5556999,5556999,126.9762
91,0.91,0.16626860187396603,0.722,126.96,2018-05-18,127.72,"May 18, 18",125.87,126.06,3612262,3612262,126.9033
92,-0.59,0.16084879661951101,-0.465,126.37,2018-05-21,128.35,"May 21, 18",126.0,128.0,2887179,2887179,126.8873
93,-0.93,0.15230571376079302,-0.736,125.44,2018-05-22,127.05,"May 22, 18",125.26,126.66,2789756,2789756,125.7509
94,2.65,0.17664890685283802,2.113,128.09,2018-05-23,128.09,"May 23, 18",124.58,124.88,4303892,4303892,126.7981
95,0.65,0.18261987874334001,0.507,128.74,2018-05-24,129.38,"May 24, 18",127.39,128.81,5972385,5972385,128.5973
96,-0.78,0.175454712474738,-0.606,127.96,2018-05-25,129.25,"May 25, 18",127.62,128.73,4031805,4031805,128.1204
97,-1.08,0.165533713025904,-0.844,126.88,2018-05-29,127.54,"May 29, 18",126.12,126.75,8141934,8141934,126.7175
98,2.42,0.187764100679772,1.907,129.3,2018-05-30,132.55,"May 30, 18",127.84,132.3,14170948,14170948,129.8918
99,0.03,0.18803968399779503,0.023,129.33,2018-05-31,130.99,"May 31, 18",128.41,129.37,6408344,6408344,129.7326
100,1.19,0.198971155612713,0.92,130.52,2018-06-01,130.8739,"Jun 1, 18",128.3525,129.88,6132794,6132794,130.0538
101,2.13,0.218537571192357,1.6320000000000001,132.65,2018-06-04,132.8,"Jun 4, 18",129.6,130.39,4860675,4860675,131.7284
102,1.47,0.232041153775491,1.108,134.12,2018-06-05,134.63,"Jun 5, 18",132.97,133.14,5123240,5123240,133.8716
103,1.43,0.24517729193459503,1.066,135.55,2018-06-06,135.71,"Jun 6, 18",134.12,134.33,4766855,4766855,135.0237
104,-2.64,0.22092595994855702,-1.948,132.91,2018-06-07,135.75,"Jun 7, 18",130.73,135.55,6564097,6564097,132.8494
105,0.62,0.22662134852103602,0.466,133.53,2018-06-08,133.68,"Jun 8, 18",130.82,131.7,3486585,3486585,132.9891
106,0.45,0.23075509829138302,0.337,133.98,2018-06-11,134.67,"Jun 11, 18",133.26,133.88,3443145,3443145,134.0204
