,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.508361,0.0,-0.557,90.6775,2018-01-08,90.7573,"Jan 8, 18",89.1525,89.4615,1463780,1463780,90.3293
1,0.219293,0.002418461029472,0.242,90.8968,2018-01-09,91.5348,"Jan 9, 18",90.5479,90.9168,821873,821873,91.0047
2,-0.36881,-0.001648700063411,-0.406,90.528,2018-01-10,91.475,"Jan 10, 18",90.3785,90.6277,1003299,1003299,90.6514
3,-1.0068,-0.012750682363320002,-1.112,89.5213,2018-01-11,90.0795,"Jan 11, 18",88.5743,89.5611,2523609,2523609,89.5299
4,0.22926000000000002,-0.010223043202558001,0.256,89.7505,2018-01-12,89.91,"Jan 12, 18",89.2621,89.8402,1066163,1066163,89.6708
5,-0.079742,-0.011101982299908001,-0.089,89.6708,2018-01-16,90.9367,"Jan 16, 18",89.5312,90.0197,1977247,1977247,90.0128
6,1.226,0.002418461029472,1.367,90.8968,2018-01-17,91.0663,"Jan 17, 18",89.7455,90.4881,1069531,1069531,90.6748
7,0.189389,0.0045071820462620005,0.20800000000000002,91.0862,2018-01-18,92.3222,"Jan 18, 18",90.8071,90.9467,1595478,1595478,91.1795
8,1.3357,0.019237407295084,1.466,92.4219,2018-01-19,92.5714,"Jan 19, 18",91.1161,91.3952,1207682,1207682,92.1931
9,1.1164,0.031549171514433004,1.208,93.5383,2018-01-22,93.7277,"Jan 22, 18",91.9036,92.4319,1233778,1233778,93.2871
10,0.169454,0.033418433459237,0.181,93.7078,2018-01-23,94.1364,"Jan 23, 18",92.9602,93.2891,1149023,1149023,93.7651
11,-0.229261,0.030889691489068002,-0.245,93.4785,2018-01-24,94.3955,"Jan 24, 18",93.02,94.1962,1037939,1037939,93.6296
12,0.219293,0.033308152518541,0.23500000000000001,93.6978,2018-01-25,94.4753,"Jan 25, 18",93.5084,94.0168,929773,929773,93.8474
13,0.6977500000000001,0.04100245375093,0.745,94.3955,2018-01-26,94.6348,"Jan 26, 18",93.4486,94.3457,1671929,1671929,94.2016
14,-1.0167,0.029790190510325002,-1.077,93.3788,2018-01-29,94.6946,"Jan 29, 18",93.2193,94.1663,1239514,1239514,93.6949
15,-0.9868169999999999,0.018907667282401,-1.057,92.392,2018-01-30,93.7501,"Jan 30, 18",92.3023,93.0399,1139467,1139467,92.6869
16,0.069775,0.019677428248462,0.076,92.4618,2018-01-31,93.1994,"Jan 31, 18",92.2923,92.5116,2232217,2232217,92.7427
17,0.6678459999999999,0.02704198946817,0.722,93.1296,2018-02-01,94.1962,"Feb 1, 18",90.9865,91.7242,2379070,2379070,92.7279
18,-1.236,0.013411265198092001,-1.327,91.8936,2018-02-02,93.6828,"Feb 2, 18",90.5978,92.2624,1959731,1959731,92.5493
19,-3.11,-0.020886107358495002,-3.384,88.7836,2018-02-05,92.711,"Feb 5, 18",88.7637,91.6145,2964178,2964178,90.2725
20,0.049838999999999994,-0.02033580546442,0.056,88.8335,2018-02-06,89.3917,"Feb 6, 18",86.7701,87.727,2366946,2366946,88.2995
21,-1.5151,-0.037044470789335,-1.706,87.3184,2018-02-07,89.0428,"Feb 7, 18",87.1389,88.2653,2263967,2263967,88.0571
22,-3.0601,-0.070792644261255,-3.505,84.2582,2018-02-08,87.7071,"Feb 8, 18",84.0788,87.3084,1965879,1965879,85.7982
23,1.2161,-0.057381379063163006,1.443,85.4743,2018-02-09,86.5608,"Feb 9, 18",83.4309,84.7965,2010487,2010487,85.2187
24,1.0367,-0.045948553941165,1.213,86.511,2018-02-12,87.438,"Feb 12, 18",86.0126,86.0225,1644305,1644305,86.5921
25,0.079743,-0.045069614843814006,0.092,86.5907,2018-02-13,87.0991,"Feb 13, 18",84.8264,85.3049,1869412,1869412,86.5052
26,2.5617,-0.016817843456204,2.958,89.1525,2018-02-14,89.3319,"Feb 14, 18",85.883,86.1721,1615703,1615703,88.4859
27,1.545,0.00022056188139200003,1.733,90.6975,2018-02-15,90.8171,"Feb 15, 18",89.1724,89.91,1667064,1667064,90.3475
28,0.219293,0.002639022910865,0.242,90.9168,2018-02-16,91.9534,"Feb 16, 18",90.1592,90.827,2762304,2762304,91.1161
29,0.568167,0.008904083151829001,0.625,91.4849,2018-02-20,92.0232,"Feb 20, 18",90.3087,90.6277,2373537,2373537,91.5627
30,-0.39871399999999996,0.0045071820462620005,-0.436,91.0862,2018-02-21,92.5116,"Feb 21, 18",91.0264,91.784,1934326,1934326,91.7058
31,0.229261,0.0070359240164310005,0.252,91.3155,2018-02-22,92.2026,"Feb 22, 18",91.1759,91.2856,2483680,2483680,91.5847
32,1.1961,0.020226627333131002,1.31,92.5116,2018-02-23,92.6213,"Feb 23, 18",91.8836,92.0531,1739342,1739342,92.3382
33,0.13955,0.021766149265253002,0.151,92.6512,2018-02-26,92.8505,"Feb 26, 18",92.083,92.5316,1901281,1901281,92.5497
34,-0.578136,0.015389705274185001,-0.624,92.073,2018-02-27,93.1795,"Feb 27, 18",91.9534,92.3621,1936419,1936419,92.5023
35,-0.36881,0.011322544181301,-0.401,91.7042,2018-02-28,93.1795,"Feb 28, 18",91.7042,92.5415,2010673,2010673,92.36
36,-1.1862,-0.001758981004107,-1.293,90.518,2018-03-01,92.4219,"Mar 1, 18",90.2389,92.0332,2667729,2667729,90.9122
37,1.1662,0.011103085109315,1.288,91.6843,2018-03-02,91.9135,"Mar 2, 18",89.4615,89.6708,3320072,3320072,91.2801
38,0.727653,0.019127126354387,0.794,92.4119,2018-03-05,93.0698,"Mar 5, 18",90.5978,91.0463,2629983,2629983,92.3859
39,0.9270100000000001,0.029350169556946002,1.003,93.3389,2018-03-06,93.9071,"Mar 6, 18",92.4119,92.8804,1482732,1482732,93.3889
40,0.7176859999999999,0.037265032670728004,0.769,94.0566,2018-03-07,94.2959,"Mar 7, 18",92.0631,92.9203,1401632,1401632,93.8821
41,0.20932399999999998,0.039574315568911,0.223,94.266,2018-03-08,94.6547,"Mar 8, 18",93.6978,93.937,1106605,1106605,94.1749
42,0.936978,0.049906536902759,0.994,95.2029,2018-03-09,95.3873,"Mar 9, 18",94.3457,94.6946,1165479,1165479,94.9687
43,0.368811,0.053973697995644006,0.387,95.5717,2018-03-12,95.9804,"Mar 12, 18",94.874,95.2129,1436984,1436984,95.5037
44,-0.2791,0.050895756940806,-0.292,95.2926,2018-03-13,96.6483,"Mar 13, 18",95.1232,96.2496,1352528,1352528,95.6314
45,-0.33890699999999996,0.047158335860604,-0.356,94.9537,2018-03-14,96.0901,"Mar 14, 18",94.7943,95.9007,1739593,1739593,95.1523
46,0.219293,0.049576796890077005,0.231,95.173,2018-03-15,95.6515,"Mar 15, 18",94.5351,95.0634,1614915,1614915,95.2117
47,-0.348875,0.045730197678586,-0.367,94.8242,2018-03-16,95.9854,"Mar 16, 18",94.8042,95.6415,2617502,2617502,95.0716
48,-0.598071,0.039134294615533,-0.631,94.2261,2018-03-19,95.2528,"Mar 19, 18",93.2193,93.9669,2828377,2828377,94.0407
49,0.019936,0.039353753687518006,0.021,94.246,2018-03-20,95.6914,"Mar 20, 18",93.9968,94.0267,1131961,1131961,94.338
50,-0.09967899999999999,0.038254252708775006,-0.106,94.1463,2018-03-21,94.9637,"Mar 21, 18",93.6779,93.9171,1220182,1220182,94.4203
51,-1.1264,0.025833310358137,-1.196,93.02,2018-03-22,94.5451,"Mar 22, 18",92.5104,93.1994,1560375,1560375,93.6803
52,-1.7145000000000001,0.006925643075735,-1.843,91.3055,2018-03-23,93.4586,"Mar 23, 18",91.2457,93.1496,1793095,1793095,92.3402
53,2.183,0.030999972429764003,2.391,93.4885,2018-03-26,93.6679,"Mar 26, 18",91.8238,92.7907,2734467,2734467,93.1478
54,-1.3256999999999999,0.016378925312232,-1.418,92.1627,2018-03-27,94.3955,"Mar 27, 18",91.7291,93.9869,1597549,1597549,92.9474
55,-0.757556,0.008025144054478,-0.8220000000000001,91.4052,2018-03-28,92.5415,"Mar 28, 18",90.7672,92.1428,2044983,2044983,91.6462
56,1.0965,0.020116346392434002,1.2,92.5016,2018-03-29,93.329,"Mar 29, 18",91.6843,92.0232,973998,973998,92.4099
57,-1.4653,0.003957982961594,-1.584,91.0364,2018-04-02,92.3116,"Apr 2, 18",90.4995,91.5946,2617289,2617289,91.1451
58,0.538264,0.009893303189876001,0.591,91.5746,2018-04-03,92.0332,"Apr 3, 18",90.7074,90.9865,3604114,3604114,91.3797
59,0.817364,0.018907667282401,0.893,92.392,2018-04-04,92.6512,"Apr 4, 18",90.0296,90.3087,2371833,2371833,91.7488
60,0.019934999999999998,0.019127126354387,0.022,92.4119,2018-04-05,93.5582,"Apr 5, 18",92.1428,93.1795,1177975,1177975,92.5582
61,-0.9270100000000001,0.008904083151829001,-1.003,91.4849,2018-04-06,92.6711,"Apr 6, 18",90.9566,91.5248,1258272,1258272,91.7477
62,0.47845699999999997,0.014181026164153001,0.523,91.96340000000001,2018-04-09,93.5682,"Apr 9, 18",91.8537,92.0631,939861,939861,92.6134
63,1.1363,0.026712249455487003,1.236,93.0997,2018-04-10,93.638,"Apr 10, 18",92.4518,92.8904,840142,840142,93.0561
64,0.229261,0.029240991425656,0.246,93.329,2018-04-11,93.8573,"Apr 11, 18",92.1926,92.3222,1165803,1165803,93.2473
65,0.9170419999999999,0.039353753687518006,0.983,94.246,2018-04-12,94.575,"Apr 12, 18",93.1396,93.7476,1056735,1056735,94.2404
66,0.348875,0.043201455708417005,0.37,94.5949,2018-04-13,95.2328,"Apr 13, 18",94.1613,94.6946,873991,873991,94.6494
67,1.0666,0.054964020843097004,1.1280000000000001,95.6615,2018-04-16,96.3891,"Apr 16, 18",94.8441,95.2029,991664,991664,95.7368
68,1.545,0.07200242618069501,1.615,97.2065,2018-04-17,97.5653,"Apr 17, 18",95.8708,96.3592,1235589,1235589,97.0742
69,0.6977500000000001,0.079696727413084,0.718,97.9042,2018-04-18,98.283,"Apr 18, 18",96.9672,97.4158,1330148,1330148,97.8109
70,-0.9967849999999999,0.068703923244465,-1.018,96.9074,2018-04-19,97.8295,"Apr 19, 18",96.6881,97.6251,1742390,1742390,97.0335
71,-0.647911,0.061558821096744,-0.669,96.2595,2018-04-20,97.2364,"Apr 20, 18",95.2328,96.9274,1752298,1752298,96.0709
72,0.458522,0.066615202227675,0.47600000000000003,96.718,2018-04-23,97.4756,"Apr 23, 18",96.2496,96.6283,1352583,1352583,96.8318
73,-0.428618,0.061888561109426005,-0.443,96.2894,2018-04-24,98.2033,"Apr 24, 18",96.0203,97.2962,1518991,1518991,96.8768
74,-0.019936,0.061669102037440006,-0.021,96.2695,2018-04-25,97.5404,"Apr 25, 18",93.6033,96.3692,1895816,1895816,95.772
75,4.5752,0.11212483802486801,4.753,100.8447,2018-04-26,102.5492,"Apr 26, 18",99.1103,101.8714,5733987,5733987,101.0564
76,2.0932,0.13520994734085,2.076,102.938,2018-04-27,103.237,"Apr 27, 18",99.7383,99.9476,2824203,2824203,102.5516
77,-0.35884299999999997,0.13125196437925601,-0.34900000000000003,102.5791,2018-04-30,103.6656,"Apr 30, 18",101.8814,103.4563,1951208,1951208,102.6456
78,1.7942,0.15103967356841502,1.749,104.3734,2018-05-01,104.5428,"May 1, 18",102.8184,104.3734,3116980,3116980,103.9173
79,-0.299035,0.147741170632185,-0.28700000000000003,104.0743,2018-05-02,104.6624,"May 2, 18",103.4862,104.0843,2446062,2446062,104.1685
80,0.39871399999999996,0.152138071737751,0.383,104.473,2018-05-03,104.6325,"May 3, 18",102.5991,103.6656,2196350,2196350,104.0284
81,0.41865,0.15675553472471102,0.401,104.8917,2018-05-04,105.5296,"May 4, 18",103.875,104.0544,2200300,2200300,104.8295
