,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.6065969999999999,0.0,0.493,123.7553,2018-01-08,123.8516,"Jan 8, 18",122.8887,123.1102,4826132,4826132,123.4848
1,-0.664368,-0.0053686589584440005,-0.537,123.0909,2018-01-09,124.1453,"Jan 9, 18",123.0428,123.659,4422338,4422338,123.5043
2,0.789538,0.001011673843463,0.641,123.8805,2018-01-10,123.9768,"Jan 10, 18",123.0523,123.5435,5292182,5292182,123.6248
3,3.7648,0.031432189166847,3.039,127.6452,2018-01-11,128.3674,"Jan 11, 18",123.9768,124.1308,11641292,11641292,126.7852
4,0.991737,0.039446391386873,0.777,128.637,2018-01-12,128.8777,"Jan 12, 18",127.2023,127.2793,7232883,7232883,128.3196
5,-1.5309,0.027075204051866003,-1.19,127.106,2018-01-16,128.9066,"Jan 16, 18",126.7113,128.7044,6254209,6254209,127.5468
6,0.336997,0.029798319748729003,0.265,127.443,2018-01-17,127.8667,"Jan 17, 18",126.095,127.2793,5632748,5632748,127.2993
7,-0.7413949999999999,0.023807465215631003,-0.582,126.7016,2018-01-18,127.5778,"Jan 18, 18",126.1624,127.4334,5890004,5890004,126.8072
8,-0.279227,0.021551400222859,-0.22,126.4224,2018-01-19,127.0964,"Jan 19, 18",125.3729,126.9327,6048904,6048904,126.2916
9,1.2132,0.031354616731566004,0.96,127.6356,2018-01-22,127.6356,"Jan 22, 18",126.4032,126.4224,5248785,5248785,127.2638
10,-1.4828000000000001,0.019372907665368002,-1.162,126.1528,2018-01-23,127.6356,"Jan 23, 18",125.8736,127.4623,5747334,5747334,126.5162
11,0.356255,0.022251976278995,0.28200000000000003,126.5091,2018-01-24,127.7394,"Jan 24, 18",126.201,126.4994,6868223,6868223,126.7814
12,-0.712511,0.016494647097942003,-0.5630000000000001,125.7966,2018-01-25,126.9712,"Jan 25, 18",125.4981,126.8653,4597183,4597183,125.9963
13,0.5199400000000001,0.020695679296159,0.41300000000000003,126.3165,2018-01-26,126.8557,"Jan 26, 18",125.527,125.8543,6310543,6310543,126.2262
14,-2.6093,-0.00038867022260800004,-2.066,123.7072,2018-01-29,126.692,"Jan 29, 18",123.5531,125.2285,6350723,6350723,124.7983
15,-3.1293,-0.025674859985794003,-2.5300000000000002,120.5779,2018-01-30,123.2546,"Jan 30, 18",120.5394,122.8695,8084022,8084022,121.4881
16,0.11554199999999999,-0.024741566623813,0.096,120.6934,2018-01-31,121.1412,"Jan 31, 18",119.4417,120.7608,9626771,9626771,120.6219
17,0.211828,-0.023029316724213003,0.176,120.9053,2018-02-01,120.963,"Feb 1, 18",119.4514,120.9342,7844464,7844464,120.4154
18,-6.7303,-0.077414058226193,-5.567,114.1749,2018-02-02,119.3455,"Feb 2, 18",113.2699,119.3455,13182551,13182551,115.5664
19,-6.0467,-0.12627418785296401,-5.296,108.1282,2018-02-05,111.5849,"Feb 5, 18",108.0416,110.8916,9882147,9882147,109.5738
20,4.6987,-0.088306521013645,4.346,112.8269,2018-02-06,113.2602,"Feb 6, 18",106.6454,107.0691,18416320,18416320,110.6439
21,-1.8198,-0.103010537730505,-1.613,111.0072,2018-02-07,114.8393,"Feb 7, 18",110.9494,113.0388,11535704,11535704,112.613
22,-2.8789,-0.12627418785296401,-2.593,108.1282,2018-02-08,111.5849,"Feb 8, 18",108.0416,110.8916,9927483,9927483,109.5738
23,1.1554,-0.116937214002147,1.069,109.2837,2018-02-09,110.362,"Feb 9, 18",105.4322,109.1296,10922392,10922392,108.1418
24,0.46216799999999997,-0.11320323250802102,0.423,109.7458,2018-02-12,111.5464,"Feb 12, 18",108.7156,110.5354,8358207,8358207,110.0077
25,-0.6643669999999999,-0.11857108342026501,-0.605,109.0815,2018-02-13,109.3848,"Feb 13, 18",107.7032,109.1296,7065907,7065907,108.8258
26,0.32736899999999997,-0.11592634820488501,0.30000000000000004,109.4088,2018-02-14,109.8132,"Feb 14, 18",107.2617,108.3208,7031911,7031911,108.7593
27,0.019497999999999998,-0.11576877919571901,0.018000000000000002,109.4283,2018-02-15,109.9048,"Feb 15, 18",107.7849,109.7492,5404995,5404995,108.8833
28,-0.37925000000000003,-0.11883289038934002,-0.34700000000000003,109.0491,2018-02-16,109.827,"Feb 16, 18",108.1447,109.2533,5950365,5950365,109.0828
29,-1.1280000000000001,-0.12794845958112502,-1.034,107.921,2018-02-20,109.652,"Feb 20, 18",107.5321,109.1852,6810929,6810929,108.3722
30,-1.8671000000000002,-0.143034682150986,-1.73,106.054,2018-02-21,108.9713,"Feb 21, 18",106.054,108.0766,6892254,6892254,107.3264
31,0.807124,-0.13651294126392902,0.761,106.8611,2018-02-22,108.3684,"Feb 22, 18",105.8984,106.5305,8176706,8176706,107.1001
32,2.6256,-0.11529688021442301,2.457,109.4867,2018-02-23,109.6325,"Feb 23, 18",107.2112,107.4154,6460219,6460219,108.8116
33,1.9546000000000001,-0.099502809172617,1.7850000000000001,111.4413,2018-02-26,111.4996,"Feb 26, 18",109.7395,110.0604,7405831,7405831,110.9162
34,-0.9627119999999999,-0.10728186994819601,-0.864,110.4786,2018-02-27,112.8513,"Feb 27, 18",110.4786,111.7038,6059659,6059659,111.6228
35,-1.6434000000000002,-0.12056210925915901,-1.488,108.8351,2018-02-28,112.2788,"Feb 28, 18",108.7962,111.8497,7441025,7441025,110.1429
36,0.11669199999999999,-0.119619119342767,0.107,108.9518,2018-03-01,110.7607,"Mar 1, 18",107.9113,108.4559,7516691,7516691,109.0789
37,-0.388976,-0.122761611017871,-0.357,108.5629,2018-03-02,109.088,"Mar 2, 18",106.8027,108.4267,6607334,6607334,108.1352
38,1.4684,-0.11089706865079701,1.353,110.0312,2018-03-05,110.2063,"Mar 5, 18",107.9599,108.3295,7814896,7814896,109.3793
39,0.48621899999999996,-0.10696753997606501,0.442,110.5175,2018-03-06,112.3359,"Mar 6, 18",109.9048,110.7119,7957870,7957870,110.9615
40,0.18476299999999998,-0.105475078643096,0.167,110.7022,2018-03-07,111.908,"Mar 7, 18",109.5256,109.8367,6660025,6660025,110.5894
41,-0.476494,-0.10932541879014401,-0.43,110.2257,2018-03-08,111.5823,"Mar 8, 18",109.4964,111.4413,6095136,6095136,110.2186
42,3.7633,-0.078915408067371,3.414,113.9891,2018-03-09,114.1545,"Mar 9, 18",111.0912,111.1593,8833337,8833337,113.2772
43,-0.41814799999999996,-0.082294657279324,-0.367,113.5709,2018-03-12,115.0879,"Mar 12, 18",113.3472,114.2613,6877032,6877032,114.0608
44,-0.320905,-0.08488767753785001,-0.28300000000000003,113.25,2018-03-13,114.9226,"Mar 13, 18",112.8027,113.9988,6793069,6793069,113.7808
45,-1.2933,-0.095338139053438,-1.142,111.9567,2018-03-14,114.2127,"Mar 14, 18",111.6941,113.7557,5051044,5051044,112.4641
46,0.43759699999999996,-0.09180212887852,0.391,112.3943,2018-03-15,113.007,"Mar 15, 18",111.5871,112.1803,4519694,4519694,112.3883
47,-0.17504,-0.09321701777620801,-0.156,112.2192,2018-03-16,112.9874,"Mar 16, 18",111.4033,112.2192,14909362,14909362,112.2068
48,-1.4684,-0.10508236818948301,-1.308,110.7508,2018-03-19,112.0539,"Mar 19, 18",110.0993,111.8983,4803547,4803547,110.6922
49,0.593187,-0.100289038126043,0.536,111.344,2018-03-20,112.5109,"Mar 20, 18",111.2808,111.3926,4587249,4587249,111.6705
50,2.47,-0.080330296965059,2.218,113.814,2018-03-21,114.8545,"Mar 21, 18",111.6358,111.8108,6829563,6829563,113.6812
51,-3.2479,-0.10657482952245201,-2.854,110.5661,2018-03-22,112.5498,"Mar 22, 18",110.3521,112.3651,6297174,6297174,111.2486
52,-0.700155,-0.11223276902080101,-0.633,109.8659,2018-03-23,112.579,"Mar 23, 18",109.5936,111.2176,6227233,6227233,110.964
53,2.3047,-0.09360972822982101,2.098,112.1706,2018-03-26,112.3991,"Mar 26, 18",110.1285,111.0912,6868665,6868665,111.6221
54,-0.670982,-0.09903171823752101,-0.598,111.4996,2018-03-27,113.639,"Mar 27, 18",110.83840000000001,112.5596,5530759,5530759,112.2081
55,-2.4894,-0.119147220361471,-2.233,109.0102,2018-03-28,112.0831,"Mar 28, 18",108.9713,111.7622,6985327,6985327,110.0021
56,1.8865,-0.103903428782444,1.7309999999999999,110.8967,2018-03-29,111.276,"Mar 29, 18",109.1852,109.1949,6627844,6627844,110.6757
57,-1.7504,-0.118047469482115,-1.5779999999999998,109.1463,2018-04-02,111.2371,"Apr 2, 18",107.4932,110.7508,6228587,6228587,108.9136
58,2.5186,-0.09769601786751701,2.308,111.6649,2018-04-03,111.8108,"Apr 3, 18",109.0005,109.4186,6717311,6717311,110.6917
59,-0.340354,-0.10044579908900801,-0.305,111.3246,2018-04-04,111.626,"Apr 4, 18",109.3311,109.934,5727192,5727192,110.8012
60,2.7325,-0.078365936650793,2.455,114.0571,2018-04-05,114.6406,"Apr 5, 18",111.5385,111.7135,7204872,7204872,113.8655
61,-2.4603,-0.098245489284095,-2.157,111.5969,2018-04-06,113.7848,"Apr 6, 18",110.2646,113.1722,7094466,7094466,111.8595
62,1.1864,-0.088659637203416,1.063,112.7832,2018-04-09,113.9404,"Apr 9, 18",111.7135,112.122,6933829,6933829,113.0738
63,2.7909,-0.066107875783905,2.475,115.5741,2018-04-10,116.5271,"Apr 10, 18",114.3586,114.3586,7649033,7649033,115.6978
64,0.38897499999999996,-0.062964576062601,0.337,115.9631,2018-04-11,116.0895,"Apr 11, 18",114.5044,115.4185,6246817,6246817,115.6065
65,-0.019448999999999998,-0.06312133702556501,-0.017,115.9437,2018-04-12,117.343,"Apr 12, 18",115.3796,116.4104,6702008,6702008,116.1732
66,0.6709809999999999,-0.057700155064066005,0.579,116.6146,2018-04-13,117.4597,"Apr 13, 18",115.9339,116.2257,5508090,5508090,116.6595
67,0.758501,-0.051571124630621,0.65,117.3731,2018-04-16,118.3552,"Apr 16, 18",116.4688,117.27590000000001,4597989,4597989,117.5223
68,0.7390519999999999,-0.045598855160142004,0.63,118.1122,2018-04-17,118.6373,"Apr 17, 18",117.237,117.6065,6488326,6488326,117.9629
69,2.295,-0.027055002896845003,1.943,120.4071,2018-04-18,121.4476,"Apr 18, 18",119.0263,119.0846,9132537,9132537,120.2632
70,-0.106968,-0.027918804285553003,-0.089,120.3002,2018-04-19,121.5546,"Apr 19, 18",119.814,120.553,7159385,7159385,120.4992
71,-1.3614,-0.038919545263920004,-1.1320000000000001,118.9388,2018-04-20,120.0571,"Apr 20, 18",118.1122,119.9793,7561221,7561221,118.9271
72,1.235,-0.028940982729628,1.038,120.1737,2018-04-23,120.2029,"Apr 23, 18",118.4428,118.6373,6113088,6113088,119.4866
73,-1.0113,-0.03711275395882,-0.842,119.1624,2018-04-24,121.5935,"Apr 24, 18",118.3942,120.9323,7980491,7980491,120.1579
74,0.175039,-0.035697865061132004,0.147,119.3375,2018-04-25,119.5125,"Apr 25, 18",117.7816,118.9679,5260905,5260905,118.7966
75,1.4586999999999999,-0.023911703175540002,1.222,120.7961,2018-04-26,120.8739,"Apr 26, 18",118.929,119.2888,6268399,6268399,120.196
76,2.3338,-0.005052712893912,1.932,123.13,2018-04-27,123.5481,"Apr 27, 18",121.2434,122.0408,8836646,8836646,122.6327
77,-1.4684,-0.016918063307187002,-1.193,121.6616,2018-04-30,124.3747,"Apr 30, 18",121.6032,123.5189,7631601,7631601,122.6569
78,-0.243109,-0.018882423621453003,-0.2,121.4185,2018-05-01,121.4768,"May 1, 18",119.6875,120.6113,7093719,7093719,120.8098
