,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.44,0.0,0.28300000000000003,156.04,2018-01-08,156.36,"Jan 8, 18",154.17,155.1,1052955,1052955,155.5902
1,-1.05,-0.0067290438349140004,-0.673,154.99,2018-01-09,156.77,"Jan 9, 18",154.6,156.36,714352,714352,155.3742
2,-0.48,-0.009805178159446001,-0.31,154.51,2018-01-10,156.04,"Jan 10, 18",153.57,155.17,812996,812996,154.6818
3,3.35,0.011663675980517001,2.168,157.86,2018-01-11,159.52,"Jan 11, 18",154.41,155.48,1415974,1415974,158.0717
4,1.23,0.019546270187131003,0.779,159.09,2018-01-12,159.37,"Jan 12, 18",156.9,158.46,879485,879485,158.8027
5,-2.37,0.004357856959753,-1.49,156.72,2018-01-16,160.37,"Jan 16, 18",156.315,159.56,995465,995465,157.8896
6,-0.14,0.003460651115098,-0.089,156.58,2018-01-17,157.6,"Jan 17, 18",155.02,156.79,927559,927559,156.3143
7,-0.11,0.0027557036657260003,-0.07,156.47,2018-01-18,158.4489,"Jan 18, 18",154.85,155.52,872835,872835,156.7596
8,-0.28,0.0009612919764160001,-0.179,156.19,2018-01-19,157.21,"Jan 19, 18",155.12,156.29,1083301,1083301,156.3004
9,4.22,0.028005639579595003,2.702,160.41,2018-01-22,160.52,"Jan 22, 18",156.445,156.8,1227739,1227739,159.5052
10,0.12,0.028774673160728,0.075,160.53,2018-01-23,161.9,"Jan 23, 18",159.24,160.84,930054,930054,160.6821
11,0.37,0.031145860035888002,0.23,160.9,2018-01-24,161.96,"Jan 24, 18",158.82,161.17,1145027,1145027,160.3714
12,-1.11,0.024032299410407004,-0.6900000000000001,159.79,2018-01-25,162.21,"Jan 25, 18",159.061,161.54,792073,792073,160.2981
13,1.87,0.036016406049730006,1.17,161.66,2018-01-26,162.015,"Jan 26, 18",159.66,160.46,866522,866522,161.3906
14,-0.38,0.033581133042809005,-0.23500000000000001,161.28,2018-01-29,162.91,"Jan 29, 18",159.96,160.61,815426,815426,161.7127
15,-3.92,0.008459369392463001,-2.431,157.36,2018-01-30,159.9,"Jan 30, 18",156.14,159.9,1605772,1605772,157.7991
16,0.08,0.008972058446552,0.051000000000000004,157.44,2018-01-31,158.5,"Jan 31, 18",156.17,157.75,1007521,1007521,157.4803
17,1.82,0.020635734427069,1.156,159.26,2018-02-01,159.65,"Feb 1, 18",156.44,158.03,1003247,1003247,158.5647
18,-4.73,-0.009677005895924,-2.9699999999999998,154.53,2018-02-02,157.775,"Feb 2, 18",153.46,156.81,1718302,1718302,154.7119
19,-3.09,-0.029479620610099,-2.0,151.44,2018-02-05,156.495,"Feb 5, 18",150.56,152.46,1956475,1956475,153.1073
20,-2.39,-0.044796206100999006,-1.5779999999999998,149.05,2018-02-06,152.42,"Feb 6, 18",145.42,148.97,3023051,3023051,148.3809
21,-0.9500000000000001,-0.050884388618302,-0.637,148.1,2018-02-07,151.77,"Feb 7, 18",147.92,149.98,1992643,1992643,149.3492
22,-8.01,-0.102217380158933,-5.409,140.09,2018-02-08,148.95,"Feb 8, 18",140.07,148.01,2184622,2184622,143.0011
23,-1.11,-0.10933094078441401,-0.792,138.98,2018-02-09,141.39,"Feb 9, 18",133.58,140.64,2347322,2347322,137.4804
24,4.5,-0.08049218149192501,3.238,143.48,2018-02-12,145.13,"Feb 12, 18",140.31,140.97,1720352,1720352,143.0387
25,-1.82,-0.09215585747244201,-1.268,141.66,2018-02-13,143.37,"Feb 13, 18",141.01,142.22,1177975,1177975,142.0234
26,5.2,-0.058831068956677,3.6710000000000003,146.86,2018-02-14,147.28,"Feb 14, 18",140.12,140.66,1124767,1124767,144.9066
