,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.7754059999999999,0.0,0.493,158.1336,2018-01-08,158.2024,"Jan 8, 18",155.9645,157.0932,2711764,2711764,157.4531
1,4.4071,0.027869472395493002,2.787,162.5407,2018-01-09,162.9137,"Jan 9, 18",158.5361,159.017,4345247,4345247,162.0163
2,-0.647807,0.023772936301962002,-0.399,161.8929,2018-01-10,165.3282,"Jan 10, 18",161.0684,163.6596,5473728,5473728,162.9471
3,2.4734,0.039414140954231,1.528,164.3663,2018-01-11,164.4547,"Jan 11, 18",160.7445,162.0794,1958155,1958155,163.1995
4,1.806,0.050834863684884005,1.099,166.1723,2018-01-12,167.5759,"Jan 12, 18",164.8571,165.338,2317251,2317251,166.5811
5,-1.7275,0.039911189019917005,-1.04,164.4449,2018-01-16,167.4581,"Jan 16, 18",163.2867,167.0066,2046074,2046074,165.3901
6,-0.107968,0.039228222212104,-0.066,164.3369,2018-01-17,165.5245,"Jan 17, 18",163.3161,165.4853,1960392,1960392,164.115
7,0.461317,0.042145375808809005,0.281,164.7982,2018-01-18,165.338,"Jan 18, 18",163.1885,163.8756,2185930,2185930,164.7873
8,2.3753,0.057166218943981,1.441,167.1735,2018-01-19,167.1735,"Jan 19, 18",164.9847,165.4166,1613861,1613861,166.2119
9,0.058892,0.057538688804909005,0.035,167.2324,2018-01-22,167.252,"Jan 22, 18",165.5981,166.8594,1401045,1401045,166.5972
10,-1.6882000000000001,0.04686290579611101,-1.01,165.5442,2018-01-23,166.9477,"Jan 23, 18",165.3184,166.7613,1365034,1365034,165.9398
11,0.9226329999999999,0.052697212989522006,0.557,166.4668,2018-01-24,167.2815,"Jan 24, 18",164.9552,166.5748,1448670,1448670,166.3369
12,-0.461316,0.049780059392817,-0.277,166.0055,2018-01-25,168.2335,"Jan 25, 18",163.8292,167.8409,1651278,1651278,165.7344
13,2.3164,0.06442843266706101,1.395,168.3219,2018-01-26,168.7832,"Jan 26, 18",166.0153,166.3686,1554515,1554515,167.9676
14,-2.2673,0.050090556339702004,-1.347,166.0546,2018-01-29,168.7734,"Jan 29, 18",165.6423,168.3219,1487645,1487645,167.069
15,-0.657623,0.045931414955455004,-0.396,165.3969,2018-01-30,166.2705,"Jan 30, 18",163.7382,164.651,1712703,1712703,165.116
16,-2.0514,0.032958839867049006,-1.24,163.3455,2018-01-31,167.4238,"Jan 31, 18",163.0903,166.2901,1969831,1969831,164.1383
17,1.4036,0.041834878861924,0.859,164.7491,2018-02-01,165.2792,"Feb 1, 18",161.2255,162.9235,1721318,1721318,164.0673
18,-2.8366,0.023896882130046003,-1.722,161.9125,2018-02-02,164.8277,"Feb 2, 18",161.677,163.5811,2568696,2568696,163.088
19,-7.7933,-0.025386129197083003,-4.813,154.1192,2018-02-05,162.9922,"Feb 5, 18",154.0701,160.0869,3549609,3549609,158.4182
20,4.7702,0.004779502901344,3.095,158.8894,2018-02-06,159.2624,"Feb 6, 18",148.6521,151.1059,3377384,3377384,155.29
21,-0.431872,0.002048268046765,-0.272,158.4575,2018-02-07,161.1273,"Feb 7, 18",157.9373,158.1925,2378814,2378814,159.5235
22,-7.6363,-0.04624127952566601,-4.819,150.8213,2018-02-08,158.2416,"Feb 8, 18",150.7722,158.222,3051313,3051313,153.9208
23,1.2465,-0.03835870428549,0.8260000000000001,152.0678,2018-02-09,154.2468,"Feb 9, 18",145.8548,152.5389,3895342,3895342,150.3577
24,4.2009,-0.011793192591580001,2.763,156.2687,2018-02-12,157.3975,"Feb 12, 18",153.0297,153.8444,2343108,2343108,155.5328
25,2.0514,0.001179382496825,1.313,158.3201,2018-02-13,158.6244,"Feb 13, 18",154.6492,155.1007,1795898,1795898,157.0095
26,1.9434,0.013469623154092001,1.228,160.2636,2018-02-14,161.834,"Feb 14, 18",156.8086,157.0049,2853962,2853962,160.0729
27,3.4648,0.035379577774742,2.162,163.7283,2018-02-15,164.3261,"Feb 15, 18",159.9799,161.9518,3026210,3026210,162.1689
28,2.5814,0.051704381611498006,1.577,166.3098,2018-02-16,172.0222,"Feb 16, 18",159.017,162.6928,6626872,6626872,167.2379
29,-4.5837,0.022717499633221002,-2.7560000000000002,161.726,2018-02-20,166.8201,"Feb 20, 18",160.6218,165.9171,3750423,3750423,163.0893
30,-2.6305,0.006082831226254,-1.627,159.0955,2018-02-21,163.6989,"Feb 21, 18",158.9778,161.7555,2753281,2753281,161.2981
31,2.0318,0.018931460486575003,1.2770000000000001,161.1273,2018-02-22,162.737,"Feb 22, 18",159.7532,159.9887,1908817,1908817,161.4534
32,2.0416,0.031842062660939,1.267,163.1689,2018-02-23,163.1885,"Feb 23, 18",159.8611,161.9714,2038824,2038824,162.2138
33,1.1975,0.039414140954231,0.734,164.3663,2018-02-26,165.2006,"Feb 26, 18",162.5701,163.9639,1770001,1770001,164.0908
34,-3.8083,0.015331340082057,-2.317,160.558,2018-02-27,164.435,"Feb 27, 18",160.558,164.435,2281832,2281832,162.0401
35,-2.6599,-0.0014892470670360002,-1.657,157.8981,2018-02-28,161.8733,"Feb 28, 18",157.8981,160.8917,2781390,2781390,160.0079
36,-3.985,-0.026689457521994003,-2.524,153.9131,2018-03-01,159.8415,"Mar 1, 18",152.8628,157.7803,3697016,3697016,155.6728
37,-3.4353,-0.04841412577719,-2.232,150.4777,2018-03-02,153.3732,"Mar 2, 18",148.9711,152.6764,4169468,4169468,150.9028
38,4.1519,-0.022158478653492002,2.759,154.6296,2018-03-05,155.3167,"Mar 5, 18",148.2497,149.722,3093424,3093424,152.7694
39,0.95208,-0.016137620341280003,0.616,155.5817,2018-03-06,156.6221,"Mar 6, 18",154.5511,155.67,2393992,2393992,155.5543
40,-0.598731,-0.019924291864600003,-0.385,154.9829,2018-03-07,155.3952,"Mar 7, 18",152.1169,153.1573,2589069,2589069,153.8298
41,3.1016,-0.000309864570211,2.001,158.0846,2018-03-08,158.3692,"Mar 8, 18",152.8432,154.7768,3508011,3508011,155.9736
42,6.7431,0.04233192692761,4.265,164.8277,2018-03-09,164.9062,"Mar 9, 18",158.7422,159.0072,3828040,3828040,163.3751
43,-3.8280000000000003,0.018124547850678,-2.322,160.9997,2018-03-12,164.9454,"Mar 12, 18",159.7924,164.8571,2260882,2260882,161.6136
44,-2.6599,0.001303960701583,-1.6520000000000001,158.3398,2018-03-13,163.2376,"Mar 13, 18",157.7018,161.9125,2732314,2732314,159.7572
45,-1.0895,-0.005585783160567,-0.6880000000000001,157.2503,2018-03-14,159.497,"Mar 14, 18",155.9645,159.4194,2243023,2243023,157.602
46,-0.598731,-0.009372454683887001,-0.381,156.6515,2018-03-15,158.6882,"Mar 15, 18",156.2099,157.9472,1320744,1320744,157.1749
47,4.2009,0.017193689386695,2.682,160.8525,2018-03-16,160.9506,"Mar 16, 18",156.4258,156.7693,3818654,3818654,160.1622
48,-4.2696,-0.009806897458857001,-2.654,156.5828,2018-03-19,159.92,"Mar 19, 18",154.9142,159.6452,2798593,2798593,156.8288
49,0.451501,-0.006951716776194001,0.28800000000000003,157.0343,2018-03-20,159.0563,"Mar 20, 18",156.2393,157.2405,1499440,1499440,157.4862
50,-1.9042,-0.018992801023944003,-1.213,155.1302,2018-03-21,157.476,"Mar 21, 18",152.853,155.9547,2901505,2901505,155.6756
51,-6.3505,-0.05915188170003,-4.094,148.7797,2018-03-22,153.4812,"Mar 22, 18",148.4165,150.8998,3768818,3768818,150.8101
52,-3.5139,-0.081372965644239,-2.362,145.2658,2018-03-23,150.89,"Mar 23, 18",144.8732,148.9564,2940618,2940618,147.4753
53,5.2413,-0.048227574658390004,3.608,150.5072,2018-03-26,150.8409,"Mar 26, 18",146.1492,148.5932,2463843,2463843,148.7392
54,-1.1582,-0.055551761295512,-0.77,149.349,2018-03-27,154.0898,"Mar 27, 18",148.1123,151.3906,2691447,2691447,151.1537
55,-0.07886599999999999,-0.05605070649122,-0.053,149.2701,2018-03-28,151.3888,"Mar 28, 18",146.6194,149.2701,2654959,2654959,149.3643
56,3.784,-0.032121573150804,2.535,153.0541,2018-03-29,153.5567,"Mar 29, 18",149.3095,150.1767,3526734,3526734,151.6254
57,-3.4489,-0.053931612256977006,-2.253,149.6052,2018-04-02,152.6205,"Apr 2, 18",147.1121,152.1278,2150559,2150559,149.4281
58,1.2022,-0.046329179883339004,0.804,150.8074,2018-04-03,150.9749,"Apr 3, 18",147.5752,150.4625,1957437,1957437,149.7613
59,-4.4048,-0.074184107615332,-2.9210000000000003,146.4026,2018-04-04,146.984,"Apr 4, 18",141.4755,143.2,4478077,4478077,144.7749
60,2.7296,-0.056922753924529,1.8639999999999999,149.1322,2018-04-05,150.9946,"Apr 5, 18",147.1318,147.7329,2963361,2963361,148.9763
61,-5.8632,-0.09400026306869601,-3.932,143.269,2018-04-06,147.6146,"Apr 6, 18",140.9434,147.1515,3294018,3294018,144.2733
62,-2.3945,-0.10914315490193001,-1.671,140.8744,2018-04-09,145.2891,"Apr 9, 18",140.6478,144.5303,3629628,3629628,142.8406
63,4.9763,-0.077674194478592,3.532,145.8507,2018-04-10,147.3092,"Apr 10, 18",143.3133,143.9193,2611931,2611931,145.5436
64,-3.5475,-0.100107124608558,-2.432,142.3033,2018-04-11,144.0474,"Apr 11, 18",142.1456,143.1507,2309017,2309017,142.9614
65,5.7647,-0.063653138864858,4.051,148.0679,2018-04-12,148.9745,"Apr 12, 18",143.5252,143.5252,3258099,3258099,147.5232
66,-0.27591499999999997,-0.065397866108151,-0.186,147.792,2018-04-13,149.7776,"Apr 13, 18",146.8066,149.4968,2634925,2634925,148.0676
67,-0.985412,-0.07162930585277201,-0.667,146.8066,2018-04-16,149.073,"Apr 16, 18",146.1267,148.9646,2608093,2608093,147.263
68,0.167521,-0.07057007492398801,0.114,146.9741,2018-04-17,149.9303,"Apr 17, 18",146.9741,148.4916,1957825,1957825,148.0787
69,0.610955,-0.06670625344645201,0.41600000000000004,147.5851,2018-04-18,149.4968,"Apr 18, 18",147.2303,148.3931,2022003,2022003,148.3201
70,-1.6456,-0.07711327636884201,-1.115,145.9394,2018-04-19,148.3241,"Apr 19, 18",144.3628,147.6442,2290309,2290309,145.7827
71,-1.1234,-0.084216763546773,-0.77,144.8161,2018-04-20,147.6836,"Apr 20, 18",144.1657,146.1661,1896708,1896708,145.4068
72,-0.9065789999999999,-0.08994989047236,-0.626,143.9095,2018-04-23,145.6635,"Apr 23, 18",143.2,145.1018,1245177,1245177,144.2185
73,-7.8143,-0.13936570090101,-5.43,136.0952,2018-04-24,146.9741,"Apr 24, 18",135.4054,146.1464,5467927,5467927,138.805
74,-0.10839599999999999,-0.140051197215519,-0.08,135.9868,2018-04-25,137.8591,"Apr 25, 18",134.1145,136.0558,3064727,3064727,135.979
75,-1.6456,-0.15045822013790802,-1.21,134.3411,2018-04-26,136.2233,"Apr 26, 18",131.7495,136.036,4071649,4071649,133.784
76,1.2121,-0.14279318247355402,0.902,135.5532,2018-04-27,137.8886,"Apr 27, 18",134.3411,134.7057,2601951,2601951,136.1329
77,-2.1975,-0.156689659882529,-1.621,133.3557,2018-04-30,136.4204,"Apr 30, 18",133.2473,135.7306,2533382,2533382,134.155
78,0.039416,-0.156440503473012,0.03,133.3951,2018-05-01,134.2327,"May 1, 18",130.2517,132.794,2378762,2378762,132.224
79,-0.610955,-0.160303692573874,-0.458,132.7842,2018-05-02,135.8636,"May 2, 18",132.6265,133.4346,2585011,2585011,134.2434
80,2.0891,-0.147092711479407,1.573,134.8733,2018-05-03,135.4152,"May 3, 18",129.3451,134.016,3716881,3716881,132.9416
81,0.423726,-0.14441333151208802,0.314,135.297,2018-05-04,136.2331,"May 4, 18",133.1734,134.1342,1934657,1934657,135.0508
82,2.8774,-0.126217325097259,2.127,138.1744,2018-05-07,139.7045,"May 7, 18",137.2382,137.9576,1840883,1840883,138.4824
83,1.823,-0.11468909833204301,1.319,139.9974,2018-05-08,140.6182,"May 8, 18",138.1744,138.5981,2189255,2189255,139.6611
84,3.0449,-0.095433860988429,2.175,143.0423,2018-05-09,143.4069,"May 9, 18",140.0171,141.1208,2332556,2332556,142.2622
85,1.4288,-0.086397830695057,0.999,144.4712,2018-05-10,145.3482,"May 10, 18",142.4365,143.3478,2413841,2413841,144.1404
86,0.699642,-0.08197372348444501,0.484,145.1708,2018-05-11,146.8263,"May 11, 18",144.0179,144.6683,2487016,2487016,144.9415
87,-0.561685,-0.085525783261748,-0.387,144.6091,2018-05-14,146.4518,"May 14, 18",143.6666,146.1858,3483932,3483932,144.9202
88,-1.2022,-0.09312821563538601,-0.8310000000000001,143.4069,2018-05-15,144.3135,"May 15, 18",141.2193,143.2098,3135001,3135001,143.1817
89,1.7934999999999999,-0.08178653998897101,1.251,145.2004,2018-05-16,145.4467,"May 16, 18",143.4956,143.4956,1887355,1887355,144.7567
90,-0.532123,-0.085151416270798,-0.366,144.6683,2018-05-17,145.9394,"May 17, 18",143.2837,145.1511,4095666,4095666,144.5469
91,8.3169,-0.032557913055795,5.749,152.9851,2018-05-18,154.8081,"May 18, 18",143.9785,144.3628,7788803,7788803,151.8295
92,3.0351,-0.013364648626224001,1.984,156.0202,2018-05-21,159.0362,"May 21, 18",153.8227,157.1731,4921973,4921973,156.1667
93,-3.1927,-0.033554538693864,-2.046,152.8275,2018-05-22,157.0844,"May 22, 18",152.6402,156.03,2462044,2462044,154.1647
94,1.4683000000000002,-0.024269984367648,0.961,154.2957,2018-05-23,154.4041,"May 23, 18",150.8172,151.4873,2004980,2004980,153.0479
