,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.37520000000000003,0.0,0.724,52.2021,2018-01-08,52.5181,"Jan 8, 18",51.8565,51.9948,3389052,3389052,52.2847
1,-0.039494999999999995,-0.0007566745399130001,-0.076,52.1626,2018-01-09,52.5675,"Jan 9, 18",51.6887,52.3305,3473976,3473976,52.1001
2,-1.8365,-0.035937251566507004,-3.521,50.3261,2018-01-10,51.9257,"Jan 10, 18",50.1978,51.9257,4583909,4583909,50.5716
3,1.0565,-0.015698602163514,2.099,51.3826,2018-01-11,51.6295,"Jan 11, 18",50.6618,50.8001,4170686,4170686,51.2255
4,-0.128358,-0.018156357694422,-0.25,51.2543,2018-01-12,51.7084,"Jan 12, 18",51.0518,51.5801,1781051,1781051,51.3035
5,-1.0664,-0.03858465464033,-2.081,50.1879,2018-01-16,51.4024,"Jan 16, 18",50.1681,51.3431,2336120,2336120,50.6105
6,1.254,-0.014562632537771,2.499,51.4419,2018-01-17,51.5011,"Jan 17, 18",50.3952,50.573,2935848,2935848,51.1129
7,-1.1453,-0.036504278563506,-2.226,50.2965,2018-01-18,51.7874,"Jan 18, 18",50.2027,51.5998,3931911,3931911,50.6711
8,0.533179,-0.026290130090551003,1.06,50.8297,2018-01-19,50.8692,"Jan 19, 18",50.0497,50.5631,3502880,3502880,50.5525
9,0.878757,-0.009457473933041001,1.729,51.7084,2018-01-22,51.7479,"Jan 22, 18",50.4841,51.0765,4770812,4770812,51.2646
10,0.009873,-0.009267826390126,0.019,51.7183,2018-01-23,51.9652,"Jan 23, 18",51.116,51.8565,3872346,3872346,51.6309
11,-0.523305,-0.019292327320165,-1.012,51.195,2018-01-24,52.0688,"Jan 24, 18",50.7606,51.7381,3310692,3310692,51.3978
12,-1.4811,-0.047662833487541,-2.893,49.714,2018-01-25,51.2937,"Jan 25, 18",49.1956,51.2543,7394248,7394248,49.8513
13,0.0,-0.047662833487541,0.0,49.714,2018-01-26,50.3619,"Jan 26, 18",49.4079,50.0398,4982575,4982575,49.802
14,-2.0044,-0.086059756216703,-4.032,47.7096,2018-01-29,49.6152,"Jan 29, 18",47.5714,49.4375,9399871,9399871,48.1484
15,0.207347,-0.08208865160596901,0.435,47.9169,2018-01-30,48.1046,"Jan 30, 18",46.5445,47.1863,8820264,8820264,47.5563
16,0.513432,-0.07225188258709901,1.072,48.4304,2018-01-31,50.5927,"Jan 31, 18",47.7688,49.8719,10727141,10727141,48.7125
17,-0.9577469999999999,-0.090599803456182,-1.978,47.4726,2018-02-01,48.6575,"Feb 1, 18",47.2045,47.8478,6072737,6072737,47.9063
18,-1.6884000000000001,-0.12294332986603901,-3.557,45.7842,2018-02-02,47.0974,"Feb 2, 18",45.5966,46.9888,7556650,7556650,46.1999
19,-1.6094,-0.15377350719607003,-3.515,44.1748,2018-02-05,46.2779,"Feb 5, 18",43.8391,45.1622,7225446,7225446,45.0543
20,1.3527,-0.127860756559601,3.062,45.5275,2018-02-06,45.725,"Feb 6, 18",42.8616,43.3849,8093179,8093179,44.8962
21,0.177726,-0.12445667894586601,0.39,45.7052,2018-02-07,46.8308,"Feb 7, 18",45.2906,45.4189,8491098,8491098,46.2622
22,-1.718,-0.15736723235272101,-3.759,43.9872,2018-02-08,45.9126,"Feb 8, 18",43.9774,45.7052,6733809,6733809,44.6967
23,-0.464063,-0.16625576365701702,-1.055,43.5232,2018-02-09,44.7672,"Feb 9, 18",43.0591,44.4513,9567441,9567441,43.5835
24,0.7504000000000001,-0.151880863030414,1.724,44.2736,2018-02-12,44.629,"Feb 12, 18",43.5429,44.0958,7880094,7880094,44.188
25,0.009873,-0.151693131119246,0.022,44.2834,2018-02-13,44.5732,"Feb 13, 18",43.8046,44.2044,5843051,5843051,44.2011
26,0.562801,-0.140911955649293,1.271,44.8462,2018-02-14,45.1622,"Feb 14, 18",43.9181,44.007,5377609,5377609,44.7217
27,-0.306085,-0.14677378879393702,-0.683,44.5402,2018-02-15,45.3202,"Feb 15, 18",44.0662,45.3202,7143523,7143523,44.4283
28,0.454188,-0.138074905032556,1.02,44.9943,2018-02-16,45.4782,"Feb 16, 18",44.5698,44.5994,6271724,6271724,44.9651
29,-0.404819,-0.145829382342855,-0.9,44.5895,2018-02-20,45.2608,"Feb 20, 18",44.3634,44.9845,5088365,5088365,44.7362
30,-0.227095,-0.150179782039419,-0.509,44.3624,2018-02-21,45.883,"Feb 21, 18",44.3328,44.6488,5067173,5067173,45.2311
31,-0.539621,-0.16051653094415702,-1.216,43.8228,2018-02-22,44.6248,"Feb 22, 18",43.7238,44.4862,3527249,3527249,44.0973
32,0.207925,-0.156533932542943,0.47400000000000003,44.0307,2018-02-23,44.0505,"Feb 23, 18",43.0802,43.8723,3901176,3901176,43.7771
33,-0.16832000000000003,-0.15975794077249703,-0.382,43.8624,2018-02-26,44.3971,"Feb 26, 18",43.2782,44.3278,4796021,4796021,43.765
34,-0.9406169999999999,-0.177776372981163,-2.144,42.9218,2018-02-27,44.7337,"Feb 27, 18",42.9119,44.0109,4954136,4954136,43.452
35,-1.4357,-0.20527909796732302,-3.345,41.4861,2018-02-28,43.2089,"Feb 28, 18",41.4861,42.9812,9253679,9253679,42.0095
36,0.37624599999999997,-0.19807057570480802,0.907,41.8624,2018-03-01,42.0802,"Mar 1, 18",41.0208,41.7237,9601404,9601404,41.6247
37,-0.22772799999999999,-0.20243438482359902,-0.544,41.6346,2018-03-02,41.7485,"Mar 2, 18",40.9316,41.4267,4976449,4976449,41.4322
38,0.168321,-0.19920846096229802,0.404,41.803,2018-03-05,42.199,"Mar 5, 18",41.3277,41.397,4592941,4592941,41.7828
39,1.2079,-0.176069545094929,2.89,43.0109,2018-03-06,43.0505,"Mar 6, 18",41.5851,42.0802,5429257,5429257,42.6302
40,0.009902,-0.17587989755201403,0.023,43.0208,2018-03-07,43.3872,"Mar 7, 18",42.605,43.001,3937157,3937157,42.9686
41,0.138617,-0.17322483195120503,0.322,43.1594,2018-03-08,43.1693,"Mar 8, 18",42.2881,43.1495,4176311,4176311,42.8521
42,0.207925,-0.16924223354999102,0.482,43.3673,2018-03-09,43.4565,"Mar 9, 18",42.5951,43.407,2777549,2777549,43.2313
