,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.5365829999999999,0.0,0.5700000000000001,94.6471,2018-01-08,94.7067,"Jan 8, 18",93.6932,94.0211,1807760,1807760,94.4828
1,3.3387000000000002,0.03527524879262,3.528,97.9858,2018-01-09,98.2541,"Jan 9, 18",95.909,95.909,4359202,4359202,97.7687
2,-0.367658,0.031390290880544,-0.375,97.6181,2018-01-10,97.9162,"Jan 10, 18",96.6046,97.3995,2465211,2465211,97.2449
3,0.347784,0.035064994067435004,0.356,97.9659,2018-01-11,98.0703,"Jan 11, 18",97.1616,97.8666,2026343,2026343,97.7774
4,0.794936,0.043464617510732,0.811,98.7609,2018-01-12,99.0292,"Jan 12, 18",98.0057,98.0156,1894508,1894508,98.7252
5,0.079495,0.044304579855061005,0.08,98.8404,2018-01-16,99.6353,"Jan 16, 18",98.5075,99.2478,2227342,2227342,98.8836
6,0.119239,0.045563995093352,0.121,98.9596,2018-01-17,99.5409,"Jan 17, 18",98.4528,99.4167,2542802,2542802,99.0612
7,0.149051,0.047139320697623006,0.151,99.1087,2018-01-18,99.4366,"Jan 18, 18",98.4826,98.9099,1316550,1316550,99.0051
8,0.81481,0.055748142309695006,0.8220000000000001,99.9235,2018-01-19,100.2414,"Jan 19, 18",99.4068,99.5657,2872583,2872583,99.7921
9,-0.586266,0.049553552089815,-0.587,99.3372,2018-01-22,100.0725,"Jan 22, 18",99.0391,99.844,2163153,2163153,99.3629
10,-0.019873,0.04934329736463101,-0.02,99.3173,2018-01-23,99.7347,"Jan 23, 18",99.059,99.5359,2383457,2383457,99.348
11,1.4209,0.064356963921768,1.431,100.7383,2018-01-24,101.0562,"Jan 24, 18",99.4465,99.6651,2223602,2223602,100.5285
12,1.3115999999999999,0.078214757768595,1.302,102.0499,2018-01-25,102.358,"Jan 25, 18",100.788,101.1059,2133979,2133979,101.9419
13,1.093,0.089763975864025,1.071,103.143,2018-01-26,103.1579,"Jan 26, 18",102.1294,102.3281,2433377,2433377,102.8385
14,-0.109303,0.088608103153715,-0.106,103.0336,2018-01-29,103.5603,"Jan 29, 18",102.6461,102.9542,2580495,2580495,103.1924
15,-2.0768,0.06666659622957201,-2.016,100.9569,2018-01-30,104.1565,"Jan 30, 18",100.4899,101.9903,3888539,3888539,101.6313
16,-0.317974,0.063306746852254,-0.315,100.6389,2018-01-31,101.9207,"Jan 31, 18",100.2146,101.2649,3308859,3308859,100.7087
17,0.576328,0.06939568143133801,0.5730000000000001,101.2152,2018-02-01,101.5454,"Feb 1, 18",99.8638,100.2812,2289202,2289202,101.0605
18,0.317976,0.072755530808656,0.314,101.5332,2018-02-02,101.881,"Feb 2, 18",100.629,100.629,4556900,4556900,101.388
19,-5.4453,0.015222864725913,-5.3629999999999995,96.0879,2018-02-05,101.2053,"Feb 5, 18",95.6805,100.8078,4813114,4813114,98.1531
20,0.347784,0.018897567912804003,0.362,96.4357,2018-02-06,97.956,"Feb 6, 18",94.1502,94.6968,6693891,6693891,96.3166
21,-1.7886000000000002,0.0,-1.855,94.6471,2018-02-07,96.3562,"Feb 7, 18",94.1502,95.7699,5337006,5337006,95.4043
22,-3.0704,-0.032441564506466,-3.2439999999999998,91.5766,2018-02-08,94.9452,"Feb 8, 18",91.5568,94.7961,3443076,3443076,93.0385
23,2.2854,-0.008293967802499,2.496,93.8621,2018-02-09,94.6769,"Feb 9, 18",91.2597,92.7094,3693554,3693554,92.874
24,0.9439879999999999,0.0016799246886590002,1.006,94.8061,2018-02-12,95.283,"Feb 12, 18",93.9962,94.5278,2247606,2247606,94.6905
25,-0.42727899999999996,-0.0028347408425610002,-0.451,94.3788,2018-02-13,94.8458,"Feb 13, 18",93.4447,94.1304,2012625,2012625,94.1792
26,1.1129,0.008923675421645001,1.179,95.4917,2018-02-14,95.5613,"Feb 14, 18",93.5242,93.7925,1504893,1504893,94.9589
27,1.3613,0.023306577803229003,1.426,96.853,2018-02-15,97.1611,"Feb 15, 18",95.7699,96.3761,1896594,1896594,96.5976
28,0.069557,0.02404194106317,0.07200000000000001,96.9226,2018-02-16,97.797,"Feb 16, 18",96.2071,96.7238,1889022,1889022,97.0312
29,-0.685632,0.016797133773776,-0.707,96.2369,2018-02-20,97.1213,"Feb 20, 18",95.9687,96.535,2111592,2111592,96.4485
30,0.49683499999999997,0.022047162564938,0.516,96.7338,2018-02-21,98.274,"Feb 21, 18",96.0183,96.078,2177049,2177049,97.2306
31,0.009936,0.022151761649326,0.01,96.7437,2018-02-22,97.8169,"Feb 22, 18",96.4456,97.2604,2342375,2342375,97.0849
32,1.9575,0.042833853335178,2.023,98.7012,2018-02-23,98.7609,"Feb 23, 18",97.0219,97.0915,1646735,1646735,98.0595
33,1.4905,0.05858288315225701,1.51,100.1918,2018-02-26,100.8476,"Feb 26, 18",98.6218,98.89,3592973,3592973,99.825
34,-1.252,0.045353740368167,-1.25,98.9397,2018-02-27,101.1556,"Feb 27, 18",98.9099,100.2017,2574816,2574816,99.9424
35,-1.7787000000000002,0.026561828096159004,-1.798,97.1611,2018-02-28,99.5657,"Feb 28, 18",97.1412,99.1683,2047831,2047831,97.8495
36,-1.7787000000000002,0.007768859267743001,-1.831,95.3824,2018-03-01,97.3797,"Mar 1, 18",94.5427,97.1312,2299886,2299886,95.7132
37,0.228543,0.010183090659935001,0.24,95.6109,2018-03-02,95.8097,"Mar 2, 18",94.3092,94.9154,2318770,2318770,95.1439
38,1.3514,0.024461393957131,1.413,96.9623,2018-03-05,97.3697,"Mar 5, 18",94.7812,95.0346,1701657,1701657,96.4175
39,0.168925,0.026245917730178002,0.17400000000000002,97.1312,2018-03-06,97.1511,"Mar 6, 18",96.2767,97.1114,1525899,1525899,96.8648
