,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-1.5750000000000002,0.0,-1.433,108.3026,2018-01-08,109.543,"Jan 8, 18",107.8301,109.159,8052594,8052594,108.3778
1,-0.07875299999999999,-0.000726667688494,-0.073,108.2239,2018-01-09,109.1295,"Jan 9, 18",108.1451,108.4109,5838021,5838021,108.5201
2,-0.462663,-0.0049989566270800005,-0.428,107.7612,2018-01-10,108.7751,"Jan 10, 18",107.3084,108.2436,6059991,6059991,108.1058
3,1.4963,0.008816962842997001,1.389,109.2575,2018-01-11,109.3461,"Jan 11, 18",107.8006,108.529,6426959,6426959,108.6208
4,1.4569,0.022269086799393,1.333,110.7144,2018-01-12,110.9605,"Jan 12, 18",109.2673,109.5823,5899861,5899861,110.1973
5,-1.7522000000000002,0.0060903431681230006,-1.583,108.9622,2018-01-16,111.3936,"Jan 16, 18",108.8933,111.305,8069201,8069201,109.7651
6,1.26,0.017724412894981,1.156,110.2222,2018-01-17,110.4584,"Jan 17, 18",108.8391,109.4642,7030711,7030711,109.7522
7,-1.5258,0.003636108459076,-1.384,108.6964,2018-01-18,110.2419,"Jan 18, 18",108.4798,109.9958,8070928,8070928,109.2859
8,0.167346,0.00518085438392,0.154,108.8637,2018-01-19,109.3559,"Jan 19, 18",108.1254,109.2378,10514262,10514262,108.6647
9,0.50204,0.009816938836186001,0.461,109.3658,2018-01-22,109.8137,"Jan 22, 18",108.342,108.5487,8073624,8073624,109.3092
10,-0.679229,0.003544697911222,-0.621,108.6865,2018-01-23,109.4051,"Jan 23, 18",108.1747,108.5487,7477282,7477282,108.6904
11,0.088595,0.004362776147571,0.082,108.7751,2018-01-24,109.6906,"Jan 24, 18",108.5684,109.228,7211784,7211784,109.0531
12,0.049219,0.004817982209106,0.045,108.8244,2018-01-25,110.0745,"Jan 25, 18",108.4011,108.8736,6291011,6291011,108.9841
13,1.6144,0.01972436488136,1.483,110.4388,2018-01-26,110.7758,"Jan 26, 18",108.9425,109.0803,7743825,7743825,110.111
14,-0.6398539999999999,0.013815919470077001,-0.579,109.7989,2018-01-29,110.6947,"Jan 29, 18",109.5036,110.3502,6847766,6847766,110.0263
15,-1.4077,0.0008180782363480001,-1.282,108.3912,2018-01-30,110.6652,"Jan 30, 18",108.3814,109.6808,8393878,8393878,109.2284
16,-1.4175,-0.012270250206366,-1.308,106.9737,2018-01-31,108.4011,"Jan 31, 18",106.7768,108.3617,9841413,9841413,107.4251
17,1.7916,0.0042722889385850005,1.675,108.7653,2018-02-01,108.9228,"Feb 1, 18",105.6842,106.9245,9518857,9518857,108.2225
18,-1.7621,-0.011997865240538001,-1.62,107.0032,2018-02-02,108.8539,"Feb 2, 18",106.7571,108.2337,9947657,9947657,107.642
19,-3.9376,-0.048354333136969005,-3.68,103.0657,2018-02-05,106.9343,"Feb 5, 18",102.3864,105.4282,15107942,15107942,104.8794
20,1.4471,-0.034993619728427,1.404,104.5127,2018-02-06,104.5423,"Feb 6, 18",100.1716,101.2741,17765068,17765068,102.6629
21,-1.388,-0.047809563205315,-1.328,103.1247,2018-02-07,106.3437,"Feb 7, 18",102.7802,106.1468,12444982,12444982,104.4268
22,-3.3568,-0.078803278960985,-3.255,99.768,2018-02-08,104.173,"Feb 8, 18",99.6105,103.8237,12667500,12667500,101.5311
23,1.7128,-0.062988330843396,1.717,101.4808,2018-02-09,102.1305,"Feb 9, 18",98.695,100.9492,12479727,12479727,100.24
24,0.295317,-0.060261711168522004,0.291,101.7761,2018-02-12,103.0066,"Feb 12, 18",100.5063,102.3077,9584727,9584727,101.7077
25,0.7186049999999999,-0.053626598068744,0.706,102.4947,2018-02-13,102.6818,"Feb 13, 18",100.8016,101.0378,8447868,8447868,101.9571
26,0.472508,-0.049263821921172006,0.461,102.9672,2018-02-14,103.1247,"Feb 14, 18",101.0871,101.8746,7425685,7425685,102.4569
27,0.570946,-0.043991556989398,0.554,103.5382,2018-02-15,103.9221,"Feb 15, 18",102.3077,103.7154,6494683,6494683,103.2619
28,1.3289,-0.031721306783032005,1.284,104.8671,2018-02-16,105.6694,"Feb 16, 18",103.548,103.548,8746390,8746390,104.8314
29,-0.541415,-0.036720263410112,-0.516,104.3257,2018-02-20,105.886,"Feb 20, 18",103.8729,104.7096,6734505,6734505,104.8181
30,-0.9154829999999999,-0.045173430739428005,-0.878,103.4102,2018-02-21,105.2412,"Feb 21, 18",103.3807,104.3454,6743262,6743262,104.3607
31,0.18703399999999998,-0.043446787057743005,0.181,103.5972,2018-02-22,104.3552,"Feb 22, 18",103.2921,103.6662,4462165,4462165,103.7929
32,1.9786000000000001,-0.02517668089224,1.9100000000000001,105.5759,2018-02-23,105.6842,"Feb 23, 18",103.7843,104.0993,6101126,6101126,104.822
33,2.52,-0.001908541438525,2.387,108.0959,2018-02-26,108.0959,"Feb 26, 18",105.9893,106.3142,8138181,8138181,107.4689
34,-4.8629,-0.046809587212125005,-4.499,103.233,2018-02-27,106.4717,"Feb 27, 18",103.2133,106.3142,14179597,14179597,104.1345
35,-1.6833,-0.062352150363887006,-1.631,101.5497,2018-02-28,103.9241,"Feb 28, 18",101.53,103.804,10760757,10760757,102.5166
36,-0.58079,-0.06771490250464801,-0.5720000000000001,100.9689,2018-03-01,102.4061,"Mar 1, 18",99.7483,101.5891,10487306,10487306,100.9981
37,0.413444,-0.063896896288731,0.40900000000000003,101.3824,2018-03-02,101.5596,"Mar 2, 18",99.8566,100.4078,7835408,7835408,100.7021
38,0.413444,-0.060079813411681005,0.40800000000000003,101.7958,2018-03-05,102.3471,"Mar 5, 18",100.8213,101.1067,5736713,5736713,101.7516
