,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.047386,0.0,0.059000000000000004,80.903,2018-01-08,81.2268,"Jan 8, 18",80.6226,80.8319,945049,945049,80.907
1,1.2715,0.015716351680407,1.572,82.1745,2018-01-09,82.2929,"Jan 9, 18",81.0965,81.132,897923,897923,81.9164
2,-1.0662,0.0025376067636550003,-1.297,81.1083,2018-01-10,82.0007,"Jan 10, 18",80.9819,82.0007,683819,683819,81.3264
3,0.6397039999999999,0.010444606504085002,0.789,81.748,2018-01-11,81.9217,"Jan 11, 18",81.0056,81.4874,762773,762773,81.5386
4,0.49754899999999996,0.016593945836371003,0.609,82.2455,2018-01-12,82.578,"Jan 12, 18",81.7243,82.135,472887,472887,82.2293
5,-0.616012,0.008979889497299,-0.749,81.6295,2018-01-16,82.8537,"Jan 16, 18",81.1399,82.8537,806149,806149,81.9661
6,0.773964,0.018546901845419,0.9480000000000001,82.4035,2018-01-17,82.7984,"Jan 17, 18",81.5427,82.0402,831301,831301,82.3667
7,-0.27641499999999997,0.015130464877692,-0.335,82.1271,2018-01-18,82.5299,"Jan 18, 18",81.6216,82.5299,550778,550778,82.1536
8,0.331698,0.019230436448586002,0.404,82.4588,2018-01-19,82.8853,"Jan 19, 18",82.1982,82.3956,1229918,1229918,82.4581
9,0.339596,0.023428055819932,0.41200000000000003,82.7984,2018-01-22,82.9247,"Jan 22, 18",81.7875,82.5851,776629,776629,82.6261
10,0.568628,0.03045622535629,0.687,83.367,2018-01-23,83.675,"Jan 23, 18",82.4272,82.4272,1017455,1017455,83.3277
11,-0.616014,0.022842169017218,-0.739,82.751,2018-01-24,84.0383,"Jan 24, 18",82.1666,83.7145,783006,783006,82.9736
12,-0.27641499999999997,0.019425732049491003,-0.334,82.4746,2018-01-25,83.292,"Jan 25, 18",81.9375,83.0827,1420605,1420605,82.5194
13,0.48175399999999996,0.025379775780873002,0.584,82.9563,2018-01-26,82.9879,"Jan 26, 18",82.0639,82.8063,1053841,1053841,82.6952
14,-1.0741,0.012104619111775001,-1.295,81.8823,2018-01-29,83.3038,"Jan 29, 18",81.7243,82.7036,1724691,1724691,82.1284
15,2.6615,0.045000803431269006,3.25,84.5437,2018-01-30,84.8518,"Jan 30, 18",79.8289,81.1241,3565489,3565489,82.6341
16,-0.663397,0.036802096337589005,-0.785,83.8804,2018-01-31,86.1312,"Jan 31, 18",83.4776,84.6227,2536640,2536640,84.3126
17,-0.6870919999999999,0.028309209794445,-0.8190000000000001,83.1933,2018-02-01,84.5043,"Feb 1, 18",82.593,83.4776,2104561,2104561,83.5513
18,-1.6743000000000001,0.007614056339072001,-2.013,81.519,2018-02-02,83.0511,"Feb 2, 18",81.2505,82.9642,1554715,1554715,81.8284
19,-3.6724,-0.037778574342113,-4.505,77.8466,2018-02-05,82.5772,"Feb 5, 18",77.8071,81.2189,1494654,1494654,79.8764
20,0.995097,-0.025478659629432,1.278,78.8417,2018-02-06,79.3629,"Feb 6, 18",75.5642,77.428,2117857,2117857,77.6217
