,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.248356,0.0,0.317,78.5185,2018-01-08,78.6236,"Jan 8, 18",78.06,78.3084,3559950,3559950,78.374
1,-0.9170039999999999,-0.011678776339334,-1.168,77.6015,2018-01-09,78.3561,"Jan 9, 18",77.3327,78.3561,2781742,2781742,77.653
2,-1.0794,-0.025425855053267003,-1.391,76.5221,2018-01-10,77.3245,"Jan 10, 18",76.3449,77.1621,3227185,3227185,76.6478
3,-0.7928259999999999,-0.035522838566707,-1.036,75.7293,2018-01-11,76.5508,"Jan 11, 18",75.4618,75.949,4087206,4087206,75.8425
4,-0.36298199999999997,-0.040145952864611006,-0.47900000000000004,75.3663,2018-01-12,76.0416,"Jan 12, 18",75.032,75.4618,3211356,3211356,75.6041
5,-0.45850199999999997,-0.045985341034278,-0.608,74.9078,2018-01-16,75.7197,"Jan 16, 18",74.7072,75.5478,4375288,4375288,75.0335
6,-0.009552,-0.046106331628851006,-0.013000000000000001,74.8983,2018-01-17,75.1753,"Jan 17, 18",74.1436,74.8505,4125186,4125186,74.8787
7,-1.0221,-0.05912364601972701,-1.365,73.8762,2018-01-18,75.118,"Jan 18, 18",73.5992,75.118,4757589,4757589,74.0317
8,-0.496712,-0.06544954373810001,-0.672,73.3795,2018-01-19,74.3347,"Jan 19, 18",73.2075,74.0004,4536693,4536693,73.6249
9,0.124179,-0.06386902449741101,0.169,73.5036,2018-01-22,74.1723,"Jan 22, 18",73.4081,73.7042,3720141,3720141,73.7858
10,0.725962,-0.054622795901602,0.988,74.2296,2018-01-23,74.9365,"Jan 23, 18",73.7807,74.2678,4033929,4033929,74.4211
11,-0.44895,-0.060339919891490006,-0.605,73.7807,2018-01-24,74.2523,"Jan 24, 18",73.752,74.2201,3601656,3601656,73.9807
12,1.5857,-0.040145952864611006,2.149,75.3663,2018-01-25,75.672,"Jan 25, 18",73.7425,73.7711,4842928,4842928,74.8673
13,-0.06686399999999999,-0.040996707782242,-0.089,75.2995,2018-01-26,75.5,"Jan 26, 18",74.5639,75.395,3944543,3944543,75.0883
14,-1.471,-0.059732419748212,-1.9540000000000002,73.8284,2018-01-29,75.0511,"Jan 29, 18",73.7138,75.032,4901333,4901333,74.0087
15,0.35342799999999996,-0.05523029604488101,0.47900000000000004,74.1819,2018-01-30,74.4207,"Jan 30, 18",73.5228,73.6469,3969202,3969202,74.1846
16,0.8023800000000001,-0.045012321936868,1.082,74.9842,2018-01-31,75.0606,"Jan 31, 18",73.7902,74.2965,4007042,4007042,74.5016
17,-1.5857,-0.065206288963747,-2.115,73.3986,2018-02-01,75.1275,"Feb 1, 18",73.2362,74.8123,4328646,4328646,73.7616
18,-0.29611699999999996,-0.068977374758814,-0.403,73.1025,2018-02-02,74.2487,"Feb 2, 18",73.0069,73.3795,4252429,4252429,73.4725
19,-0.687754,-0.077737093805918,-0.9410000000000001,72.4147,2018-02-05,74.115,"Feb 5, 18",72.3383,73.2171,5852083,5852083,73.1078
20,-1.2609,-0.093795729668804,-1.741,71.1538,2018-02-06,71.8798,"Feb 6, 18",69.6637,71.7843,7810777,7810777,70.7709
21,-0.08596899999999999,-0.09488973936078701,-0.121,71.0679,2018-02-07,72.1759,"Feb 7, 18",70.8577,71.1252,4840376,4840376,71.5252
22,-0.076417,-0.095864032043403,-0.108,70.9914,2018-02-08,72.472,"Feb 8, 18",70.4947,70.7717,6160098,6160098,71.7054
23,1.7003,-0.07420926278520301,2.395,72.6917,2018-02-09,73.284,"Feb 9, 18",70.552,70.9914,6312295,6312295,71.9813
24,0.678202,-0.065571807917879,0.933,73.3699,2018-02-12,73.7902,"Feb 12, 18",72.2714,72.7108,4373075,4373075,73.105
25,0.25790799999999997,-0.06228723167151701,0.352,73.6278,2018-02-13,73.838,"Feb 13, 18",72.4243,73.112,3808020,3808020,73.0969
26,-1.5283,-0.08175143437533801,-2.076,72.0995,2018-02-14,73.2266,"Feb 14, 18",72.0708,73.1884,4562984,4562984,72.5521
27,1.5562,-0.061931901399033006,2.158,73.6557,2018-02-15,73.6654,"Feb 15, 18",72.1672,72.2735,3923792,3923792,73.125
