,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.13,0.0,0.17200000000000001,75.66,2018-01-08,75.81,"Jan 8, 18",74.79,75.55,1860797,1860797,75.5128
1,1.81,0.023922812582606003,2.392,77.47,2018-01-09,77.52,"Jan 9, 18",75.38,75.6,1483975,1483975,76.8287
2,0.6000000000000001,0.031853026698387,0.774,78.07,2018-01-10,78.12,"Jan 10, 18",76.5,77.27,1575601,1575601,77.4347
3,1.96,0.057758392809939,2.511,80.03,2018-01-11,80.71,"Jan 11, 18",78.25,78.25,2360604,2360604,80.0471
4,-0.9,0.045863071636267,-1.125,79.13,2018-01-12,80.03,"Jan 12, 18",79.02,80.0,1440371,1440371,79.3427
5,0.02,0.046127412106793005,0.025,79.15,2018-01-16,79.635,"Jan 16, 18",78.38,79.5,1244610,1244610,79.2219
6,-0.09,0.044937879989426006,-0.114,79.06,2018-01-17,79.35,"Jan 17, 18",78.55,79.13,1378993,1378993,78.9124
7,-0.87,0.033439069521543005,-1.1,78.19,2018-01-18,79.0,"Jan 18, 18",78.11,79.0,1082874,1082874,78.4146
8,0.42,0.03899021940259,0.537,78.61,2018-01-19,78.74,"Jan 19, 18",77.73,78.18,1098926,1098926,78.3824
9,0.34,0.043484007401533006,0.433,78.95,2018-01-22,79.14,"Jan 22, 18",77.95,78.76,912110,912110,78.7159
10,0.09,0.044673539518900005,0.114,79.04,2018-01-23,79.55,"Jan 23, 18",77.55,78.63,790871,790871,79.0037
11,-0.4,0.039386730108379,-0.506,78.64,2018-01-24,79.4494,"Jan 24, 18",78.14,79.18,863175,863175,78.6437
12,0.32,0.043616177636796004,0.40700000000000003,78.96,2018-01-25,79.04,"Jan 25, 18",78.25,78.77,588558,588558,78.7476
13,0.14,0.045466560930478,0.177,79.1,2018-01-26,79.3,"Jan 26, 18",78.47,79.01,1105793,1105793,79.0524
14,-0.01,0.045334390695215006,-0.013000000000000001,79.09,2018-01-29,79.55,"Jan 29, 18",78.66,78.95,1320848,1320848,79.1443
15,-0.16,0.043219666931007004,-0.202,78.93,2018-01-30,79.33,"Jan 30, 18",77.23,78.05,1311916,1311916,78.8009
16,-0.89,0.031456515992598,-1.1280000000000001,78.04,2018-01-31,79.035,"Jan 31, 18",77.19,78.91,1714321,1714321,78.0861
17,-0.49,0.02498017446471,-0.628,77.55,2018-02-01,78.26,"Feb 1, 18",76.5,77.53,1896685,1896685,77.4584
18,-1.9,-0.00013217023526200002,-2.45,75.65,2018-02-02,77.37,"Feb 2, 18",75.21,77.21,1577999,1577999,76.0502
19,-2.81,-0.037272006344171,-3.714,72.84,2018-02-05,76.3,"Feb 5, 18",72.79,75.23,1764489,1764489,74.3093
20,1.19,-0.021543748347872,1.634,74.03,2018-02-06,74.74,"Feb 6, 18",70.5,71.57,1578492,1578492,73.3032
21,0.63,-0.013217023526301,0.851,74.66,2018-02-07,75.64,"Feb 7, 18",73.6583,73.85,1010894,1010894,75.0378
22,-2.75,-0.049563838223632,-3.683,71.91,2018-02-08,75.15,"Feb 8, 18",71.87,74.57,1337139,1337139,73.2816
23,1.06,-0.035553793285752006,1.474,72.97,2018-02-09,73.61,"Feb 9, 18",70.55,72.62,1937782,1937782,72.2822
24,0.44,-0.029738302934179003,0.603,73.41,2018-02-12,74.27,"Feb 12, 18",72.61,73.41,1388096,1388096,73.478
25,0.13,-0.028020089875759,0.177,73.54,2018-02-13,74.03,"Feb 13, 18",72.69,72.69,1736349,1736349,73.4484
26,1.21,-0.012027491408934,1.645,74.75,2018-02-14,74.84,"Feb 14, 18",71.56,72.07,2581787,2581787,73.4169
27,-0.91,-0.024054982817869,-1.217,73.84,2018-02-15,75.48,"Feb 15, 18",73.675,75.0,1841981,1841981,74.3074
