,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.11,0.0,0.277,39.8,2018-01-08,40.08,"Jan 8, 18",39.44,39.55,9714170,9714170,39.849
1,-0.27,-0.0067839195979890006,-0.678,39.53,2018-01-09,40.13,"Jan 9, 18",39.48,40.1,6215872,6215872,39.6822
2,-1.83,-0.052763819095477005,-4.629,37.7,2018-01-10,39.02,"Jan 10, 18",37.55,38.87,17416485,17416485,37.9261
3,0.11,-0.049999999999999004,0.292,37.81,2018-01-11,37.94,"Jan 11, 18",37.46,37.84,11090524,11090524,37.7494
4,0.21,-0.04472361809045201,0.555,38.02,2018-01-12,38.27,"Jan 12, 18",37.9,38.0,11992898,11992898,38.0764
5,-0.34,-0.053266331658291005,-0.894,37.68,2018-01-16,38.25,"Jan 16, 18",37.38,38.07,10718774,10718774,37.77
6,0.31,-0.045477386934673,0.8230000000000001,37.99,2018-01-17,38.31,"Jan 17, 18",37.75,38.0,12245735,12245735,38.056
7,0.75,-0.026633165829145003,1.974,38.74,2018-01-18,38.94,"Jan 18, 18",38.13,38.21,11113527,11113527,38.6421
8,-0.31,-0.034422110552763,-0.8,38.43,2018-01-19,39.02,"Jan 19, 18",38.2,38.75,12723975,12723975,38.4777
9,1.15,-0.0055276381909540005,2.992,39.58,2018-01-22,39.73,"Jan 22, 18",38.33,38.36,10714952,10714952,39.374
10,0.19,-0.00075376884422,0.48,39.77,2018-01-23,39.89,"Jan 23, 18",39.13,39.59,6944764,6944764,39.6274
11,0.05,0.000502512562814,0.126,39.82,2018-01-24,40.71,"Jan 24, 18",39.69,39.97,10735965,10735965,40.0578
12,0.2,0.0055276381909540005,0.502,40.02,2018-01-25,40.41,"Jan 25, 18",39.86,39.93,9070904,9070904,40.1171
13,0.87,0.027386934673366004,2.174,40.89,2018-01-26,40.91,"Jan 26, 18",39.92,40.31,8522642,8522642,40.5855
14,-0.09,0.025125628140703002,-0.22,40.8,2018-01-29,41.07,"Jan 29, 18",40.57,40.59,6372823,6372823,40.8322
15,-0.4,0.015075376884422,-0.98,40.4,2018-01-30,41.34,"Jan 30, 18",40.19,40.72,9022858,9022858,40.549
16,0.18,0.019597989949748002,0.446,40.58,2018-01-31,41.1,"Jan 31, 18",40.36,40.48,14509719,14509719,40.6752
17,5.61,0.160552763819095,13.825,46.19,2018-02-01,46.99,"Feb 1, 18",45.21,45.5,33290622,33290622,46.2662
18,-1.8900000000000001,0.11306532663316501,-4.092,44.3,2018-02-02,46.24,"Feb 2, 18",44.23,45.16,19255592,19255592,45.0181
19,-1.9300000000000002,0.06457286432160801,-4.357,42.37,2018-02-05,44.45,"Feb 5, 18",42.24,44.02,19100247,19100247,43.334
20,0.42,0.075125628140703,0.991,42.79,2018-02-06,43.1,"Feb 6, 18",41.72,41.72,18686071,18686071,42.4015
21,-0.46,0.06356783919597901,-1.075,42.33,2018-02-07,43.12,"Feb 7, 18",42.23,42.67,11379218,11379218,42.6249
22,-1.31,0.030653266331658,-3.095,41.02,2018-02-08,42.95,"Feb 8, 18",41.01,42.5,14996811,14996811,41.8955
23,0.64,0.046733668341708,1.56,41.66,2018-02-09,41.98,"Feb 9, 18",40.43,41.5,15976151,15976151,41.2552
24,0.66,0.06331658291457201,1.584,42.32,2018-02-12,42.64,"Feb 12, 18",41.64,41.95,11821421,11821421,42.239
