,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.969305,0.0,0.754,129.5408,2018-01-08,129.8178,"Jan 8, 18",128.1759,128.3638,967924,967924,129.4105
1,0.722035,0.005574305546978,0.557,130.2629,2018-01-09,131.0443,"Jan 9, 18",129.5705,129.8672,1249330,1249330,130.3934
2,-1.3649,-0.004962915158776,-1.048,128.8979,2018-01-10,129.8672,"Jan 10, 18",126.8703,129.8672,1599133,1599133,128.1946
3,-1.2166000000000001,-0.014353778886651002,-0.9440000000000001,127.6814,2018-01-11,129.4419,"Jan 11, 18",127.3451,129.165,1250244,1250244,127.7734
4,-0.55389,-0.018629651816261,-0.434,127.1275,2018-01-12,128.077,"Jan 12, 18",127.0187,127.7506,1465988,1465988,127.3198
5,0.128582,-0.017637686350555,0.101,127.256,2018-01-16,128.9672,"Jan 16, 18",127.0582,127.7902,1618911,1618911,127.6626
6,3.3629,0.008322474463643,2.643,130.6189,2018-01-17,131.1432,"Jan 17, 18",127.6022,127.8693,1613444,1613444,129.9115
7,-1.0682,7.642379852537586e-05,-0.8180000000000001,129.5507,2018-01-18,131.0047,"Jan 18, 18",129.3529,130.7673,1147123,1147123,129.8969
8,3.4321,0.026571551202401,2.649,132.9829,2018-01-19,132.9928,"Jan 19, 18",129.887,130.1442,1380073,1380073,132.0777
9,0.415416,0.029778262910218,0.312,133.3983,2018-01-22,134.2093,"Jan 22, 18",132.1322,132.2806,1388010,1388010,133.3265
10,1.8298,0.043903542358855005,1.3719999999999999,135.2281,2018-01-23,135.6633,"Jan 23, 18",133.2895,133.2895,1317853,1317853,135.1125
11,-0.46487199999999995,0.040314711658412,-0.34400000000000003,134.7632,2018-01-24,136.0985,"Jan 24, 18",133.6456,135.327,1623197,1623197,135.0477
12,0.9099600000000001,0.047339525462248004,0.675,135.6732,2018-01-25,136.1677,"Jan 25, 18",134.7731,135.4655,1115434,1115434,135.4993
13,0.534108,0.051462550794807,0.394,136.2073,2018-01-26,136.3458,"Jan 26, 18",134.3577,135.3765,1587948,1587948,135.8702
14,-1.0979,0.042987228734113,-0.806,135.1094,2018-01-29,136.6919,"Jan 29, 18",134.6445,136.2567,1374568,1374568,135.5492
15,0.029671999999999997,0.043216500129689,0.022,135.1391,2018-01-30,135.6979,"Jan 30, 18",133.7544,134.5159,1318348,1318348,135.0456
