,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.36093000000000003,0.0,0.381,95.0908,2018-01-08,95.4127,"Jan 8, 18",94.3787,94.7786,971898,971898,94.99
1,-0.20485299999999998,-0.0021537309603030003,-0.215,94.886,2018-01-09,95.8322,"Jan 9, 18",94.8372,95.2274,848624,848624,95.2504
2,-0.019509,-0.002359849743613,-0.021,94.8664,2018-01-10,95.0615,"Jan 10, 18",93.7154,94.7396,755905,755905,94.6296
3,0.24387199999999998,0.00020506715686400003,0.257,95.1103,2018-01-11,95.5395,"Jan 11, 18",94.8079,95.403,1182564,1182564,95.0417
4,-0.068285,-0.000513193705384,-0.07200000000000001,95.042,2018-01-12,95.559,"Jan 12, 18",94.6031,95.559,887430,887430,94.967
5,-0.604803,-0.006873430447530001,-0.636,94.4372,2018-01-16,95.6956,"Jan 16, 18",93.7739,95.2371,1118738,1118738,94.6336
6,0.048774,-0.006360236742145001,0.052000000000000005,94.486,2018-01-17,95.3249,"Jan 17, 18",94.2031,95.1493,820882,820882,94.5556
7,-0.029264,-0.006668363290665001,-0.031,94.4567,2018-01-18,94.7591,"Jan 18, 18",93.9885,94.3592,745225,745225,94.4021
8,1.2681,0.006668363290665001,1.343,95.7249,2018-01-19,95.7249,"Jan 19, 18",94.7689,94.9347,1153481,1153481,95.3989
9,-0.35117499999999996,0.002975051214207,-0.367,95.3737,2018-01-22,96.076,"Jan 22, 18",95.0713,95.6176,1095955,1095955,95.4994
10,0.18534299999999998,0.0049237150176460005,0.194,95.559,2018-01-23,95.6468,"Jan 23, 18",94.5592,95.1591,662466,662466,95.2782
11,0.663334,0.011900204856831001,0.6940000000000001,96.2224,2018-01-24,96.876,"Jan 24, 18",95.5493,95.9687,944815,944815,96.2527
12,1.5998,0.028724124731309003,1.663,97.8222,2018-01-25,98.0173,"Jan 25, 18",96.5443,97.0125,1260581,1260581,97.5248
13,1.9802,0.049548431604319,2.024,99.8024,2018-01-26,99.9975,"Jan 26, 18",97.4222,97.8612,1681739,1681739,99.2724
14,-1.0535,0.038469547001392004,-1.056,98.7489,2018-01-29,99.7927,"Jan 29, 18",98.6513,99.5586,1157031,1157031,99.0068
15,-1.1803,0.026057200065621,-1.195,97.5686,2018-01-30,98.1441,"Jan 30, 18",96.915,97.9685,1012035,1012035,97.535
16,-0.819413,0.017439121345072,-0.84,96.7491,2018-01-31,98.027,"Jan 31, 18",95.998,97.7832,1417780,1417780,96.7371
17,-0.7413719999999999,0.009643414504873,-0.766,96.0078,2018-02-01,97.0028,"Feb 1, 18",95.5493,96.2126,1124169,1124169,96.1943
18,0.829167,0.018362449364186,0.864,96.8369,2018-02-02,100.6804,"Feb 2, 18",94.0958,99.7634,3279652,3279652,96.5629
19,-2.1071,-0.003795319841667,-2.176,94.7299,2018-02-05,101.529,"Feb 5, 18",94.6811,96.6321,3490963,3490963,97.9726
20,1.8632,0.015798584090153,1.967,96.5931,2018-02-06,97.1784,"Feb 6, 18",91.9985,93.052,2947859,2947859,95.2695
21,-0.039021,0.015387398149978,-0.04,96.554,2018-02-07,97.9295,"Feb 7, 18",95.9492,96.1834,1598353,1598353,97.0334
22,-5.2774,-0.040111135882756006,-5.466,91.2766,2018-02-08,96.6418,"Feb 8, 18",91.2523,95.8614,1894115,1894115,93.3207
