,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.223761,0.0,-0.318,70.2415,2018-01-08,70.4652,"Jan 8, 18",69.7356,70.4652,2334812,2334812,70.1124
1,0.116745,0.001661410989229,0.166,70.3582,2018-01-09,70.6209,"Jan 9, 18",69.9399,70.4555,3367691,3367691,70.3714
2,0.262675,0.00540136528975,0.373,70.6209,2018-01-10,70.7279,"Jan 10, 18",69.755,69.7939,2411341,2411341,70.4441
3,1.255,0.023268295808033003,1.7770000000000001,71.8759,2018-01-11,71.8953,"Jan 11, 18",70.4944,70.903,2917413,2917413,71.5417
4,0.029186,0.023684004470291002,0.041,71.9051,2018-01-12,72.4304,"Jan 12, 18",71.8467,71.9926,3500893,3500893,72.0801
5,-1.0507,0.008725610928012,-1.461,70.8544,2018-01-16,71.8759,"Jan 16, 18",70.1539,71.3992,3899883,3899883,70.9691
6,0.23349000000000003,0.012049856566274001,0.33,71.0879,2018-01-17,71.7786,"Jan 17, 18",70.9106,71.0684,3276125,3276125,71.3405
7,0.36969199999999997,0.017311703195404,0.52,71.4575,2018-01-18,71.944,"Jan 18, 18",71.0197,71.4867,2356169,2356169,71.4595
8,-0.301591,0.013019368891609002,-0.422,71.156,2018-01-19,71.798,"Jan 19, 18",70.903,71.6327,3538255,3538255,71.188
9,0.116744,0.014680779880839,0.164,71.2727,2018-01-22,71.2922,"Jan 22, 18",70.3874,70.9614,3521480,3521480,70.9783
10,-0.136202,0.012741755230170002,-0.191,71.1365,2018-01-23,71.8467,"Jan 23, 18",71.0295,71.3505,3205619,3205619,71.2517
11,-0.47670799999999997,0.005955168952827001,-0.67,70.6598,2018-01-24,71.7047,"Jan 24, 18",70.2025,71.5451,3284325,3284325,70.8156
12,0.048644,0.006647067616722,0.069,70.7084,2018-01-25,71.2143,"Jan 25, 18",69.8426,71.0976,3293690,3293690,70.6187
13,1.3328,0.025623029120961004,1.885,72.0413,2018-01-26,72.0413,"Jan 26, 18",70.7084,70.9225,3587451,3587451,71.6948
14,-1.0312,0.010940825580319,-1.431,71.01,2018-01-29,71.8661,"Jan 29, 18",70.9322,71.6716,2136367,2136367,71.2989
15,-0.505895,0.003738530640717,-0.712,70.5041,2018-01-30,70.9322,"Jan 30, 18",70.1344,70.4652,2311602,2311602,70.5327
16,-0.233489,0.00041428500245500004,-0.331,70.2706,2018-01-31,71.2603,"Jan 31, 18",70.0761,70.9711,5458129,5458129,70.4214
17,0.340505,0.005261846629129,0.485,70.6111,2018-02-01,71.117,"Feb 1, 18",67.8385,69.4923,3022225,3022225,70.4909
18,-1.9555,-0.022576397144138,-2.769,68.6557,2018-02-02,70.3777,"Feb 2, 18",68.5973,69.9107,4852958,4852958,69.2044
19,-2.0722,-0.052078899226240004,-3.018,66.5834,2018-02-05,69.4826,"Feb 5, 18",66.3645,68.1206,4426299,4426299,67.5889
