,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.5365559999999999,0.0,0.481,111.9911,2018-01-08,112.4978,"Jan 8, 18",110.9378,111.7228,1934379,1934379,111.7656
1,-0.993622,-0.008873026517285,-0.887,110.9974,2018-01-09,112.3786,"Jan 9, 18",110.8285,112.2096,1944057,1944057,111.4209
2,0.298087,-0.006211207854909,0.269,111.2955,2018-01-10,113.0244,"Jan 10, 18",111.1465,111.226,4751455,4751455,111.8838
3,3.11,0.021559748944335003,2.794,114.4056,2018-01-11,114.9819,"Jan 11, 18",111.7426,112.0705,3828104,3828104,114.1917
4,0.556427,0.026528000885784,0.486,114.962,2018-01-12,115.72710000000001,"Jan 12, 18",114.0578,114.2168,2025312,2025312,114.9883
5,-2.1319,0.007491666748518,-1.854,112.8301,2018-01-16,115.865,"Jan 16, 18",112.5216,115.2481,4835628,4835628,113.6596
6,0.139309,0.008735515590078001,0.123,112.9694,2018-01-17,113.7854,"Jan 17, 18",111.5863,113.1485,3324297,3324297,112.9369
7,0.706494,0.015044052607751001,0.625,113.6759,2018-01-18,114.5914,"Jan 18, 18",112.2629,112.8002,4564600,4564600,113.8276
8,0.129358,0.016199501567535,0.114,113.8053,2018-01-19,114.1933,"Jan 19, 18",112.9097,113.3873,2920580,2920580,113.6374
9,2.4379,0.037968195686978005,2.142,116.2432,2018-01-22,116.283,"Jan 22, 18",113.8451,113.9645,2233174,2233174,115.5909
10,1.015,0.047030522961199,0.873,117.2581,2018-01-23,118.0144,"Jan 23, 18",116.3029,116.472,3150700,3150700,117.4326
11,0.6268889999999999,0.052628289212267004,0.535,117.885,2018-01-24,118.3129,"Jan 24, 18",116.6213,117.4074,2463897,2463897,117.6792
12,-1.015,0.043565069009948006,-0.861,116.87,2018-01-25,118.4124,"Jan 25, 18",116.4521,118.3328,2061289,2061289,117.3441
13,0.30847,0.046319752194594006,0.264,117.1785,2018-01-26,117.477,"Jan 26, 18",116.2233,116.482,2170913,2170913,117.0852
14,-1.1742,0.035834990459063,-1.002,116.0043,2018-01-29,117.5467,"Jan 29, 18",115.8451,116.5417,1584903,1584903,116.4436
15,-1.403,0.02330720923359,-1.209,114.6013,2018-01-30,115.4073,"Jan 30, 18",113.3376,115.4073,3589051,3589051,114.4301
16,-0.169161,0.021796374890504,-0.148,114.4321,2018-01-31,115.1585,"Jan 31, 18",113.865,114.7506,2409788,2409788,114.4324
17,1.5125000000000002,0.035301912384109,1.322,115.9446,2018-02-01,115.9944,"Feb 1, 18",114.0142,114.7108,2507634,2507634,115.3655
18,-3.6718,0.002516271382279,-3.167,112.2729,2018-02-02,114.6212,"Feb 2, 18",111.8549,114.4421,2549409,2549409,112.8337
19,-3.2539,-0.026538716022969002,-2.898,109.019,2018-02-05,113.3177,"Feb 5, 18",108.4618,111.1484,3175882,3175882,110.5601
20,-1.2836,-0.038000341098533,-1.177,107.7354,2018-02-06,110.3524,"Feb 6, 18",105.5661,107.2279,4635477,4635477,107.4289
21,-2.4777,-0.060124420601279004,-2.3,105.2577,2018-02-07,109.1683,"Feb 7, 18",105.2378,107.8846,4666029,4666029,106.7127
22,-4.7166,-0.10224026730695501,-4.481,100.5411,2018-02-08,105.9741,"Feb 8, 18",100.4814,105.4965,4675563,4675563,102.8011
23,-0.9652109999999999,-0.11085880931609701,-0.96,99.5759,2018-02-09,102.0933,"Feb 9, 18",96.0633,101.3869,5335724,5335724,98.8749
24,3.0548,-0.08358164175546001,3.068,102.6307,2018-02-12,103.5163,"Feb 12, 18",100.8296,101.0386,3551493,3551493,102.4508
25,-0.666693,-0.089534793389831,-0.65,101.964,2018-02-13,102.7302,"Feb 13, 18",101.1083,101.9839,1735273,1735273,101.9203
26,4.2688,-0.051417478710361,4.187,106.2328,2018-02-14,106.5314,"Feb 14, 18",100.9988,101.0784,4089159,4089159,105.1699
27,0.925407,-0.043154322084522,0.871,107.1582,2018-02-15,107.5264,"Feb 15, 18",104.4915,106.0736,3495524,3495524,106.4299
28,-0.049751,-0.043598107349601005,-0.046,107.1085,2018-02-16,108.2031,"Feb 16, 18",106.0736,106.611,2973536,2973536,107.2881
29,0.318419,-0.040755024283179,0.297,107.4269,2018-02-20,108.4916,"Feb 20, 18",105.6258,107.2478,3381622,3381622,107.3058
30,-2.1394,-0.05985832802785201,-1.991,105.2875,2018-02-21,108.2031,"Feb 21, 18",105.2577,107.1184,4119303,4119303,105.9546
31,1.2737,-0.048485102834064,1.21,106.5612,2018-02-22,108.5712,"Feb 22, 18",105.417,106.1731,3165934,3165934,106.9536
32,1.7314,-0.033024945732294,1.625,108.2926,2018-02-23,108.3424,"Feb 23, 18",106.8,107.198,2063917,2063917,107.7882
33,0.656741,-0.0271601939797,0.606,108.9494,2018-02-26,109.616,"Feb 26, 18",108.0339,109.019,4474264,4474264,108.8477
34,-2.5374,-0.04981824448549901,-2.329,106.4119,2018-02-27,108.9892,"Feb 27, 18",106.2129,108.7404,3581296,3581296,107.2709
35,-5.4927,-0.098864106165579,-5.162,100.9192,2018-02-28,105.8746,"Feb 28, 18",100.8097,101.1282,7738731,7738731,102.1903
36,-0.238815,-0.100996418465395,-0.23700000000000002,100.6804,2018-03-01,101.6058,"Mar 1, 18",99.347,101.2874,4604948,4604948,100.3792
37,0.268667,-0.098597120664052,0.267,100.9491,2018-03-02,101.7053,"Mar 2, 18",98.9092,100.0435,4040044,4040044,100.8234
38,0.358222,-0.095398652214327,0.355,101.3073,2018-03-05,102.2526,"Mar 5, 18",99.9042,100.4117,3129484,3129484,101.4788
39,-0.79605,-0.10250725280848201,-0.786,100.5112,2018-03-06,102.4317,"Mar 6, 18",100.2426,102.2028,3421320,3421320,100.7754
40,-0.139309,-0.103751101650041,-0.139,100.3719,2018-03-07,100.6008,"Mar 7, 18",98.8395,99.4863,3331365,3331365,99.9261
41,-0.278617,-0.10623879933316101,-0.278,100.0933,2018-03-08,101.0983,"Mar 8, 18",99.1629,101.0287,2525902,2525902,99.8962
42,2.1991,-0.08660241751353401,2.197,102.2924,2018-03-09,102.3919,"Mar 9, 18",100.7799,101.0784,2910164,2910164,101.9139
43,-2.1394,-0.10570572125820701,-2.091,100.153,2018-03-12,102.3123,"Mar 12, 18",99.9938,101.9939,5209091,5209091,100.4211
44,-0.5970369999999999,-0.111036502007748,-0.596,99.556,2018-03-13,101.2675,"Mar 13, 18",99.1878,100.8694,3210405,3210405,100.015
45,-0.159211,-0.11245804354095901,-0.16,99.3968,2018-03-14,100.4007,"Mar 14, 18",99.148,100.3023,2189310,2189310,99.6565
46,-1.2339,-0.12347588335144401,-1.241,98.1629,2018-03-15,100.2227,"Mar 15, 18",97.6952,99.8943,3843021,3843021,98.291
47,1.7911000000000001,-0.107482648174721,1.8250000000000002,99.954,2018-03-16,100.362,"Mar 16, 18",98.0634,98.3818,4950799,4950799,99.5943
48,-1.9702000000000002,-0.12507511757630702,-1.971,97.9838,2018-03-19,99.9042,"Mar 19, 18",96.9589,99.3868,2605066,2605066,97.8685
49,2.8459,-0.09966416974205901,2.904,100.8296,2018-03-20,101.168,"Mar 20, 18",98.75,98.8594,4555069,4555069,100.5542
50,3.433,-0.06900994811194801,3.4050000000000002,104.2626,2018-03-21,105.3074,"Mar 21, 18",101.1381,101.2177,5288876,5288876,103.8289
51,-0.48758,-0.073363865521456,-0.468,103.775,2018-03-22,104.5611,"Mar 22, 18",102.6506,103.0088,6672783,6672783,103.7753
52,1.5622,-0.059413649834674,1.505,105.3373,2018-03-23,106.203,"Mar 23, 18",104.183,104.2328,6576370,6576370,105.4772
53,1.7016,-0.044220478234431,1.615,107.0388,2018-03-26,107.1184,"Mar 26, 18",105.198,106.3423,4818051,4818051,106.1886
54,-1.2339,-0.05523742511681701,-1.153,105.805,2018-03-27,107.3772,"Mar 27, 18",104.9691,106.9294,5199905,5199905,105.883
55,-2.4976000000000003,-0.077540090239313,-2.3609999999999998,103.3073,2018-03-28,106.6707,"Mar 28, 18",102.7501,105.2776,5512392,5512392,104.3537
